Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,19.13,18.42,19.15,18.29,1.19M,4.65%
Apr 18  2016,18.28,17.67,18.58,17.64,806.03K,-0.81%
Apr 15  2016,18.43,18.77,18.98,18.36,641.10K,-3.51%
Apr 14  2016,19.10,19.17,19.20,18.69,1.06M,0.10%
Apr 13  2016,19.08,19.75,19.80,19.06,1.11M,-2.75%
Apr 12  2016,19.62,18.52,19.90,18.39,1.73M,7.10%
Apr 11  2016,18.32,18.37,18.67,18.17,1.83M,-0.87%
Apr 08  2016,18.48,18.77,19.19,18.42,927.51K,0.76%
Apr 07  2016,18.34,18.53,18.66,18.24,854.90K,-0.22%
Apr 06  2016,18.38,17.81,18.43,17.81,896.97K,3.26%
Apr 05  2016,17.80,17.47,17.82,17.43,488.66K,1.08%
Apr 04  2016,17.61,17.73,17.98,17.47,775.65K,-0.40%
Apr 01  2016,17.68,18.05,18.28,17.60,1.13M,-6.41%
Mar 31  2016,18.89,18.53,18.95,18.39,867.05K,1.89%
Mar 30  2016,18.54,18.92,19.18,18.53,703.08K,-0.64%
Mar 29  2016,18.66,18.16,18.73,18.15,650.92K,-0.11%
Mar 28  2016,18.68,18.54,18.83,18.22,502.99K,0.81%
Mar 24  2016,18.53,18.10,18.73,17.80,651.21K,0.82%
Mar 23  2016,18.38,18.76,18.76,18.22,580.85K,-0.92%
Mar 22  2016,18.55,18.70,18.94,18.53,699.84K,-0.96%
Mar 21  2016,18.73,18.65,18.99,18.58,420.67K,-0.11%
Mar 18  2016,18.75,19.45,19.75,18.62,3.26M,-4.58%
Mar 17  2016,19.65,18.94,19.70,18.94,1.40M,4.19%
Mar 16  2016,18.86,18.95,19.14,18.65,861.13K,0.53%
Mar 15  2016,18.76,18.94,19.09,18.49,1.32M,-1.26%
Mar 14  2016,19.00,19.18,19.40,19.00,1.33M,-2.71%
Mar 11  2016,19.53,19.17,19.54,18.99,1.09M,3.88%
Mar 10  2016,18.80,18.99,19.10,18.49,1.07M,-0.63%
Mar 09  2016,18.92,19.21,19.38,18.66,1.05M,-0.42%
Mar 08  2016,19.00,19.32,19.46,18.82,1.09M,-2.66%
Mar 07  2016,19.52,19.37,20.15,19.36,1.72M,1.09%
Mar 04  2016,19.31,18.79,19.47,18.54,1.51M,3.59%
Mar 03  2016,18.64,18.44,18.86,18.25,1.39M,0.11%
Mar 02  2016,18.62,17.77,18.71,17.77,1.27M,3.67%
Mar 01  2016,17.96,17.94,18.05,17.67,1.00M,0.06%
Feb 29  2016,17.95,18.01,18.20,17.60,1.44M,0.17%
Feb 26  2016,17.92,18.08,18.13,17.76,1.55M,1.13%
Feb 25  2016,17.72,17.90,18.17,17.40,1.01M,-1.94%
Feb 24  2016,18.07,17.39,18.22,17.12,1.04M,1.80%
Feb 23  2016,17.75,18.27,18.60,17.58,1.01M,-3.43%
Feb 22  2016,18.38,18.32,18.78,18.25,1.28M,2.17%
Feb 19  2016,17.99,17.91,18.36,17.83,1.24M,-1.96%
Feb 18  2016,18.35,19.15,19.44,18.19,2.32M,-3.62%
Feb 17  2016,19.04,18.25,19.08,18.23,1.59M,4.44%
Feb 16  2016,18.23,18.45,18.50,17.98,1.38M,-0.22%
Feb 12  2016,18.27,17.86,18.33,17.70,1.66M,3.10%
Feb 11  2016,17.72,16.52,17.93,16.45,2.43M,6.75%
Feb 10  2016,16.60,16.86,17.00,16.44,2.25M,-1.48%
Feb 09  2016,16.85,17.48,17.51,16.38,1.92M,-6.02%
Feb 08  2016,17.93,18.29,18.49,17.83,1.24M,-2.45%
Feb 05  2016,18.38,18.27,18.50,17.97,1.06M,0.49%
Feb 04  2016,18.29,18.41,18.71,17.96,1.05M,1.05%
Feb 03  2016,18.10,17.80,18.16,16.88,1.28M,4.08%
Feb 02  2016,17.39,17.60,17.65,17.06,1.90M,-3.98%
Feb 01  2016,18.11,18.50,18.66,17.59,1.64M,-3.82%
Jan 29  2016,18.83,18.74,18.86,18.25,2.65M,1.62%
Jan 28  2016,18.53,17.46,18.60,17.15,1.77M,9.00%
Jan 27  2016,17.00,16.82,17.78,16.82,1.50M,-2.13%
Jan 26  2016,17.37,17.00,17.49,16.75,1.30M,4.58%
Jan 25  2016,16.61,17.47,17.78,16.60,1.37M,-6.84%
Jan 22  2016,17.83,17.35,18.05,17.26,2.15M,6.64%
Jan 21  2016,16.72,15.57,16.92,15.51,1.61M,6.50%
Jan 20  2016,15.70,14.93,15.99,14.45,2.74M,0.90%
Jan 19  2016,15.56,15.66,15.75,15.11,2.07M,1.37%
Jan 18  2016,15.35,15.06,15.57,14.92,588.80K,-0.65%
Jan 15  2016,15.45,14.79,15.48,14.60,1.26M,-1.84%
Jan 14  2016,15.74,15.06,15.90,14.64,1.43M,4.65%
Jan 13  2016,15.04,15.32,15.73,14.83,1.06M,-0.53%
Jan 12  2016,15.12,15.26,15.30,14.43,1.61M,-1.50%
Jan 11  2016,15.35,15.74,15.77,14.87,1.07M,-3.82%
Jan 08  2016,15.96,15.92,16.18,15.42,1.08M,2.50%
Jan 07  2016,15.57,15.71,16.02,15.55,2.32M,-2.99%
Jan 06  2016,16.05,16.13,16.32,15.97,1.41M,-2.79%
Jan 05  2016,16.51,16.19,16.59,16.12,1.06M,0.06%
Jan 04  2016,16.50,16.81,16.91,16.12,1.32M,-1.20%
Dec 31  2015,16.70,16.62,16.96,16.40,676.76K,0.42%
Dec 30  2015,16.63,16.85,17.09,16.47,533.99K,-1.77%
Dec 29  2015,16.93,17.52,17.83,16.75,538.48K,-2.42%
Dec 24  2015,17.35,17.42,17.67,17.16,536.31K,-0.34%
Dec 23  2015,17.41,16.37,17.50,16.34,1.48M,8.27%
Dec 22  2015,16.08,16.34,16.52,16.03,855.64K,-2.49%
Dec 21  2015,16.49,16.52,16.81,16.14,992.50K,-0.54%
Dec 18  2015,16.58,16.00,16.63,16.00,2.88M,2.35%
Dec 17  2015,16.20,16.03,16.25,15.78,1.18M,0.50%
Dec 16  2015,16.12,16.29,16.45,15.85,2.39M,-1.10%
Dec 15  2015,16.30,15.84,16.31,15.74,1.46M,2.07%
Dec 14  2015,15.97,15.82,16.16,15.39,1.60M,0.13%
Dec 11  2015,15.95,16.35,16.38,15.88,1.23M,-3.97%
Dec 10  2015,16.61,15.90,16.81,15.67,2.52M,2.85%
Dec 09  2015,16.15,16.70,17.38,16.00,1.46M,-2.65%
