Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,11.10,11.02,11.12,10.89,103.22K,0.91%
Apr 18  2016,11.00,10.86,11.02,10.84,58.98K,0.92%
Apr 15  2016,10.90,10.81,10.91,10.67,65.70K,0.09%
Apr 14  2016,10.89,10.80,10.94,10.66,71.92K,1.02%
Apr 13  2016,10.78,10.53,10.84,10.45,164.47K,2.67%
Apr 12  2016,10.50,10.45,10.64,10.41,30.52K,0.77%
Apr 11  2016,10.42,10.37,10.46,10.35,52.07K,0.48%
Apr 08  2016,10.37,10.35,10.50,10.35,42.87K,0.58%
Apr 07  2016,10.31,10.46,10.48,10.14,77.62K,-2.18%
Apr 06  2016,10.54,10.55,10.57,10.36,125.93K,0.19%
Apr 05  2016,10.52,10.61,10.61,10.45,126.97K,-0.85%
Apr 04  2016,10.61,10.97,10.97,10.55,72.16K,-2.75%
Apr 01  2016,10.91,10.61,10.96,10.51,233.40K,3.02%
Mar 31  2016,10.59,10.56,10.73,10.46,88.74K,0.28%
Mar 30  2016,10.56,10.48,10.61,10.43,78.24K,1.44%
Mar 29  2016,10.41,9.97,10.49,9.87,386.88K,4.41%
Mar 28  2016,9.97,10.30,10.30,9.94,43.17K,-3.11%
Mar 24  2016,10.29,9.89,10.42,9.83,378.00K,4.47%
Mar 23  2016,9.85,10.04,10.10,9.83,208.49K,-1.99%
Mar 22  2016,10.05,10.08,10.08,9.94,56.36K,-0.40%
Mar 21  2016,10.09,10.12,10.15,10.02,58.28K,-0.69%
Mar 18  2016,10.16,10.23,10.34,10.00,196.24K,0.10%
Mar 17  2016,10.15,9.79,10.27,9.79,85.33K,3.89%
Mar 16  2016,9.77,9.81,9.90,9.71,160.35K,-0.31%
Mar 15  2016,9.80,10.33,10.33,9.71,340.26K,-5.31%
Mar 14  2016,10.35,10.60,10.65,10.34,146.54K,-2.08%
Mar 11  2016,10.57,10.35,10.60,10.28,113.52K,2.22%
Mar 10  2016,10.34,10.25,10.44,10.15,85.05K,0.88%
Mar 09  2016,10.25,10.50,10.53,10.18,107.27K,-1.82%
Mar 08  2016,10.44,10.56,10.60,10.27,186.76K,-1.42%
Mar 07  2016,10.59,10.27,10.69,10.26,359.38K,2.32%
Mar 04  2016,10.35,9.80,10.38,9.80,297.04K,6.05%
Mar 03  2016,9.76,9.75,10.11,9.63,468.51K,0.10%
Mar 02  2016,9.75,10.21,10.34,9.67,224.46K,-4.22%
Mar 01  2016,10.18,10.01,10.22,9.93,1.04M,2.21%
Feb 29  2016,9.96,9.35,9.97,9.35,335.64K,8.97%
Feb 26  2016,9.14,9.15,9.18,8.94,419.82K,1.11%
Feb 25  2016,9.04,8.70,9.05,8.65,478.93K,3.67%
Feb 24  2016,8.72,8.76,8.76,8.63,309.41K,-0.34%
Feb 23  2016,8.75,8.90,8.90,8.75,82.94K,-2.02%
