Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,6.890,6.890,6.920,6.760,636.40K,1.32%
Apr 18  2016,6.800,6.470,6.870,6.410,912.30K,2.87%
Apr 15  2016,6.610,6.650,6.710,6.590,805.86K,-2.36%
Apr 14  2016,6.770,7.010,7.030,6.650,891.73K,-2.73%
Apr 13  2016,6.960,7.090,7.230,6.960,5.39M,-1.97%
Apr 12  2016,7.100,6.920,7.150,6.715,9.80M,3.35%
Apr 11  2016,6.870,6.840,6.930,6.760,370.95K,1.18%
Apr 08  2016,6.790,6.870,6.930,6.710,325.82K,0.74%
Apr 07  2016,6.740,6.850,6.900,6.720,339.55K,-1.32%
Apr 06  2016,6.830,6.770,6.850,6.690,431.54K,1.34%
Apr 05  2016,6.740,6.630,6.760,6.590,371.74K,1.20%
Apr 04  2016,6.660,6.790,6.890,6.660,504.08K,-1.48%
Apr 01  2016,6.760,7.030,7.090,6.730,521.47K,-5.19%
Mar 31  2016,7.130,7.110,7.150,6.940,749.34K,0.14%
Mar 30  2016,7.120,6.880,7.150,6.860,1.07M,4.55%
Mar 29  2016,6.810,6.780,6.910,6.740,749.64K,-0.73%
Mar 28  2016,6.860,6.820,6.860,6.620,555.70K,0.88%
Mar 24  2016,6.800,6.740,6.900,6.690,231.23K,-0.44%
Mar 23  2016,6.830,6.980,6.990,6.720,544.10K,-2.57%
Mar 22  2016,7.010,7.070,7.150,6.950,313.92K,-0.71%
Mar 21  2016,7.060,7.150,7.210,7.000,402.34K,-1.40%
Mar 18  2016,7.160,7.370,7.390,7.080,1.97M,-2.05%
Mar 17  2016,7.310,7.280,7.390,7.270,863.49K,1.67%
Mar 16  2016,7.190,7.180,7.250,7.050,1.09M,1.27%
Mar 15  2016,7.100,7.180,7.220,7.070,570.30K,-2.07%
Mar 14  2016,7.250,7.300,7.430,7.150,770.65K,-2.03%
Mar 11  2016,7.400,7.450,7.560,7.380,1.22M,0.00%
Mar 10  2016,7.400,7.210,7.425,7.110,1.24M,2.78%
Mar 09  2016,7.200,7.000,7.240,6.965,972.46K,3.00%
Mar 08  2016,6.990,6.730,7.010,6.440,1.74M,5.11%
Mar 07  2016,6.650,6.950,7.000,6.630,2.24M,-2.78%
Mar 04  2016,6.840,7.040,7.060,6.770,749.01K,-1.44%
Mar 03  2016,6.940,6.990,7.190,6.940,794.47K,-1.42%
Mar 02  2016,7.040,6.770,7.070,6.770,891.08K,2.77%
Mar 01  2016,6.850,6.880,6.930,6.785,620.09K,-0.44%
Feb 29  2016,6.880,6.780,6.900,6.700,506.55K,2.23%
Feb 26  2016,6.730,6.990,7.000,6.610,560.38K,-2.18%
Feb 25  2016,6.880,6.920,6.990,6.800,1.03M,-0.58%
Feb 24  2016,6.920,6.900,7.060,6.890,972.31K,-1.14%
Feb 23  2016,7.000,7.220,7.270,6.930,1.61M,-3.58%
Feb 22  2016,7.260,7.310,7.420,7.245,722.84K,0.41%
Feb 19  2016,7.230,7.140,7.350,6.980,1.74M,1.12%
Feb 18  2016,7.150,7.510,7.580,7.060,2.75M,-8.10%
Feb 17  2016,7.780,7.700,7.955,7.620,732.82K,2.50%
Feb 16  2016,7.590,7.720,7.750,7.350,661.69K,1.20%
Feb 12  2016,7.500,7.580,7.680,7.390,587.08K,0.67%
Feb 11  2016,7.450,7.470,7.550,7.220,665.58K,-0.53%
Feb 10  2016,7.490,7.400,7.760,7.340,695.00K,0.40%
Feb 09  2016,7.460,7.900,7.900,7.400,555.38K,-5.93%
Feb 08  2016,7.930,7.610,8.130,7.600,511.51K,2.85%
Feb 05  2016,7.710,7.660,7.870,7.560,552.51K,0.00%
Feb 04  2016,7.710,7.600,7.760,7.420,640.05K,1.58%
Feb 03  2016,7.590,7.500,7.590,7.270,759.04K,2.43%
Feb 02  2016,7.410,7.230,7.460,7.180,649.58K,-1.07%
Feb 01  2016,7.490,7.690,7.690,7.330,599.00K,-2.09%
Jan 29  2016,7.650,7.750,7.870,7.470,833.19K,-0.52%
Jan 28  2016,7.690,7.630,7.710,7.460,408.91K,3.78%
Jan 27  2016,7.410,7.480,7.650,7.310,548.18K,-1.72%
Jan 26  2016,7.540,7.210,7.550,7.120,374.07K,5.75%
Jan 25  2016,7.130,7.240,7.360,7.090,974.42K,-4.17%
Jan 22  2016,7.440,7.570,7.700,7.340,1.59M,2.20%
Jan 21  2016,7.280,7.000,7.500,6.860,1.90M,2.54%
Jan 20  2016,7.100,6.120,7.760,6.100,1.66M,12.52%
Jan 19  2016,6.310,6.650,6.700,6.230,671.12K,-3.22%
Jan 18  2016,6.520,6.830,6.830,6.420,156.48K,-4.96%
Jan 15  2016,6.860,6.550,6.870,6.500,769.20K,1.03%
Jan 14  2016,6.790,6.600,6.850,6.420,574.10K,3.98%
Jan 13  2016,6.530,6.780,6.920,6.490,358.83K,-2.83%
Jan 12  2016,6.720,6.690,6.760,6.440,704.12K,2.28%
Jan 11  2016,6.570,6.740,6.750,6.420,492.87K,-2.95%
Jan 08  2016,6.770,6.710,6.900,6.680,365.63K,1.50%
Jan 07  2016,6.670,6.650,6.800,6.530,562.01K,-0.74%
