Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,17.04,16.99,17.17,16.89,281.04K,0.41%
Apr 18  2016,16.97,16.99,17.03,16.80,74.82K,-0.06%
Apr 15  2016,16.98,16.69,17.00,16.62,199.09K,1.13%
Apr 14  2016,16.79,17.20,17.20,16.60,336.85K,-2.16%
Apr 13  2016,17.16,16.69,17.25,16.65,394.43K,3.50%
Apr 12  2016,16.58,16.71,16.71,16.51,211.89K,-0.72%
Apr 11  2016,16.70,16.35,16.76,16.24,238.95K,2.64%
Apr 08  2016,16.27,16.20,16.30,16.08,230.87K,0.62%
Apr 07  2016,16.17,16.13,16.23,16.13,133.83K,-0.25%
Apr 06  2016,16.21,16.24,16.25,16.11,287.87K,-0.12%
Apr 05  2016,16.23,15.99,16.27,15.99,231.52K,0.62%
Apr 04  2016,16.13,16.19,16.35,16.04,264.92K,0.06%
Apr 01  2016,16.12,16.01,16.21,15.85,234.93K,-0.06%
Mar 31  2016,16.13,16.00,16.13,15.81,314.53K,1.13%
Mar 30  2016,15.95,16.00,16.07,15.84,323.74K,-0.06%
Mar 29  2016,15.96,15.84,16.03,15.75,336.16K,0.63%
Mar 28  2016,15.86,15.80,15.90,15.73,167.57K,0.38%
Mar 24  2016,15.80,15.70,15.83,15.59,355.00K,0.13%
Mar 23  2016,15.78,15.99,16.00,15.68,508.58K,-0.94%
Mar 22  2016,15.93,15.84,16.16,15.77,675.30K,1.27%
Mar 21  2016,15.73,15.80,15.85,15.51,267.28K,-0.25%
Mar 18  2016,15.77,16.27,16.40,15.66,896.75K,-5.17%
Mar 17  2016,16.63,16.19,16.65,16.10,405.33K,3.16%
Mar 16  2016,16.12,16.20,16.45,15.94,519.60K,-0.31%
Mar 15  2016,16.17,15.83,16.23,15.51,592.63K,1.76%
Mar 14  2016,15.89,15.59,15.97,15.54,415.49K,2.06%
Mar 11  2016,15.57,15.46,15.70,15.37,293.49K,1.63%
Mar 10  2016,15.32,14.97,15.36,14.77,512.95K,2.96%
Mar 09  2016,14.88,14.75,15.08,14.74,509.67K,0.88%
Mar 08  2016,14.75,14.98,15.00,14.63,441.47K,-1.73%
Mar 07  2016,15.01,15.10,15.34,14.90,448.69K,-0.53%
Mar 04  2016,15.09,15.45,15.52,15.05,345.28K,-1.69%
Mar 03  2016,15.35,15.50,15.99,15.01,631.80K,-0.84%
Mar 02  2016,15.48,14.65,15.53,14.65,952.25K,7.57%
Mar 01  2016,14.39,14.10,14.45,14.06,415.48K,3.15%
Feb 29  2016,13.95,14.47,14.47,13.79,479.71K,-4.91%
Feb 26  2016,14.67,14.67,14.98,14.64,215.47K,1.17%
Feb 25  2016,14.50,14.39,14.62,14.35,86.37K,0.90%
Feb 24  2016,14.37,14.47,14.66,14.35,175.67K,-1.44%
Feb 23  2016,14.58,14.40,14.71,14.31,176.71K,1.18%
Feb 22  2016,14.41,14.74,14.76,14.28,197.96K,-1.50%
Feb 19  2016,14.63,14.75,14.75,14.54,113.44K,-0.81%
Feb 18  2016,14.75,14.88,14.90,14.56,224.87K,0.20%
Feb 17  2016,14.72,14.34,14.77,14.32,271.15K,3.66%
Feb 16  2016,14.20,13.82,14.20,13.78,201.80K,4.26%
Feb 12  2016,13.62,13.78,14.06,13.50,297.73K,-0.07%
Feb 11  2016,13.63,13.80,13.89,13.33,192.17K,-2.57%
Feb 10  2016,13.99,14.06,14.31,13.96,140.73K,-0.07%
Feb 09  2016,14.00,13.90,14.08,13.78,96.32K,-0.28%
Feb 08  2016,14.04,14.20,14.20,13.80,117.85K,-1.61%
Feb 05  2016,14.27,14.30,14.30,14.11,151.24K,-0.14%
Feb 04  2016,14.29,13.81,14.34,13.81,189.17K,3.25%
Feb 03  2016,13.84,13.96,13.96,13.65,127.61K,0.00%
