Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,52.56,52.68,52.86,52.02,884.25K,2.46%
Apr 18  2016,51.30,51.99,52.09,50.60,625.05K,-1.23%
Apr 15  2016,51.94,51.01,52.05,50.53,600.67K,2.18%
Apr 14  2016,50.83,51.69,52.08,49.94,745.89K,-1.95%
Apr 13  2016,51.84,51.99,52.69,51.41,998.67K,-1.07%
Apr 12  2016,52.40,52.50,53.06,51.65,907.80K,0.11%
Apr 11  2016,52.34,50.62,52.62,50.56,899.15K,4.53%
Apr 08  2016,50.07,49.10,50.58,49.10,519.40K,0.62%
Apr 07  2016,49.76,48.75,50.61,48.67,950.54K,4.01%
Apr 06  2016,47.84,47.70,47.93,47.28,629.30K,-0.25%
Apr 05  2016,47.96,47.98,48.09,47.05,656.41K,2.52%
Apr 04  2016,46.78,47.59,47.77,46.52,513.64K,-1.62%
Apr 01  2016,47.55,45.97,47.55,45.97,647.03K,1.19%
Mar 31  2016,46.99,47.94,48.12,46.73,753.13K,-1.41%
Mar 30  2016,47.66,48.49,48.53,46.77,793.29K,-2.20%
Mar 29  2016,48.73,47.83,49.19,47.23,674.31K,2.48%
Mar 28  2016,47.55,47.46,47.66,46.19,697.92K,-0.56%
Mar 24  2016,47.82,47.10,48.13,46.98,644.84K,2.07%
Mar 23  2016,46.85,47.88,48.45,46.52,887.67K,-4.11%
Mar 22  2016,48.86,50.16,50.62,48.52,934.62K,-1.83%
Mar 21  2016,49.77,49.41,50.19,48.92,622.19K,0.53%
Mar 18  2016,49.51,48.86,50.38,48.70,1.41M,0.32%
Mar 17  2016,49.35,50.00,51.25,49.22,1.51M,-0.48%
Mar 16  2016,49.59,47.54,49.73,46.54,1.04M,3.66%
Mar 15  2016,47.84,46.38,47.98,46.03,931.30K,2.77%
Mar 14  2016,46.55,47.56,47.99,46.42,849.46K,-1.50%
Mar 11  2016,47.26,48.11,48.76,47.02,1.04M,-2.54%
Mar 10  2016,48.49,46.02,48.78,45.76,1.82M,6.67%
Mar 09  2016,45.46,44.92,45.79,44.07,1.33M,-0.63%
Mar 08  2016,45.75,47.39,47.66,45.38,1.03M,-2.20%
Mar 07  2016,46.78,46.59,47.42,45.99,1.43M,2.43%
Mar 04  2016,45.67,46.66,48.49,45.40,1.71M,-0.80%
Mar 03  2016,46.04,45.74,46.63,45.43,1.27M,1.16%
Mar 02  2016,45.51,45.16,45.86,44.55,1.64M,1.45%
Mar 01  2016,44.86,47.66,47.70,44.76,1.59M,-5.78%
Feb 29  2016,47.61,47.12,47.90,46.76,1.53M,1.90%
Feb 26  2016,46.72,47.05,48.14,46.43,1.32M,-3.09%
Feb 25  2016,48.21,47.62,48.90,47.25,870.43K,0.00%
Feb 24  2016,48.21,49.71,51.49,47.80,1.92M,-0.66%
Feb 23  2016,48.53,48.43,49.05,47.74,825.16K,2.28%
Feb 22  2016,47.45,46.57,47.98,46.40,899.94K,-0.36%
Feb 19  2016,47.62,48.33,49.13,47.58,1.08M,-1.20%
Feb 18  2016,48.20,46.07,48.39,45.84,1.46M,3.75%
Feb 17  2016,46.46,47.16,47.25,45.63,1.28M,-2.00%
Feb 16  2016,47.41,47.56,48.49,46.70,1.43M,-4.03%
Feb 12  2016,49.40,48.74,49.67,47.46,763.74K,0.73%
Feb 11  2016,49.04,49.40,51.04,48.62,2.27M,5.53%
Feb 10  2016,46.47,45.51,46.98,44.22,1.18M,1.22%
Feb 09  2016,45.91,47.86,48.15,45.46,1.30M,-2.82%
Feb 08  2016,47.24,47.40,49.47,47.22,1.72M,1.48%
Feb 05  2016,46.55,43.60,46.66,43.58,846.13K,3.44%
