Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,110.27,107.66,110.27,107.21,464.08K,2.72%
Apr 18  2016,107.35,107.57,108.01,107.05,225.71K,-0.06%
Apr 15  2016,107.41,106.67,107.75,104.70,491.68K,0.36%
Apr 14  2016,107.02,112.71,112.71,106.50,629.77K,-5.28%
Apr 13  2016,112.98,114.71,115.07,112.51,292.84K,-0.85%
Apr 12  2016,113.95,113.84,114.06,112.89,306.44K,0.33%
Apr 11  2016,113.57,113.01,114.01,112.37,385.07K,-0.35%
Apr 08  2016,113.97,113.96,114.73,113.59,353.08K,0.56%
Apr 07  2016,113.34,113.04,113.41,112.21,293.31K,-0.06%
Apr 06  2016,113.41,112.81,113.41,111.39,272.73K,0.55%
Apr 05  2016,112.79,113.52,114.55,112.72,352.74K,-0.85%
Apr 04  2016,113.76,115.50,115.53,113.13,235.70K,-1.28%
Apr 01  2016,115.23,114.85,115.47,113.55,283.72K,0.49%
Mar 31  2016,114.67,116.35,117.28,114.14,427.45K,-2.12%
Mar 30  2016,117.15,116.84,117.25,116.27,219.84K,0.58%
Mar 29  2016,116.47,117.39,117.39,115.47,263.11K,-1.82%
Mar 28  2016,118.63,118.61,118.66,117.03,241.81K,0.05%
Mar 24  2016,118.57,120.02,120.02,118.08,209.03K,-1.25%
Mar 23  2016,120.07,119.62,120.49,118.33,466.52K,1.15%
Mar 22  2016,118.70,120.25,120.37,118.43,329.67K,-1.56%
Mar 21  2016,120.58,120.31,121.45,119.67,259.15K,0.37%
Mar 18  2016,120.14,118.33,120.14,118.33,1.80M,1.04%
Mar 17  2016,118.90,118.00,119.30,117.32,368.13K,0.63%
Mar 16  2016,118.16,119.38,120.27,118.10,348.17K,-0.91%
Mar 15  2016,119.24,119.68,119.99,118.36,445.90K,-0.11%
Mar 14  2016,119.37,118.65,120.37,117.80,536.08K,1.19%
Mar 11  2016,117.97,117.76,118.39,117.00,385.02K,0.70%
Mar 10  2016,117.15,117.48,117.78,115.40,226.01K,0.20%
Mar 09  2016,116.92,117.66,118.49,116.73,299.12K,-0.26%
Mar 08  2016,117.22,116.92,118.13,116.40,303.06K,0.26%
Mar 07  2016,116.92,114.69,117.58,114.68,557.78K,1.71%
Mar 04  2016,114.95,118.11,118.44,114.61,450.19K,-2.68%
Mar 03  2016,118.11,117.67,118.36,116.80,289.32K,0.72%
Mar 02  2016,117.27,117.51,118.02,116.43,397.47K,-0.65%
Mar 01  2016,118.04,118.23,118.46,116.42,332.43K,1.31%
Feb 29  2016,116.51,117.08,117.21,115.64,511.33K,-0.41%
Feb 26  2016,116.99,114.84,118.11,114.64,258.99K,2.46%
Feb 25  2016,114.18,112.96,114.56,112.61,414.91K,1.33%
Feb 24  2016,112.68,112.10,112.96,111.36,313.24K,-0.19%
Feb 23  2016,112.89,113.14,113.28,111.23,351.00K,-0.40%
Feb 22  2016,113.34,113.42,114.53,112.97,284.33K,0.35%
Feb 19  2016,112.95,115.60,115.99,112.82,377.95K,-2.70%
Feb 18  2016,116.09,116.38,116.81,115.01,300.07K,0.11%
Feb 17  2016,115.96,116.10,117.69,115.36,668.24K,0.59%
Feb 16  2016,115.28,115.91,115.91,113.01,332.71K,0.80%
Feb 12  2016,114.37,114.07,115.03,112.84,452.37K,0.18%
Feb 11  2016,114.16,112.28,115.26,112.20,314.23K,-0.23%
Feb 10  2016,114.42,116.39,117.29,113.71,313.36K,-1.62%
Feb 09  2016,116.31,114.50,117.41,110.89,516.04K,-0.62%
Feb 08  2016,117.03,118.61,119.46,116.80,294.87K,-2.34%
Feb 05  2016,119.84,120.33,120.33,117.95,326.31K,-0.04%
Feb 04  2016,119.89,118.60,120.18,117.53,553.19K,1.14%
Feb 03  2016,118.54,117.01,118.95,115.23,393.50K,1.36%
Feb 02  2016,116.95,118.32,119.00,116.40,492.45K,-1.92%
Feb 01  2016,119.24,122.41,122.41,118.75,343.84K,-2.52%
Jan 29  2016,122.32,122.13,122.32,119.64,667.13K,0.20%
Jan 28  2016,122.07,119.50,122.36,119.15,431.07K,1.35%
Jan 27  2016,120.44,120.40,122.03,118.77,379.81K,-0.26%
Jan 26  2016,120.75,121.31,122.36,119.65,383.40K,-0.13%
Jan 25  2016,120.91,124.46,124.46,120.67,295.78K,-2.74%
Jan 22  2016,124.32,125.21,126.22,123.40,334.52K,0.65%
Jan 21  2016,123.52,125.22,125.24,122.60,278.64K,-1.46%
Jan 20  2016,125.35,123.47,126.53,121.57,456.96K,0.40%
Jan 19  2016,124.85,122.50,125.65,122.49,473.40K,3.25%
Jan 18  2016,120.92,123.45,123.89,119.88,129.96K,-2.36%
Jan 15  2016,123.84,117.34,124.00,117.34,374.35K,0.00%
Jan 14  2016,123.84,119.71,124.41,118.49,495.29K,3.53%
Jan 13  2016,119.62,120.22,120.56,119.18,273.30K,0.12%
Jan 12  2016,119.48,117.07,119.82,117.00,376.63K,2.53%
Jan 11  2016,116.53,117.68,118.11,115.17,304.56K,-0.54%
Jan 08  2016,117.16,118.98,118.98,116.81,252.19K,-0.87%
Jan 07  2016,118.19,118.58,120.56,117.88,458.97K,-2.14%
Jan 06  2016,120.77,122.46,124.29,120.08,498.60K,-2.18%
Jan 05  2016,123.46,124.09,124.40,122.22,236.27K,-0.47%
Jan 04  2016,124.04,122.13,124.13,120.93,253.69K,0.30%
Dec 31  2015,123.67,124.85,125.18,123.15,186.98K,-1.36%
Dec 30  2015,125.38,126.44,127.54,125.08,152.38K,-0.78%
Dec 29  2015,126.36,128.04,128.07,125.18,170.72K,-1.48%
Dec 24  2015,128.26,128.63,128.94,127.00,121.29K,-0.54%
Dec 23  2015,128.96,127.60,128.98,126.15,291.96K,1.82%
Dec 22  2015,126.66,124.73,127.65,124.20,351.76K,1.56%
Dec 21  2015,124.72,129.51,129.61,123.94,497.81K,-3.61%
Dec 18  2015,129.39,127.38,129.78,127.37,1.53M,0.56%
Dec 17  2015,128.67,130.65,131.47,128.50,318.24K,-1.24%
Dec 16  2015,130.28,129.23,130.56,127.31,392.32K,1.43%
Dec 15  2015,128.44,128.23,130.17,127.14,356.20K,0.55%
Dec 14  2015,127.74,128.59,129.41,127.32,497.53K,-1.18%
Dec 11  2015,129.27,129.02,131.71,128.45,312.68K,-1.32%
Dec 10  2015,131.00,130.53,132.74,130.30,369.10K,0.21%
Dec 09  2015,130.72,129.96,131.93,129.79,347.86K,0.11%
Dec 08  2015,130.57,130.89,132.14,129.90,342.36K,-1.02%
Dec 07  2015,131.92,131.93,132.21,129.78,302.02K,-0.29%
Dec 04  2015,132.30,130.54,132.48,129.69,1.01M,1.35%
Dec 03  2015,130.54,131.63,132.78,129.78,246.49K,-0.60%
Dec 02  2015,131.33,132.59,133.25,131.18,387.24K,-0.61%
Dec 01  2015,132.14,132.00,132.98,131.61,345.30K,0.23%
Nov 30  2015,131.84,128.81,132.41,128.60,390.20K,2.79%
Nov 27  2015,128.26,129.99,130.47,128.22,148.88K,-1.10%
Nov 26  2015,129.69,129.99,131.09,128.29,42.87K,0.43%
Nov 25  2015,129.13,130.29,130.78,129.00,216.41K,-0.48%
Nov 24  2015,129.75,128.00,130.41,127.25,362.79K,1.11%
Nov 23  2015,128.33,126.62,129.80,126.60,255.86K,1.29%
Nov 20  2015,126.69,126.82,127.02,125.24,309.43K,0.44%
Nov 19  2015,126.14,125.54,127.27,125.20,205.17K,0.11%
Nov 18  2015,126.00,125.98,127.39,125.50,417.29K,0.25%
Nov 17  2015,125.69,126.93,127.50,124.73,419.53K,-0.77%
Nov 16  2015,126.67,126.07,127.24,125.39,376.07K,0.70%
Nov 13  2015,125.79,124.90,126.31,123.66,395.82K,0.66%
Nov 12  2015,124.96,125.10,125.96,124.01,385.97K,-0.81%
Nov 11  2015,125.98,126.94,127.00,124.96,239.57K,-0.73%
Nov 10  2015,126.91,129.33,130.00,126.35,280.70K,-2.23%
Nov 09  2015,129.81,128.54,130.37,128.26,493.73K,0.86%
Nov 06  2015,128.70,126.93,129.11,125.32,559.13K,1.47%
Nov 05  2015,126.83,127.52,131.54,125.14,618.66K,1.19%
Nov 04  2015,125.34,126.14,127.50,125.15,320.57K,-0.36%
Nov 03  2015,125.79,122.71,126.87,122.71,273.23K,1.96%
Nov 02  2015,123.37,121.59,123.59,121.59,464.20K,1.41%
Oct 30  2015,121.65,124.59,125.00,121.32,489.61K,-2.48%
Oct 29  2015,124.75,124.89,125.12,122.96,275.57K,-0.20%
Oct 28  2015,125.00,123.97,126.60,123.48,330.42K,0.88%
Oct 27  2015,123.91,125.53,125.61,123.00,469.04K,-1.35%
Oct 26  2015,125.60,127.02,127.89,125.60,259.60K,-0.86%
Oct 23  2015,126.69,125.39,127.56,125.39,331.69K,1.85%
Oct 22  2015,124.39,121.52,124.66,120.50,456.83K,2.03%
Oct 21  2015,121.91,122.54,123.83,120.97,407.76K,-0.77%
Oct 20  2015,122.85,123.94,124.55,122.31,265.42K,-0.51%
Oct 19  2015,123.48,122.49,123.78,121.58,193.63K,0.63%
Oct 16  2015,122.71,124.37,124.49,122.71,246.08K,-1.37%
Oct 15  2015,124.42,126.30,126.67,124.37,260.65K,-0.89%
Oct 14  2015,125.54,123.31,126.14,123.31,367.02K,1.51%
Oct 13  2015,123.67,124.05,125.17,122.18,405.13K,-0.19%
Oct 09  2015,123.91,124.47,125.77,123.68,301.58K,-0.38%
Oct 08  2015,124.38,124.10,125.36,123.67,295.57K,0.16%
Oct 07  2015,124.18,122.52,125.25,121.52,391.09K,2.12%
Oct 06  2015,121.60,120.70,121.88,119.85,425.47K,1.28%
Oct 05  2015,120.06,119.48,121.73,119.35,540.67K,1.43%
Oct 02  2015,118.37,115.69,118.53,114.87,494.96K,1.67%
Oct 01  2015,116.42,119.76,119.85,115.38,753.20K,-2.66%
Sep 30  2015,119.60,119.33,120.24,117.49,378.28K,0.97%
Sep 29  2015,118.45,117.25,119.04,117.23,661.86K,1.14%
Sep 28  2015,117.11,120.19,120.19,115.73,841.65K,-3.64%
Sep 25  2015,121.54,124.28,124.29,121.48,615.23K,-1.20%
Sep 24  2015,123.02,122.72,124.22,119.43,777.32K,-0.15%
Sep 23  2015,123.21,127.05,127.05,122.99,447.10K,-2.49%
Sep 22  2015,126.36,129.05,129.05,122.29,720.15K,-3.22%
Sep 21  2015,130.56,132.53,132.53,128.89,393.99K,-0.84%
Sep 18  2015,131.66,132.50,132.83,130.27,1.26M,-2.22%
Sep 17  2015,134.65,138.37,138.45,134.35,347.14K,-2.55%
Sep 16  2015,138.17,136.77,139.10,136.77,293.27K,1.06%
