Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,8.11,7.99,8.12,7.96,912.38K,1.25%
Apr 18  2016,8.01,7.91,8.08,7.91,170.84K,0.75%
Apr 15  2016,7.95,7.89,8.02,7.79,207.00K,0.51%
Apr 14  2016,7.91,8.01,8.06,7.89,229.25K,-1.00%
Apr 13  2016,7.99,7.95,8.12,7.92,402.20K,0.76%
Apr 12  2016,7.93,7.99,8.00,7.91,308.87K,-0.25%
Apr 11  2016,7.95,8.00,8.00,7.90,173.25K,0.00%
Apr 08  2016,7.95,8.00,8.02,7.90,201.85K,0.38%
Apr 07  2016,7.92,7.83,8.04,7.76,247.78K,1.41%
Apr 06  2016,7.81,7.88,7.91,7.78,440.35K,-0.26%
Apr 05  2016,7.83,7.86,7.90,7.81,143.58K,-0.89%
Apr 04  2016,7.90,7.97,7.99,7.88,374.25K,-0.75%
Apr 01  2016,7.96,8.37,8.45,7.95,467.18K,-5.80%
Mar 31  2016,8.45,8.47,8.54,8.41,335.65K,-0.24%
Mar 30  2016,8.47,8.55,8.63,8.46,178.29K,-0.35%
Mar 29  2016,8.50,8.52,8.55,8.36,293.87K,-0.58%
Mar 28  2016,8.55,8.55,8.61,8.49,100.76K,0.71%
Mar 24  2016,8.49,8.82,8.83,8.43,247.22K,-3.52%
Mar 23  2016,8.80,8.92,9.05,8.78,357.27K,-2.11%
Mar 22  2016,8.99,8.96,9.09,8.86,244.27K,0.56%
Mar 21  2016,8.94,8.94,8.97,8.87,227.86K,0.34%
Mar 18  2016,8.91,8.88,8.96,8.82,701.20K,0.34%
Mar 17  2016,8.88,8.68,8.89,8.62,240.64K,2.90%
Mar 16  2016,8.63,8.75,8.86,8.62,303.28K,-1.03%
Mar 15  2016,8.72,8.95,8.95,8.65,245.67K,-2.57%
Mar 14  2016,8.95,8.79,8.98,8.71,271.14K,2.29%
Mar 11  2016,8.75,8.68,8.82,8.63,236.72K,2.10%
Mar 10  2016,8.57,8.68,8.70,8.49,235.04K,-0.46%
Mar 09  2016,8.61,8.64,8.76,8.52,407.56K,0.23%
Mar 08  2016,8.59,8.96,9.04,8.56,384.61K,-4.02%
Mar 07  2016,8.95,8.76,9.19,8.75,321.36K,2.17%
Mar 04  2016,8.76,8.72,8.88,8.49,352.81K,1.04%
Mar 03  2016,8.67,8.75,8.92,8.65,216.02K,-0.91%
Mar 02  2016,8.75,8.84,8.84,8.54,247.36K,-1.57%
Mar 01  2016,8.89,8.50,8.89,8.45,443.86K,5.58%
Feb 29  2016,8.42,8.90,8.90,8.29,348.34K,-4.43%
Feb 26  2016,8.81,8.64,8.89,8.52,472.22K,1.03%
Feb 25  2016,8.72,8.24,8.80,8.06,497.20K,8.19%
Feb 24  2016,8.06,8.14,8.14,7.94,196.81K,-0.37%
Feb 23  2016,8.09,8.04,8.18,8.01,114.49K,0.00%
Feb 22  2016,8.09,8.13,8.15,7.95,344.04K,1.00%
Feb 19  2016,8.01,7.91,8.10,7.87,230.70K,0.13%
Feb 18  2016,8.00,8.06,8.15,7.95,360.17K,-1.23%
Feb 17  2016,8.10,7.83,8.24,7.83,349.33K,3.58%
Feb 16  2016,7.82,7.59,7.84,7.59,440.00K,4.41%
Feb 12  2016,7.49,7.51,7.65,7.39,391.38K,-0.13%
Feb 11  2016,7.50,7.55,7.58,7.44,240.81K,-2.09%
Feb 10  2016,7.66,7.74,7.85,7.60,496.15K,-1.92%
Feb 09  2016,7.81,7.87,7.99,7.76,425.00K,-0.76%
Feb 08  2016,7.87,8.09,8.09,7.73,195.14K,-3.08%
Feb 05  2016,8.12,8.16,8.21,8.02,218.67K,-0.49%
Feb 04  2016,8.16,8.07,8.22,8.05,334.29K,2.26%
Feb 03  2016,7.98,8.69,8.69,7.91,805.53K,-7.21%
Feb 02  2016,8.60,8.85,8.97,8.48,764.29K,-3.59%
Feb 01  2016,8.92,9.26,9.37,8.82,738.66K,-4.70%
Jan 29  2016,9.36,9.20,9.51,9.20,5.67M,1.85%
Jan 28  2016,9.19,8.93,9.31,8.93,737.23K,3.14%
