Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,8.780,8.910,8.920,8.680,1.50M,-0.45%
Apr 18  2016,8.820,8.530,8.900,8.530,936.94K,1.85%
Apr 15  2016,8.660,8.600,8.770,8.500,875.26K,0.46%
Apr 14  2016,8.620,8.380,8.690,8.300,1.44M,3.23%
Apr 13  2016,8.350,8.170,8.390,8.160,1.90M,2.58%
Apr 12  2016,8.140,8.270,8.270,8.080,939.98K,-1.21%
Apr 11  2016,8.240,8.390,8.390,8.180,835.77K,-1.08%
Apr 08  2016,8.330,8.310,8.350,8.150,1.17M,2.46%
Apr 07  2016,8.130,8.180,8.200,8.050,1.07M,-1.57%
Apr 06  2016,8.260,8.260,8.320,8.060,1.93M,0.49%
Apr 05  2016,8.220,8.390,8.445,8.160,1.29M,-2.95%
Apr 04  2016,8.470,8.850,8.870,8.410,1.23M,-4.29%
Apr 01  2016,8.850,8.870,8.930,8.720,1.48M,-1.23%
Mar 31  2016,8.960,8.830,8.980,8.810,2.32M,1.24%
Mar 30  2016,8.850,8.940,8.960,8.820,997.75K,0.68%
Mar 29  2016,8.790,8.570,8.820,8.500,2.15M,2.57%
Mar 28  2016,8.570,8.580,8.720,8.530,813.22K,0.35%
Mar 24  2016,8.540,8.530,8.730,8.430,1.09M,-1.50%
Mar 23  2016,8.670,8.950,9.020,8.660,1.15M,-3.13%
Mar 22  2016,8.950,8.950,9.070,8.820,1.50M,-2.29%
Mar 21  2016,9.160,9.080,9.220,9.070,1.31M,1.33%
Mar 18  2016,9.040,9.070,9.390,8.910,2.39M,0.00%
Mar 17  2016,9.040,8.660,9.090,8.560,1.72M,5.61%
Mar 16  2016,8.560,8.510,8.630,8.480,1.07M,0.12%
Mar 15  2016,8.550,8.450,8.610,8.300,1.50M,0.71%
Mar 14  2016,8.490,8.310,8.550,8.300,1.07M,1.31%
Mar 11  2016,8.380,8.390,8.470,8.270,1.80M,1.45%
Mar 10  2016,8.260,8.310,8.350,7.880,2.05M,-0.12%
Mar 09  2016,8.270,8.180,8.370,8.100,2.62M,2.86%
Mar 08  2016,8.040,8.680,8.700,8.000,4.40M,-7.05%
Mar 07  2016,8.650,8.380,8.770,8.350,2.72M,4.09%
Mar 04  2016,8.310,8.160,8.450,8.030,2.58M,3.36%
Mar 03  2016,8.040,7.680,8.110,7.680,7.26M,5.37%
Mar 02  2016,7.630,7.250,7.710,7.190,7.70M,5.24%
Mar 01  2016,7.250,7.300,7.300,7.180,5.43M,0.42%
Feb 29  2016,7.220,7.320,7.320,7.170,4.49M,-0.96%
Feb 26  2016,7.290,7.330,7.380,7.250,3.24M,0.41%
Feb 25  2016,7.260,7.160,7.290,7.080,2.08M,1.54%
Feb 24  2016,7.150,7.200,7.220,7.060,3.81M,-1.11%
Feb 23  2016,7.230,7.250,7.310,7.140,1.95M,-0.28%
Feb 22  2016,7.250,7.420,7.420,7.240,2.28M,0.83%
Feb 19  2016,7.190,7.090,7.350,7.000,2.75M,1.70%
Feb 18  2016,7.070,7.560,7.560,7.010,4.46M,-4.33%
Feb 17  2016,7.390,7.950,7.950,7.300,5.21M,-12.13%
Feb 16  2016,8.410,7.650,8.440,7.650,3.41M,12.13%
Feb 12  2016,7.500,7.400,7.570,7.320,1.01M,2.32%
Feb 11  2016,7.330,7.230,7.350,7.130,1.36M,-1.48%
Feb 10  2016,7.440,7.330,7.550,7.310,1.34M,1.50%
Feb 09  2016,7.330,7.300,7.450,7.150,1.65M,-1.48%
Feb 08  2016,7.440,7.600,7.600,7.220,1.79M,-3.50%
Feb 05  2016,7.710,7.750,7.880,7.570,1.42M,0.52%
Feb 04  2016,7.670,7.110,7.700,7.020,2.16M,8.33%
Feb 03  2016,7.080,7.190,7.260,6.810,2.35M,-0.28%
Feb 02  2016,7.100,7.400,7.400,7.050,1.77M,-6.58%
Feb 01  2016,7.600,7.700,7.700,7.520,1.56M,-3.18%
Jan 29  2016,7.850,7.720,7.900,7.560,1.54M,1.42%
Jan 28  2016,7.740,7.930,8.000,7.700,2.30M,-1.02%
Jan 27  2016,7.820,7.840,8.000,7.700,1.45M,0.64%
Jan 26  2016,7.770,7.510,7.945,7.460,1.23M,2.78%
Jan 25  2016,7.560,8.100,8.100,7.530,885.05K,-4.42%
Jan 22  2016,7.910,8.050,8.110,7.840,2.25M,2.46%
Jan 21  2016,7.720,7.670,7.940,7.530,2.58M,0.78%
Jan 20  2016,7.660,7.020,7.750,6.985,3.41M,4.93%
Jan 19  2016,7.300,7.520,7.730,7.250,2.81M,-0.68%
Jan 18  2016,7.350,7.570,7.750,7.310,2.11M,-5.65%
Jan 15  2016,7.790,7.760,8.050,7.690,3.17M,-4.53%
Jan 14  2016,8.160,8.530,8.590,8.000,5.57M,-8.52%
Jan 13  2016,8.920,9.030,9.140,8.860,2.37M,-1.22%
Jan 12  2016,9.030,9.240,9.320,8.730,2.37M,-1.63%
Jan 11  2016,9.180,9.300,9.350,9.050,1.80M,-0.76%
Jan 08  2016,9.250,9.420,9.450,9.150,1.02M,0.11%
Jan 07  2016,9.240,9.450,9.450,9.030,4.04M,-4.74%
Jan 06  2016,9.700,9.870,9.990,9.690,1.22M,-2.61%
Jan 05  2016,9.960,10.020,10.050,9.900,744.43K,0.10%
Jan 04  2016,9.950,10.100,10.100,9.800,1.62M,-2.55%
Dec 31  2015,10.210,10.200,10.220,10.110,440.69K,-0.10%
Dec 30  2015,10.220,10.170,10.270,10.070,468.50K,0.29%
Dec 29  2015,10.190,10.200,10.270,10.140,449.19K,-0.78%
