Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,2.79,2.74,2.80,2.71,948.43K,3.72%
Apr 18  2016,2.69,2.76,2.76,2.63,824.48K,-1.47%
Apr 15  2016,2.73,2.69,2.77,2.67,751.33K,3.41%
Apr 14  2016,2.64,2.70,2.73,2.61,536.38K,-0.75%
Apr 13  2016,2.66,2.72,2.80,2.65,1.14M,-3.27%
Apr 12  2016,2.75,2.80,2.80,2.72,814.03K,-1.79%
Apr 11  2016,2.80,2.75,2.82,2.70,3.34M,4.48%
Apr 08  2016,2.68,2.54,2.70,2.49,1.68M,5.51%
Apr 07  2016,2.54,2.56,2.56,2.49,818.53K,2.01%
Apr 06  2016,2.49,2.40,2.50,2.40,854.01K,3.32%
Apr 05  2016,2.41,2.49,2.49,2.36,781.00K,-2.03%
Apr 04  2016,2.46,2.41,2.48,2.41,522.16K,-0.81%
Apr 01  2016,2.48,2.33,2.48,2.30,1.05M,5.53%
Mar 31  2016,2.35,2.44,2.44,2.35,728.16K,-3.69%
Mar 30  2016,2.44,2.40,2.45,2.37,1.54M,0.83%
Mar 29  2016,2.42,2.43,2.46,2.37,1.52M,0.41%
Mar 28  2016,2.41,2.45,2.49,2.41,472.71K,-0.82%
Mar 24  2016,2.43,2.50,2.52,2.42,780.67K,-2.41%
Mar 23  2016,2.49,2.58,2.62,2.49,947.55K,-5.32%
Mar 22  2016,2.63,2.65,2.68,2.59,916.13K,0.38%
Mar 21  2016,2.62,2.68,2.69,2.61,827.79K,-2.60%
Mar 18  2016,2.69,2.68,2.77,2.66,4.39M,1.13%
Mar 17  2016,2.66,2.80,2.86,2.65,1.75M,-4.66%
Mar 16  2016,2.79,2.65,2.82,2.63,3.77M,5.68%
Mar 15  2016,2.64,2.61,2.71,2.60,1.04M,1.93%
Mar 14  2016,2.59,2.65,2.74,2.57,1.35M,-0.77%
Mar 11  2016,2.61,2.70,2.76,2.60,929.09K,-3.33%
Mar 10  2016,2.70,2.63,2.76,2.63,1.07M,2.66%
Mar 09  2016,2.63,2.64,2.65,2.56,925.73K,-2.59%
Mar 08  2016,2.70,2.79,2.85,2.69,687.71K,-3.23%
Mar 07  2016,2.79,2.75,2.87,2.73,1.02M,2.20%
Mar 04  2016,2.73,2.75,2.97,2.72,1.59M,-0.36%
Mar 03  2016,2.74,2.75,2.77,2.72,2.01M,-0.36%
Mar 02  2016,2.75,2.67,2.75,2.67,773.60K,2.23%
Mar 01  2016,2.69,2.72,2.75,2.65,1.22M,-0.74%
Feb 29  2016,2.71,2.69,2.71,2.68,734.72K,1.50%
Feb 26  2016,2.67,2.64,2.77,2.63,670.89K,-1.48%
Feb 25  2016,2.71,2.66,2.74,2.62,594.52K,1.88%
Feb 24  2016,2.66,2.74,2.81,2.60,1.93M,-1.12%
Feb 23  2016,2.69,2.69,2.74,2.68,1.24M,0.00%
Feb 22  2016,2.69,2.56,2.71,2.54,672.91K,2.67%
Feb 19  2016,2.62,2.68,2.71,2.60,802.86K,-2.24%
Feb 18  2016,2.68,2.63,2.72,2.62,2.04M,2.29%
Feb 17  2016,2.62,2.69,2.69,2.50,794.24K,-2.24%
Feb 16  2016,2.68,2.63,2.70,2.61,1.20M,-0.74%
Feb 12  2016,2.70,2.57,2.71,2.56,1.34M,5.06%
Feb 11  2016,2.57,2.67,2.69,2.50,1.77M,4.90%
Feb 10  2016,2.45,2.49,2.58,2.37,1.38M,-2.78%
Feb 09  2016,2.52,2.63,2.68,2.51,999.59K,-5.97%
