Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,8.13,8.18,8.20,7.97,1.35M,2.26%
Apr 18  2016,7.95,8.15,8.15,7.91,653.83K,0.13%
Apr 15  2016,7.94,7.58,8.00,7.51,643.18K,5.17%
Apr 14  2016,7.55,7.74,7.89,7.37,1.44M,-3.70%
Apr 13  2016,7.84,7.89,8.12,7.75,834.49K,-1.75%
Apr 12  2016,7.98,8.29,8.30,7.91,935.68K,-3.51%
Apr 11  2016,8.27,8.11,8.27,8.01,1.21M,2.99%
Apr 08  2016,8.03,7.56,8.03,7.55,851.30K,6.22%
Apr 07  2016,7.56,7.41,7.68,7.34,1.14M,5.00%
Apr 06  2016,7.20,6.93,7.20,6.89,703.19K,2.13%
Apr 05  2016,7.05,7.00,7.16,6.86,706.54K,3.83%
Apr 04  2016,6.79,7.20,7.25,6.75,680.19K,-6.34%
Apr 01  2016,7.25,6.78,7.29,6.67,962.35K,5.38%
Mar 31  2016,6.88,6.86,6.97,6.80,715.39K,1.33%
Mar 30  2016,6.79,6.86,6.95,6.60,924.16K,-2.30%
Mar 29  2016,6.95,6.64,6.96,6.53,1.02M,5.62%
Mar 28  2016,6.58,6.78,6.82,6.41,427.11K,-1.94%
Mar 24  2016,6.71,6.57,6.80,6.55,560.05K,2.60%
Mar 23  2016,6.54,6.85,6.97,6.54,1.03M,-7.10%
Mar 22  2016,7.04,7.15,7.22,6.94,645.13K,0.28%
Mar 21  2016,7.02,7.00,7.32,6.90,823.95K,-1.96%
Mar 18  2016,7.16,7.00,7.28,6.83,1.70M,2.87%
Mar 17  2016,6.96,7.20,7.35,6.90,1.60M,0.58%
Mar 16  2016,6.92,6.64,6.98,6.36,1.12M,4.37%
Mar 15  2016,6.63,6.40,6.65,6.30,694.88K,1.69%
Mar 14  2016,6.52,6.58,6.92,6.40,1.25M,-1.95%
Mar 11  2016,6.65,6.95,6.95,6.61,730.43K,-4.32%
Mar 10  2016,6.95,6.75,7.09,6.68,1.09M,0.72%
Mar 09  2016,6.90,6.94,7.00,6.66,895.60K,-2.27%
Mar 08  2016,7.06,7.58,7.60,7.03,1.26M,-3.81%
Mar 07  2016,7.34,7.07,7.66,7.07,996.85K,4.41%
Mar 04  2016,7.03,7.17,7.56,6.97,2.09M,2.18%
Mar 03  2016,6.88,6.15,6.94,6.10,1.18M,12.42%
Mar 02  2016,6.12,5.96,6.19,5.96,1.18M,2.34%
Mar 01  2016,5.98,6.23,6.24,5.89,2.03M,-3.55%
Feb 29  2016,6.20,5.83,6.20,5.83,1.23M,6.53%
Feb 26  2016,5.82,5.81,6.02,5.80,1.00M,-2.35%
Feb 25  2016,5.96,5.80,6.03,5.77,1.14M,1.53%
Feb 24  2016,5.87,6.09,6.20,5.74,1.61M,0.86%
Feb 23  2016,5.82,5.83,6.10,5.76,1.04M,0.87%
Feb 22  2016,5.77,5.55,5.91,5.55,820.89K,-2.04%
Feb 19  2016,5.89,5.99,6.06,5.85,1.41M,-1.17%
Feb 18  2016,5.96,5.44,5.96,5.39,1.42M,9.16%
Feb 17  2016,5.46,5.53,5.57,5.31,1.25M,-0.55%
Feb 16  2016,5.49,5.65,6.00,5.48,1.51M,-9.11%
Feb 12  2016,6.04,5.85,6.08,5.70,1.19M,1.34%
Feb 11  2016,5.96,5.99,6.19,5.68,1.98M,12.03%
Feb 10  2016,5.32,5.30,5.42,5.03,2.59M,0.76%
Feb 09  2016,5.28,5.77,5.87,5.27,2.16M,-8.01%
Feb 08  2016,5.74,5.51,5.95,5.51,2.15M,5.51%
Feb 05  2016,5.44,4.93,5.45,4.79,1.26M,9.02%
Feb 04  2016,4.99,4.77,5.15,4.77,1.66M,6.62%
Feb 03  2016,4.68,4.45,4.77,4.45,998.77K,4.70%
Feb 02  2016,4.47,4.58,4.71,4.37,1.00M,-4.89%
Feb 01  2016,4.70,4.69,4.77,4.55,905.94K,2.84%
Jan 29  2016,4.57,4.38,4.77,4.37,1.82M,3.16%
Jan 28  2016,4.43,4.41,4.57,4.31,1.03M,-0.23%
Jan 27  2016,4.44,4.10,4.47,4.04,1.53M,8.56%
Jan 26  2016,4.09,3.83,4.17,3.77,710.89K,9.07%
Jan 25  2016,3.75,3.50,3.77,3.48,660.39K,9.01%
Jan 22  2016,3.44,3.45,3.50,3.35,1.01M,0.58%
Jan 21  2016,3.42,3.35,3.50,3.27,987.59K,0.59%
Jan 20  2016,3.40,3.58,3.61,3.36,880.62K,-3.41%
Jan 19  2016,3.52,3.66,3.66,3.41,903.26K,-6.13%
Jan 18  2016,3.75,3.71,3.79,3.67,305.12K,0.54%
Jan 15  2016,3.73,4.44,4.44,3.68,1.04M,-6.05%
Jan 14  2016,3.97,4.26,4.32,3.92,1.31M,-9.98%
Jan 13  2016,4.41,4.45,4.57,4.36,646.16K,0.23%
Jan 12  2016,4.40,4.45,4.52,4.29,1.07M,-2.44%
Jan 11  2016,4.51,4.78,4.94,4.50,564.05K,-7.39%
Jan 08  2016,4.87,5.05,5.12,4.68,781.09K,-5.07%
Jan 07  2016,5.13,5.11,5.28,4.95,928.02K,1.18%
Jan 06  2016,5.07,4.94,5.10,4.91,552.13K,3.47%
Jan 05  2016,4.90,4.79,4.93,4.79,296.70K,1.66%
Jan 04  2016,4.82,4.67,4.98,4.66,285.54K,5.93%
Dec 31  2015,4.55,4.58,4.59,4.50,142.09K,-0.87%
Dec 30  2015,4.59,4.51,4.59,4.45,156.98K,-0.43%
Dec 29  2015,4.61,4.72,4.78,4.60,254.25K,-6.49%
Dec 24  2015,4.93,4.85,5.00,4.85,143.05K,1.02%
Dec 23  2015,4.88,4.61,4.91,4.57,439.14K,4.95%
Dec 22  2015,4.65,4.62,4.70,4.57,283.47K,0.22%
Dec 21  2015,4.64,4.72,4.73,4.61,336.81K,-0.64%
Dec 18  2015,4.67,4.52,4.67,4.45,1.47M,4.24%
Dec 17  2015,4.48,4.37,4.55,4.25,801.68K,0.22%
Dec 16  2015,4.47,4.38,4.51,4.26,480.70K,3.47%
Dec 15  2015,4.32,4.46,4.46,4.31,317.02K,-2.04%
Dec 14  2015,4.41,4.69,4.70,4.37,681.51K,-0.68%
Dec 11  2015,4.44,4.30,4.56,4.30,615.01K,0.91%
Dec 10  2015,4.40,4.26,4.47,4.26,425.65K,1.85%
Dec 09  2015,4.32,4.35,4.45,4.26,348.30K,0.47%
Dec 08  2015,4.30,4.43,4.49,4.22,359.58K,-3.15%
Dec 07  2015,4.44,4.63,4.70,4.39,627.52K,-4.93%
Dec 04  2015,4.67,4.50,4.72,4.48,811.55K,4.47%
Dec 03  2015,4.47,4.06,4.47,4.06,754.45K,9.02%
Dec 02  2015,4.10,4.09,4.12,4.01,624.22K,-1.20%
Dec 01  2015,4.15,4.09,4.20,4.00,446.65K,2.22%
Nov 30  2015,4.06,3.96,4.07,3.96,665.49K,-0.25%
Nov 27  2015,4.07,3.90,4.07,3.88,479.81K,0.25%
Nov 26  2015,4.06,3.98,4.09,3.98,125.74K,2.27%
Nov 25  2015,3.97,3.89,4.03,3.83,546.59K,1.28%
Nov 24  2015,3.92,3.84,3.92,3.76,789.71K,2.35%
Nov 23  2015,3.83,3.92,3.99,3.80,444.16K,-1.54%
Nov 20  2015,3.89,4.16,4.22,3.84,729.06K,-7.38%
Nov 19  2015,4.20,4.05,4.23,3.98,1.41M,5.79%
Nov 18  2015,3.97,3.95,3.98,3.87,1.31M,1.79%
Nov 17  2015,3.90,4.05,4.05,3.88,684.71K,-3.94%
Nov 16  2015,4.06,4.13,4.16,4.04,560.19K,-0.98%
Nov 13  2015,4.10,3.96,4.13,3.90,1.49M,2.76%
Nov 12  2015,3.99,4.30,4.30,3.88,1.30M,-8.06%
Nov 11  2015,4.34,4.48,4.54,4.27,688.90K,-3.77%
Nov 10  2015,4.51,4.58,4.63,4.46,621.10K,-2.80%
Nov 09  2015,4.64,4.46,4.64,4.46,274.79K,2.88%
Nov 06  2015,4.51,4.56,4.61,4.41,790.87K,-2.59%
Nov 05  2015,4.63,4.86,4.87,4.63,556.82K,-4.54%
Nov 04  2015,4.85,5.10,5.10,4.70,748.93K,-3.39%
Nov 03  2015,5.02,5.02,5.05,4.86,560.93K,-0.20%
Nov 02  2015,5.03,5.02,5.10,4.83,484.25K,0.00%
Oct 30  2015,5.03,5.25,5.28,5.03,338.44K,-4.37%
Oct 29  2015,5.26,5.46,5.68,5.24,411.20K,-5.23%
Oct 28  2015,5.55,5.79,5.99,5.45,698.24K,-3.14%
Oct 27  2015,5.73,5.70,5.74,5.59,413.74K,0.88%
Oct 26  2015,5.68,5.71,5.84,5.66,540.51K,-5.33%
Oct 23  2015,6.00,5.77,6.04,5.65,787.22K,6.95%
Oct 22  2015,5.61,5.79,5.88,5.58,385.54K,-2.43%
Oct 21  2015,5.75,5.91,5.91,5.66,501.78K,-2.21%
Oct 20  2015,5.88,5.43,5.91,5.43,860.48K,8.89%
Oct 19  2015,5.40,5.72,5.75,5.38,549.00K,-6.41%
Oct 16  2015,5.77,6.06,6.14,5.76,521.60K,-5.25%
Oct 15  2015,6.09,6.24,6.25,5.90,1.43M,-4.99%
Oct 14  2015,6.41,6.14,6.55,6.12,742.13K,5.25%
Oct 13  2015,6.09,6.18,6.23,6.03,992.29K,-1.46%
Oct 09  2015,6.18,6.00,6.20,5.90,1.05M,6.19%
Oct 08  2015,5.82,5.65,6.00,5.57,906.38K,1.57%
Oct 07  2015,5.73,5.67,5.80,5.43,789.10K,1.60%
Oct 06  2015,5.64,5.45,5.80,5.41,731.24K,5.82%
Oct 05  2015,5.33,5.01,5.36,5.01,496.53K,5.54%
Oct 02  2015,5.05,5.00,5.16,4.89,427.38K,5.65%
Oct 01  2015,4.78,4.91,5.00,4.73,391.18K,-3.24%
Sep 30  2015,4.94,4.78,4.95,4.71,419.13K,2.28%
Sep 29  2015,4.83,4.91,5.07,4.78,487.44K,-2.03%
Sep 28  2015,4.93,5.20,5.20,4.86,452.00K,-7.16%
Sep 25  2015,5.31,5.35,5.46,5.26,583.92K,-4.84%
Sep 24  2015,5.58,5.44,5.65,5.33,1.07M,6.29%
Sep 23  2015,5.25,5.35,5.42,5.17,288.91K,-0.76%
Sep 22  2015,5.29,5.51,5.59,5.23,349.99K,-6.37%
Sep 21  2015,5.65,6.05,6.15,5.64,684.94K,-7.83%
Sep 18  2015,6.13,6.05,6.21,5.79,882.49K,3.20%
Sep 17  2015,5.94,5.74,5.99,5.43,734.61K,2.41%
Sep 16  2015,5.80,5.66,5.85,5.60,402.06K,3.20%
Sep 15  2015,5.62,5.60,5.70,5.56,230.15K,-0.35%
Sep 14  2015,5.64,5.57,6.12,5.56,693.45K,1.99%
Sep 11  2015,5.53,5.64,5.86,5.38,550.90K,-2.81%
Sep 10  2015,5.69,5.75,5.81,5.63,191.26K,-0.52%
Sep 09  2015,5.72,5.72,5.83,5.64,276.35K,-3.70%
Sep 08  2015,5.94,5.59,5.96,5.56,271.94K,7.03%
Sep 04  2015,5.55,5.61,5.76,5.26,427.52K,-2.63%
Sep 03  2015,5.70,5.68,6.02,5.68,252.09K,-2.73%
Sep 02  2015,5.86,5.87,6.08,5.72,396.63K,0.86%
Sep 01  2015,5.81,5.55,5.90,5.34,656.09K,7.20%
Aug 31  2015,5.42,5.25,5.44,5.14,327.99K,-1.28%
Aug 28  2015,5.49,5.11,5.50,4.95,463.60K,9.80%
Aug 27  2015,5.00,4.70,5.10,4.69,632.85K,6.38%
Aug 26  2015,4.70,4.84,4.98,4.68,454.37K,-7.11%
Aug 25  2015,5.06,5.22,5.42,4.96,387.16K,-3.80%
Aug 24  2015,5.26,5.40,5.84,5.18,723.37K,-7.72%
Aug 21  2015,5.70,6.00,6.00,5.58,635.13K,-4.36%
Aug 20  2015,5.96,5.60,6.00,5.58,787.62K,9.96%
Aug 19  2015,5.42,5.17,5.60,5.13,309.60K,11.29%
Aug 18  2015,4.87,5.03,5.03,4.81,384.77K,-3.18%
Aug 17  2015,5.03,4.84,5.08,4.77,379.39K,7.25%
Aug 14  2015,4.69,4.70,4.88,4.64,273.85K,-0.42%
Aug 13  2015,4.71,4.86,5.12,4.65,542.02K,-6.92%
Aug 12  2015,5.06,4.65,5.10,4.58,780.46K,10.72%
Aug 11  2015,4.57,4.28,4.64,4.28,631.45K,9.59%
Aug 10  2015,4.17,4.06,4.23,4.02,597.20K,2.71%
Aug 07  2015,4.06,4.10,4.30,4.02,446.75K,-0.98%
Aug 06  2015,4.10,4.08,4.28,4.06,398.18K,0.49%
Aug 05  2015,4.08,4.20,4.20,4.06,419.60K,-1.45%
Aug 04  2015,4.14,4.12,4.19,4.04,457.84K,-2.59%
Jul 31  2015,4.25,4.15,4.27,4.11,302.81K,4.68%
Jul 30  2015,4.06,4.20,4.20,4.00,393.75K,-4.25%
Jul 29  2015,4.24,4.20,4.29,4.06,394.43K,0.95%
Jul 28  2015,4.20,4.00,4.20,3.97,392.35K,6.87%
Jul 27  2015,3.93,4.32,4.38,3.90,900.41K,-8.60%
Jul 24  2015,4.30,4.06,4.36,4.06,1.46M,7.77%
Jul 23  2015,3.99,4.36,4.48,3.95,447.76K,-8.49%
Jul 22  2015,4.36,4.41,4.48,4.21,727.01K,-1.80%
Jul 21  2015,4.44,4.45,4.56,4.37,398.91K,1.83%
Jul 20  2015,4.36,5.02,5.15,4.35,672.50K,-18.20%
Jul 17  2015,5.33,5.72,5.72,5.29,670.03K,-6.98%
Jul 16  2015,5.73,5.81,5.87,5.71,752.64K,-1.21%
