Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,30.190,30.330,30.400,30.180,102.35K,-0.46%
Apr 18  2016,30.330,30.200,30.460,29.840,131.07K,0.07%
Apr 15  2016,30.310,30.410,30.450,30.040,86.15K,-0.30%
Apr 14  2016,30.400,30.690,30.710,30.220,104.42K,-0.98%
Apr 13  2016,30.700,30.400,30.850,29.680,394.43K,1.72%
Apr 12  2016,30.180,29.370,30.370,29.150,292.15K,3.25%
Apr 11  2016,29.230,29.600,29.600,28.950,71.45K,-1.15%
Apr 08  2016,29.570,29.720,29.720,29.190,127.77K,0.27%
Apr 07  2016,29.490,29.360,29.650,29.010,118.19K,0.07%
Apr 06  2016,29.470,28.800,29.670,28.800,368.93K,2.79%
Apr 05  2016,28.670,28.230,28.860,28.000,116.90K,1.49%
Apr 04  2016,28.250,28.060,28.350,27.790,113.37K,1.29%
Apr 01  2016,27.890,27.820,28.140,27.510,93.20K,-0.39%
Mar 31  2016,28.000,27.920,28.120,27.630,78.12K,1.12%
Mar 30  2016,27.690,27.810,28.100,27.590,155.62K,0.07%
Mar 29  2016,27.670,27.310,27.670,26.980,63.14K,1.02%
Mar 28  2016,27.390,27.120,27.430,26.860,35.36K,0.96%
Mar 24  2016,27.130,27.290,27.290,26.890,39.55K,-0.66%
Mar 23  2016,27.310,27.980,27.980,27.230,63.01K,-2.11%
Mar 22  2016,27.900,27.740,28.120,27.430,147.42K,0.83%
Mar 21  2016,27.670,27.450,27.860,27.280,59.39K,0.87%
Mar 18  2016,27.430,27.380,27.650,27.170,126.96K,1.03%
Mar 17  2016,27.150,27.190,27.710,27.000,111.80K,0.22%
Mar 16  2016,27.090,27.090,27.205,26.950,384.09K,-0.04%
Mar 15  2016,27.100,27.200,27.250,26.860,119.17K,-0.77%
Mar 14  2016,27.310,26.480,27.320,26.360,238.30K,3.21%
Mar 11  2016,26.460,26.780,26.840,26.360,239.15K,-0.41%
Mar 10  2016,26.570,26.500,26.850,26.300,385.90K,0.49%
Mar 09  2016,26.440,25.990,26.890,25.660,442.77K,4.30%
Mar 08  2016,25.350,25.410,25.640,24.990,324.06K,0.20%
Mar 07  2016,25.300,24.960,25.490,24.950,108.92K,1.93%
Mar 04  2016,24.820,24.660,25.020,24.650,361.72K,1.10%
Mar 03  2016,24.550,24.520,24.760,24.520,55.21K,-0.16%
Mar 02  2016,24.590,24.220,24.690,24.210,64.84K,1.57%
Mar 01  2016,24.210,24.790,24.950,24.050,135.53K,-1.71%
Feb 29  2016,24.630,24.660,24.740,24.450,99.47K,0.12%
Feb 26  2016,24.600,25.000,25.000,24.000,251.16K,-0.20%
Feb 25  2016,24.650,24.820,24.850,24.460,189.37K,-0.64%
Feb 24  2016,24.810,24.720,24.810,24.360,287.47K,0.12%
Feb 23  2016,24.780,24.980,25.130,24.690,218.54K,-0.32%
Feb 22  2016,24.860,25.210,25.500,24.750,103.63K,0.04%
Feb 19  2016,24.850,25.000,25.010,24.460,122.76K,0.61%
Feb 18  2016,24.700,25.510,25.610,24.590,184.03K,-0.92%
Feb 17  2016,24.930,24.250,25.010,24.080,97.67K,3.75%
Feb 16  2016,24.030,23.940,24.120,23.590,82.05K,2.08%
Feb 12  2016,23.540,22.710,23.620,22.700,138.75K,4.81%
Feb 11  2016,22.460,22.600,22.800,22.110,154.23K,-1.66%
Feb 10  2016,22.840,22.710,23.350,22.710,64.98K,-0.13%
Feb 09  2016,22.870,23.400,23.400,22.710,96.46K,-1.51%
Feb 08  2016,23.220,23.590,23.600,22.690,75.89K,-1.74%
Feb 05  2016,23.630,24.160,24.170,23.450,68.84K,-1.50%
Feb 04  2016,23.990,24.380,24.380,23.750,89.83K,-0.42%
Feb 03  2016,24.090,24.000,24.450,23.950,221.72K,1.13%
Feb 02  2016,23.820,23.890,23.890,23.290,134.29K,-1.12%
Feb 01  2016,24.090,23.870,24.200,23.240,135.65K,1.35%
Jan 29  2016,23.770,22.970,23.770,22.940,407.67K,3.80%
Jan 28  2016,22.900,23.060,23.250,22.850,82.78K,-0.09%
Jan 27  2016,22.920,22.500,23.150,22.350,84.29K,1.33%
Jan 26  2016,22.620,22.660,23.150,22.615,83.74K,0.00%
Jan 25  2016,22.620,23.220,23.290,22.290,98.10K,-2.20%
Jan 22  2016,23.130,22.490,23.210,22.370,91.37K,4.66%
Jan 21  2016,22.100,21.660,22.320,21.450,133.38K,2.46%
Jan 20  2016,21.570,21.050,21.670,21.000,198.31K,0.42%
Jan 19  2016,21.480,21.700,21.960,21.330,181.10K,-1.01%
Jan 18  2016,21.700,22.000,22.100,21.510,66.35K,-1.14%
Jan 15  2016,21.950,22.380,22.400,21.650,160.10K,-3.18%
Jan 14  2016,22.670,22.520,22.740,21.420,153.41K,0.49%
Jan 13  2016,22.560,22.960,23.470,22.490,88.81K,-1.48%
Jan 12  2016,22.900,23.050,23.410,22.410,179.40K,0.17%
Jan 11  2016,22.860,23.410,23.670,22.770,106.08K,-1.80%
Jan 08  2016,23.280,22.790,23.530,22.710,119.83K,3.19%
Jan 07  2016,22.560,22.750,22.850,22.210,140.35K,-2.34%
Jan 06  2016,23.100,23.640,23.740,22.950,121.41K,-2.82%
Jan 05  2016,23.770,23.680,24.000,23.470,112.09K,0.51%
Jan 04  2016,23.650,23.260,23.870,23.260,108.23K,0.64%
Dec 31  2015,23.500,23.980,23.980,23.470,69.37K,-2.00%
Dec 30  2015,23.980,23.820,24.010,23.660,122.25K,0.76%
Dec 29  2015,23.800,24.180,24.210,23.640,75.18K,-2.14%
Dec 24  2015,24.320,24.440,24.440,23.840,38.38K,0.58%
Dec 23  2015,24.180,23.910,24.380,23.810,138.23K,1.81%
Dec 22  2015,23.750,23.200,23.830,23.090,118.17K,2.41%
Dec 21  2015,23.190,23.340,23.730,23.020,95.20K,0.04%
Dec 18  2015,23.180,23.940,23.940,23.000,380.86K,-2.85%
Dec 17  2015,23.860,23.760,24.000,23.450,181.97K,2.62%
