Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,10.75,10.76,10.83,10.72,377.01K,-0.09%
Apr 18  2016,10.76,10.73,10.81,10.71,450.83K,0.47%
Apr 15  2016,10.71,10.71,10.75,10.64,330.01K,0.19%
Apr 14  2016,10.69,10.78,10.78,10.60,650.07K,-0.65%
Apr 13  2016,10.76,10.65,10.79,10.61,565.22K,1.22%
Apr 12  2016,10.63,10.76,10.76,10.58,699.12K,-0.75%
Apr 11  2016,10.71,10.83,10.83,10.66,559.00K,-0.56%
Apr 08  2016,10.77,10.79,10.90,10.72,990.37K,0.37%
Apr 07  2016,10.73,10.72,10.76,10.69,300.49K,0.09%
Apr 06  2016,10.72,10.79,10.79,10.65,466.88K,-0.09%
Apr 05  2016,10.73,10.85,10.85,10.72,631.97K,-1.20%
Apr 04  2016,10.86,10.90,10.91,10.84,633.88K,-0.18%
Apr 01  2016,10.88,10.86,10.92,10.81,281.75K,0.09%
Mar 31  2016,10.87,10.88,10.93,10.84,825.11K,0.18%
Mar 30  2016,10.85,10.85,10.92,10.81,730.26K,0.65%
Mar 29  2016,10.78,10.78,10.83,10.73,618.81K,-0.74%
Mar 28  2016,10.86,10.83,10.92,10.78,367.87K,0.74%
Mar 24  2016,10.78,10.79,10.80,10.73,387.38K,-0.28%
Mar 23  2016,10.81,10.72,10.85,10.72,773.65K,1.03%
Mar 22  2016,10.70,10.80,10.82,10.68,1.01M,-1.20%
Mar 21  2016,10.83,10.80,10.85,10.78,652.45K,0.56%
Mar 18  2016,10.77,10.93,10.96,10.76,2.46M,-0.74%
Mar 17  2016,10.85,11.00,11.04,10.85,1.43M,-1.00%
Mar 16  2016,10.96,11.00,11.00,10.94,1.58M,0.46%
Mar 15  2016,10.91,10.90,11.00,10.85,1.15M,0.09%
Mar 14  2016,10.90,10.92,10.94,10.81,902.28K,0.18%
Mar 11  2016,10.88,11.07,11.07,10.79,1.87M,0.65%
Mar 10  2016,10.81,10.87,10.94,10.81,962.61K,-0.37%
Mar 09  2016,10.85,10.94,10.94,10.81,791.64K,0.00%
Mar 08  2016,10.85,10.91,10.93,10.79,709.69K,-0.18%
Mar 07  2016,10.87,10.83,10.91,10.77,709.63K,0.74%
Mar 04  2016,10.79,10.85,10.88,10.76,980.02K,-0.19%
Mar 03  2016,10.81,11.00,11.00,10.76,1.78M,-1.64%
Mar 02  2016,10.99,10.76,11.03,10.73,1.70M,2.90%
Mar 01  2016,10.68,10.46,10.79,10.30,3.54M,2.59%
Feb 29  2016,10.41,10.46,10.50,10.40,1.14M,0.00%
Feb 26  2016,10.41,10.58,10.59,10.36,1.07M,-1.05%
Feb 25  2016,10.52,10.46,10.55,10.37,631.25K,1.15%
Feb 24  2016,10.40,10.41,10.49,10.35,780.85K,-0.57%
Feb 23  2016,10.46,10.56,10.63,10.43,739.70K,-1.23%
Feb 22  2016,10.59,10.59,10.75,10.56,664.65K,0.38%
Feb 19  2016,10.55,10.70,10.72,10.50,876.87K,-1.31%
Feb 18  2016,10.69,10.76,10.78,10.59,755.99K,0.09%
Feb 17  2016,10.68,10.60,10.80,10.53,1.00M,1.62%
Feb 16  2016,10.51,10.60,10.65,10.40,553.33K,0.19%
Feb 12  2016,10.49,10.59,10.63,10.37,923.32K,-0.57%
Feb 11  2016,10.55,10.58,10.69,10.51,1.26M,-0.85%
Feb 10  2016,10.64,10.58,10.70,10.38,2.87M,-7.80%
Feb 09  2016,11.54,11.80,11.82,11.44,552.62K,-2.53%
Feb 08  2016,11.84,11.96,11.96,11.79,550.48K,-1.17%
Feb 05  2016,11.98,11.94,11.98,11.86,962.00K,0.42%
Feb 04  2016,11.93,11.90,12.01,11.81,959.71K,0.51%
Feb 03  2016,11.87,11.79,11.94,11.75,1.40M,1.02%
Feb 02  2016,11.75,11.38,11.78,11.24,1.14M,2.80%
Feb 01  2016,11.43,11.57,11.58,11.31,1.11M,-0.61%
Jan 29  2016,11.50,11.50,11.61,11.38,3.78M,0.52%
Jan 28  2016,11.44,11.19,11.50,11.12,1.04M,2.97%
Jan 27  2016,11.11,11.11,11.15,10.85,1.28M,-1.77%
Jan 26  2016,11.31,11.19,11.45,11.15,1.33M,2.26%
Jan 25  2016,11.06,11.22,11.25,11.03,457.05K,-1.43%
Jan 22  2016,11.22,11.00,11.30,10.92,733.41K,3.51%
Jan 21  2016,10.84,10.78,10.93,10.64,644.59K,0.84%
Jan 20  2016,10.75,10.52,10.79,10.30,1.28M,0.94%
Jan 19  2016,10.65,10.51,10.69,10.49,1.13M,2.50%
Jan 18  2016,10.39,10.69,10.72,10.34,435.30K,-2.72%
Jan 15  2016,10.68,10.92,10.94,10.53,816.30K,-2.91%
Jan 14  2016,11.00,10.93,11.08,10.71,672.53K,1.01%
Jan 13  2016,10.89,11.00,11.22,10.86,525.59K,-1.54%
Jan 12  2016,11.06,10.98,11.08,10.88,486.69K,0.91%
