Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,57.99,58.46,58.47,57.48,790.65K,-0.17%
Apr 18  2016,58.09,57.95,58.59,57.64,597.61K,0.21%
Apr 15  2016,57.97,57.30,57.97,57.20,782.24K,1.10%
Apr 14  2016,57.34,56.50,57.39,56.37,1.21M,1.45%
Apr 13  2016,56.52,57.00,57.33,56.43,651.14K,-0.21%
Apr 12  2016,56.64,57.51,57.67,56.45,741.41K,-1.53%
Apr 11  2016,57.52,57.85,58.05,57.45,827.80K,-0.64%
Apr 08  2016,57.89,57.59,58.05,57.39,868.23K,0.68%
Apr 07  2016,57.50,56.50,57.61,56.43,1.01M,1.73%
Apr 06  2016,56.52,56.75,57.11,56.24,1.21M,-0.30%
Apr 05  2016,56.69,57.51,57.69,56.63,995.81K,-1.95%
Apr 04  2016,57.82,58.12,58.67,57.60,667.77K,-0.09%
Apr 01  2016,57.87,57.56,58.13,57.55,676.14K,0.12%
Mar 31  2016,57.80,57.78,58.07,57.55,886.02K,-0.16%
Mar 30  2016,57.89,57.74,58.06,57.60,1.24M,0.54%
Mar 29  2016,57.58,58.25,58.25,57.44,927.02K,-0.98%
Mar 28  2016,58.15,57.82,58.25,57.37,701.34K,0.55%
Mar 24  2016,57.83,57.25,58.12,57.25,739.66K,0.52%
Mar 23  2016,57.53,56.93,57.66,56.16,1.43M,3.04%
Mar 22  2016,55.83,56.80,57.12,55.47,1.44M,-2.31%
Mar 21  2016,57.15,57.07,57.49,56.37,842.50K,0.56%
Mar 18  2016,56.83,58.54,58.90,56.79,2.44M,-3.51%
Mar 17  2016,58.90,60.00,60.01,58.75,1.15M,-1.72%
Mar 16  2016,59.93,60.60,61.00,59.92,883.46K,-1.35%
Mar 15  2016,60.75,59.95,60.99,59.25,1.40M,-0.38%
Mar 14  2016,60.98,60.79,61.06,59.85,870.84K,0.58%
Mar 11  2016,60.63,60.22,60.99,60.14,843.62K,1.75%
Mar 10  2016,59.59,59.88,60.15,59.09,978.30K,0.88%
Mar 09  2016,59.07,61.65,61.73,58.99,1.34M,0.07%
Mar 08  2016,59.03,58.63,59.07,58.52,901.79K,1.03%
Mar 07  2016,58.43,58.46,59.01,58.18,880.71K,0.00%
Mar 04  2016,58.43,60.20,60.40,58.21,1.17M,-2.88%
Mar 03  2016,60.16,61.94,61.94,59.93,801.85K,-2.65%
Mar 02  2016,61.80,61.90,62.10,60.40,830.79K,-0.05%
Mar 01  2016,61.83,61.37,61.90,61.15,903.73K,1.00%
Feb 29  2016,61.22,61.16,61.72,60.38,932.66K,0.20%
Feb 26  2016,61.10,61.00,61.30,60.65,482.15K,0.44%
Feb 25  2016,60.83,60.30,60.86,59.53,626.54K,1.16%
Feb 24  2016,60.13,59.93,60.25,58.90,642.53K,0.18%
Feb 23  2016,60.02,59.74,60.07,59.30,594.88K,0.79%
Feb 22  2016,59.55,60.00,60.96,59.24,1.09M,-0.23%
Feb 19  2016,59.69,59.13,59.91,58.22,1.20M,0.24%
Feb 18  2016,59.55,59.26,59.75,58.74,922.47K,1.14%
Feb 17  2016,58.88,57.42,59.15,56.93,1.45M,3.86%
Feb 16  2016,56.69,56.40,57.00,56.15,1.05M,2.81%
Feb 12  2016,55.14,54.21,55.50,54.15,915.54K,1.77%
Feb 11  2016,54.18,54.54,55.47,53.95,870.91K,-2.47%
Feb 10  2016,55.55,55.48,56.26,54.75,1.01M,1.68%
Feb 09  2016,54.63,54.15,55.68,54.03,1.45M,0.20%
Feb 08  2016,54.52,57.54,57.58,53.81,1.69M,-6.02%
Feb 05  2016,58.01,59.98,59.98,57.90,627.14K,-2.47%
Feb 04  2016,59.48,60.73,60.82,59.13,589.03K,-1.25%
Feb 03  2016,60.23,60.59,61.15,59.63,521.12K,0.00%
Feb 02  2016,60.23,60.55,60.72,59.75,752.23K,-0.87%
Feb 01  2016,60.76,61.16,61.37,60.35,622.80K,-0.36%
Jan 29  2016,60.98,60.71,61.60,60.27,1.77M,1.62%
Jan 28  2016,60.01,60.54,60.61,59.56,746.42K,-0.45%
Jan 27  2016,60.28,62.01,62.12,60.05,966.63K,-2.98%
Jan 26  2016,62.13,61.46,62.78,61.11,794.39K,1.11%
Jan 25  2016,61.45,61.48,61.53,60.38,538.94K,0.61%
Jan 22  2016,61.08,60.55,61.58,60.37,699.69K,1.39%
Jan 21  2016,60.24,59.16,60.34,59.04,1.02M,3.24%
Jan 20  2016,58.35,57.85,58.77,57.08,1.06M,-0.78%
Jan 19  2016,58.81,58.83,59.50,58.15,848.48K,1.43%
Jan 18  2016,57.98,59.21,60.00,57.13,972.44K,-2.86%
Jan 15  2016,59.69,58.98,59.87,58.34,735.24K,-1.79%
Jan 14  2016,60.78,59.04,61.12,58.62,906.32K,2.98%
Jan 13  2016,59.02,60.55,60.98,58.75,691.11K,-2.54%
Jan 12  2016,60.56,59.86,60.77,59.35,985.75K,1.68%
Jan 11  2016,59.56,59.92,60.00,58.80,789.61K,-0.15%
Jan 08  2016,59.65,59.35,60.05,59.30,668.95K,0.52%
Jan 07  2016,59.34,58.44,59.52,57.46,1.03M,0.08%
Jan 06  2016,59.29,59.23,60.00,58.42,1.08M,-0.77%
Jan 05  2016,59.75,59.71,60.27,59.29,863.52K,0.08%
Jan 04  2016,59.70,59.93,60.58,58.50,942.79K,-1.99%
Dec 31  2015,60.91,61.54,62.08,60.56,602.12K,-1.74%
Dec 30  2015,61.99,62.56,62.70,61.77,263.90K,-0.80%
Dec 29  2015,62.49,62.76,62.83,62.10,326.58K,0.37%
Dec 24  2015,62.26,62.11,62.95,62.00,197.12K,0.44%
Dec 23  2015,61.99,62.44,62.44,61.35,369.25K,-0.31%
Dec 22  2015,62.18,62.47,62.47,60.95,585.63K,0.02%
Dec 21  2015,62.17,62.56,63.05,61.57,702.07K,0.27%
Dec 18  2015,62.00,61.95,62.94,61.50,1.80M,-0.34%
Dec 17  2015,62.21,64.18,64.18,62.05,817.44K,-2.08%
Dec 16  2015,63.53,63.61,64.15,62.80,1.02M,0.73%
Dec 15  2015,63.07,62.48,63.52,62.37,1.06M,1.27%
Dec 14  2015,62.28,61.62,62.48,61.45,774.10K,1.48%
Dec 11  2015,61.37,61.92,62.53,61.20,855.30K,-1.02%
Dec 10  2015,62.00,60.85,62.50,60.50,873.88K,2.07%
Dec 09  2015,60.74,61.59,61.99,60.29,1.43M,-1.73%
Dec 08  2015,61.81,62.08,62.22,60.72,1.10M,-1.58%
Dec 07  2015,62.80,62.74,63.25,62.05,789.75K,0.19%
Dec 04  2015,62.68,62.16,62.83,61.89,743.34K,0.19%
Dec 03  2015,62.56,63.24,63.36,62.06,908.20K,-0.70%
Dec 02  2015,63.00,62.92,64.19,62.32,1.01M,0.83%
Dec 01  2015,62.48,61.68,62.84,61.32,1.20M,2.63%
Nov 30  2015,60.88,61.75,62.02,60.54,1.85M,-1.46%
Nov 27  2015,61.78,62.50,62.70,61.72,346.67K,-0.85%
Nov 26  2015,62.31,62.20,62.78,61.85,139.91K,0.29%
Nov 25  2015,62.13,61.54,63.20,61.40,1.02M,1.72%
Nov 24  2015,61.08,61.93,63.23,60.98,1.42M,-0.33%
Nov 23  2015,61.28,60.84,61.81,60.82,563.22K,0.87%
Nov 20  2015,60.75,60.76,61.27,60.03,835.72K,0.41%
Nov 19  2015,60.50,59.98,60.61,59.81,634.87K,1.12%
Nov 18  2015,59.83,59.05,60.09,58.41,707.57K,1.84%
Nov 17  2015,58.75,59.88,59.90,58.57,712.14K,-1.41%
Nov 16  2015,59.59,56.97,59.70,56.97,673.57K,4.64%
Nov 13  2015,56.95,57.16,57.38,56.28,722.43K,-0.68%
Nov 12  2015,57.34,59.54,59.75,56.80,1.23M,-3.89%
Nov 11  2015,59.66,59.66,60.12,59.40,433.99K,0.29%
Nov 10  2015,59.49,59.81,59.90,58.85,474.42K,-0.68%
Nov 09  2015,59.90,59.87,60.09,59.06,533.84K,0.00%
Nov 06  2015,59.90,60.25,60.31,59.00,449.70K,-0.35%
Nov 05  2015,60.11,60.16,60.69,60.01,714.33K,0.23%
Nov 04  2015,59.97,58.30,60.05,58.26,908.85K,2.71%
Nov 03  2015,58.39,57.13,59.19,57.11,1.25M,3.77%
Nov 02  2015,56.27,56.24,56.71,55.75,761.13K,0.04%
Oct 30  2015,56.25,57.45,57.86,56.19,1.45M,-1.87%
Oct 29  2015,57.32,58.06,58.06,56.89,772.22K,-1.27%
Oct 28  2015,58.06,58.96,59.20,55.65,1.92M,-1.31%
Oct 27  2015,58.83,60.32,60.72,58.64,1.15M,-2.50%
Oct 26  2015,60.34,61.06,61.43,60.32,720.86K,-1.05%
Oct 23  2015,60.98,61.40,61.40,60.75,639.50K,0.21%
Oct 22  2015,60.85,61.17,61.40,60.75,832.25K,-0.34%
Oct 21  2015,61.06,61.40,61.61,60.80,630.59K,0.00%
Oct 20  2015,61.06,60.56,61.45,60.54,403.54K,0.83%
Oct 19  2015,60.56,59.84,60.75,59.84,408.78K,1.20%
Oct 16  2015,59.84,60.31,60.38,59.84,628.20K,-0.40%
Oct 15  2015,60.08,60.43,60.43,59.96,1.00M,0.43%
Oct 14  2015,59.82,60.20,61.45,59.73,1.65M,-2.33%
Oct 13  2015,61.25,60.00,61.61,59.90,1.05M,2.30%
Oct 09  2015,59.87,60.50,60.77,59.60,765.66K,-1.96%
Oct 08  2015,61.07,61.29,61.34,60.56,762.82K,-0.31%
Oct 07  2015,61.26,61.51,61.58,60.85,776.09K,0.21%
Oct 06  2015,61.13,61.99,62.00,60.88,1.39M,-0.68%
Oct 05  2015,61.55,61.90,62.06,61.26,696.68K,0.49%
Oct 02  2015,61.25,60.29,61.31,60.03,620.36K,0.92%
Oct 01  2015,60.69,61.99,62.48,60.01,953.72K,-1.11%
Sep 30  2015,61.37,60.51,61.55,60.25,1.04M,2.22%
Sep 29  2015,60.04,61.03,61.67,59.30,842.75K,-1.83%
Sep 28  2015,61.16,61.38,61.86,61.11,744.20K,-0.07%
Sep 25  2015,61.20,61.22,61.93,60.72,776.28K,-0.03%
Sep 24  2015,61.22,60.99,61.97,60.42,455.82K,-0.20%
Sep 23  2015,61.34,61.56,61.92,61.20,320.48K,-0.28%
Sep 22  2015,61.51,61.66,61.78,60.41,666.87K,-0.95%
Sep 21  2015,62.10,61.69,62.72,61.25,920.08K,1.04%
Sep 18  2015,61.46,59.40,61.46,59.30,3.89M,2.38%
Sep 17  2015,60.03,60.44,60.87,59.61,465.98K,-0.76%
Sep 16  2015,60.49,60.05,60.61,59.71,1.09M,0.85%
Sep 15  2015,59.98,59.60,60.25,59.56,820.61K,0.71%
Sep 14  2015,59.56,60.26,60.30,59.25,551.79K,-0.93%
Sep 11  2015,60.12,59.80,60.45,59.80,451.99K,0.00%
Sep 10  2015,60.12,59.24,60.45,59.24,431.58K,0.82%
Sep 09  2015,59.63,61.13,61.15,59.42,716.86K,-1.63%
Sep 08  2015,60.62,61.00,61.62,60.36,561.03K,1.13%
Sep 04  2015,59.94,60.00,60.90,59.35,648.29K,-1.14%
Sep 03  2015,60.63,59.52,60.99,59.45,811.00K,2.24%
Sep 02  2015,59.30,57.27,59.54,57.27,1.07M,4.59%
Sep 01  2015,56.70,56.71,57.36,54.82,1.12M,1.70%
Aug 31  2015,55.75,56.36,57.30,55.13,1.13M,-1.57%
Aug 28  2015,56.64,56.94,57.25,56.10,388.55K,-0.77%
Aug 27  2015,57.08,56.88,57.98,56.30,974.58K,0.99%
Aug 26  2015,56.52,55.35,56.73,54.24,983.31K,3.94%
Aug 25  2015,54.38,55.50,56.53,54.11,1.03M,1.29%
Aug 24  2015,53.69,50.00,55.51,48.15,1.67M,-1.63%
Aug 21  2015,54.58,57.25,57.49,54.18,1.99M,-5.91%
Aug 20  2015,58.01,58.60,58.70,57.59,789.13K,-1.86%
Aug 19  2015,59.11,58.92,59.42,58.60,780.02K,0.02%
Aug 18  2015,59.10,59.04,59.39,58.76,415.77K,-0.15%
Aug 17  2015,59.19,58.94,59.27,58.80,315.73K,-0.12%
Aug 14  2015,59.26,58.41,59.41,58.00,622.89K,1.25%
Aug 13  2015,58.53,58.28,59.00,58.28,489.76K,0.29%
