Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,34.46,34.61,34.61,34.02,178.54K,-0.43%
Apr 18  2016,34.61,34.26,34.88,34.26,61.07K,0.61%
Apr 15  2016,34.40,34.12,34.57,34.02,125.82K,0.58%
Apr 14  2016,34.20,34.43,34.44,33.89,488.85K,-0.55%
Apr 13  2016,34.39,33.77,34.44,33.71,194.11K,2.38%
Apr 12  2016,33.59,34.50,34.60,33.31,240.46K,-2.61%
Apr 11  2016,34.49,34.94,34.94,34.30,54.10K,-0.26%
Apr 08  2016,34.58,34.44,34.86,34.25,62.93K,0.73%
Apr 07  2016,34.33,34.22,34.48,34.12,264.99K,0.32%
Apr 06  2016,34.22,34.80,34.92,34.02,316.41K,-1.78%
Apr 05  2016,34.84,34.60,34.99,34.60,68.33K,0.00%
Apr 04  2016,34.84,34.81,35.00,34.59,75.89K,-0.23%
Apr 01  2016,34.92,34.77,35.14,34.57,127.28K,-0.14%
Mar 31  2016,34.97,34.64,35.25,34.57,147.80K,0.81%
Mar 30  2016,34.69,34.50,34.85,34.48,106.48K,0.67%
Mar 29  2016,34.46,34.51,34.54,34.23,101.18K,-0.49%
Mar 28  2016,34.63,34.39,34.76,34.02,109.58K,0.82%
Mar 24  2016,34.35,34.13,34.50,33.91,213.16K,-0.06%
Mar 23  2016,34.37,34.99,34.99,34.31,173.57K,-1.80%
Mar 22  2016,35.00,35.38,35.45,34.87,143.31K,-1.55%
Mar 21  2016,35.55,34.94,35.66,34.94,112.66K,2.30%
Mar 18  2016,34.75,35.21,35.21,34.75,352.78K,-1.05%
Mar 17  2016,35.12,34.52,35.52,34.52,200.57K,1.92%
Mar 16  2016,34.46,33.82,34.62,33.74,139.65K,2.01%
Mar 15  2016,33.78,33.80,34.04,33.45,136.76K,-0.06%
Mar 14  2016,33.80,33.55,33.96,33.27,201.57K,0.78%
Mar 11  2016,33.54,33.83,33.83,33.37,108.09K,-0.24%
Mar 10  2016,33.62,33.31,33.81,33.12,82.54K,1.30%
Mar 09  2016,33.19,33.19,33.36,33.00,77.72K,0.27%
Mar 08  2016,33.10,33.12,33.27,33.03,102.45K,-0.12%
Mar 07  2016,33.14,33.50,33.67,32.93,103.62K,-1.07%
Mar 04  2016,33.50,31.84,33.50,31.84,354.99K,5.51%
Mar 03  2016,31.75,31.58,31.87,31.26,250.50K,0.54%
Mar 02  2016,31.58,32.19,32.38,31.56,267.14K,-2.29%
Mar 01  2016,32.32,31.63,32.40,31.63,104.72K,2.41%
Feb 29  2016,31.56,32.53,32.60,31.56,192.07K,-2.68%
Feb 26  2016,32.43,32.23,32.50,31.95,158.54K,0.93%
Feb 25  2016,32.13,31.29,32.19,31.29,87.31K,2.42%
