Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,32.42,32.46,32.70,32.21,468.42K,0.15%
Apr 18  2016,32.37,31.61,32.64,31.50,379.92K,1.54%
Apr 15  2016,31.88,32.62,33.15,31.68,377.15K,-2.86%
Apr 14  2016,32.82,33.21,33.21,32.68,262.36K,-1.11%
Apr 13  2016,33.19,32.90,33.36,32.80,117.60K,1.16%
Apr 12  2016,32.81,32.96,33.30,32.66,305.46K,-0.12%
Apr 11  2016,32.85,32.86,33.00,32.63,131.22K,0.37%
Apr 08  2016,32.73,32.00,32.77,31.87,262.19K,3.02%
Apr 07  2016,31.77,32.33,32.46,31.56,223.79K,-2.00%
Apr 06  2016,32.42,32.18,32.44,31.60,349.24K,1.22%
Apr 05  2016,32.03,32.24,32.37,31.87,332.38K,-0.90%
Apr 04  2016,32.32,32.52,32.52,32.23,169.86K,-0.62%
Apr 01  2016,32.52,32.85,33.14,32.37,176.07K,-2.63%
Mar 31  2016,33.40,32.25,33.44,32.25,405.64K,3.31%
Mar 30  2016,32.33,32.65,32.87,32.28,212.30K,-0.15%
Mar 29  2016,32.38,32.14,32.39,32.05,134.73K,-0.06%
Mar 28  2016,32.40,32.35,32.68,32.16,89.07K,0.47%
Mar 24  2016,32.25,32.19,32.37,31.98,166.30K,-0.65%
Mar 23  2016,32.46,33.42,33.57,32.33,249.29K,-3.22%
Mar 22  2016,33.54,32.98,33.80,32.95,243.74K,1.82%
Mar 21  2016,32.94,33.31,33.31,32.55,185.72K,-0.84%
Mar 18  2016,33.22,33.12,33.29,32.71,345.76K,1.03%
Mar 17  2016,32.88,33.50,33.78,32.83,342.02K,-1.32%
Mar 16  2016,33.32,33.00,33.41,32.75,153.07K,1.77%
Mar 15  2016,32.74,32.70,32.86,32.38,150.42K,-0.30%
Mar 14  2016,32.84,32.67,33.00,32.50,160.01K,0.46%
Mar 11  2016,32.69,32.87,32.89,32.32,231.34K,0.71%
Mar 10  2016,32.46,33.37,33.37,32.27,252.39K,-2.73%
Mar 09  2016,33.37,33.23,33.64,33.15,332.82K,1.15%
Mar 08  2016,32.99,33.10,33.30,32.69,314.57K,-1.05%
Mar 07  2016,33.34,33.37,33.66,33.22,236.31K,0.73%
Mar 04  2016,33.10,33.11,33.34,32.75,318.00K,0.73%
Mar 03  2016,32.86,32.94,33.28,32.71,417.64K,-0.09%
Mar 02  2016,32.89,32.58,32.98,32.08,279.76K,0.89%
Mar 01  2016,32.60,32.43,32.80,32.03,301.86K,1.34%
Feb 29  2016,32.17,32.11,32.43,31.97,544.80K,0.19%
Feb 26  2016,32.11,32.45,32.45,32.06,487.98K,-0.80%
Feb 25  2016,32.37,32.25,33.05,32.02,482.01K,-2.56%
Feb 24  2016,33.22,32.26,33.23,32.01,166.94K,1.93%
Feb 23  2016,32.59,33.34,33.34,32.31,149.92K,-2.25%
Feb 22  2016,33.34,33.74,33.98,33.34,250.06K,0.45%
Feb 19  2016,33.19,32.69,33.29,32.16,250.54K,0.79%
Feb 18  2016,32.93,33.63,33.63,32.69,412.64K,-0.60%
Feb 17  2016,33.13,31.77,33.31,31.71,375.29K,4.94%
Feb 16  2016,31.57,31.48,31.68,30.79,376.64K,3.07%
Feb 12  2016,30.63,30.64,31.02,30.26,281.56K,1.09%
Feb 11  2016,30.30,29.94,30.65,29.57,345.70K,0.43%
Feb 10  2016,30.17,30.66,30.66,30.03,304.86K,-1.21%
Feb 09  2016,30.54,31.01,31.04,30.11,561.69K,-1.71%
Feb 08  2016,31.07,31.42,31.50,30.82,257.35K,-1.99%
Feb 05  2016,31.70,31.85,31.85,31.10,265.13K,-0.47%
Feb 04  2016,31.85,32.19,32.19,31.38,347.88K,-1.12%
Feb 03  2016,32.21,32.20,32.32,30.79,508.09K,2.16%
Feb 02  2016,31.53,31.20,31.64,30.87,376.54K,-0.82%
Feb 01  2016,31.79,32.50,32.51,31.07,423.64K,-3.02%
