Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,16.17,16.30,16.44,16.10,168.88K,-0.31%
Apr 18  2016,16.22,16.01,16.52,15.91,340.29K,0.81%
Apr 15  2016,16.09,16.32,16.32,15.97,155.47K,-1.41%
Apr 14  2016,16.32,16.23,16.66,16.05,332.78K,1.05%
Apr 13  2016,16.15,15.82,16.23,15.70,339.40K,2.74%
Apr 12  2016,15.72,15.94,15.95,15.55,229.46K,-0.76%
Apr 11  2016,15.84,16.07,16.14,15.69,235.67K,-1.31%
Apr 08  2016,16.05,16.72,16.72,15.80,285.01K,-2.85%
Apr 07  2016,16.52,17.00,17.30,16.34,284.03K,-3.34%
Apr 06  2016,17.09,16.96,17.16,16.75,351.37K,0.53%
Apr 05  2016,17.00,16.75,17.14,16.04,500.93K,0.77%
Apr 04  2016,16.87,17.84,18.25,16.82,666.04K,-6.02%
Apr 01  2016,17.95,17.27,18.13,17.22,1.21M,3.16%
Mar 31  2016,17.40,17.47,17.49,17.00,628.87K,0.58%
Mar 30  2016,17.30,16.99,17.33,16.50,922.30K,3.59%
Mar 29  2016,16.70,14.89,17.15,14.87,2.32M,12.76%
Mar 28  2016,14.81,15.46,15.65,14.50,559.98K,-4.14%
Mar 24  2016,15.45,14.82,15.60,14.75,2.35M,4.75%
Mar 23  2016,14.75,15.00,15.30,13.71,5.08M,-20.57%
Mar 22  2016,18.57,18.50,18.66,18.10,521.99K,-0.75%
Mar 21  2016,18.71,18.71,19.08,18.55,237.00K,0.21%
Mar 18  2016,18.67,18.72,18.77,18.48,340.67K,0.00%
Mar 17  2016,18.67,18.95,18.95,18.59,288.29K,-1.01%
Mar 16  2016,18.86,18.91,19.04,18.66,233.55K,-0.68%
Mar 15  2016,18.99,19.38,19.61,18.87,998.65K,2.10%
Mar 14  2016,18.60,19.02,19.09,18.50,589.90K,-2.11%
Mar 11  2016,19.00,19.16,19.17,18.88,293.74K,0.48%
Mar 10  2016,18.91,19.28,19.46,18.76,254.35K,-1.46%
Mar 09  2016,19.19,19.36,19.36,19.01,308.45K,1.00%
Mar 08  2016,19.00,19.35,19.42,18.59,483.37K,-1.86%
Mar 07  2016,19.36,19.74,19.80,19.11,498.60K,-1.22%
Mar 04  2016,19.60,20.08,20.12,19.32,766.68K,-1.16%
Mar 03  2016,19.83,20.41,21.82,19.39,1.34M,1.69%
Mar 02  2016,19.50,18.70,19.94,18.08,1.36M,-1.96%
Mar 01  2016,19.89,19.81,20.11,19.61,767.39K,1.64%
Feb 29  2016,19.57,19.62,19.82,19.20,526.13K,-0.61%
Feb 26  2016,19.69,19.38,19.79,19.12,1.31M,2.34%
Feb 25  2016,19.24,19.38,19.38,19.01,471.13K,-1.23%
Feb 24  2016,19.48,19.22,19.52,18.85,466.82K,1.19%
Feb 23  2016,19.25,19.23,19.48,18.95,675.64K,-0.05%
Feb 22  2016,19.26,18.59,19.70,18.50,1.75M,6.29%
Feb 19  2016,18.12,18.31,18.35,17.87,335.05K,-1.31%
Feb 18  2016,18.36,18.04,18.71,17.93,483.07K,0.38%
Feb 17  2016,18.29,18.43,18.89,18.29,441.87K,-0.33%
Feb 16  2016,18.35,18.46,18.46,18.04,455.62K,0.27%
Feb 12  2016,18.30,17.60,18.35,17.50,723.05K,6.33%
Feb 11  2016,17.21,17.43,17.96,17.03,412.28K,-2.82%
Feb 10  2016,17.71,18.23,18.39,17.56,321.32K,-2.48%
Feb 09  2016,18.16,18.21,18.75,17.91,469.50K,-1.73%
