Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,13.44,13.33,13.44,13.30,202.99K,1.13%
Apr 18  2016,13.29,13.06,13.31,13.05,150.67K,1.53%
Apr 15  2016,13.09,13.05,13.15,13.02,141.55K,0.08%
Apr 14  2016,13.08,13.05,13.12,13.00,215.24K,0.23%
Apr 13  2016,13.05,13.00,13.11,12.98,237.17K,0.77%
Apr 12  2016,12.95,12.93,12.95,12.83,446.75K,0.70%
Apr 11  2016,12.86,12.85,12.92,12.80,197.82K,0.55%
Apr 08  2016,12.79,12.82,12.93,12.77,166.84K,0.00%
Apr 07  2016,12.79,12.84,12.84,12.72,110.20K,-0.54%
Apr 06  2016,12.86,12.91,12.93,12.77,162.60K,-0.31%
Apr 05  2016,12.90,12.94,12.95,12.82,130.47K,-0.39%
Apr 04  2016,12.95,12.93,12.99,12.84,265.11K,0.47%
Apr 01  2016,12.89,12.85,12.89,12.73,238.25K,0.47%
Mar 31  2016,12.83,12.70,12.85,12.70,290.86K,1.02%
Mar 30  2016,12.70,12.54,12.75,12.52,371.83K,1.20%
Mar 29  2016,12.55,12.62,12.66,12.52,123.85K,-0.79%
Mar 28  2016,12.65,12.63,12.72,12.51,172.20K,0.32%
Mar 24  2016,12.61,12.65,12.65,12.49,202.44K,-0.24%
Mar 23  2016,12.64,12.94,12.96,12.61,212.70K,-2.32%
Mar 22  2016,12.94,12.94,13.04,12.88,207.76K,-0.38%
Mar 21  2016,12.99,12.75,12.99,12.75,170.58K,2.04%
Mar 18  2016,12.73,12.99,13.11,12.73,631.45K,-1.62%
Mar 17  2016,12.94,12.75,12.97,12.73,296.73K,1.81%
Mar 16  2016,12.71,12.66,12.74,12.60,208.47K,0.32%
Mar 15  2016,12.67,12.60,12.69,12.50,168.42K,0.00%
Mar 14  2016,12.67,12.62,12.72,12.52,164.83K,0.16%
Mar 11  2016,12.65,12.43,12.71,12.41,218.43K,2.02%
Mar 10  2016,12.40,12.38,12.43,12.22,295.50K,0.57%
Mar 09  2016,12.33,12.34,12.45,12.27,587.08K,0.33%
Mar 08  2016,12.29,12.30,12.35,12.27,300.13K,-0.08%
Mar 07  2016,12.30,12.30,12.42,12.25,297.58K,0.08%
Mar 04  2016,12.29,12.30,12.39,12.21,325.61K,-0.32%
Mar 03  2016,12.33,12.11,12.38,12.11,360.72K,1.65%
Mar 02  2016,12.13,12.25,12.29,12.10,447.14K,-1.14%
Mar 01  2016,12.27,12.23,12.33,11.86,1.03M,-1.05%
Feb 29  2016,12.40,12.17,12.42,12.17,249.01K,2.23%
Feb 26  2016,12.13,12.04,12.25,12.00,339.56K,1.08%
Feb 25  2016,12.00,12.01,12.08,11.97,289.89K,-0.74%
Feb 24  2016,12.09,11.95,12.10,11.76,409.60K,0.83%
Feb 23  2016,11.99,12.03,12.08,11.95,159.90K,-0.25%
Feb 22  2016,12.02,11.97,12.10,11.90,321.70K,0.84%
Feb 19  2016,11.92,11.97,12.04,11.81,422.60K,-0.42%
Feb 18  2016,11.97,11.65,11.99,11.60,299.19K,3.10%
Feb 17  2016,11.61,11.38,11.68,11.32,261.58K,2.65%
Feb 16  2016,11.31,11.20,11.32,11.11,309.29K,2.08%
Feb 12  2016,11.08,11.05,11.35,11.02,235.17K,1.09%
Feb 11  2016,10.96,11.03,11.11,10.90,209.99K,-1.62%
Feb 10  2016,11.14,11.25,11.36,11.14,224.96K,0.27%
Feb 09  2016,11.11,11.20,11.20,11.06,253.72K,-1.51%
Feb 08  2016,11.28,11.66,11.75,11.25,278.89K,-3.51%
Feb 05  2016,11.69,11.55,11.75,11.55,230.56K,0.86%
Feb 04  2016,11.59,11.59,11.77,11.56,208.55K,-0.52%
Feb 03  2016,11.65,11.66,11.69,11.51,285.27K,0.95%
Feb 02  2016,11.54,11.74,11.80,11.43,473.79K,-1.87%
Feb 01  2016,11.76,12.00,12.00,11.68,256.52K,-2.65%
Jan 29  2016,12.08,11.67,12.08,11.59,594.45K,4.32%
Jan 28  2016,11.58,11.46,11.67,11.33,293.72K,1.58%
Jan 27  2016,11.40,11.21,11.52,11.14,360.63K,0.88%
Jan 26  2016,11.30,11.56,11.56,11.24,328.23K,-0.96%
Jan 25  2016,11.41,11.71,11.72,11.40,398.09K,-2.48%
Jan 22  2016,11.70,11.33,12.00,11.33,704.04K,4.19%
Jan 21  2016,11.23,10.93,11.26,10.84,532.44K,2.00%
Jan 20  2016,11.01,10.90,11.05,10.45,524.85K,-0.36%
Jan 19  2016,11.05,10.98,11.11,10.89,195.84K,1.56%
Jan 18  2016,10.88,11.29,11.38,10.80,269.52K,-4.65%
Jan 15  2016,11.41,11.26,11.42,11.13,295.06K,-0.44%
Jan 14  2016,11.46,11.73,11.73,11.26,410.32K,-2.22%
Jan 13  2016,11.72,11.84,11.98,11.68,213.47K,-0.76%
Jan 12  2016,11.81,12.00,12.05,11.57,324.04K,-1.50%
Jan 11  2016,11.99,12.30,12.31,11.93,317.07K,-2.60%
Jan 08  2016,12.31,12.37,12.46,12.26,183.16K,0.08%
Jan 07  2016,12.30,12.55,12.79,12.30,366.41K,-3.07%
Jan 06  2016,12.69,12.54,12.77,12.48,354.56K,1.12%
Jan 05  2016,12.55,12.73,12.79,12.48,232.82K,-1.57%
Jan 04  2016,12.75,12.71,12.80,12.54,221.09K,-0.39%
Dec 31  2015,12.80,13.02,13.02,12.80,99.20K,-1.54%
Dec 30  2015,13.00,12.94,13.04,12.86,119.54K,0.78%
Dec 29  2015,12.90,13.00,13.02,12.80,128.49K,-0.39%
Dec 24  2015,12.95,12.96,13.03,12.75,81.63K,0.31%
Dec 23  2015,12.91,12.84,13.10,12.84,227.05K,0.08%
Dec 22  2015,12.90,12.89,12.90,12.70,490.25K,0.55%
Dec 21  2015,12.83,12.89,12.97,12.74,289.12K,-0.23%
Dec 18  2015,12.86,12.74,12.88,12.69,582.34K,0.55%
Dec 17  2015,12.79,12.64,12.92,12.55,561.22K,0.87%
Dec 16  2015,12.68,12.34,12.77,12.33,573.13K,3.34%
Dec 15  2015,12.27,11.85,12.31,11.85,671.69K,3.54%
Dec 14  2015,11.85,12.07,12.16,11.67,487.93K,-2.39%
Dec 11  2015,12.14,12.35,12.40,12.13,626.70K,-1.70%
Dec 10  2015,12.35,12.42,12.49,12.34,746.95K,-0.32%
Dec 09  2015,12.39,12.70,12.80,12.36,468.62K,-2.67%
Dec 08  2015,12.73,12.86,12.87,12.63,233.11K,-1.70%
Dec 07  2015,12.95,13.02,13.10,12.83,221.06K,-0.77%
Dec 04  2015,13.05,13.06,13.16,13.03,197.17K,-0.31%
Dec 03  2015,13.09,13.11,13.19,13.04,210.85K,0.00%
Dec 02  2015,13.09,13.30,13.30,13.02,343.51K,-1.65%
Dec 01  2015,13.31,13.38,13.53,13.29,287.36K,-1.04%
Nov 30  2015,13.45,13.45,13.55,13.40,212.97K,0.15%
Nov 27  2015,13.43,13.40,13.43,13.27,114.42K,0.22%
Nov 26  2015,13.40,13.35,13.46,13.33,61.81K,-0.15%
Nov 25  2015,13.42,13.40,13.44,13.35,118.22K,-0.22%
Nov 24  2015,13.45,13.30,13.59,13.30,180.95K,0.60%
Nov 23  2015,13.37,13.40,13.42,13.25,135.08K,-0.07%
Nov 20  2015,13.38,13.21,13.50,13.21,199.92K,0.98%
Nov 19  2015,13.25,13.17,13.28,12.95,607.57K,0.61%
Nov 18  2015,13.17,13.17,13.23,13.12,427.36K,-0.08%
Nov 17  2015,13.18,13.18,13.32,13.16,266.06K,0.00%
Nov 16  2015,13.18,13.10,13.24,13.09,250.52K,0.46%
Nov 13  2015,13.12,13.11,13.20,12.99,247.52K,-0.08%
Nov 12  2015,13.13,13.18,13.21,13.03,338.45K,-0.45%
Nov 11  2015,13.19,13.21,13.30,13.15,297.25K,-0.08%
Nov 10  2015,13.20,13.27,13.33,13.12,470.12K,-0.30%
Nov 09  2015,13.24,13.33,13.34,13.11,329.43K,-0.68%
Nov 06  2015,13.33,13.45,13.58,13.28,247.09K,-1.26%
Nov 05  2015,13.50,13.40,13.62,13.39,312.13K,0.30%
Nov 04  2015,13.46,13.51,13.57,13.25,263.92K,-0.52%
Nov 03  2015,13.53,13.52,13.61,13.38,219.00K,0.52%
Nov 02  2015,13.46,13.32,13.51,13.32,139.22K,0.52%
Oct 30  2015,13.39,13.60,13.60,13.39,160.51K,-1.40%
Oct 29  2015,13.58,13.38,13.58,13.31,148.95K,1.42%
Oct 28  2015,13.39,13.45,13.57,13.35,242.11K,-0.59%
Oct 27  2015,13.47,13.70,13.72,13.44,308.00K,-1.68%
Oct 26  2015,13.70,13.65,13.73,13.56,155.94K,0.51%
Oct 23  2015,13.63,13.81,13.84,13.63,187.05K,-0.87%
Oct 22  2015,13.75,13.60,13.75,13.50,210.14K,1.63%
Oct 21  2015,13.53,13.64,13.64,13.53,317.72K,-0.29%
Oct 20  2015,13.57,13.57,13.78,13.56,176.17K,0.07%
Oct 19  2015,13.56,13.55,13.61,13.45,234.05K,0.52%
Oct 16  2015,13.49,13.42,13.61,13.42,188.33K,0.82%
Oct 15  2015,13.38,13.32,13.41,13.26,174.32K,0.45%
Oct 14  2015,13.32,13.43,13.50,13.32,264.82K,-0.82%
Oct 13  2015,13.43,13.57,13.57,13.32,283.16K,-0.67%
Oct 09  2015,13.52,13.35,13.53,13.25,263.29K,1.65%
Oct 08  2015,13.30,13.23,13.30,13.15,351.41K,0.83%
Oct 07  2015,13.19,12.94,13.22,12.94,313.36K,3.45%
Oct 06  2015,12.75,13.17,13.17,12.75,222.32K,-2.67%
Oct 05  2015,13.10,12.84,13.15,12.82,254.62K,2.18%
Oct 02  2015,12.82,12.59,12.87,12.56,181.20K,1.42%
Oct 01  2015,12.64,12.68,12.78,12.49,248.22K,-0.32%
Sep 30  2015,12.68,12.43,12.71,12.43,242.40K,1.04%
Sep 29  2015,12.55,12.40,12.55,12.35,208.68K,1.62%
Sep 28  2015,12.35,12.64,12.64,12.31,221.48K,-2.53%
Sep 25  2015,12.67,12.55,12.73,12.45,298.89K,1.28%
Sep 24  2015,12.51,12.39,12.55,12.27,427.99K,0.72%
Sep 23  2015,12.42,12.67,12.72,12.40,200.91K,-2.20%
Sep 22  2015,12.70,12.66,12.85,12.61,665.83K,-0.16%
Sep 21  2015,12.72,12.30,12.74,12.27,648.22K,3.92%
Sep 18  2015,12.24,12.24,12.48,12.20,2.60M,-0.57%
Sep 17  2015,12.31,12.34,12.39,12.21,317.38K,0.08%
Sep 16  2015,12.30,12.22,12.37,12.18,434.39K,0.41%
Sep 15  2015,12.25,12.19,12.29,12.14,182.85K,0.66%
Sep 14  2015,12.17,12.16,12.23,12.12,245.54K,0.25%
Sep 11  2015,12.14,12.15,12.23,12.11,216.96K,-0.16%
Sep 10  2015,12.16,12.10,12.20,12.05,136.13K,0.50%
Sep 09  2015,12.10,12.26,12.29,12.10,200.98K,-0.49%
Sep 08  2015,12.16,12.14,12.29,12.12,235.83K,0.41%
Sep 04  2015,12.11,12.35,12.35,12.04,236.47K,-2.34%
Sep 03  2015,12.40,12.35,12.40,12.22,209.47K,1.47%
Sep 02  2015,12.22,12.22,12.35,12.18,245.89K,0.41%
Sep 01  2015,12.17,12.20,12.32,12.12,203.69K,-0.73%
Aug 31  2015,12.26,12.32,12.37,12.21,178.29K,-0.33%
Aug 28  2015,12.30,12.32,12.41,12.20,278.19K,-0.16%
Aug 27  2015,12.32,12.34,12.52,12.28,373.08K,0.08%
Aug 26  2015,12.31,12.42,12.43,12.05,283.18K,0.57%
Aug 25  2015,12.24,12.29,12.49,12.15,371.33K,2.09%
Aug 24  2015,11.99,12.00,12.30,11.59,484.37K,-4.92%
Aug 21  2015,12.61,12.78,12.85,12.56,324.37K,-2.10%
Aug 20  2015,12.88,13.01,13.04,12.87,191.15K,-1.53%
Aug 19  2015,13.08,13.31,13.34,13.06,575.04K,-1.28%
Aug 18  2015,13.25,13.13,13.32,13.12,157.19K,0.68%
Aug 17  2015,13.16,13.14,13.22,13.14,138.45K,-0.08%
Aug 14  2015,13.17,13.11,13.18,13.10,209.77K,0.69%
Aug 13  2015,13.08,13.22,13.23,13.06,156.04K,-1.21%
Aug 12  2015,13.24,13.11,13.28,13.08,132.18K,0.38%
Aug 11  2015,13.19,13.20,13.20,13.04,215.62K,0.00%
Aug 10  2015,13.19,13.20,13.27,13.15,309.28K,0.46%
Aug 07  2015,13.13,12.92,13.16,12.81,236.13K,2.58%
Aug 06  2015,12.80,13.15,13.15,12.75,178.37K,-2.44%
Aug 05  2015,13.12,13.24,13.24,13.06,142.50K,-0.53%
Aug 04  2015,13.19,13.16,13.25,13.03,146.18K,0.23%
Jul 31  2015,13.16,12.89,13.16,12.89,239.96K,2.17%
Jul 30  2015,12.88,13.26,13.35,12.87,181.85K,-3.45%
Jul 29  2015,13.34,13.04,13.34,12.84,271.14K,2.46%
Jul 28  2015,13.02,12.97,13.24,12.97,198.05K,0.31%
Jul 27  2015,12.98,13.23,13.24,12.93,305.78K,-2.55%
Jul 24  2015,13.32,13.43,13.50,13.26,248.79K,-0.67%
Jul 23  2015,13.41,13.72,13.72,13.37,215.40K,-1.97%
Jul 22  2015,13.68,13.80,13.85,13.63,221.82K,-1.37%
Jul 21  2015,13.87,13.69,13.97,13.69,160.54K,0.87%
Jul 20  2015,13.75,13.85,13.90,13.74,227.70K,-1.08%
Jul 17  2015,13.90,13.96,13.97,13.76,215.25K,-0.71%
Jul 16  2015,14.00,13.96,14.08,13.89,256.29K,0.29%
Jul 15  2015,13.96,13.64,14.03,13.61,207.65K,1.97%
Jul 14  2015,13.69,13.69,13.75,13.58,747.58K,0.15%
Jul 13  2015,13.67,13.68,13.94,13.61,467.17K,0.66%
Jul 10  2015,13.58,13.62,13.73,13.58,181.60K,0.15%
Jul 09  2015,13.56,13.80,13.80,13.56,143.48K,-1.31%
Jul 08  2015,13.74,13.88,13.89,13.67,239.63K,-1.43%
Jul 07  2015,13.94,13.80,13.95,13.73,170.74K,0.87%
Jul 06  2015,13.82,13.56,13.82,13.52,118.27K,1.62%
Jul 03  2015,13.60,13.63,13.63,13.47,52.26K,0.37%
Jul 02  2015,13.55,13.69,13.88,13.55,146.72K,-1.17%
Jun 30  2015,13.71,13.52,13.71,13.30,244.83K,2.47%
Jun 29  2015,13.38,13.70,13.77,13.36,205.74K,-2.76%
Jun 26  2015,13.76,13.95,13.95,13.72,175.12K,-1.50%
Jun 25  2015,13.97,14.09,14.09,13.93,120.55K,-0.71%
Jun 24  2015,14.07,13.96,14.14,13.96,138.63K,0.36%
Jun 23  2015,14.02,13.97,14.06,13.87,142.94K,0.86%
Jun 22  2015,13.90,14.22,14.22,13.90,188.32K,-0.86%
Jun 19  2015,14.02,14.28,14.28,14.02,417.48K,-1.82%
Jun 18  2015,14.28,13.90,14.29,13.85,332.80K,2.96%
Jun 17  2015,13.87,13.66,13.89,13.65,247.13K,1.91%
Jun 16  2015,13.61,13.76,13.79,13.60,127.56K,-0.95%
Jun 15  2015,13.74,13.66,13.78,13.65,135.03K,0.29%
Jun 12  2015,13.70,13.74,13.76,13.60,193.11K,-0.36%
Jun 11  2015,13.75,13.74,13.78,13.65,169.66K,0.29%
Jun 10  2015,13.71,13.75,13.81,13.68,186.41K,0.22%
Jun 09  2015,13.68,13.65,13.75,13.59,563.70K,0.22%
Jun 08  2015,13.65,13.92,13.92,13.58,376.19K,-1.87%
Jun 05  2015,13.91,14.00,14.05,13.91,172.34K,-1.07%
Jun 04  2015,14.06,14.03,14.07,14.01,90.61K,0.36%
Jun 03  2015,14.01,14.09,14.15,13.94,325.64K,-0.85%
Jun 02  2015,14.13,14.15,14.19,14.07,118.28K,-0.56%
Jun 01  2015,14.21,14.09,14.21,14.09,109.59K,1.00%
May 29  2015,14.07,14.22,14.30,14.07,182.08K,-1.12%
May 28  2015,14.23,14.20,14.27,14.12,179.14K,0.35%
May 27  2015,14.18,14.27,14.30,14.16,138.36K,-0.77%
May 26  2015,14.29,14.39,14.39,14.20,211.97K,-0.49%
May 25  2015,14.36,14.35,14.40,14.31,88.25K,0.07%
May 22  2015,14.35,14.36,14.41,14.34,81.90K,0.07%
May 21  2015,14.34,14.34,14.41,14.33,122.73K,-0.07%
