Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,39.74,39.70,40.00,39.24,98.56K,0.10%
Apr 18  2016,39.70,38.93,39.75,38.93,89.59K,1.48%
Apr 15  2016,39.12,38.80,39.16,38.78,81.15K,0.54%
Apr 14  2016,38.91,38.87,39.25,38.72,97.69K,-0.03%
Apr 13  2016,38.92,38.90,39.08,38.65,58.01K,0.21%
Apr 12  2016,38.84,38.52,38.94,38.32,72.90K,1.01%
Apr 11  2016,38.45,38.75,38.97,38.41,80.44K,-0.59%
Apr 08  2016,38.68,39.13,39.28,38.44,144.55K,-0.80%
Apr 07  2016,38.99,39.02,39.40,38.81,84.16K,-0.31%
Apr 06  2016,39.11,39.48,39.50,38.93,59.05K,-1.04%
Apr 05  2016,39.52,39.41,39.70,39.13,73.52K,-0.43%
Apr 04  2016,39.69,39.52,39.75,39.34,65.60K,0.30%
Apr 01  2016,39.57,39.08,39.67,38.79,48.54K,0.74%
Mar 31  2016,39.28,39.51,39.68,39.27,130.44K,-0.30%
Mar 30  2016,39.40,39.12,39.65,39.12,110.58K,0.48%
Mar 29  2016,39.21,38.86,39.43,38.86,47.57K,0.87%
Mar 28  2016,38.87,38.73,38.93,38.50,65.65K,0.67%
Mar 24  2016,38.61,38.79,38.97,38.25,100.99K,-1.15%
Mar 23  2016,39.06,39.48,39.48,38.71,147.02K,-0.76%
Mar 22  2016,39.36,39.02,39.75,39.02,172.81K,0.31%
Mar 21  2016,39.24,38.55,39.38,38.48,128.97K,1.50%
Mar 18  2016,38.66,39.19,39.41,38.42,382.60K,-0.92%
Mar 17  2016,39.02,38.25,39.32,38.25,153.86K,1.88%
Mar 16  2016,38.30,38.23,38.50,38.03,121.53K,0.00%
Mar 15  2016,38.30,38.58,38.58,37.94,69.17K,-0.83%
Mar 14  2016,38.62,38.71,38.86,38.12,96.30K,-0.59%
Mar 11  2016,38.85,38.84,39.59,38.59,152.66K,0.67%
Mar 10  2016,38.59,38.52,38.81,38.19,136.15K,0.21%
Mar 09  2016,38.51,39.12,39.19,38.42,213.65K,-1.16%
Mar 08  2016,38.96,38.20,39.06,38.18,230.41K,1.86%
Mar 07  2016,38.25,37.44,38.56,37.44,178.59K,1.78%
Mar 04  2016,37.58,37.31,37.83,37.23,112.91K,0.80%
Mar 03  2016,37.28,36.98,37.41,36.60,148.63K,0.49%
Mar 02  2016,37.10,36.45,37.14,36.43,117.79K,1.26%
Mar 01  2016,36.64,35.98,36.66,35.91,166.53K,2.15%
Feb 29  2016,35.87,35.61,36.21,35.53,223.06K,1.01%
Feb 26  2016,35.51,36.48,36.48,35.46,206.33K,-2.58%
