Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,1.04,1.05,1.07,1.01,3.03M,0.97%
Apr 18  2016,1.03,0.99,1.08,0.99,1.57M,-2.83%
Apr 15  2016,1.06,1.05,1.06,1.04,367.60K,-2.75%
Apr 14  2016,1.09,1.09,1.10,1.06,1.48M,0.00%
Apr 13  2016,1.09,1.07,1.11,1.04,2.84M,1.87%
Apr 12  2016,1.07,1.01,1.08,0.99,3.69M,8.08%
Apr 11  2016,0.99,1.01,1.04,0.99,1.85M,-1.98%
Apr 08  2016,1.01,1.00,1.03,0.99,1.60M,3.06%
Apr 07  2016,0.98,0.98,1.00,0.96,740.50K,-2.00%
Apr 06  2016,1.00,0.98,1.02,0.96,1.37M,5.26%
Apr 05  2016,0.95,0.95,0.97,0.94,874.46K,0.00%
Apr 04  2016,0.95,1.00,1.01,0.95,1.48M,-5.00%
Apr 01  2016,1.00,0.99,1.01,0.97,2.40M,-2.91%
Mar 31  2016,1.03,1.04,1.06,0.99,1.85M,-0.96%
Mar 30  2016,1.04,1.08,1.10,1.01,2.75M,-2.80%
Mar 29  2016,1.07,1.09,1.10,1.03,2.80M,-3.60%
Mar 28  2016,1.11,1.15,1.15,1.10,1.47M,-3.48%
Mar 24  2016,1.15,1.11,1.16,1.10,1.51M,0.00%
Mar 23  2016,1.15,1.19,1.20,1.12,1.82M,-3.36%
Mar 22  2016,1.19,1.17,1.20,1.15,957.79K,1.71%
Mar 21  2016,1.17,1.20,1.22,1.17,823.15K,-0.85%
Mar 18  2016,1.18,1.23,1.25,1.16,25.99M,-2.48%
Mar 17  2016,1.21,1.12,1.21,1.09,3.04M,11.01%
Mar 16  2016,1.09,1.12,1.12,1.08,843.70K,-0.91%
Mar 15  2016,1.10,1.09,1.10,1.05,1.31M,-4.35%
Mar 14  2016,1.15,1.14,1.17,1.08,1.02M,-1.71%
Mar 11  2016,1.17,1.20,1.23,1.14,1.36M,-0.85%
Mar 10  2016,1.18,1.16,1.18,1.12,1.11M,1.72%
Mar 09  2016,1.16,1.19,1.21,1.14,1.40M,0.00%
Mar 08  2016,1.16,1.26,1.26,1.15,1.27M,-7.94%
Mar 07  2016,1.26,1.30,1.34,1.25,2.76M,2.44%
Mar 04  2016,1.23,1.11,1.27,1.11,2.94M,11.82%
Mar 03  2016,1.10,1.00,1.11,0.99,4.84M,12.24%
Mar 02  2016,0.98,0.95,1.00,0.91,2.93M,3.16%
Mar 01  2016,0.95,1.01,1.03,0.95,2.78M,-4.04%
Feb 29  2016,0.99,1.00,1.02,0.99,657.04K,0.00%
Feb 26  2016,0.99,1.02,1.04,0.97,1.31M,2.06%
Feb 25  2016,0.97,1.01,1.02,0.96,739.00K,-3.00%
Feb 24  2016,1.00,1.00,1.01,0.93,1.64M,-0.99%
Feb 23  2016,1.01,1.07,1.08,1.01,1.14M,-5.61%
Feb 22  2016,1.07,1.12,1.14,1.07,1.45M,0.00%
Feb 19  2016,1.07,1.05,1.09,1.04,546.39K,0.00%
Feb 18  2016,1.07,1.15,1.16,1.07,1.81M,-3.60%
Feb 17  2016,1.11,1.05,1.14,1.03,1.50M,7.77%
Feb 16  2016,1.03,1.15,1.16,1.01,2.71M,-8.04%
Feb 12  2016,1.12,1.21,1.23,1.10,1.93M,-2.61%
Feb 11  2016,1.15,1.20,1.21,1.13,1.41M,-4.96%
Feb 10  2016,1.21,1.37,1.41,1.21,2.36M,-12.95%
Feb 09  2016,1.39,1.46,1.48,1.38,1.33M,-6.08%
Feb 08  2016,1.48,1.55,1.57,1.46,1.05M,-5.13%
Feb 05  2016,1.56,1.50,1.58,1.46,862.41K,4.00%
Feb 04  2016,1.50,1.44,1.51,1.44,1.84M,3.45%
Feb 03  2016,1.45,1.47,1.47,1.40,976.71K,2.11%
Feb 02  2016,1.42,1.41,1.45,1.36,616.03K,-2.07%
Feb 01  2016,1.45,1.44,1.47,1.41,731.17K,-2.03%
Jan 29  2016,1.48,1.54,1.55,1.45,2.18M,-1.33%
Jan 28  2016,1.50,1.64,1.95,1.48,4.13M,2.74%
Jan 27  2016,1.46,1.37,1.49,1.37,755.57K,2.82%
Jan 26  2016,1.42,1.39,1.44,1.35,570.70K,3.65%
Jan 25  2016,1.37,1.35,1.40,1.33,1.04M,-2.14%
Jan 22  2016,1.40,1.33,1.42,1.30,1.80M,8.53%
