Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,19.97,19.43,19.97,19.30,91.05K,2.67%
Apr 18  2016,19.45,19.51,19.83,19.10,133.00K,-1.47%
Apr 15  2016,19.74,19.97,20.03,19.37,83.70K,-1.30%
Apr 14  2016,20.00,19.83,20.14,19.61,81.30K,0.86%
Apr 13  2016,19.83,20.10,20.19,19.54,124.94K,-0.90%
Apr 12  2016,20.01,19.48,20.50,19.10,205.91K,3.73%
Apr 11  2016,19.29,18.95,19.50,18.90,84.21K,2.72%
Apr 08  2016,18.78,18.64,19.05,18.55,101.21K,2.07%
Apr 07  2016,18.40,18.43,18.54,18.17,97.87K,-0.27%
Apr 06  2016,18.45,18.10,18.57,18.02,149.35K,2.61%
Apr 05  2016,17.98,17.90,18.26,17.85,77.83K,0.17%
Apr 04  2016,17.95,18.35,18.35,17.75,145.65K,-1.27%
Apr 01  2016,18.18,18.09,18.45,17.85,135.33K,-0.22%
Mar 31  2016,18.22,17.36,18.25,17.29,160.56K,5.26%
Mar 30  2016,17.31,17.28,17.67,17.15,107.91K,1.23%
Mar 29  2016,17.10,17.33,17.33,16.70,173.70K,-1.50%
Mar 28  2016,17.36,17.47,17.50,17.09,119.09K,-0.34%
Mar 24  2016,17.42,16.34,17.58,16.10,184.69K,5.45%
Mar 23  2016,16.52,17.00,17.04,16.45,272.46K,-3.56%
Mar 22  2016,17.13,17.03,17.45,17.02,234.79K,0.76%
Mar 21  2016,17.00,17.86,17.86,16.60,535.30K,-5.56%
Mar 18  2016,18.00,18.68,18.75,17.80,1.89M,-5.96%
Mar 17  2016,19.14,18.60,19.15,18.52,491.86K,3.18%
Mar 16  2016,18.55,18.50,18.70,18.00,383.31K,1.59%
Mar 15  2016,18.26,19.72,19.72,18.13,325.13K,-7.87%
Mar 14  2016,19.82,20.02,20.13,19.13,178.96K,-1.29%
Mar 11  2016,20.08,19.64,20.40,19.58,194.59K,3.67%
Mar 10  2016,19.37,19.93,19.93,19.25,80.76K,0.99%
