Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,16.47,16.40,16.47,16.25,124.33K,0.92%
Apr 18  2016,16.32,16.18,16.46,16.18,38.29K,0.06%
Apr 15  2016,16.31,16.17,16.45,16.17,59.95K,0.18%
Apr 14  2016,16.28,16.18,16.40,16.15,77.59K,0.62%
Apr 13  2016,16.18,16.19,16.40,15.87,144.24K,0.00%
Apr 12  2016,16.18,15.60,16.40,15.58,185.63K,3.65%
Apr 11  2016,15.61,15.24,15.66,15.24,106.89K,2.63%
Apr 08  2016,15.21,15.29,15.34,15.10,42.54K,0.00%
Apr 07  2016,15.21,15.25,15.37,15.17,49.74K,-0.39%
Apr 06  2016,15.27,15.03,15.38,14.80,137.95K,1.94%
Apr 05  2016,14.98,14.94,15.10,14.54,120.13K,-0.13%
Apr 04  2016,15.00,15.10,15.15,14.94,69.99K,-0.73%
Apr 01  2016,15.11,14.92,15.18,14.83,63.20K,0.40%
Mar 31  2016,15.05,15.19,15.37,14.93,165.70K,-0.73%
Mar 30  2016,15.16,14.62,15.19,14.60,173.69K,4.05%
Mar 29  2016,14.57,14.50,14.59,14.34,93.62K,0.00%
Mar 28  2016,14.57,14.45,14.60,14.26,24.93K,0.62%
Mar 24  2016,14.48,14.73,14.74,14.25,37.26K,-2.23%
Mar 23  2016,14.81,14.69,14.85,14.69,33.33K,0.14%
Mar 22  2016,14.79,14.38,14.81,14.38,65.05K,2.14%
Mar 21  2016,14.48,14.70,14.76,14.43,38.78K,-1.30%
Mar 18  2016,14.67,14.51,14.68,14.40,72.72K,0.34%
Mar 17  2016,14.62,14.60,14.75,14.45,137.99K,0.21%
Mar 16  2016,14.59,14.45,14.81,14.32,103.80K,0.97%
Mar 15  2016,14.45,14.93,14.94,14.30,70.51K,-3.54%
Mar 14  2016,14.98,15.13,15.17,14.89,115.87K,-0.93%
Mar 11  2016,15.12,14.98,15.23,14.92,121.00K,1.48%
Mar 10  2016,14.90,14.94,15.07,14.45,131.53K,0.20%
Mar 09  2016,14.87,15.30,15.40,14.85,122.02K,-2.36%
Mar 08  2016,15.23,15.30,15.40,14.92,157.03K,-0.46%
Mar 07  2016,15.30,14.46,15.48,14.46,313.85K,5.52%
Mar 04  2016,14.50,15.14,15.18,14.42,247.26K,-4.04%
Mar 03  2016,15.11,14.97,15.23,14.94,270.18K,0.33%
Mar 02  2016,15.06,14.00,15.21,14.00,622.13K,11.72%
Mar 01  2016,13.48,12.99,13.58,12.95,221.75K,3.69%
Feb 29  2016,13.00,12.79,13.20,12.79,241.81K,1.64%
