Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,2.480,2.400,2.480,2.360,6.80M,6.44%
Apr 18  2016,2.330,2.360,2.370,2.310,3.06M,0.43%
Apr 15  2016,2.320,2.250,2.320,2.190,3.65M,3.57%
Apr 14  2016,2.240,2.300,2.340,2.200,4.05M,-4.27%
Apr 13  2016,2.340,2.320,2.370,2.290,5.09M,-1.68%
Apr 12  2016,2.380,2.380,2.430,2.320,5.64M,0.85%
Apr 11  2016,2.360,2.200,2.400,2.190,11.71M,9.26%
Apr 08  2016,2.160,2.110,2.180,2.110,3.59M,0.47%
Apr 07  2016,2.150,2.130,2.170,2.100,7.89M,3.37%
Apr 06  2016,2.080,2.120,2.150,2.060,5.31M,-3.26%
Apr 05  2016,2.150,2.170,2.200,2.140,7.02M,1.42%
Apr 04  2016,2.120,2.150,2.170,2.110,1.61M,-2.75%
Apr 01  2016,2.180,2.120,2.190,2.060,3.53M,0.93%
Mar 31  2016,2.160,2.270,2.280,2.160,5.72M,-2.70%
Mar 30  2016,2.220,2.230,2.270,2.190,7.37M,-2.20%
Mar 29  2016,2.270,2.110,2.270,2.100,7.34M,7.58%
Mar 28  2016,2.110,2.120,2.130,2.050,2.95M,0.00%
Mar 24  2016,2.110,2.040,2.140,2.040,3.88M,3.43%
Mar 23  2016,2.040,2.050,2.140,2.010,9.38M,-5.56%
Mar 22  2016,2.160,2.160,2.210,2.100,5.11M,0.93%
Mar 21  2016,2.140,2.050,2.150,2.040,5.72M,0.00%
Mar 18  2016,2.140,2.040,2.150,1.990,7.13M,2.88%
Mar 17  2016,2.080,2.140,2.220,2.020,13.63M,-0.95%
Mar 16  2016,2.100,1.890,2.110,1.870,9.31M,10.53%
Mar 15  2016,1.900,1.800,1.920,1.750,12.04M,8.57%
Mar 14  2016,1.750,1.760,1.820,1.710,5.75M,0.00%
Mar 11  2016,1.750,1.870,1.880,1.750,5.41M,-7.41%
Mar 10  2016,1.890,1.770,1.890,1.770,9.59M,8.62%
Mar 09  2016,1.740,1.680,1.760,1.640,9.94M,0.58%
Mar 08  2016,1.730,1.820,1.840,1.720,6.81M,-3.89%
Mar 07  2016,1.800,1.730,1.840,1.720,7.75M,6.51%
Mar 04  2016,1.690,1.580,1.750,1.580,20.90M,7.64%
Mar 03  2016,1.570,1.470,1.580,1.470,11.80M,8.28%
Mar 02  2016,1.450,1.440,1.470,1.420,10.92M,2.84%
Mar 01  2016,1.410,1.520,1.540,1.400,11.04M,-6.62%
Feb 29  2016,1.510,1.470,1.520,1.470,3.17M,4.14%
Feb 26  2016,1.450,1.490,1.530,1.450,5.36M,-2.68%
Feb 25  2016,1.490,1.490,1.530,1.470,6.25M,0.00%
Feb 24  2016,1.490,1.550,1.610,1.450,13.83M,0.68%
Feb 23  2016,1.480,1.470,1.520,1.450,3.45M,2.78%
Feb 22  2016,1.440,1.450,1.480,1.420,5.57M,-4.00%
Feb 19  2016,1.500,1.520,1.560,1.480,9.78M,-2.60%
Feb 18  2016,1.540,1.370,1.540,1.350,7.04M,10.79%
Feb 17  2016,1.390,1.370,1.400,1.310,7.62M,2.96%
Feb 16  2016,1.350,1.300,1.420,1.300,11.37M,-4.93%
Feb 12  2016,1.420,1.380,1.430,1.360,5.73M,0.00%
Feb 11  2016,1.420,1.400,1.430,1.320,18.32M,14.52%
Feb 10  2016,1.240,1.210,1.270,1.200,16.35M,1.64%
Feb 09  2016,1.220,1.250,1.280,1.200,17.84M,0.00%
