Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,59.65,59.68,59.71,59.30,1.23M,-0.05%
Apr 18  2016,59.68,59.57,59.81,59.43,2.04M,-0.10%
Apr 15  2016,59.74,59.93,60.39,59.58,1.33M,-0.35%
Apr 14  2016,59.95,59.70,59.95,59.56,1.06M,0.50%
Apr 13  2016,59.65,59.84,59.89,59.36,886.38K,0.24%
Apr 12  2016,59.51,59.51,59.69,59.36,1.16M,0.46%
Apr 11  2016,59.24,59.90,59.90,59.17,1.04M,-1.04%
Apr 08  2016,59.86,59.61,59.90,59.61,1.02M,0.42%
Apr 07  2016,59.61,59.30,59.76,59.11,1.11M,0.35%
Apr 06  2016,59.40,59.48,59.73,59.08,1.09M,-0.25%
Apr 05  2016,59.55,59.67,59.87,59.27,1.09M,-0.50%
Apr 04  2016,59.85,59.41,59.92,59.24,1.42M,0.74%
Apr 01  2016,59.41,59.01,59.41,58.85,930.74K,0.37%
Mar 31  2016,59.19,59.45,59.52,59.02,1.20M,-0.40%
Mar 30  2016,59.43,59.42,59.80,59.18,1.10M,0.13%
Mar 29  2016,59.35,59.29,59.55,59.03,1.27M,0.07%
Mar 28  2016,59.31,59.30,59.35,58.91,1.33M,0.02%
Mar 24  2016,59.30,58.98,59.47,58.89,1.64M,0.46%
Mar 23  2016,59.03,57.84,59.09,57.78,1.56M,1.57%
Mar 22  2016,58.12,58.11,58.57,58.10,913.15K,-0.43%
Mar 21  2016,58.37,57.87,58.45,57.87,831.47K,0.93%
Mar 18  2016,57.83,58.52,58.54,57.83,3.82M,-1.47%
Mar 17  2016,58.69,58.49,58.95,58.37,1.42M,0.50%
Mar 16  2016,58.40,58.55,59.00,58.35,1.42M,-0.22%
Mar 15  2016,58.53,57.99,58.53,57.85,1.46M,0.91%
Mar 14  2016,58.00,57.69,58.04,57.45,1.68M,0.62%
Mar 11  2016,57.64,58.48,58.62,57.54,2.02M,-1.91%
Mar 10  2016,58.76,59.50,59.85,58.32,2.12M,-1.09%
Mar 09  2016,59.41,58.79,59.46,58.54,2.04M,1.66%
Mar 08  2016,58.44,57.75,58.75,57.60,1.92M,1.51%
Mar 07  2016,57.57,57.39,58.06,57.20,2.11M,0.10%
Mar 04  2016,57.51,57.16,57.66,56.69,1.72M,0.81%
Mar 03  2016,57.05,57.99,58.13,56.78,2.16M,-1.25%
Mar 02  2016,57.77,58.56,58.56,57.65,1.23M,-1.35%
Mar 01  2016,58.56,58.71,58.90,58.43,1.18M,0.21%
Feb 29  2016,58.44,58.03,58.75,57.99,1.84M,0.71%
Feb 26  2016,58.03,58.34,58.51,57.71,1.67M,-0.38%
Feb 25  2016,58.25,58.50,58.63,58.20,1.08M,-0.29%
Feb 24  2016,58.42,58.34,58.73,58.01,1.48M,-0.53%
Feb 23  2016,58.73,58.37,58.90,58.36,890.76K,0.60%
Feb 22  2016,58.38,59.00,59.13,58.28,1.77M,-1.15%
Feb 19  2016,59.06,58.28,59.19,58.28,1.69M,0.66%
Feb 18  2016,58.67,58.00,58.69,57.86,1.59M,0.98%
Feb 17  2016,58.10,58.15,58.35,57.70,2.27M,-0.03%
Feb 16  2016,58.12,57.99,58.35,57.71,1.60M,0.73%
Feb 12  2016,57.70,57.36,57.89,57.26,1.52M,0.72%
Feb 11  2016,57.29,57.03,57.60,56.89,2.02M,-0.66%
Feb 10  2016,57.67,58.14,58.46,57.44,1.99M,-0.77%
Feb 09  2016,58.12,57.75,58.41,57.32,2.11M,-0.19%
Feb 08  2016,58.23,57.97,58.48,57.75,2.15M,0.12%
Feb 05  2016,58.16,57.60,58.20,57.36,1.55M,1.13%
Feb 04  2016,57.51,57.00,57.75,56.85,2.11M,1.36%
Feb 03  2016,56.74,56.33,56.90,56.29,1.88M,0.60%
Feb 02  2016,56.40,56.26,56.51,55.97,1.26M,-0.67%
Feb 01  2016,56.78,56.41,56.97,55.70,1.13M,0.62%
Jan 29  2016,56.43,55.75,56.82,55.68,1.91M,1.27%
Jan 28  2016,55.72,55.69,55.83,54.95,1.35M,1.31%
Jan 27  2016,55.00,55.05,55.75,54.85,1.67M,-0.92%
Jan 26  2016,55.51,55.00,55.83,54.93,1.09M,0.63%
Jan 25  2016,55.16,55.12,55.40,54.94,1.07M,-0.38%
Jan 22  2016,55.37,54.82,55.40,54.27,1.55M,2.52%
Jan 21  2016,54.01,53.43,54.11,53.06,1.58M,0.86%
Jan 20  2016,53.55,53.95,54.00,52.50,2.77M,-1.71%
Jan 19  2016,54.48,54.52,55.34,54.01,1.88M,0.72%
Jan 18  2016,54.09,54.51,54.79,53.90,684.97K,-1.28%
Jan 15  2016,54.79,54.01,54.91,54.01,2.08M,-0.53%
Jan 14  2016,55.08,54.90,55.15,54.58,1.62M,0.33%
Jan 13  2016,54.90,55.82,56.04,54.83,1.97M,-1.44%
Jan 12  2016,55.70,54.84,55.80,54.82,2.34M,2.03%
Jan 11  2016,54.59,54.38,54.75,53.89,1.94M,0.70%
