Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,19.70,20.03,20.22,19.66,93.08K,-2.76%
Apr 18  2016,20.26,19.56,20.43,19.56,55.86K,3.26%
Apr 15  2016,19.62,19.56,19.91,19.53,55.57K,0.36%
Apr 14  2016,19.55,20.00,20.00,19.26,178.56K,-1.86%
Apr 13  2016,19.92,19.75,20.54,19.75,164.99K,0.66%
Apr 12  2016,19.79,19.28,19.79,19.26,87.66K,3.07%
Apr 11  2016,19.20,19.47,19.85,19.10,139.18K,-0.21%
Apr 08  2016,19.24,19.30,19.41,19.01,141.41K,0.16%
Apr 07  2016,19.21,19.08,19.29,19.01,97.38K,0.31%
Apr 06  2016,19.15,19.48,19.50,18.90,135.79K,-1.29%
Apr 05  2016,19.40,19.77,19.77,19.40,145.54K,-2.37%
Apr 04  2016,19.87,20.50,20.65,19.86,80.26K,-3.07%
Apr 01  2016,20.50,19.36,20.74,19.19,140.89K,5.51%
Mar 31  2016,19.43,20.21,20.29,19.35,99.42K,-3.00%
Mar 30  2016,20.03,19.60,20.15,19.56,84.31K,2.72%
Mar 29  2016,19.50,19.58,19.63,19.18,138.50K,0.21%
Mar 28  2016,19.46,19.75,19.75,19.02,51.66K,-0.92%
Mar 24  2016,19.64,19.66,19.72,19.50,67.03K,0.41%
Mar 23  2016,19.56,19.38,19.85,19.19,112.48K,0.00%
Mar 22  2016,19.56,19.61,19.64,19.30,207.24K,-0.15%
Mar 21  2016,19.59,19.06,19.95,19.06,237.52K,3.38%
Mar 18  2016,18.95,16.75,19.00,16.75,568.67K,17.92%
Mar 17  2016,16.07,15.23,16.19,15.19,283.14K,5.79%
Mar 16  2016,15.19,14.94,15.38,14.61,208.24K,1.95%
Mar 15  2016,14.90,16.30,16.30,14.73,161.57K,-8.53%
Mar 14  2016,16.29,16.72,16.72,16.25,123.45K,-1.27%
Mar 11  2016,16.50,16.53,16.89,16.49,109.41K,0.73%
Mar 10  2016,16.38,16.48,16.48,15.90,80.50K,0.18%
Mar 09  2016,16.35,16.58,16.71,16.33,115.60K,-0.79%
Mar 08  2016,16.48,17.02,17.10,16.46,86.88K,-3.06%
Mar 07  2016,17.00,17.00,17.37,16.96,305.79K,0.41%
Mar 04  2016,16.93,17.00,17.00,16.83,139.94K,-0.24%
Mar 03  2016,16.97,16.90,17.09,16.82,113.93K,0.71%
Mar 02  2016,16.85,16.90,17.02,16.60,85.09K,-0.24%
Mar 01  2016,16.89,16.65,17.05,16.51,99.42K,2.49%
Feb 29  2016,16.48,16.66,16.66,16.24,47.92K,-0.72%
Feb 26  2016,16.60,16.30,17.12,16.29,146.55K,2.85%
Feb 25  2016,16.14,16.40,16.40,16.01,99.53K,-1.28%
Feb 24  2016,16.35,16.08,16.49,16.08,113.37K,2.19%
Feb 23  2016,16.00,15.97,16.24,15.76,74.02K,0.38%
Feb 22  2016,15.94,15.76,16.14,15.66,85.70K,1.34%
Feb 19  2016,15.73,15.26,15.90,14.87,63.03K,3.08%
Feb 18  2016,15.26,16.41,16.41,15.24,139.39K,-5.33%
Feb 17  2016,16.12,15.50,16.24,15.29,240.08K,4.54%
