Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,23.05,22.97,23.07,22.50,202.37K,1.01%
Apr 18  2016,22.82,22.85,23.05,22.57,129.63K,-0.61%
Apr 15  2016,22.96,22.14,23.22,22.14,229.65K,3.05%
Apr 14  2016,22.28,22.39,22.39,21.97,218.35K,-0.13%
Apr 13  2016,22.31,21.49,22.56,21.25,209.69K,4.01%
Apr 12  2016,21.45,21.30,21.60,21.21,247.51K,0.94%
Apr 11  2016,21.25,21.25,21.29,20.55,314.63K,0.57%
Apr 08  2016,21.13,21.62,21.62,20.45,408.21K,-3.47%
Apr 07  2016,21.89,21.94,21.94,21.24,231.72K,-0.36%
Apr 06  2016,21.97,22.11,22.20,21.88,107.26K,-0.14%
Apr 05  2016,22.00,22.17,22.17,21.59,91.42K,1.01%
Apr 04  2016,21.78,21.96,22.24,21.57,102.89K,1.11%
Apr 01  2016,21.54,21.94,22.05,21.35,115.03K,-2.05%
Mar 31  2016,21.99,22.74,22.74,21.76,139.52K,-1.92%
Mar 30  2016,22.42,21.91,22.53,21.89,82.76K,2.89%
Mar 29  2016,21.79,21.93,22.42,21.75,129.27K,-0.64%
Mar 28  2016,21.93,22.51,22.55,21.73,129.07K,-1.62%
Mar 24  2016,22.29,21.04,22.32,21.04,338.03K,4.40%
Mar 23  2016,21.35,21.85,22.15,21.23,322.85K,-2.64%
Mar 22  2016,21.93,22.69,22.71,21.78,683.04K,-4.15%
Mar 21  2016,22.88,24.45,24.45,22.88,322.23K,-6.88%
Mar 18  2016,24.57,25.97,25.97,23.10,523.11K,-5.83%
Mar 17  2016,26.09,26.09,26.22,25.38,102.44K,-0.04%
Mar 16  2016,26.10,25.94,26.49,25.77,88.29K,1.01%
Mar 15  2016,25.84,26.16,26.25,25.78,55.12K,-2.20%
Mar 14  2016,26.42,26.72,26.73,26.14,54.10K,-0.11%
Mar 11  2016,26.45,26.48,27.22,26.10,87.01K,0.65%
Mar 10  2016,26.28,27.50,27.69,25.10,316.21K,-5.13%
Mar 09  2016,27.70,27.37,27.75,27.03,73.51K,2.21%
Mar 08  2016,27.10,27.93,27.98,27.01,139.25K,-2.69%
Mar 07  2016,27.85,26.82,27.95,26.82,388.32K,3.84%
Mar 04  2016,26.82,26.35,27.50,26.16,419.16K,1.86%
Mar 03  2016,26.33,25.25,26.55,25.24,255.19K,5.07%
Mar 02  2016,25.06,24.70,25.18,24.56,104.14K,1.17%
Mar 01  2016,24.77,24.42,24.93,24.32,76.98K,0.90%
Feb 29  2016,24.55,24.40,24.93,24.22,99.40K,0.82%
