Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,81.65,81.50,81.80,81.27,1.08M,0.46%
Apr 18  2016,81.28,80.65,81.41,80.51,1.14M,0.10%
Apr 15  2016,81.20,80.59,81.41,80.45,1.66M,0.74%
Apr 14  2016,80.60,80.13,80.83,80.08,1.35M,0.61%
Apr 13  2016,80.11,79.75,80.41,79.60,1.57M,1.05%
Apr 12  2016,79.28,78.71,79.68,78.69,1.35M,0.84%
Apr 11  2016,78.62,78.37,78.95,78.36,1.15M,0.37%
Apr 08  2016,78.33,77.78,78.65,77.77,1.18M,1.18%
Apr 07  2016,77.42,78.00,78.01,77.08,1.06M,-1.25%
Apr 06  2016,78.40,78.46,78.65,77.76,1.36M,-0.08%
Apr 05  2016,78.46,78.16,78.64,77.83,855.03K,-0.27%
Apr 04  2016,78.67,79.10,79.10,78.42,709.96K,-0.25%
Apr 01  2016,78.87,78.57,79.13,77.82,1.22M,0.00%
Mar 31  2016,78.87,78.83,79.41,78.75,1.12M,-0.19%
Mar 30  2016,79.02,78.75,79.48,78.65,952.11K,0.80%
Mar 29  2016,78.39,78.26,78.55,77.63,817.64K,-0.08%
Mar 28  2016,78.45,78.00,78.69,77.62,600.95K,0.64%
Mar 24  2016,77.95,78.26,78.37,77.39,1.11M,-0.93%
Mar 23  2016,78.68,79.13,79.18,78.37,894.68K,0.03%
Mar 22  2016,78.66,78.80,79.23,78.50,876.75K,-0.48%
Mar 21  2016,79.04,78.68,79.35,78.33,707.78K,0.55%
Mar 18  2016,78.61,79.11,79.69,78.61,3.70M,-0.92%
Mar 17  2016,79.34,78.60,79.68,78.20,1.42M,1.12%
Mar 16  2016,78.46,78.50,79.31,78.20,1.22M,-0.10%
Mar 15  2016,78.54,77.92,78.61,77.77,1.15M,0.50%
Mar 14  2016,78.15,77.96,78.44,77.95,1.13M,-0.12%
Mar 11  2016,78.24,78.10,78.46,77.75,1.27M,0.94%
Mar 10  2016,77.51,78.00,78.30,77.05,1.23M,-0.03%
Mar 09  2016,77.53,77.45,77.95,77.16,1.36M,0.52%
Mar 08  2016,77.13,76.00,77.58,75.88,1.97M,1.06%
Mar 07  2016,76.32,75.92,77.18,75.75,1.45M,0.14%
Mar 04  2016,76.21,76.38,76.50,75.98,1.02M,-0.17%
Mar 03  2016,76.34,76.01,76.39,75.77,1.06M,0.86%
Mar 02  2016,75.69,75.77,76.47,74.84,1.29M,-0.38%
Mar 01  2016,75.98,74.96,76.12,74.88,1.87M,1.78%
Feb 29  2016,74.65,74.46,74.98,73.89,1.40M,0.67%
Feb 26  2016,74.15,73.95,74.50,73.47,1.15M,1.08%
Feb 25  2016,73.36,73.50,73.70,72.88,1.00M,0.23%
Feb 24  2016,73.19,72.87,73.57,70.47,1.90M,-0.67%
Feb 23  2016,73.68,74.52,75.60,73.33,1.91M,-0.26%
Feb 22  2016,73.87,74.89,75.32,73.68,1.66M,-0.70%
Feb 19  2016,74.39,73.76,74.44,73.49,1.67M,-0.40%
Feb 18  2016,74.69,74.86,74.95,73.50,1.29M,0.07%
Feb 17  2016,74.64,73.68,74.78,73.68,1.59M,2.00%
Feb 16  2016,73.18,73.04,73.50,72.03,1.82M,1.78%
Feb 12  2016,71.90,70.40,71.90,70.28,1.34M,3.36%
Feb 11  2016,69.56,69.37,69.83,68.65,1.65M,-1.04%
Feb 10  2016,70.29,72.03,72.68,70.15,1.87M,-1.73%
Feb 09  2016,71.53,72.73,72.73,70.60,2.45M,-2.72%
Feb 08  2016,73.53,73.51,73.90,72.82,1.60M,-1.08%
Feb 05  2016,74.33,74.42,74.68,73.85,854.27K,-0.24%
Feb 04  2016,74.51,73.75,75.14,73.69,1.10M,0.73%
Feb 03  2016,73.97,73.87,74.37,72.75,1.61M,0.53%
Feb 02  2016,73.58,72.90,73.61,72.50,1.41M,-0.97%
Feb 01  2016,74.30,74.90,74.90,73.71,1.09M,-1.22%
Jan 29  2016,75.22,74.87,75.22,73.86,1.81M,0.87%
Jan 28  2016,74.57,73.90,74.72,73.04,2.68M,0.65%
Jan 27  2016,74.09,72.80,74.58,72.77,1.85M,1.80%
Jan 26  2016,72.78,72.08,72.91,71.72,1.16M,1.52%
Jan 25  2016,71.69,73.60,73.60,71.58,1.17M,-2.79%
Jan 22  2016,73.75,72.15,73.75,72.00,1.69M,3.92%
Jan 21  2016,70.97,70.35,71.25,69.87,1.66M,1.14%
Jan 20  2016,70.17,70.36,70.74,69.39,2.03M,-1.58%
Jan 19  2016,71.30,71.71,72.03,70.85,1.78M,0.68%
Jan 18  2016,70.82,70.56,71.45,70.56,596.77K,-0.04%
Jan 15  2016,70.85,71.18,71.64,70.45,2.60M,-3.01%
Jan 14  2016,73.05,72.07,73.28,71.59,1.90M,1.46%
Jan 13  2016,72.00,74.46,74.76,71.98,3.01M,-2.94%
Jan 12  2016,74.18,73.98,74.63,73.27,1.37M,0.77%
Jan 11  2016,73.61,73.68,73.94,73.07,1.24M,0.12%
Jan 08  2016,73.52,74.30,74.57,73.42,1.41M,0.00%
Jan 07  2016,73.52,73.78,74.22,73.13,2.25M,-1.87%
Jan 06  2016,74.92,76.00,76.20,74.68,1.91M,-2.22%
Jan 05  2016,76.62,76.67,77.05,76.11,1.32M,-0.05%
Jan 04  2016,76.66,76.82,76.99,76.04,1.76M,-1.82%
Dec 31  2015,78.08,78.25,78.80,77.92,965.78K,-1.09%
Dec 30  2015,78.94,79.47,79.62,78.63,673.41K,-0.72%
Dec 29  2015,79.51,78.73,79.65,78.73,952.99K,1.02%
Dec 24  2015,78.71,78.27,78.99,78.15,474.01K,0.56%
Dec 23  2015,78.27,78.24,78.36,77.91,1.09M,0.49%
Dec 22  2015,77.89,78.71,78.85,77.42,1.36M,-1.04%
Dec 21  2015,78.71,79.14,79.49,78.39,1.27M,-0.05%
Dec 18  2015,78.75,78.52,78.92,78.20,3.30M,-0.30%
Dec 17  2015,78.99,79.50,79.85,78.37,1.59M,-0.53%
Dec 16  2015,79.41,79.05,79.56,78.27,2.15M,0.91%
Dec 15  2015,78.69,77.41,78.69,77.09,1.70M,2.17%
Dec 14  2015,77.02,77.23,77.60,76.23,1.74M,-0.27%
Dec 11  2015,77.23,77.95,78.16,77.10,1.94M,-1.49%
Dec 10  2015,78.40,77.33,78.79,77.22,2.26M,1.25%
Dec 09  2015,77.43,77.00,78.70,77.00,1.96M,0.21%
Dec 08  2015,77.27,77.50,77.64,76.93,2.47M,-1.11%
Dec 07  2015,78.14,79.45,79.62,77.78,2.89M,-1.96%
Dec 04  2015,79.70,79.15,79.83,78.63,1.83M,0.72%
Dec 03  2015,79.13,79.88,80.05,78.97,1.83M,-0.65%
Dec 02  2015,79.65,78.33,79.98,78.32,2.72M,1.83%
Dec 01  2015,78.22,77.57,78.39,77.20,2.01M,1.44%
Nov 30  2015,77.11,76.75,77.33,76.75,1.72M,0.61%
Nov 27  2015,76.64,77.00,77.13,76.53,616.29K,-0.53%
Nov 26  2015,77.05,76.79,77.13,76.67,527.32K,0.20%
Nov 25  2015,76.90,76.95,77.00,76.45,1.19M,0.21%
Nov 24  2015,76.74,76.50,76.98,76.27,1.75M,-0.10%
Nov 23  2015,76.82,76.57,77.05,76.45,1.77M,0.31%
Nov 20  2015,76.58,76.88,76.89,76.42,1.40M,0.04%
Nov 19  2015,76.55,76.03,76.89,75.80,1.16M,0.72%
Nov 18  2015,76.00,76.19,76.39,75.75,1.14M,0.26%
Nov 17  2015,75.80,75.69,76.28,75.35,983.14K,0.19%
Nov 16  2015,75.66,74.28,75.66,74.01,1.05M,1.91%
Nov 13  2015,74.24,75.00,75.23,74.07,1.07M,-1.39%
Nov 12  2015,75.29,76.26,76.30,75.12,1.09M,-1.79%
Nov 11  2015,76.66,76.82,77.06,76.35,773.30K,-0.04%
Nov 10  2015,76.69,76.07,76.93,75.79,863.12K,0.37%
Nov 09  2015,76.41,76.88,76.90,75.67,959.68K,-0.61%
Nov 06  2015,76.88,76.63,77.20,76.25,991.15K,0.63%
Nov 05  2015,76.40,76.24,76.65,76.00,1.20M,0.59%
Nov 04  2015,75.95,75.70,76.24,75.58,1.28M,0.68%
Nov 03  2015,75.44,75.67,75.91,75.27,1.08M,-0.30%
Nov 02  2015,75.67,76.07,76.24,75.24,1.05M,-0.49%
Oct 30  2015,76.04,77.03,77.24,75.83,3.02M,-1.16%
Oct 29  2015,76.93,77.37,77.56,76.90,2.88M,-2.00%
Oct 28  2015,78.50,77.70,78.50,77.56,1.84M,1.21%
Oct 27  2015,77.56,77.33,77.82,77.21,2.07M,0.18%
Oct 26  2015,77.42,77.81,77.99,77.33,1.59M,-0.14%
Oct 23  2015,77.53,77.54,77.92,77.22,1.70M,0.82%
Oct 22  2015,76.90,76.13,77.09,76.13,2.12M,1.30%
Oct 21  2015,75.91,76.36,76.78,75.91,1.66M,-0.32%
Oct 20  2015,76.15,75.40,76.20,75.05,1.26M,1.06%
Oct 19  2015,75.35,75.20,75.68,75.07,780.23K,-0.01%
Oct 16  2015,75.36,74.89,75.64,74.62,1.39M,1.07%
Oct 15  2015,74.56,74.70,75.15,74.48,1.40M,0.20%
Oct 14  2015,74.41,75.31,75.65,74.13,1.80M,-1.25%
Oct 13  2015,75.35,75.64,75.95,74.71,1.81M,-0.21%
Oct 09  2015,75.51,76.09,76.40,75.11,1.67M,-0.53%
Oct 08  2015,75.91,75.10,75.91,75.07,1.71M,0.82%
Oct 07  2015,75.29,74.89,75.43,74.77,1.56M,1.14%
Oct 06  2015,74.44,73.86,74.69,73.62,1.39M,1.03%
Oct 05  2015,73.68,73.13,73.93,73.05,1.43M,1.64%
Oct 02  2015,72.49,72.50,72.74,71.16,1.78M,-0.93%
Oct 01  2015,73.17,73.00,73.23,71.94,1.95M,0.54%
Sep 30  2015,72.78,71.25,72.89,71.17,2.17M,2.90%
Sep 29  2015,70.73,69.83,70.75,69.58,1.16M,1.62%
Sep 28  2015,69.60,70.08,70.39,69.45,1.17M,-0.97%
Sep 25  2015,70.28,70.46,70.85,70.10,1.18M,0.70%
Sep 24  2015,69.79,69.43,70.06,69.17,1.23M,-0.23%
Sep 23  2015,69.95,70.38,70.82,69.39,946.85K,-0.34%
Sep 22  2015,70.19,70.50,70.52,69.72,1.31M,-1.60%
Sep 21  2015,71.33,70.58,71.74,70.47,1.61M,1.60%
Sep 18  2015,70.21,70.32,70.64,70.12,4.94M,-1.36%
Sep 17  2015,71.18,71.20,71.81,71.04,1.23M,-0.28%
Sep 16  2015,71.38,69.79,71.43,69.69,1.38M,2.37%
Sep 15  2015,69.73,69.32,69.90,69.18,1.14M,0.72%
Sep 14  2015,69.23,68.98,69.63,68.85,1.05M,0.45%
Sep 11  2015,68.92,69.70,69.70,68.70,1.14M,-0.66%
Sep 10  2015,69.38,68.95,69.90,68.84,1.06M,0.39%
