Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,64.33,63.72,64.49,63.64,2.74M,1.05%
Apr 18  2016,63.66,63.05,63.75,63.02,2.26M,0.03%
Apr 15  2016,63.64,63.65,63.90,63.33,1.54M,-0.38%
Apr 14  2016,63.88,63.79,64.12,63.55,1.54M,0.36%
Apr 13  2016,63.65,63.07,63.79,63.05,2.38M,1.77%
Apr 12  2016,62.54,61.65,62.98,61.63,2.17M,1.62%
Apr 11  2016,61.54,61.85,62.23,61.48,1.65M,-0.50%
Apr 08  2016,61.85,61.62,62.23,61.56,1.59M,0.88%
Apr 07  2016,61.31,61.67,61.89,60.95,1.61M,-1.16%
Apr 06  2016,62.03,61.88,62.10,61.42,1.61M,0.08%
Apr 05  2016,61.98,61.85,62.12,61.57,1.55M,-0.80%
Apr 04  2016,62.48,62.72,62.89,62.20,1.57M,-0.38%
Apr 01  2016,62.72,62.16,62.73,61.64,1.80M,-1.18%
Mar 31  2016,63.47,63.60,63.94,63.31,2.53M,-0.13%
Mar 30  2016,63.55,63.50,64.13,63.24,2.04M,0.52%
Mar 29  2016,63.22,62.69,63.39,62.10,2.14M,0.49%
Mar 28  2016,62.91,62.55,63.09,62.09,2.47M,0.79%
Mar 24  2016,62.42,62.70,62.70,62.07,2.44M,-1.34%
Mar 23  2016,63.27,63.81,63.81,62.96,1.66M,-0.21%
Mar 22  2016,63.40,63.35,63.84,63.16,1.62M,-0.41%
Mar 21  2016,63.66,63.75,64.10,63.02,1.67M,0.14%
Mar 18  2016,63.57,63.67,63.97,63.26,6.14M,-0.52%
Mar 17  2016,63.90,62.61,63.98,62.47,3.22M,2.35%
Mar 16  2016,62.43,62.35,62.87,61.87,1.71M,0.11%
Mar 15  2016,62.36,61.75,62.36,61.74,2.48M,0.50%
Mar 14  2016,62.05,62.09,62.49,61.94,2.08M,-0.35%
Mar 11  2016,62.27,62.11,62.39,61.77,2.14M,1.15%
Mar 10  2016,61.56,62.19,62.45,61.08,2.54M,-0.40%
Mar 09  2016,61.81,61.35,62.38,61.35,3.10M,0.95%
Mar 08  2016,61.23,60.31,61.49,59.82,3.42M,1.16%
Mar 07  2016,60.53,59.50,60.73,59.40,3.18M,1.73%
Mar 04  2016,59.50,58.79,59.72,58.51,3.02M,1.50%
Mar 03  2016,58.62,58.00,58.72,57.77,1.96M,1.51%
Mar 02  2016,57.75,57.72,58.07,56.83,2.71M,-0.31%
Mar 01  2016,57.93,56.00,57.93,55.96,4.16M,5.79%
Feb 29  2016,54.76,54.28,54.76,53.74,2.43M,1.44%
Feb 26  2016,53.98,54.02,54.49,53.73,1.56M,0.84%
Feb 25  2016,53.53,53.70,53.80,52.89,1.90M,-0.07%
Feb 24  2016,53.57,54.11,54.11,51.91,3.45M,-2.23%
Feb 23  2016,54.79,55.51,56.16,54.59,1.98M,-1.24%
Feb 22  2016,55.48,56.51,56.74,55.48,2.65M,-0.95%
Feb 19  2016,56.01,55.77,56.01,55.36,2.28M,-0.57%
Feb 18  2016,56.33,56.59,56.72,55.72,2.13M,0.18%
Feb 17  2016,56.23,55.64,56.28,55.44,2.25M,2.11%
Feb 16  2016,55.07,54.93,55.19,53.94,2.25M,1.94%
Feb 12  2016,54.02,52.86,54.04,52.75,2.44M,3.76%
Feb 11  2016,52.06,52.00,52.27,51.57,3.69M,-1.14%
Feb 10  2016,52.66,54.88,54.95,52.57,3.07M,-2.79%
Feb 09  2016,54.17,55.00,55.04,53.17,3.57M,-2.71%
Feb 08  2016,55.68,56.30,56.40,55.16,2.36M,-1.97%
Feb 05  2016,56.80,56.86,57.03,56.31,1.69M,-0.11%
Feb 04  2016,56.86,55.90,57.13,55.79,2.70M,1.94%
Feb 03  2016,55.78,56.00,56.15,54.92,2.57M,0.38%
Feb 02  2016,55.57,55.80,55.84,55.09,2.01M,-1.37%
Feb 01  2016,56.34,56.86,56.93,56.06,1.56M,-1.83%
Jan 29  2016,57.39,56.77,57.39,55.74,3.88M,1.76%
Jan 28  2016,56.40,54.95,56.53,54.57,3.89M,3.87%
Jan 27  2016,54.30,53.15,54.90,53.12,2.93M,1.95%
Jan 26  2016,53.26,53.08,53.41,52.85,2.48M,0.64%
Jan 25  2016,52.92,54.52,54.53,52.85,1.71M,-2.85%
Jan 22  2016,54.47,53.86,54.48,53.69,3.98M,3.28%
Jan 21  2016,52.74,52.01,53.03,51.79,2.84M,1.68%
Jan 20  2016,51.87,52.68,52.78,51.17,3.88M,-2.63%
Jan 19  2016,53.27,53.32,53.48,52.68,3.59M,1.70%
Jan 18  2016,52.38,52.07,52.68,52.07,1.06M,0.21%
Jan 15  2016,52.27,52.55,52.97,52.08,5.86M,-2.54%
Jan 14  2016,53.63,53.13,53.73,52.80,3.18M,1.19%
Jan 13  2016,53.00,54.20,54.31,52.97,2.60M,-1.94%
Jan 12  2016,54.05,54.45,54.75,53.36,2.73M,-0.26%
Jan 11  2016,54.19,54.83,54.87,53.82,2.86M,-0.68%
Jan 08  2016,54.56,55.17,55.17,54.50,2.00M,0.46%
Jan 07  2016,54.31,54.50,54.78,54.02,2.53M,-1.54%
Jan 06  2016,55.16,55.67,55.69,55.14,2.45M,-1.73%
Jan 05  2016,56.13,55.61,56.28,55.31,2.37M,1.06%
Jan 04  2016,55.54,55.25,55.69,54.75,2.98M,-0.77%
Dec 31  2015,55.97,56.54,56.70,55.91,1.81M,-3.00%
Dec 30  2015,57.70,58.29,58.29,57.52,1.38M,-0.81%
Dec 29  2015,58.17,58.18,58.44,57.88,1.34M,0.38%
Dec 24  2015,57.95,57.44,58.20,57.36,984.11K,0.82%
Dec 23  2015,57.48,56.60,57.49,56.40,1.93M,1.93%
Dec 22  2015,56.39,56.37,56.57,55.56,1.68M,0.18%
