Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,20.70,20.86,20.94,20.41,4.63M,2.22%
Apr 18  2016,20.25,20.53,20.54,19.97,3.04M,0.70%
Apr 15  2016,20.11,19.90,20.24,19.59,3.46M,1.51%
Apr 14  2016,19.81,20.48,20.68,19.38,6.06M,-3.65%
Apr 13  2016,20.56,20.52,20.75,20.31,4.10M,-1.49%
Apr 12  2016,20.87,21.00,21.32,20.54,5.00M,-0.81%
Apr 11  2016,21.04,19.98,21.10,19.96,5.32M,6.53%
Apr 08  2016,19.75,19.07,19.92,19.06,4.19M,3.35%
Apr 07  2016,19.11,18.74,19.32,18.73,5.04M,4.54%
Apr 06  2016,18.28,18.32,18.54,18.10,5.12M,-0.98%
Apr 05  2016,18.46,18.22,18.49,17.87,4.00M,4.65%
Apr 04  2016,17.64,17.71,17.86,17.48,2.58M,-0.79%
Apr 01  2016,17.78,17.28,17.84,17.09,4.33M,0.79%
Mar 31  2016,17.64,18.03,18.08,17.62,4.38M,-1.01%
Mar 30  2016,17.82,18.20,18.24,17.51,6.07M,-2.94%
Mar 29  2016,18.36,18.07,18.51,17.82,5.09M,2.17%
Mar 28  2016,17.97,17.93,18.09,17.61,3.44M,0.06%
Mar 24  2016,17.96,17.77,18.14,17.61,3.48M,2.39%
Mar 23  2016,17.54,18.32,18.32,17.48,6.59M,-7.24%
Mar 22  2016,18.91,19.60,19.72,18.84,4.34M,-1.56%
Mar 21  2016,19.21,19.07,19.48,19.01,4.50M,0.47%
Mar 18  2016,19.12,19.00,19.55,18.86,10.16M,-0.47%
Mar 17  2016,19.21,19.86,20.17,19.16,6.88M,-3.61%
Mar 16  2016,19.93,18.60,19.97,18.35,6.53M,5.01%
Mar 15  2016,18.98,18.38,19.04,18.19,5.70M,4.57%
Mar 14  2016,18.15,18.65,18.94,18.13,6.72M,-1.63%
Mar 11  2016,18.45,18.69,18.95,18.33,5.59M,-2.48%
Mar 10  2016,18.92,18.59,19.09,18.44,7.99M,4.30%
Mar 09  2016,18.14,17.30,18.27,16.95,6.59M,1.57%
Mar 08  2016,17.86,18.94,19.13,17.60,7.16M,-3.15%
Mar 07  2016,18.44,18.63,19.54,18.08,7.52M,0.88%
Mar 04  2016,18.28,18.84,19.85,18.15,8.05M,-1.93%
Mar 03  2016,18.64,18.31,18.90,18.24,5.89M,2.25%
Mar 02  2016,18.23,17.96,18.30,17.85,5.47M,2.30%
Mar 01  2016,17.82,18.90,18.91,17.57,6.12M,-5.21%
Feb 29  2016,18.80,18.44,18.94,18.40,6.97M,2.90%
Feb 26  2016,18.27,17.71,18.42,17.65,6.16M,-0.54%
Feb 25  2016,18.37,18.17,18.91,18.15,6.39M,-0.16%
Feb 24  2016,18.40,19.25,19.99,18.05,9.66M,-1.23%
Feb 23  2016,18.63,17.88,18.67,17.80,7.97M,6.15%
Feb 22  2016,17.55,16.74,18.00,16.60,8.77M,1.68%
Feb 19  2016,17.26,17.21,17.88,17.16,6.16M,-0.58%
Feb 18  2016,17.36,15.98,17.40,15.98,10.03M,6.77%
Feb 17  2016,16.26,16.24,16.46,15.88,6.27M,0.93%
Feb 16  2016,16.11,16.01,16.73,15.96,6.83M,-4.96%
Feb 12  2016,16.95,16.35,17.05,16.21,6.16M,1.50%
Feb 11  2016,16.70,17.64,17.69,16.58,10.16M,3.66%
Feb 10  2016,16.11,15.25,16.14,14.71,8.89M,3.47%
Feb 09  2016,15.57,16.74,16.86,15.51,9.14M,-6.15%
Feb 08  2016,16.59,16.66,17.35,16.44,9.28M,2.47%
Feb 05  2016,16.19,14.93,16.20,14.65,7.69M,5.06%
Feb 04  2016,15.41,15.00,15.66,14.80,10.25M,4.33%
Feb 03  2016,14.77,13.84,14.91,13.81,6.41M,6.72%
Feb 02  2016,13.84,13.90,14.13,13.57,3.31M,-1.35%
Feb 01  2016,14.03,14.08,14.45,13.85,4.93M,0.72%
Jan 29  2016,13.93,13.34,13.99,13.30,5.12M,2.73%
Jan 28  2016,13.56,13.35,13.96,13.05,6.22M,-2.38%
Jan 27  2016,13.89,13.09,13.93,13.01,5.47M,3.66%
Jan 26  2016,13.40,13.30,13.45,13.13,4.94M,1.21%
Jan 25  2016,13.24,12.45,13.28,12.33,6.86M,8.88%
Jan 22  2016,12.16,11.50,12.22,11.46,5.60M,2.18%
Jan 21  2016,11.90,11.42,11.92,11.23,5.09M,0.93%
Jan 20  2016,11.79,11.43,11.98,11.30,7.08M,7.08%
Jan 19  2016,11.01,11.55,11.56,10.76,5.51M,-5.25%
Jan 18  2016,11.62,11.54,11.63,11.42,1.01M,1.13%
Jan 15  2016,11.49,11.60,11.61,11.25,7.90M,5.41%
Jan 14  2016,10.90,11.33,11.63,10.69,5.38M,-5.46%
Jan 13  2016,11.53,11.15,11.71,11.11,4.49M,2.22%
Jan 12  2016,11.28,11.40,11.44,11.00,4.49M,-2.76%
Jan 11  2016,11.60,11.95,12.02,11.34,4.11M,-2.68%
Jan 08  2016,11.92,11.92,12.26,11.71,4.61M,-3.40%
Jan 07  2016,12.34,11.62,12.44,11.58,8.00M,10.28%
Jan 06  2016,11.19,11.01,11.35,11.01,4.05M,4.58%
Jan 05  2016,10.70,10.84,10.90,10.63,3.03M,-1.02%
Jan 04  2016,10.81,10.71,10.93,10.62,3.94M,5.57%
Dec 31  2015,10.24,10.17,10.31,10.09,2.30M,-0.10%
Dec 30  2015,10.25,10.27,10.36,10.16,1.58M,-2.29%
Dec 29  2015,10.49,10.56,10.65,10.35,1.81M,-3.32%
Dec 24  2015,10.85,10.69,10.89,10.66,1.25M,1.97%
Dec 23  2015,10.64,10.47,10.64,10.37,3.37M,2.31%
Dec 22  2015,10.40,10.38,10.71,10.33,3.60M,-0.38%
Dec 21  2015,10.44,10.32,10.64,10.23,4.04M,3.47%
Dec 18  2015,10.09,9.86,10.27,9.81,7.34M,4.13%
Dec 17  2015,9.69,10.09,10.10,9.68,3.88M,-7.98%
Dec 16  2015,10.53,10.01,10.65,9.96,6.72M,7.78%
Dec 15  2015,9.77,9.75,9.86,9.55,3.24M,0.83%
Dec 14  2015,9.69,10.53,10.61,9.69,4.14M,-8.93%
Dec 11  2015,10.64,10.31,10.79,10.11,3.42M,1.72%
Dec 10  2015,10.46,10.42,10.71,10.40,3.34M,-0.29%
Dec 09  2015,10.49,10.47,10.68,10.32,3.06M,2.54%
Dec 08  2015,10.23,10.49,10.52,10.15,2.52M,-1.35%
Dec 07  2015,10.37,10.71,10.75,10.32,2.72M,-4.07%
Dec 04  2015,10.81,10.32,10.83,10.22,4.23M,7.14%
Dec 03  2015,10.09,10.00,10.32,9.95,3.10M,1.92%
Dec 02  2015,9.90,9.83,10.07,9.71,3.11M,-2.56%
Dec 01  2015,10.16,9.87,10.19,9.74,6.06M,3.36%
Nov 30  2015,9.83,9.54,9.90,9.52,4.11M,3.80%
Nov 27  2015,9.47,9.60,9.71,9.43,2.10M,-4.34%
Nov 26  2015,9.90,9.84,9.95,9.75,575.10K,0.92%
Nov 25  2015,9.81,9.70,10.00,9.63,2.90M,-0.30%
Nov 24  2015,9.84,9.64,9.92,9.41,3.53M,3.36%
Nov 23  2015,9.52,9.50,9.66,9.40,1.80M,-0.52%
Nov 20  2015,9.57,10.11,10.20,9.53,3.33M,-4.68%
Nov 19  2015,10.04,9.67,10.08,9.56,3.25M,4.26%
Nov 18  2015,9.63,9.39,9.66,9.22,2.96M,3.66%
Nov 17  2015,9.29,10.10,10.13,9.22,5.08M,-8.65%
Nov 16  2015,10.17,10.11,10.32,10.08,2.41M,1.19%
Nov 13  2015,10.05,9.99,10.12,9.84,2.41M,-0.10%
Nov 12  2015,10.06,9.58,10.22,9.46,4.77M,4.14%
Nov 11  2015,9.66,9.59,9.72,9.49,2.10M,1.05%
Nov 10  2015,9.56,9.57,9.67,9.46,1.90M,-2.15%
Nov 09  2015,9.77,9.36,9.80,9.33,2.27M,4.16%
Nov 06  2015,9.38,9.34,9.56,9.18,5.05M,-3.30%
Nov 05  2015,9.70,9.89,9.94,9.50,3.59M,-2.41%
Nov 04  2015,9.94,10.36,10.48,9.90,3.58M,-2.83%
Nov 03  2015,10.23,10.02,10.32,9.99,3.91M,0.59%
Nov 02  2015,10.17,9.97,10.24,9.87,3.40M,1.19%
Oct 30  2015,10.05,10.30,10.52,10.05,3.79M,-2.52%
Oct 29  2015,10.31,10.05,10.97,10.05,5.96M,1.58%
Oct 28  2015,10.15,10.19,10.78,9.83,6.57M,1.30%
Oct 27  2015,10.02,9.85,10.05,9.75,2.69M,1.42%
Oct 26  2015,9.88,10.21,10.21,9.87,3.74M,-3.23%
Oct 23  2015,10.21,10.15,10.30,9.83,3.92M,2.41%
Oct 22  2015,9.97,9.77,10.14,9.76,4.03M,1.32%
Oct 21  2015,9.84,10.13,10.16,9.81,5.18M,-4.09%
Oct 20  2015,10.26,9.95,10.37,9.88,3.55M,4.37%
Oct 19  2015,9.83,10.02,10.23,9.79,4.07M,-2.67%
Oct 16  2015,10.10,10.45,10.52,10.10,2.87M,-3.53%
Oct 15  2015,10.47,10.37,10.52,10.23,3.62M,-0.85%
Oct 14  2015,10.56,10.00,10.59,9.99,4.59M,8.87%
Oct 13  2015,9.70,9.66,9.97,9.52,2.88M,-1.42%
Oct 09  2015,9.84,9.72,9.90,9.58,3.04M,5.47%
Oct 08  2015,9.33,9.33,9.77,9.25,3.36M,-1.27%
Oct 07  2015,9.45,9.56,9.68,9.27,3.48M,-0.63%
Oct 06  2015,9.51,9.30,9.73,9.24,4.23M,6.14%
Oct 05  2015,8.96,8.70,9.07,8.67,2.98M,3.34%
Oct 02  2015,8.67,8.52,8.75,8.50,3.21M,5.86%
Oct 01  2015,8.19,8.49,8.58,8.15,2.93M,-3.53%
Sep 30  2015,8.49,8.22,8.49,8.10,3.64M,1.80%
Sep 29  2015,8.34,8.46,8.66,8.27,2.27M,-0.60%
Sep 28  2015,8.39,8.50,8.63,8.37,2.70M,-4.11%
Sep 25  2015,8.75,8.54,8.83,8.47,4.75M,0.34%
Sep 24  2015,8.72,8.14,8.75,8.05,4.33M,10.38%
Sep 23  2015,7.90,8.26,8.28,7.88,3.41M,-2.35%
Sep 22  2015,8.09,8.48,8.56,8.08,3.02M,-7.22%
Sep 21  2015,8.72,8.86,8.94,8.70,2.49M,-2.35%
Sep 18  2015,8.93,9.10,9.16,8.79,11.40M,-0.67%
Sep 17  2015,8.99,8.74,9.23,8.56,4.37M,1.81%
Sep 16  2015,8.83,8.50,8.85,8.44,3.85M,6.51%
Sep 15  2015,8.29,8.17,8.51,8.13,2.07M,0.36%
Sep 14  2015,8.26,8.35,8.47,8.16,3.29M,-2.02%
Sep 11  2015,8.43,8.14,8.49,7.94,5.91M,2.55%
Sep 10  2015,8.22,8.51,8.51,8.10,3.01M,-0.84%
Sep 09  2015,8.29,8.49,8.62,8.27,2.95M,-3.60%
Sep 08  2015,8.60,8.58,8.71,8.42,2.47M,1.18%
Sep 04  2015,8.50,8.50,8.54,8.26,2.91M,-0.35%
Sep 03  2015,8.53,8.76,9.09,8.52,3.75M,-3.94%
Sep 02  2015,8.88,8.88,8.97,8.65,4.16M,-0.11%
Sep 01  2015,8.89,9.25,9.42,8.86,3.85M,-2.84%
Aug 31  2015,9.15,9.25,9.31,8.84,4.74M,-3.07%
Aug 28  2015,9.44,9.16,9.66,9.12,4.34M,4.31%
Aug 27  2015,9.05,8.71,9.10,8.62,5.15M,3.78%
Aug 26  2015,8.72,9.21,9.21,8.70,4.30M,-7.14%
Aug 25  2015,9.39,9.85,9.92,9.10,3.81M,-1.88%
Aug 24  2015,9.57,10.21,10.52,9.49,5.25M,-9.03%
Aug 21  2015,10.52,10.96,11.03,10.43,3.77M,-2.32%
Aug 20  2015,10.77,10.74,11.13,10.71,4.04M,4.16%
Aug 19  2015,10.34,10.18,10.51,10.15,5.68M,3.71%
Aug 18  2015,9.97,10.12,10.14,9.81,3.60M,-3.20%
Aug 17  2015,10.30,10.23,10.46,10.04,2.59M,2.28%
Aug 14  2015,10.07,10.28,10.48,10.01,2.56M,-0.59%
Aug 13  2015,10.13,10.31,10.62,10.11,3.46M,-3.98%
Aug 12  2015,10.55,10.24,10.58,10.22,4.00M,4.98%
Aug 11  2015,10.05,10.31,10.38,9.52,4.44M,1.52%
Aug 10  2015,9.90,9.48,10.00,9.22,3.70M,7.14%
Aug 07  2015,9.24,9.25,9.65,9.16,3.02M,2.78%
Aug 06  2015,8.99,8.79,9.36,8.79,4.94M,3.69%
Aug 05  2015,8.67,9.03,9.09,8.60,2.63M,-3.34%
Aug 04  2015,8.97,8.99,9.06,8.86,4.56M,-3.03%
Jul 31  2015,9.25,9.36,9.51,9.01,4.72M,0.98%
Jul 30  2015,9.16,9.24,9.34,9.05,2.92M,-2.35%
Jul 29  2015,9.38,8.96,9.45,8.87,5.16M,5.16%
Jul 28  2015,8.92,9.14,9.15,8.90,2.80M,-0.67%
Jul 27  2015,8.98,9.36,9.80,8.93,3.68M,-5.17%
Jul 24  2015,9.47,9.11,9.49,8.87,5.11M,2.82%
Jul 23  2015,9.21,9.67,9.73,9.19,2.85M,-3.96%
Jul 22  2015,9.59,9.50,9.76,9.17,3.19M,-0.93%
Jul 21  2015,9.68,9.96,10.21,9.55,4.34M,1.04%
Jul 20  2015,9.58,10.86,10.98,9.58,5.57M,-15.96%
Jul 17  2015,11.40,11.92,11.95,11.19,3.58M,-4.84%
Jul 16  2015,11.98,12.46,12.46,11.93,2.99M,-3.93%
Jul 15  2015,12.47,12.53,12.63,12.42,1.68M,-0.95%
Jul 14  2015,12.59,12.75,12.97,12.59,1.47M,-0.79%
Jul 13  2015,12.69,12.72,12.79,12.44,1.75M,-1.01%
Jul 10  2015,12.82,13.03,13.07,12.77,1.55M,-0.39%
Jul 09  2015,12.87,13.24,13.26,12.87,2.35M,-1.91%
Jul 08  2015,13.12,13.25,13.39,13.09,3.47M,0.15%
Jul 07  2015,13.10,13.42,13.52,13.08,2.60M,-4.59%
Jul 06  2015,13.73,13.30,13.92,13.25,4.40M,2.54%
Jul 03  2015,13.39,13.25,13.50,13.25,349.40K,1.06%
