Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,5.89,5.96,5.97,5.76,7.73M,4.62%
Apr 18  2016,5.63,5.12,5.87,5.11,9.06M,0.90%
Apr 15  2016,5.58,5.41,5.59,5.27,6.17M,-0.18%
Apr 14  2016,5.59,5.88,5.93,5.52,6.54M,-3.45%
Apr 13  2016,5.79,5.93,6.10,5.73,8.52M,-1.03%
Apr 12  2016,5.85,5.72,6.25,5.66,9.98M,5.41%
Apr 11  2016,5.55,5.35,5.56,5.34,5.36M,6.12%
Apr 08  2016,5.23,5.18,5.32,5.16,5.98M,3.98%
Apr 07  2016,5.03,5.03,5.11,4.92,4.44M,-1.18%
Apr 06  2016,5.09,5.00,5.15,4.95,5.82M,4.52%
Apr 05  2016,4.87,4.88,4.99,4.85,3.64M,-1.22%
Apr 04  2016,4.93,5.04,5.13,4.87,4.86M,-2.18%
Apr 01  2016,5.04,4.92,5.16,4.89,4.77M,-1.75%
Mar 31  2016,5.13,5.02,5.15,5.00,4.01M,1.79%
Mar 30  2016,5.04,5.05,5.19,4.98,7.15M,2.86%
Mar 29  2016,4.90,4.75,4.96,4.65,5.92M,-1.41%
Mar 28  2016,4.97,5.04,5.08,4.83,3.79M,-1.58%
Mar 24  2016,5.05,4.67,5.12,4.56,8.13M,2.23%
Mar 23  2016,4.94,5.01,5.14,4.85,6.94M,-4.26%
Mar 22  2016,5.16,4.93,5.20,4.92,5.27M,2.18%
Mar 21  2016,5.05,5.03,5.22,4.93,4.92M,-0.39%
Mar 18  2016,5.07,5.26,5.38,4.90,9.64M,-1.93%
Mar 17  2016,5.17,5.25,5.30,5.11,7.98M,2.58%
Mar 16  2016,5.04,4.95,5.05,4.85,7.81M,7.69%
Mar 15  2016,4.68,4.53,4.68,4.45,9.78M,-2.09%
Mar 14  2016,4.78,4.70,4.80,4.52,6.59M,-4.40%
Mar 11  2016,5.00,5.01,5.15,4.92,10.36M,5.04%
Mar 10  2016,4.76,4.67,4.85,4.50,7.55M,-1.24%
Mar 09  2016,4.82,4.95,5.04,4.61,13.19M,7.59%
Mar 08  2016,4.48,5.30,5.30,4.38,16.83M,-15.63%
Mar 07  2016,5.31,5.00,5.39,4.97,14.71M,9.94%
Mar 04  2016,4.83,4.74,5.06,4.61,15.60M,9.52%
Mar 03  2016,4.41,4.11,4.66,3.74,18.40M,12.79%
Mar 02  2016,3.91,3.40,3.95,3.32,13.45M,13.66%
Mar 01  2016,3.44,3.15,3.46,3.03,8.27M,11.33%
Feb 29  2016,3.09,3.10,3.15,3.03,7.23M,3.00%
Feb 26  2016,3.00,3.08,3.19,2.94,7.57M,3.81%
Feb 25  2016,2.89,2.80,2.93,2.71,4.35M,2.85%
Feb 24  2016,2.81,2.57,2.83,2.51,5.68M,6.04%
Feb 23  2016,2.65,2.74,2.79,2.60,3.74M,-5.36%
Feb 22  2016,2.80,2.85,2.90,2.77,4.30M,5.26%
Feb 19  2016,2.66,2.58,2.68,2.48,4.75M,-0.37%
Feb 18  2016,2.67,2.90,2.91,2.65,8.03M,-1.84%
Feb 17  2016,2.72,2.60,2.75,2.56,10.87M,7.94%
Feb 16  2016,2.52,2.57,2.59,2.45,4.64M,1.20%
Feb 12  2016,2.49,2.68,2.69,2.43,7.49M,-0.40%
Feb 11  2016,2.50,2.25,2.53,2.22,7.27M,5.93%
Feb 10  2016,2.36,2.45,2.58,2.30,5.68M,-3.28%
Feb 09  2016,2.44,2.66,2.67,2.40,5.09M,-9.29%
Feb 08  2016,2.69,2.68,2.77,2.59,4.71M,-3.93%
Feb 05  2016,2.80,2.80,2.89,2.66,5.82M,-0.71%
Feb 04  2016,2.82,2.90,3.03,2.75,8.49M,-0.70%
Feb 03  2016,2.84,2.65,2.86,2.49,8.48M,14.52%
Feb 02  2016,2.48,2.53,2.61,2.45,4.73M,-8.49%
Feb 01  2016,2.71,2.80,2.84,2.67,4.99M,-8.45%
Jan 29  2016,2.96,3.11,3.17,2.84,8.50M,-1.33%
Jan 28  2016,3.00,3.10,3.19,2.87,12.87M,9.09%
Jan 27  2016,2.75,2.60,3.05,2.58,12.08M,2.61%
Jan 26  2016,2.68,2.53,2.74,2.36,8.93M,11.20%
Jan 25  2016,2.41,2.64,2.74,2.38,7.19M,-12.68%
Jan 22  2016,2.76,2.84,2.95,2.65,11.68M,15.00%
Jan 21  2016,2.40,1.98,2.44,1.91,11.18M,23.71%
Jan 20  2016,1.94,1.76,2.06,1.57,12.81M,0.52%
Jan 19  2016,1.93,2.47,2.47,1.89,7.81M,-17.17%
Jan 18  2016,2.33,2.28,2.38,2.26,1.31M,-1.27%
Jan 15  2016,2.36,2.37,2.52,2.23,6.27M,-12.59%
Jan 14  2016,2.70,2.69,2.82,2.52,9.32M,2.27%
Jan 13  2016,2.64,3.00,3.02,2.58,6.70M,-5.38%
Jan 12  2016,2.79,3.30,3.32,2.53,11.20M,-11.71%
Jan 11  2016,3.16,3.63,3.64,3.14,5.19M,-13.66%
Jan 08  2016,3.66,3.90,3.90,3.58,5.64M,-2.14%
Jan 07  2016,3.74,3.94,4.11,3.74,4.63M,-9.44%
Jan 06  2016,4.13,4.17,4.30,4.10,3.61M,-6.14%
Jan 05  2016,4.40,4.51,4.52,4.33,2.29M,-3.51%
Jan 04  2016,4.56,4.57,4.75,4.32,3.89M,1.79%
Dec 31  2015,4.48,4.12,4.55,4.06,3.27M,8.74%
Dec 30  2015,4.12,4.30,4.44,4.09,2.62M,-8.24%
Dec 29  2015,4.49,4.53,4.59,4.32,2.81M,-1.32%
