Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,4.82,4.53,4.83,4.51,358.38K,7.35%
Apr 18  2016,4.49,4.05,4.53,4.04,487.10K,2.75%
Apr 15  2016,4.37,4.40,4.43,4.32,246.11K,-1.35%
Apr 14  2016,4.43,4.66,4.69,4.39,330.38K,-4.32%
Apr 13  2016,4.63,4.65,4.75,4.56,493.62K,-1.07%
Apr 12  2016,4.68,4.40,4.93,4.39,1.25M,7.34%
Apr 11  2016,4.36,4.40,4.46,4.33,761.05K,0.46%
Apr 08  2016,4.34,4.38,4.47,4.28,790.79K,3.33%
Apr 07  2016,4.20,4.55,4.65,4.14,1.14M,-8.89%
Apr 06  2016,4.61,4.59,4.61,4.41,619.02K,4.54%
Apr 05  2016,4.41,4.45,4.51,4.33,463.19K,-2.22%
Apr 04  2016,4.51,4.87,4.89,4.47,797.10K,-6.63%
Apr 01  2016,4.83,5.12,5.12,4.71,1.51M,-8.70%
Mar 31  2016,5.29,5.45,5.49,5.25,966.50K,-2.40%
Mar 30  2016,5.42,5.40,5.52,5.32,303.69K,1.69%
Mar 29  2016,5.33,5.19,5.37,5.13,356.21K,-2.02%
Mar 28  2016,5.44,5.44,5.57,5.31,443.22K,2.45%
Mar 24  2016,5.31,5.10,5.43,5.06,321.27K,1.72%
Mar 23  2016,5.22,5.45,5.45,5.17,327.28K,-5.61%
Mar 22  2016,5.53,5.58,5.64,5.48,241.21K,-1.60%
Mar 21  2016,5.62,5.64,5.72,5.58,264.43K,-1.23%
Mar 18  2016,5.69,5.61,5.71,5.56,1.43M,6.16%
Mar 17  2016,5.36,5.35,5.44,5.33,417.88K,3.08%
Mar 16  2016,5.20,5.35,5.39,5.18,1.06M,-0.95%
Mar 15  2016,5.25,5.44,5.44,5.12,602.55K,-5.06%
Mar 14  2016,5.53,5.64,5.70,5.40,364.22K,-3.83%
Mar 11  2016,5.75,5.92,6.08,5.66,794.42K,-1.37%
Mar 10  2016,5.83,5.60,5.85,5.50,565.50K,4.29%
Mar 09  2016,5.59,5.38,5.64,5.31,601.23K,6.48%
Mar 08  2016,5.25,5.43,5.49,5.21,485.61K,-4.02%
Mar 07  2016,5.47,5.30,5.67,5.30,679.38K,3.60%
Mar 04  2016,5.28,5.22,5.39,5.07,447.87K,3.33%
