Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,8.93,9.05,9.06,8.89,1.07M,-1.76%
Apr 18  2016,9.09,9.08,9.16,9.01,958.61K,0.22%
Apr 15  2016,9.07,9.10,9.20,9.04,927.76K,-0.33%
Apr 14  2016,9.10,9.24,9.25,9.06,1.30M,-1.19%
Apr 13  2016,9.21,9.11,9.26,9.07,1.19M,1.77%
Apr 12  2016,9.05,9.09,9.19,8.97,1.71M,-0.55%
Apr 11  2016,9.10,9.22,9.30,9.10,1.29M,-1.09%
Apr 08  2016,9.20,9.24,9.28,9.09,989.03K,0.11%
Apr 07  2016,9.19,9.25,9.34,9.12,1.29M,-0.86%
Apr 06  2016,9.27,9.41,9.45,9.21,1.22M,-1.07%
Apr 05  2016,9.37,9.40,9.56,9.33,1.26M,-1.47%
Apr 04  2016,9.51,9.66,9.67,9.32,1.79M,-2.36%
Apr 01  2016,9.74,9.70,10.10,9.64,4.16M,-7.59%
Mar 31  2016,10.54,10.42,10.65,10.36,1.45M,1.54%
Mar 30  2016,10.38,10.34,10.62,10.32,1.41M,0.97%
Mar 29  2016,10.28,10.02,10.39,9.91,1.08M,2.19%
Mar 28  2016,10.06,10.07,10.11,9.87,705.42K,0.20%
Mar 24  2016,10.04,10.05,10.13,9.87,1.20M,-1.18%
Mar 23  2016,10.16,10.43,10.46,10.11,1.18M,-1.65%
Mar 22  2016,10.33,10.42,10.47,10.31,882.30K,-1.71%
Mar 21  2016,10.51,10.48,10.66,10.41,1.01M,0.19%
Mar 18  2016,10.49,10.50,10.63,10.44,2.76M,-0.29%
Mar 17  2016,10.52,10.38,10.64,10.25,1.49M,0.86%
Mar 16  2016,10.43,10.50,10.60,10.38,1.10M,-0.76%
Mar 15  2016,10.51,10.57,10.61,10.36,1.02M,-1.13%
Mar 14  2016,10.63,10.62,10.74,10.60,1.05M,-0.28%
Mar 11  2016,10.66,10.74,10.79,10.53,1.07M,0.38%
Mar 10  2016,10.62,10.99,11.00,10.45,1.66M,-2.66%
Mar 09  2016,10.91,11.01,11.03,10.73,1.49M,-0.09%
Mar 08  2016,10.92,10.90,11.00,10.82,1.23M,-0.27%
Mar 07  2016,10.95,10.53,11.09,10.53,2.11M,3.60%
Mar 04  2016,10.57,10.46,10.85,10.46,2.16M,0.76%
Mar 03  2016,10.49,10.48,10.61,10.40,1.53M,0.29%
Mar 02  2016,10.46,10.35,10.47,10.27,1.72M,1.45%
Mar 01  2016,10.31,10.68,10.72,10.28,1.51M,-2.37%
Feb 29  2016,10.56,10.15,10.67,10.12,2.68M,4.66%
Feb 26  2016,10.09,9.91,10.26,9.86,1.64M,2.54%
Feb 25  2016,9.84,10.08,10.09,9.72,1.26M,-2.19%
Feb 24  2016,10.06,9.82,10.09,9.70,1.30M,0.60%
Feb 23  2016,10.00,10.00,10.14,9.89,979.66K,0.00%
Feb 22  2016,10.00,9.90,10.07,9.80,1.44M,2.04%
Feb 19  2016,9.80,9.68,9.84,9.58,943.82K,-0.71%
Feb 18  2016,9.87,9.87,9.89,9.58,1.93M,0.30%
Feb 17  2016,9.84,9.74,9.86,9.63,1.73M,1.76%
Feb 16  2016,9.67,9.40,9.67,9.34,1.38M,4.54%
Feb 12  2016,9.25,9.34,9.44,9.22,1.52M,0.33%
Feb 11  2016,9.22,9.08,9.23,8.94,1.72M,-0.22%
Feb 10  2016,9.24,9.44,9.52,9.22,1.61M,-1.18%
Feb 09  2016,9.35,9.36,9.53,9.19,1.63M,-1.27%
Feb 08  2016,9.47,9.63,9.73,9.30,1.85M,-4.05%
Feb 05  2016,9.87,10.12,10.16,9.83,2.38M,-2.95%
Feb 04  2016,10.17,9.83,10.28,9.82,1.96M,3.04%
Feb 03  2016,9.87,9.76,9.88,9.52,1.87M,1.65%
Feb 02  2016,9.71,9.77,9.89,9.65,1.66M,-1.42%
Feb 01  2016,9.85,9.93,9.98,9.73,1.68M,-1.40%
Jan 29  2016,9.99,9.85,9.99,9.76,2.36M,3.31%
Jan 28  2016,9.67,9.78,9.84,9.58,1.91M,-0.51%
Jan 27  2016,9.72,9.84,10.05,9.71,2.06M,-1.52%
Jan 26  2016,9.87,9.77,10.02,9.59,1.80M,1.23%
Jan 25  2016,9.75,9.98,10.05,9.73,1.82M,-1.81%
Jan 22  2016,9.93,10.06,10.09,9.75,2.82M,0.91%
Jan 21  2016,9.84,9.99,10.19,9.63,3.03M,-1.70%
Jan 20  2016,10.01,9.56,10.03,9.21,3.64M,1.83%
Jan 19  2016,9.83,10.17,10.25,9.64,2.41M,-1.90%
Jan 18  2016,10.02,10.13,10.26,9.90,1.20M,-1.09%
Jan 15  2016,10.13,10.12,10.34,9.78,2.37M,-3.80%
Jan 14  2016,10.53,10.24,10.58,10.03,3.55M,3.64%
Jan 13  2016,10.16,10.55,10.66,10.12,2.58M,-3.33%
Jan 12  2016,10.51,10.94,11.11,10.37,2.89M,-1.50%
Jan 11  2016,10.67,11.01,11.06,10.43,2.55M,-2.38%
Jan 08  2016,10.93,11.50,11.60,10.90,2.59M,-2.76%
Jan 07  2016,11.24,12.09,12.13,11.07,3.21M,-8.91%
Jan 06  2016,12.34,12.20,12.57,12.17,2.20M,-0.32%
Jan 05  2016,12.38,12.71,12.77,12.37,2.12M,-2.90%
Jan 04  2016,12.75,12.68,12.86,12.35,2.36M,-0.70%
Dec 31  2015,12.84,12.97,13.08,12.80,1.43M,-1.00%
Dec 30  2015,12.97,12.90,13.12,12.88,1.39M,0.46%
Dec 29  2015,12.91,12.90,13.07,12.67,1.97M,2.38%
Dec 24  2015,12.61,12.61,12.72,12.52,1.41M,-0.24%
Dec 23  2015,12.64,12.56,12.87,12.47,2.49M,1.20%
Dec 22  2015,12.49,12.16,12.53,12.03,2.61M,2.38%
Dec 21  2015,12.20,12.39,12.52,11.81,3.33M,1.41%
Dec 18  2015,12.03,11.40,12.66,11.33,8.05M,10.47%
Dec 17  2015,10.89,11.30,11.60,10.85,3.09M,-3.54%
Dec 16  2015,11.29,10.85,11.34,10.84,2.45M,4.73%
Dec 15  2015,10.78,10.45,10.92,10.39,1.83M,3.75%
Dec 14  2015,10.39,10.53,10.53,10.20,2.10M,-1.42%
Dec 11  2015,10.54,10.78,11.00,10.30,2.29M,-2.04%
Dec 10  2015,10.76,9.89,11.17,9.86,5.48M,7.71%
Dec 09  2015,9.99,10.36,10.40,9.94,1.47M,-3.66%
Dec 08  2015,10.37,10.06,10.45,10.02,2.06M,1.37%
Dec 07  2015,10.23,10.40,10.49,10.15,1.04M,-1.63%
Dec 04  2015,10.40,10.29,10.44,10.26,1.11M,1.07%
Dec 03  2015,10.29,10.35,10.48,10.21,1.51M,-0.19%
Dec 02  2015,10.31,10.47,10.59,10.29,1.52M,-2.00%
Dec 01  2015,10.52,10.68,10.87,10.50,1.65M,-0.94%
Nov 30  2015,10.62,10.39,10.70,10.38,1.96M,2.02%
Nov 27  2015,10.41,10.57,10.60,10.40,887.28K,-1.33%
Nov 26  2015,10.55,10.45,10.65,10.45,379.89K,0.29%
Nov 25  2015,10.52,10.58,10.70,10.45,910.90K,-0.57%
Nov 24  2015,10.58,10.39,10.61,10.39,1.51M,1.15%
Nov 23  2015,10.46,10.39,10.67,10.36,1.31M,0.97%
Nov 20  2015,10.36,10.36,10.49,10.29,1.10M,0.97%
Nov 19  2015,10.26,10.16,10.34,10.08,857.88K,1.08%
Nov 18  2015,10.15,9.87,10.18,9.87,1.29M,2.84%
Nov 17  2015,9.87,10.19,10.20,9.81,1.40M,-1.50%
Nov 16  2015,10.02,9.64,10.05,9.61,1.25M,4.38%
Nov 13  2015,9.60,9.88,9.95,9.52,1.74M,-2.54%
Nov 12  2015,9.85,9.76,10.17,9.74,1.56M,0.10%
Nov 11  2015,9.84,10.21,10.25,9.83,1.25M,-3.34%
Nov 10  2015,10.18,10.78,10.81,10.13,1.77M,-4.95%
Nov 09  2015,10.71,10.74,10.95,10.63,2.32M,0.56%
Nov 06  2015,10.65,10.14,10.82,10.10,2.25M,6.50%
Nov 05  2015,10.00,10.13,10.22,9.94,1.11M,-0.99%
Nov 04  2015,10.10,10.15,10.21,10.04,1.10M,0.30%
Nov 03  2015,10.07,9.82,10.16,9.82,1.25M,2.65%
Nov 02  2015,9.81,9.50,9.83,9.50,1.21M,2.94%
Oct 30  2015,9.53,9.47,9.55,9.29,1.69M,1.49%
Oct 29  2015,9.39,9.48,9.56,9.35,734.14K,-1.05%
Oct 28  2015,9.49,9.34,9.57,9.20,1.38M,2.15%
Oct 27  2015,9.29,9.52,9.62,9.27,1.41M,-3.03%
Oct 26  2015,9.58,9.63,9.94,9.49,1.75M,-0.83%
Oct 23  2015,9.66,9.48,9.69,9.36,1.71M,2.99%
Oct 22  2015,9.38,9.32,9.55,9.29,1.61M,0.97%
Oct 21  2015,9.29,9.47,9.47,9.27,1.17M,-0.85%
Oct 20  2015,9.37,9.33,9.54,9.27,988.50K,0.11%
Oct 19  2015,9.36,9.15,9.40,9.06,837.17K,1.96%
Oct 16  2015,9.18,9.35,9.38,9.10,1.15M,-1.71%
Oct 15  2015,9.34,9.42,9.54,9.32,1.23M,-0.85%
Oct 14  2015,9.42,9.25,9.51,9.25,1.13M,0.75%
Oct 13  2015,9.35,9.40,9.55,9.22,1.58M,-2.50%
Oct 09  2015,9.59,9.46,9.62,9.39,1.11M,1.05%
Oct 08  2015,9.49,9.24,9.56,9.24,1.33M,1.50%
Oct 07  2015,9.35,8.93,9.36,8.88,1.95M,6.01%
Oct 06  2015,8.82,8.66,8.88,8.65,1.03M,2.20%
Oct 05  2015,8.63,8.40,8.64,8.40,1.16M,3.60%
Oct 02  2015,8.33,8.00,8.35,7.99,1.48M,3.48%
Oct 01  2015,8.05,8.22,8.23,8.00,1.31M,-1.71%
Sep 30  2015,8.19,8.10,8.29,8.03,2.10M,1.11%
Sep 29  2015,8.10,8.45,8.49,8.02,1.55M,-3.91%
Sep 28  2015,8.43,8.63,8.63,8.21,2.42M,-2.43%
Sep 25  2015,8.64,9.02,9.44,8.57,3.25M,-7.69%
Sep 24  2015,9.36,9.52,9.56,9.33,1.12M,-2.30%
Sep 23  2015,9.58,9.63,9.74,9.54,830.55K,-0.52%
Sep 22  2015,9.63,9.72,9.76,9.50,1.15M,-1.93%
Sep 21  2015,9.82,10.02,10.05,9.80,1.09M,-1.01%
Sep 18  2015,9.92,9.82,10.01,9.79,5.64M,-0.30%
Sep 17  2015,9.95,10.03,10.12,9.91,1.37M,-1.09%
Sep 16  2015,10.06,9.94,10.12,9.87,4.10M,1.41%
Sep 15  2015,9.92,9.82,10.01,9.71,2.19M,1.43%
Sep 14  2015,9.78,9.71,9.85,9.61,896.28K,0.20%
Sep 11  2015,9.76,9.69,9.82,9.56,848.31K,0.00%
Sep 10  2015,9.76,9.51,9.85,9.51,997.95K,1.88%
Sep 09  2015,9.58,9.78,9.91,9.57,1.67M,-1.74%
Sep 08  2015,9.75,9.79,9.97,9.63,1.11M,0.93%
Sep 04  2015,9.66,10.02,10.35,9.61,2.47M,-2.03%
Sep 03  2015,9.86,9.91,9.97,9.75,729.86K,-0.50%
Sep 02  2015,9.91,9.81,9.91,9.68,877.58K,2.06%
Sep 01  2015,9.71,9.80,9.88,9.61,1.15M,-2.71%
Aug 31  2015,9.98,9.75,10.00,9.66,1.76M,2.67%
Aug 28  2015,9.72,9.49,9.88,9.43,1.75M,2.42%
Aug 27  2015,9.49,9.11,9.56,9.11,1.57M,4.98%
Aug 26  2015,9.04,9.12,9.20,8.82,1.47M,0.33%
Aug 25  2015,9.01,9.50,9.54,8.99,1.99M,-2.49%
Aug 24  2015,9.24,8.56,9.74,8.56,3.14M,-1.81%
Aug 21  2015,9.41,9.51,9.64,9.37,1.36M,-2.59%
Aug 20  2015,9.66,9.73,9.81,9.51,1.13M,-1.73%
Aug 19  2015,9.83,9.83,10.02,9.66,1.15M,-0.51%
Aug 18  2015,9.88,9.95,9.99,9.84,599.46K,-1.00%
