Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,56.07,55.00,56.07,54.78,180.43K,2.30%
Apr 18  2016,54.81,54.70,55.80,54.04,80.36K,1.20%
Apr 15  2016,54.16,54.01,54.54,53.79,124.66K,-0.07%
Apr 14  2016,54.20,55.16,55.16,54.19,186.37K,-0.91%
Apr 13  2016,54.70,54.78,55.21,54.41,272.25K,1.54%
Apr 12  2016,53.87,53.22,54.02,52.85,197.89K,1.49%
Apr 11  2016,53.08,52.56,53.37,52.56,157.54K,1.10%
Apr 08  2016,52.50,52.61,53.30,51.93,205.88K,0.08%
Apr 07  2016,52.46,52.65,53.16,52.26,148.53K,-0.36%
Apr 06  2016,52.65,52.02,52.87,51.82,246.50K,1.56%
Apr 05  2016,51.84,51.50,52.28,51.45,92.36K,0.29%
Apr 04  2016,51.69,51.51,52.41,51.29,130.83K,-0.08%
Apr 01  2016,51.73,52.10,52.95,51.50,235.64K,-0.12%
Mar 31  2016,51.79,51.19,52.37,51.19,104.32K,1.03%
Mar 30  2016,51.26,50.82,51.59,50.30,127.71K,1.30%
Mar 29  2016,50.60,50.73,50.91,50.46,167.60K,-0.33%
Mar 28  2016,50.77,50.13,51.07,49.75,150.61K,1.54%
Mar 24  2016,50.00,50.22,50.22,49.54,172.51K,0.00%
Mar 23  2016,50.00,51.84,51.86,49.88,204.46K,-3.44%
Mar 22  2016,51.78,52.93,53.08,51.66,153.41K,-2.58%
Mar 21  2016,53.15,53.31,53.49,52.35,115.65K,1.47%
Mar 18  2016,52.38,53.70,53.73,52.00,425.22K,-2.46%
Mar 17  2016,53.70,51.91,53.93,51.74,320.21K,3.83%
Mar 16  2016,51.72,51.85,52.42,51.49,256.65K,-0.02%
Mar 15  2016,51.73,52.89,52.89,51.47,312.45K,-3.94%
Mar 14  2016,53.85,53.36,53.89,52.76,150.02K,1.22%
Mar 11  2016,53.20,53.42,53.58,52.67,138.13K,0.28%
Mar 10  2016,53.05,53.28,53.93,52.37,161.61K,-0.36%
Mar 09  2016,53.24,52.69,53.74,52.25,221.26K,1.51%
Mar 08  2016,52.45,53.17,53.38,52.20,264.97K,-1.35%
Mar 07  2016,53.17,52.13,53.36,51.82,347.21K,2.27%
Mar 04  2016,51.99,53.00,53.35,51.87,436.93K,-2.20%
Mar 03  2016,53.16,51.50,53.34,51.50,422.78K,3.40%
Mar 02  2016,51.41,50.75,51.60,50.25,262.98K,1.30%
Mar 01  2016,50.75,49.62,51.00,49.43,240.97K,2.53%
Feb 29  2016,49.50,49.33,49.67,48.94,225.79K,1.27%
Feb 26  2016,48.88,49.01,49.11,48.31,153.34K,0.56%
Feb 25  2016,48.61,48.63,48.90,47.81,217.94K,-0.08%
Feb 24  2016,48.65,48.40,48.80,47.90,208.42K,0.29%
Feb 23  2016,48.51,48.70,48.72,47.83,239.99K,0.31%
Feb 22  2016,48.36,47.50,48.80,47.17,337.20K,2.46%
Feb 19  2016,47.20,44.11,48.00,43.70,866.55K,10.93%
Feb 18  2016,42.55,42.28,42.74,41.88,277.72K,0.97%
Feb 17  2016,42.14,42.19,42.54,41.72,349.41K,0.33%
Feb 16  2016,42.00,42.70,42.70,41.82,118.25K,-0.45%
Feb 12  2016,42.19,41.86,42.89,41.85,238.79K,1.35%
Feb 11  2016,41.63,41.15,41.72,40.76,242.75K,0.07%
Feb 10  2016,41.60,41.73,42.05,41.58,300.74K,-0.17%
Feb 09  2016,41.67,43.07,43.14,41.53,281.17K,-3.63%
Feb 08  2016,43.24,44.19,44.20,42.90,413.03K,-2.55%
Feb 05  2016,44.37,44.21,44.41,43.82,195.49K,0.02%
Feb 04  2016,44.36,43.00,44.41,43.00,162.71K,3.36%
Feb 03  2016,42.92,42.69,43.18,42.14,187.23K,1.32%
Feb 02  2016,42.36,42.24,42.53,41.44,355.58K,-0.09%
Feb 01  2016,42.40,43.92,44.00,42.32,243.65K,-3.72%
Jan 29  2016,44.04,43.21,44.04,42.70,232.66K,2.56%
Jan 28  2016,42.94,42.62,43.28,41.98,240.09K,1.59%
Jan 27  2016,42.27,41.29,42.81,41.28,260.56K,2.13%
Jan 26  2016,41.39,41.78,42.06,41.16,226.63K,0.63%
Jan 25  2016,41.13,42.71,43.72,41.01,178.95K,-4.70%
Jan 22  2016,43.16,42.29,43.51,41.98,287.08K,2.57%
Jan 21  2016,42.08,40.65,42.75,40.65,451.24K,3.57%
Jan 20  2016,40.63,40.95,40.95,38.47,512.65K,-1.19%
Jan 19  2016,41.12,41.37,41.53,40.75,417.40K,0.32%
Jan 18  2016,40.99,41.44,41.44,40.75,82.73K,0.22%
Jan 15  2016,40.90,42.15,42.15,40.87,267.23K,-3.97%
