Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,1.65,1.57,1.65,1.57,7.50M,5.10%
Apr 18  2016,1.57,1.65,1.66,1.57,12.36M,-3.09%
Apr 15  2016,1.62,1.76,1.79,1.60,34.11M,5.88%
Apr 14  2016,1.53,1.45,1.57,1.42,24.03M,6.99%
Apr 13  2016,1.43,1.37,1.43,1.36,9.02M,5.93%
Apr 12  2016,1.35,1.32,1.35,1.30,6.45M,6.30%
Apr 11  2016,1.27,1.28,1.28,1.26,1.79M,-0.78%
Apr 08  2016,1.28,1.28,1.29,1.25,4.78M,0.00%
Apr 07  2016,1.28,1.29,1.29,1.26,3.52M,0.00%
Apr 06  2016,1.28,1.29,1.32,1.25,8.34M,0.79%
Apr 05  2016,1.27,1.29,1.30,1.25,7.04M,-0.78%
Apr 04  2016,1.28,1.40,1.41,1.21,10.03M,-7.25%
Apr 01  2016,1.38,1.35,1.40,1.33,13.47M,4.55%
Mar 31  2016,1.32,1.31,1.34,1.30,5.33M,0.00%
Mar 30  2016,1.32,1.32,1.34,1.31,3.51M,0.76%
Mar 29  2016,1.31,1.34,1.34,1.31,3.04M,-2.24%
Mar 28  2016,1.34,1.35,1.36,1.31,4.37M,0.75%
Mar 24  2016,1.33,1.30,1.33,1.27,5.49M,0.76%
Mar 23  2016,1.32,1.30,1.35,1.27,13.36M,-5.04%
Mar 22  2016,1.39,1.40,1.43,1.38,8.27M,1.46%
Mar 21  2016,1.37,1.32,1.38,1.31,15.10M,6.20%
Mar 18  2016,1.29,1.25,1.30,1.24,33.30M,4.03%
Mar 17  2016,1.24,1.17,1.24,1.16,11.08M,7.83%
Mar 16  2016,1.15,1.13,1.17,1.13,2.69M,0.88%
Mar 15  2016,1.14,1.16,1.16,1.13,4.54M,-1.72%
Mar 14  2016,1.16,1.16,1.18,1.15,3.60M,0.00%
Mar 11  2016,1.16,1.17,1.17,1.15,1.87M,0.87%
Mar 10  2016,1.15,1.18,1.18,1.15,3.79M,0.00%
Mar 09  2016,1.15,1.16,1.18,1.13,6.41M,1.77%
Mar 08  2016,1.13,1.24,1.25,1.10,9.42M,-10.32%
Mar 07  2016,1.26,1.27,1.28,1.24,9.18M,-0.79%
Mar 04  2016,1.27,1.28,1.30,1.26,8.60M,4.10%
Mar 03  2016,1.22,1.14,1.24,1.14,11.60M,9.91%
Mar 02  2016,1.11,1.08,1.12,1.07,4.44M,3.74%
Mar 01  2016,1.07,1.06,1.09,1.06,4.54M,0.94%
Feb 29  2016,1.06,1.04,1.11,1.04,10.26M,0.00%
Feb 26  2016,1.06,1.00,1.07,0.93,14.38M,-1.85%
Feb 25  2016,1.08,1.15,1.18,1.08,14.26M,-8.47%
Feb 24  2016,1.18,1.29,1.30,1.12,17.18M,-9.23%
Feb 23  2016,1.30,1.25,1.33,1.25,22.43M,4.84%
Feb 22  2016,1.24,1.20,1.25,1.19,12.87M,8.77%
Feb 19  2016,1.14,1.13,1.16,1.12,8.79M,1.79%
Feb 18  2016,1.12,1.14,1.17,1.08,20.00M,2.75%
Feb 17  2016,1.09,1.10,1.17,1.03,28.07M,21.11%
Feb 16  2016,0.90,0.87,0.90,0.85,9.93M,11.11%
Feb 12  2016,0.81,0.82,0.84,0.80,7.08M,3.85%
Feb 11  2016,0.78,0.78,0.82,0.77,6.87M,0.00%
Feb 10  2016,0.78,0.82,0.85,0.77,8.42M,-2.50%
Feb 09  2016,0.80,0.77,0.80,0.73,9.40M,3.90%
Feb 08  2016,0.77,0.81,0.82,0.72,12.79M,-3.75%
Feb 05  2016,0.80,0.86,0.87,0.80,14.46M,-8.05%
Feb 04  2016,0.87,0.88,0.90,0.86,12.58M,-2.25%
Feb 03  2016,0.89,0.91,0.91,0.89,6.61M,-2.20%
Feb 02  2016,0.91,0.94,0.95,0.89,9.73M,-5.21%
Feb 01  2016,0.96,0.98,0.99,0.92,9.40M,-2.04%
Jan 29  2016,0.98,0.92,0.98,0.88,14.02M,10.11%
Jan 28  2016,0.89,0.97,0.98,0.87,26.95M,-10.10%
Jan 27  2016,0.99,1.02,1.03,0.98,12.73M,-1.98%
Jan 26  2016,1.01,1.03,1.06,1.00,7.77M,-0.98%
Jan 25  2016,1.02,1.11,1.11,1.00,10.45M,-6.42%
Jan 22  2016,1.09,1.13,1.14,1.06,8.85M,0.00%
Jan 21  2016,1.09,1.18,1.19,1.09,16.73M,-9.17%
Jan 20  2016,1.20,1.19,1.23,1.15,5.63M,1.69%
Jan 19  2016,1.18,1.18,1.28,1.15,11.26M,0.85%
Jan 18  2016,1.17,1.11,1.17,1.10,2.39M,3.54%
Jan 15  2016,1.13,1.12,1.14,1.09,4.94M,-2.59%
Jan 14  2016,1.16,1.16,1.18,1.11,4.56M,-0.85%
Jan 13  2016,1.17,1.22,1.22,1.15,8.27M,-4.10%
Jan 12  2016,1.22,1.24,1.27,1.21,3.65M,-0.81%
Jan 11  2016,1.23,1.25,1.26,1.21,3.98M,-2.38%
Jan 08  2016,1.26,1.30,1.31,1.25,3.60M,-3.08%
Jan 07  2016,1.30,1.27,1.32,1.21,9.12M,0.78%
Jan 06  2016,1.29,1.30,1.31,1.26,5.30M,-1.53%
Jan 05  2016,1.31,1.35,1.36,1.30,3.14M,-2.24%
Jan 04  2016,1.34,1.32,1.36,1.29,3.91M,0.00%
Dec 31  2015,1.34,1.31,1.34,1.28,3.77M,3.08%
Dec 30  2015,1.30,1.32,1.33,1.29,2.33M,-2.26%
Dec 29  2015,1.33,1.31,1.33,1.26,3.81M,1.53%
Dec 24  2015,1.31,1.33,1.33,1.30,1.36M,-0.76%
Dec 23  2015,1.32,1.36,1.37,1.31,4.16M,-2.94%
Dec 22  2015,1.36,1.39,1.39,1.36,2.68M,-2.16%
Dec 21  2015,1.39,1.40,1.43,1.36,8.01M,2.21%
Dec 18  2015,1.36,1.26,1.39,1.25,30.95M,16.24%
Dec 17  2015,1.17,1.19,1.21,1.17,4.69M,-1.68%
Dec 16  2015,1.19,1.19,1.20,1.17,3.82M,0.85%
Dec 15  2015,1.18,1.16,1.20,1.16,3.10M,2.61%
Dec 14  2015,1.15,1.20,1.22,1.15,5.66M,-3.36%
Dec 11  2015,1.19,1.19,1.20,1.17,3.11M,-0.83%
Dec 10  2015,1.20,1.13,1.21,1.12,8.26M,7.14%
Dec 09  2015,1.12,1.15,1.17,1.10,5.40M,-2.61%
Dec 08  2015,1.15,1.18,1.19,1.14,5.00M,-2.54%
Dec 07  2015,1.18,1.21,1.21,1.18,5.30M,-4.07%
Dec 04  2015,1.23,1.23,1.23,1.20,5.44M,0.82%
Dec 03  2015,1.22,1.24,1.24,1.20,5.67M,0.00%
Dec 02  2015,1.22,1.28,1.28,1.22,5.21M,-2.40%
Dec 01  2015,1.25,1.28,1.29,1.25,5.45M,-3.85%
Nov 30  2015,1.30,1.30,1.31,1.25,7.79M,0.78%
Nov 27  2015,1.29,1.34,1.35,1.28,5.80M,-3.01%
Nov 26  2015,1.33,1.34,1.39,1.27,7.41M,0.76%
Nov 25  2015,1.32,1.16,1.36,1.12,20.70M,11.86%
Nov 24  2015,1.18,1.24,1.24,1.17,8.39M,-4.84%
Nov 23  2015,1.24,1.25,1.27,1.22,6.16M,-1.59%
Nov 20  2015,1.26,1.28,1.31,1.22,13.04M,-1.56%
Nov 19  2015,1.28,1.42,1.46,1.20,27.72M,0.00%
Nov 18  2015,1.28,1.27,1.30,1.24,4.95M,3.23%
Nov 17  2015,1.24,1.25,1.26,1.18,9.79M,-1.59%
Nov 16  2015,1.26,1.27,1.28,1.20,11.49M,-1.56%
Nov 13  2015,1.28,1.36,1.39,1.28,8.34M,-7.25%
Nov 12  2015,1.38,1.40,1.42,1.35,6.25M,-1.43%
Nov 11  2015,1.40,1.43,1.46,1.37,6.89M,-3.45%
Nov 10  2015,1.45,1.47,1.48,1.42,5.39M,-3.33%
Nov 09  2015,1.50,1.54,1.55,1.45,6.86M,-1.32%
Nov 06  2015,1.52,1.53,1.58,1.48,9.11M,-0.65%
Nov 05  2015,1.53,1.46,1.54,1.45,5.99M,4.08%
Nov 04  2015,1.47,1.41,1.48,1.39,8.66M,6.52%
Nov 03  2015,1.38,1.38,1.42,1.36,3.62M,0.00%
Nov 02  2015,1.38,1.42,1.46,1.37,8.20M,-2.82%
Oct 30  2015,1.42,1.36,1.42,1.32,14.51M,6.77%
Oct 29  2015,1.33,1.67,1.67,1.31,38.16M,-17.39%
Oct 28  2015,1.61,1.51,1.68,1.45,18.68M,11.03%
Oct 27  2015,1.45,1.45,1.49,1.41,6.44M,-0.68%
Oct 26  2015,1.46,1.53,1.54,1.45,7.32M,-3.95%
Oct 23  2015,1.52,1.56,1.58,1.52,3.61M,-2.56%
Oct 22  2015,1.56,1.60,1.60,1.56,2.58M,-1.27%
Oct 21  2015,1.58,1.61,1.62,1.57,2.02M,0.00%
Oct 20  2015,1.58,1.56,1.62,1.55,3.66M,0.64%
Oct 19  2015,1.57,1.63,1.63,1.54,5.88M,-2.48%
Oct 16  2015,1.61,1.65,1.68,1.58,10.44M,-4.17%
Oct 15  2015,1.68,1.72,1.73,1.67,5.45M,-1.18%
Oct 14  2015,1.70,1.73,1.78,1.70,5.80M,0.00%
Oct 13  2015,1.70,1.69,1.74,1.67,6.76M,3.03%
Oct 09  2015,1.65,1.58,1.68,1.56,6.57M,5.77%
Oct 08  2015,1.56,1.51,1.56,1.51,5.10M,1.30%
Oct 07  2015,1.54,1.56,1.58,1.48,34.09M,-12.99%
Oct 06  2015,1.77,1.56,1.82,1.55,13.26M,14.94%
Oct 05  2015,1.54,1.60,1.62,1.54,7.94M,-0.65%
Oct 02  2015,1.55,1.56,1.61,1.53,4.43M,1.97%
Oct 01  2015,1.52,1.71,1.71,1.52,14.44M,-8.98%
Sep 30  2015,1.67,1.74,1.79,1.64,13.00M,-1.18%
Sep 29  2015,1.69,1.58,1.70,1.55,6.25M,6.96%
Sep 28  2015,1.58,1.60,1.61,1.54,5.63M,-0.63%
Sep 25  2015,1.59,1.50,1.63,1.50,14.81M,8.90%
Sep 24  2015,1.46,1.55,1.55,1.39,12.76M,-8.18%
Sep 23  2015,1.59,1.75,1.75,1.57,8.23M,-8.62%
Sep 22  2015,1.74,1.74,1.76,1.72,4.12M,-1.14%
Sep 21  2015,1.76,1.74,1.78,1.72,5.13M,1.15%
Sep 18  2015,1.74,1.75,1.79,1.73,19.19M,-1.69%
Sep 17  2015,1.77,1.74,1.80,1.70,6.76M,3.51%
Sep 16  2015,1.71,1.71,1.73,1.68,4.81M,2.40%
Sep 15  2015,1.67,1.61,1.75,1.61,7.77M,0.60%
Sep 14  2015,1.66,1.82,1.82,1.57,17.33M,-10.75%
Sep 11  2015,1.86,1.95,2.00,1.74,29.81M,-1.06%
Sep 10  2015,1.88,1.50,1.88,1.46,36.88M,28.77%
Sep 09  2015,1.46,1.22,1.57,1.21,34.48M,22.69%
Sep 08  2015,1.19,1.22,1.23,1.17,4.27M,0.85%
Sep 04  2015,1.18,1.19,1.21,1.18,3.02M,-1.67%
Sep 03  2015,1.20,1.17,1.21,1.15,3.75M,3.45%
Sep 02  2015,1.16,1.20,1.21,1.14,7.15M,-0.85%
