Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,2.75,2.65,2.79,2.63,1.41M,7.00%
Apr 18  2016,2.57,2.39,2.61,2.35,1.39M,-0.39%
Apr 15  2016,2.58,2.62,2.62,2.52,466.56K,-3.37%
Apr 14  2016,2.67,2.78,2.78,2.62,387.00K,-2.20%
Apr 13  2016,2.73,2.78,2.85,2.71,789.85K,-1.09%
Apr 12  2016,2.76,2.60,2.82,2.56,1.11M,8.24%
Apr 11  2016,2.55,2.51,2.55,2.46,763.34K,4.94%
Apr 08  2016,2.43,2.44,2.56,2.42,1.06M,3.40%
Apr 07  2016,2.35,2.44,2.46,2.33,649.76K,-2.08%
Apr 06  2016,2.40,2.37,2.47,2.35,923.62K,5.26%
Apr 05  2016,2.28,2.29,2.35,2.23,1.06M,-2.15%
Apr 04  2016,2.33,2.45,2.48,2.25,1.11M,-6.80%
Apr 01  2016,2.50,2.51,2.62,2.47,1.16M,-4.58%
Mar 31  2016,2.62,2.61,2.70,2.56,608.60K,1.16%
Mar 30  2016,2.59,2.58,2.77,2.58,847.27K,1.97%
Mar 29  2016,2.54,2.49,2.57,2.43,980.71K,0.79%
Mar 28  2016,2.52,2.63,2.67,2.52,756.51K,-3.82%
Mar 24  2016,2.62,2.62,2.70,2.56,766.95K,-3.68%
Mar 23  2016,2.72,2.87,2.91,2.69,822.52K,-7.48%
Mar 22  2016,2.94,2.85,3.01,2.84,901.06K,0.68%
Mar 21  2016,2.92,2.89,2.98,2.86,792.88K,1.39%
Mar 18  2016,2.88,3.06,3.12,2.84,5.77M,-4.32%
Mar 17  2016,3.01,2.99,3.07,2.98,821.91K,2.73%
Mar 16  2016,2.93,2.87,2.93,2.78,820.61K,3.90%
Mar 15  2016,2.82,2.85,2.85,2.67,953.94K,-3.09%
Mar 14  2016,2.91,2.79,2.95,2.78,1.83M,0.69%
Mar 11  2016,2.89,3.10,3.15,2.86,1.03M,-3.34%
Mar 10  2016,2.99,2.86,3.00,2.82,1.37M,4.55%
Mar 09  2016,2.86,2.78,2.89,2.65,1.50M,5.93%
Mar 08  2016,2.70,2.90,2.92,2.67,1.80M,-10.00%
Mar 07  2016,3.00,3.17,3.27,2.93,2.43M,-4.76%
Mar 04  2016,3.15,3.15,3.28,2.97,2.37M,2.27%
Mar 03  2016,3.08,2.91,3.11,2.86,2.26M,6.57%
Mar 02  2016,2.89,2.49,2.98,2.48,2.47M,15.60%
Mar 01  2016,2.50,2.41,2.52,2.32,1.66M,6.38%
Feb 29  2016,2.35,2.26,2.43,2.24,4.02M,4.91%
Feb 26  2016,2.24,1.97,2.29,1.97,1.98M,16.67%
Feb 25  2016,1.92,1.92,1.98,1.84,1.71M,-3.03%
Feb 24  2016,1.98,1.80,1.98,1.73,1.66M,8.79%
Feb 23  2016,1.82,1.94,1.94,1.81,469.01K,-6.67%
Feb 22  2016,1.95,1.98,2.05,1.95,927.21K,3.72%
Feb 19  2016,1.88,1.87,1.92,1.80,852.73K,-1.57%
Feb 18  2016,1.91,1.93,1.96,1.83,1.30M,2.14%
Feb 17  2016,1.87,1.90,1.95,1.85,932.41K,2.19%
Feb 16  2016,1.83,1.90,1.91,1.81,881.53K,1.10%
Feb 12  2016,1.81,1.85,1.92,1.74,1.22M,7.10%
Feb 11  2016,1.69,1.65,1.73,1.61,703.49K,-3.43%
Feb 10  2016,1.75,1.76,1.85,1.71,593.27K,-0.57%
Feb 09  2016,1.76,1.83,1.86,1.73,679.03K,-6.88%
Feb 08  2016,1.89,1.89,1.98,1.83,653.29K,-2.07%
Feb 05  2016,1.93,1.81,1.94,1.78,914.18K,3.76%
Feb 04  2016,1.86,1.86,1.93,1.75,1.10M,1.64%
Feb 03  2016,1.83,1.73,1.86,1.61,1.34M,10.91%
Feb 02  2016,1.65,1.77,1.79,1.61,759.04K,-11.29%
Feb 01  2016,1.86,1.78,1.88,1.73,871.91K,-3.12%
Jan 29  2016,1.92,1.84,1.92,1.78,3.32M,7.26%
Jan 28  2016,1.79,1.57,1.79,1.51,2.53M,25.17%
Jan 27  2016,1.43,1.34,1.52,1.30,1.09M,5.15%
Jan 26  2016,1.36,1.25,1.39,1.20,897.78K,13.33%
Jan 25  2016,1.20,1.26,1.31,1.20,795.38K,-6.25%
Jan 22  2016,1.28,1.29,1.33,1.23,1.22M,7.56%
Jan 21  2016,1.19,1.11,1.23,1.08,1.48M,6.25%
Jan 20  2016,1.12,1.00,1.14,0.94,1.30M,6.67%
Jan 19  2016,1.05,1.11,1.13,1.02,830.05K,-2.78%
Jan 18  2016,1.08,1.13,1.14,1.07,457.25K,-4.42%
Jan 15  2016,1.13,1.07,1.16,1.07,666.11K,-5.83%
Jan 14  2016,1.20,1.17,1.29,1.12,1.42M,2.56%
Jan 13  2016,1.17,1.23,1.25,1.11,1.02M,-2.50%
Jan 12  2016,1.20,1.32,1.36,1.10,1.85M,-11.76%
Jan 11  2016,1.36,1.39,1.40,1.31,740.81K,-5.56%
Jan 08  2016,1.44,1.55,1.57,1.39,1.88M,-4.00%
Jan 07  2016,1.50,1.63,1.66,1.50,1.05M,-9.64%
Jan 06  2016,1.66,1.71,1.73,1.65,854.65K,-6.21%
Jan 05  2016,1.77,1.86,1.87,1.76,598.54K,-5.35%
Jan 04  2016,1.87,1.82,1.90,1.78,576.21K,2.75%
Dec 31  2015,1.82,1.79,1.86,1.72,941.98K,0.55%
Dec 30  2015,1.81,1.89,1.90,1.80,526.11K,-7.65%
Dec 29  2015,1.96,2.03,2.06,1.90,873.83K,-3.92%
Dec 24  2015,2.04,2.09,2.09,1.94,547.56K,2.51%
Dec 23  2015,1.99,1.72,2.01,1.72,1.93M,17.75%
Dec 22  2015,1.69,1.71,1.72,1.67,437.04K,-1.17%
Dec 21  2015,1.71,1.72,1.78,1.68,1.00M,-0.58%
Dec 18  2015,1.72,1.65,1.74,1.65,1.36M,2.99%
Dec 17  2015,1.67,1.71,1.74,1.67,849.11K,-3.47%
Dec 16  2015,1.73,1.75,1.84,1.66,1.14M,-1.14%
Dec 15  2015,1.75,1.68,1.76,1.68,761.96K,6.06%
Dec 14  2015,1.65,1.70,1.70,1.60,1.39M,-2.94%
Dec 11  2015,1.70,1.84,1.84,1.67,2.32M,-9.57%
Dec 10  2015,1.88,1.85,1.94,1.82,741.98K,0.53%
Dec 09  2015,1.87,1.93,2.03,1.85,965.04K,-1.06%
Dec 08  2015,1.89,1.87,2.02,1.86,934.09K,-3.08%
Dec 07  2015,1.95,2.10,2.10,1.91,1.70M,-11.36%
Dec 04  2015,2.20,2.21,2.25,2.15,885.21K,-2.65%
Dec 03  2015,2.26,2.24,2.33,2.16,1.06M,3.20%
Dec 02  2015,2.19,2.32,2.37,2.16,1.19M,-7.20%
Dec 01  2015,2.36,2.39,2.45,2.32,771.69K,-2.48%
Nov 30  2015,2.42,2.31,2.43,2.31,1.09M,2.98%
Nov 27  2015,2.35,2.40,2.43,2.30,563.61K,-2.49%
Nov 26  2015,2.41,2.42,2.50,2.40,192.27K,-1.63%
Nov 25  2015,2.45,2.41,2.51,2.38,691.52K,0.41%
Nov 24  2015,2.44,2.44,2.55,2.42,722.89K,0.83%
Nov 23  2015,2.42,2.30,2.47,2.30,962.20K,4.31%
Nov 20  2015,2.32,2.40,2.46,2.30,1.10M,-3.73%
