Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,24.18,23.12,24.25,23.09,138.29K,5.82%
Apr 18  2016,22.85,20.94,23.06,20.94,220.56K,4.62%
Apr 15  2016,21.84,21.69,21.99,21.26,92.14K,-1.00%
Apr 14  2016,22.06,23.20,23.20,21.84,80.50K,-4.09%
Apr 13  2016,23.00,22.58,23.88,22.53,248.84K,1.46%
Apr 12  2016,22.67,21.32,22.80,21.08,305.70K,7.49%
Apr 11  2016,21.09,20.95,21.57,20.83,91.21K,2.23%
Apr 08  2016,20.63,20.51,20.93,20.51,112.29K,3.30%
Apr 07  2016,19.97,20.32,20.43,19.79,466.55K,-2.39%
Apr 06  2016,20.46,20.18,21.00,20.06,681.23K,3.59%
Apr 05  2016,19.75,19.75,20.01,19.42,138.73K,0.00%
Apr 04  2016,19.75,20.48,20.48,19.56,145.46K,-3.56%
Apr 01  2016,20.48,20.56,20.73,20.18,150.16K,-3.21%
Mar 31  2016,21.16,20.01,21.26,19.85,324.48K,5.69%
Mar 30  2016,20.02,20.96,21.05,19.94,86.76K,-0.30%
Mar 29  2016,20.08,20.02,20.35,19.73,123.42K,-1.28%
Mar 28  2016,20.34,20.92,20.92,20.19,107.30K,-2.91%
Mar 24  2016,20.95,19.90,21.05,19.51,105.93K,3.20%
Mar 23  2016,20.30,21.16,21.37,20.25,255.75K,-5.89%
Mar 22  2016,21.57,21.53,21.65,21.19,190.86K,0.42%
Mar 21  2016,21.48,20.39,21.58,20.32,252.97K,5.40%
Mar 18  2016,20.38,20.17,21.20,19.66,1.79M,3.66%
Mar 17  2016,19.66,19.71,20.15,19.66,311.55K,0.98%
Mar 16  2016,19.47,20.13,20.32,19.35,300.01K,-0.31%
Mar 15  2016,19.53,19.65,19.77,18.85,297.47K,-2.45%
Mar 14  2016,20.02,20.26,20.85,19.57,371.48K,-3.93%
Mar 11  2016,20.84,21.00,21.16,20.36,200.89K,0.72%
Mar 10  2016,20.69,20.43,21.11,20.19,249.81K,0.93%
Mar 09  2016,20.50,20.85,21.07,20.43,166.28K,0.20%
Mar 08  2016,20.46,20.83,21.03,20.24,142.73K,-3.63%
Mar 07  2016,21.23,21.43,22.14,21.07,183.62K,0.33%
Mar 04  2016,21.16,20.56,21.65,20.56,220.91K,3.17%
Mar 03  2016,20.51,19.09,20.70,19.08,255.63K,6.49%
Mar 02  2016,19.26,19.15,19.89,19.08,185.82K,-0.62%
Mar 01  2016,19.38,18.91,19.70,18.91,193.20K,0.99%
Feb 29  2016,19.19,18.64,19.26,18.35,230.75K,5.56%
Feb 26  2016,18.18,18.95,19.04,18.09,203.71K,-0.49%
Feb 25  2016,18.27,18.10,18.45,17.46,86.38K,-0.27%
Feb 24  2016,18.32,17.20,18.53,16.80,120.17K,3.33%
Feb 23  2016,17.73,17.65,18.19,17.35,181.98K,-0.11%
Feb 22  2016,17.75,18.67,18.97,17.75,251.66K,-3.01%
Feb 19  2016,18.30,18.40,18.78,18.01,115.79K,-3.63%
Feb 18  2016,18.99,19.48,19.88,18.29,206.31K,-0.58%
Feb 17  2016,19.10,17.26,19.37,17.21,297.42K,11.31%
Feb 16  2016,17.16,16.98,17.25,16.12,161.71K,6.72%
Feb 12  2016,16.08,15.55,16.65,15.55,173.73K,6.56%
Feb 11  2016,15.09,14.53,15.45,14.16,152.35K,0.20%
Feb 10  2016,15.06,14.87,15.50,14.55,153.54K,0.00%
Feb 09  2016,15.06,16.13,16.13,14.77,206.40K,-7.32%
Feb 08  2016,16.25,16.02,16.66,15.70,127.18K,0.31%
Feb 05  2016,16.20,16.24,16.66,15.83,84.42K,-1.52%
Feb 04  2016,16.45,16.01,17.01,15.83,143.71K,3.59%
Feb 03  2016,15.88,14.99,15.98,14.42,184.33K,7.59%
Feb 02  2016,14.76,15.28,15.32,14.61,87.32K,-7.11%
Feb 01  2016,15.89,15.75,15.99,15.33,141.71K,-1.97%
Jan 29  2016,16.21,16.68,17.00,15.91,214.82K,-1.40%
Jan 28  2016,16.44,16.23,16.75,15.31,196.11K,6.34%
Jan 27  2016,15.46,15.07,15.92,14.96,201.40K,0.98%
Jan 26  2016,15.31,14.78,15.84,14.43,217.00K,6.10%
Jan 25  2016,14.43,15.41,16.10,14.39,270.54K,-8.09%
Jan 22  2016,15.70,15.13,15.89,14.82,216.20K,11.03%
Jan 21  2016,14.14,13.26,14.60,13.24,281.18K,4.12%
Jan 20  2016,13.58,11.79,13.65,11.71,247.73K,8.47%
Jan 19  2016,12.52,12.73,13.05,12.37,166.74K,-0.87%
Jan 18  2016,12.63,13.19,13.20,12.54,79.01K,-4.32%
Jan 15  2016,13.20,13.58,13.58,12.76,224.35K,-6.58%
Jan 14  2016,14.13,13.71,14.28,13.19,133.07K,4.05%
Jan 13  2016,13.58,13.90,14.27,13.11,160.58K,-1.16%
Jan 12  2016,13.74,14.25,14.51,13.09,160.00K,-3.58%
Jan 11  2016,14.25,14.90,14.90,13.82,108.33K,-4.49%
Jan 08  2016,14.92,14.63,15.09,14.24,126.16K,2.75%
Jan 07  2016,14.52,15.40,15.80,14.45,274.34K,-9.08%
Jan 06  2016,15.97,16.50,16.51,15.75,181.99K,-5.56%
Jan 05  2016,16.91,17.04,17.30,16.75,91.25K,-1.74%
Jan 04  2016,17.21,17.22,17.81,16.84,90.15K,0.06%
Dec 31  2015,17.20,16.79,17.31,16.56,75.29K,2.44%
Dec 30  2015,16.79,17.10,17.57,16.72,51.45K,-5.41%
Dec 29  2015,17.75,17.53,18.46,17.01,135.73K,-1.17%
Dec 24  2015,17.96,18.41,18.48,17.79,63.21K,-0.66%
Dec 23  2015,18.08,16.90,18.22,16.90,203.74K,10.72%
Dec 22  2015,16.33,16.61,16.95,16.24,134.34K,-2.22%
Dec 21  2015,16.70,16.26,17.00,16.24,241.41K,2.58%
Dec 18  2015,16.28,16.73,16.99,15.55,497.87K,-2.16%
Dec 17  2015,16.64,17.09,17.77,16.64,240.12K,-3.70%
Dec 16  2015,17.28,17.37,17.93,16.97,195.20K,-0.12%
Dec 15  2015,17.30,17.38,17.82,17.09,407.41K,0.00%
Dec 14  2015,17.30,17.85,17.85,17.00,170.27K,-4.05%
Dec 11  2015,18.03,19.36,20.02,17.93,155.57K,-8.48%
Dec 10  2015,19.70,19.04,20.49,19.04,145.52K,0.20%
Dec 09  2015,19.66,19.35,20.44,19.35,98.15K,1.81%
Dec 08  2015,19.31,18.70,19.72,18.36,102.27K,1.10%
Dec 07  2015,19.10,20.12,20.12,19.01,181.73K,-8.79%
Dec 04  2015,20.94,22.04,22.04,20.80,90.19K,-6.85%
Dec 03  2015,22.48,21.81,22.77,21.80,88.93K,3.21%
Dec 02  2015,21.78,22.22,22.64,21.75,80.43K,-2.94%
Dec 01  2015,22.44,21.81,22.62,21.46,152.56K,2.42%
Nov 30  2015,21.91,21.27,22.02,21.20,167.55K,2.96%
Nov 27  2015,21.28,21.82,21.82,21.17,65.08K,-2.74%
Nov 26  2015,21.88,22.21,22.44,21.24,42.38K,-3.10%
Nov 25  2015,22.58,21.96,22.97,21.75,95.58K,2.13%
Nov 24  2015,22.11,21.83,22.45,21.80,86.65K,2.89%
Nov 23  2015,21.49,20.71,21.90,20.71,62.73K,2.48%
Nov 20  2015,20.97,21.48,21.63,20.87,88.39K,-2.65%
Nov 19  2015,21.54,21.33,21.91,21.10,76.70K,-2.00%
Nov 18  2015,21.98,21.95,22.71,21.48,94.28K,0.78%
Nov 17  2015,21.81,22.24,22.67,21.71,76.02K,-2.76%
Nov 16  2015,22.43,20.91,22.46,20.75,129.54K,7.17%
Nov 13  2015,20.93,20.01,21.29,20.01,163.60K,4.23%
Nov 12  2015,20.08,20.56,20.56,20.00,50.86K,-3.65%
Nov 11  2015,20.84,22.00,22.13,20.78,80.99K,-7.38%
Nov 10  2015,22.50,22.13,22.77,22.13,50.60K,0.22%
Nov 09  2015,22.45,22.26,23.26,22.15,97.99K,0.09%
Nov 06  2015,22.43,22.71,22.90,22.23,48.20K,-2.48%
Nov 05  2015,23.00,22.78,23.12,22.25,70.25K,-0.13%
Nov 04  2015,23.03,23.42,23.60,22.32,85.55K,-0.39%
Nov 03  2015,23.12,22.20,23.49,22.20,114.64K,5.00%
Nov 02  2015,22.02,21.55,22.74,21.55,121.22K,1.43%
Oct 30  2015,21.71,20.96,21.84,20.96,997.83K,2.65%
Oct 29  2015,21.15,20.35,21.42,20.35,168.55K,3.52%
Oct 28  2015,20.43,19.99,21.14,19.74,51.72K,2.66%
Oct 27  2015,19.90,19.84,20.03,19.50,213.84K,-1.92%
Oct 26  2015,20.29,21.03,21.03,20.04,123.73K,-3.56%
Oct 23  2015,21.04,20.82,21.48,20.65,85.57K,-1.73%
Oct 22  2015,21.41,21.87,22.08,21.05,72.15K,-0.37%
Oct 21  2015,21.49,21.81,21.99,21.29,66.35K,-2.54%
Oct 20  2015,22.05,22.28,22.98,22.02,68.67K,-1.43%
Oct 19  2015,22.37,23.15,23.25,22.32,151.83K,-5.01%
Oct 16  2015,23.55,23.64,24.11,23.25,194.68K,0.30%
Oct 15  2015,23.48,23.01,23.54,22.11,50.87K,0.82%
Oct 14  2015,23.29,23.09,23.50,22.95,48.82K,0.43%
Oct 13  2015,23.19,23.74,24.21,23.10,99.96K,-5.92%
Oct 09  2015,24.65,24.40,24.82,24.22,176.87K,2.28%
Oct 08  2015,24.10,25.10,25.15,23.92,241.15K,-3.10%
Oct 07  2015,24.87,24.50,26.17,24.45,144.16K,2.18%
Oct 06  2015,24.34,23.52,24.68,23.50,123.05K,4.02%
Oct 05  2015,23.40,20.66,23.46,20.66,209.22K,14.37%
Oct 02  2015,20.46,19.35,20.67,19.35,166.47K,2.35%
Oct 01  2015,19.99,19.48,20.93,19.48,196.55K,2.46%
Sep 30  2015,19.51,20.11,20.63,19.04,145.91K,-3.27%
Sep 29  2015,20.17,20.98,21.43,20.01,130.46K,-3.68%
Sep 28  2015,20.94,21.40,22.27,20.74,121.43K,-3.68%
Sep 25  2015,21.74,22.60,22.60,21.41,119.18K,-1.63%
Sep 24  2015,22.10,22.06,22.48,21.62,128.47K,-0.99%
Sep 23  2015,22.32,23.17,23.18,22.08,154.32K,-3.38%
Sep 22  2015,23.10,22.54,23.44,22.54,180.99K,-0.43%
Sep 21  2015,23.20,23.27,23.57,22.54,306.41K,0.26%
Sep 18  2015,23.14,21.47,23.14,20.69,335.55K,5.23%
Sep 17  2015,21.99,20.65,22.11,20.60,337.36K,6.75%
Sep 16  2015,20.60,18.54,20.72,18.54,225.94K,12.14%
Sep 15  2015,18.37,18.62,19.41,18.35,155.98K,-1.34%
Sep 14  2015,18.62,18.12,18.86,17.98,88.62K,0.38%
Sep 11  2015,18.55,19.49,19.49,18.25,101.14K,-5.98%
Sep 10  2015,19.73,19.04,19.86,18.83,153.36K,2.76%
Sep 09  2015,19.20,19.81,20.13,19.00,197.61K,-2.88%
Sep 08  2015,19.77,19.87,20.10,19.08,111.23K,1.28%
Sep 04  2015,19.52,19.85,20.12,19.18,107.44K,-2.45%
Sep 03  2015,20.01,19.65,20.56,19.53,102.62K,1.63%
Sep 02  2015,19.69,20.12,20.64,18.71,158.01K,-2.09%
Sep 01  2015,20.11,21.18,21.20,19.71,282.47K,-8.05%
Aug 31  2015,21.87,20.21,21.95,19.00,249.58K,9.51%
Aug 28  2015,19.97,18.99,20.45,18.95,216.92K,6.34%
Aug 27  2015,18.78,17.61,19.23,17.25,447.54K,11.85%
Aug 26  2015,16.79,16.93,17.29,16.44,222.93K,2.13%
Aug 25  2015,16.44,17.81,17.81,16.33,548.16K,-3.01%
Aug 24  2015,16.95,15.01,18.77,15.00,232.33K,-6.46%
Aug 21  2015,18.12,18.65,19.34,18.05,115.34K,-4.38%
Aug 20  2015,18.95,19.50,19.70,18.83,156.43K,-3.41%
Aug 19  2015,19.62,20.73,20.74,19.50,92.02K,-6.30%
Aug 18  2015,20.94,20.01,21.18,20.00,103.88K,3.66%
Aug 17  2015,20.20,20.93,21.22,19.90,82.65K,-4.76%
Aug 14  2015,21.21,22.00,22.51,20.50,118.80K,-2.97%
Aug 13  2015,21.86,23.89,23.89,21.80,280.25K,-8.80%
Aug 12  2015,23.97,23.67,24.24,23.05,70.20K,0.59%
Aug 11  2015,23.83,23.65,23.95,22.79,65.90K,-0.87%
Aug 10  2015,24.04,22.92,24.15,22.66,101.11K,4.98%
Aug 07  2015,22.90,23.40,24.40,22.73,105.18K,-3.98%
Aug 06  2015,23.85,22.67,23.90,22.04,111.86K,4.70%
Aug 05  2015,22.78,23.86,24.50,22.42,128.58K,-4.45%
Aug 04  2015,23.84,22.53,24.44,22.53,84.58K,-1.08%
Jul 31  2015,24.10,24.09,24.49,23.32,238.86K,-1.43%
Jul 30  2015,24.45,24.34,24.90,23.93,105.67K,-0.04%
Jul 29  2015,24.46,23.78,24.65,23.55,333.11K,2.13%
Jul 28  2015,23.95,22.98,24.30,22.98,198.43K,3.23%
Jul 27  2015,23.20,24.10,24.66,23.09,116.38K,-6.22%
Jul 24  2015,24.74,24.90,25.00,24.27,122.42K,-0.52%
Jul 23  2015,24.87,25.86,26.27,24.71,163.26K,-3.49%
Jul 22  2015,25.77,26.18,26.55,25.39,55.01K,-2.50%
Jul 21  2015,26.43,26.25,26.90,26.25,70.76K,0.61%
Jul 20  2015,26.27,27.34,27.37,26.17,45.39K,-4.61%
Jul 17  2015,27.54,28.07,28.09,27.44,47.15K,-2.55%
Jul 16  2015,28.26,28.65,28.81,28.02,74.38K,-1.05%
Jul 15  2015,28.56,28.31,29.30,27.96,116.88K,0.42%
Jul 14  2015,28.44,28.28,28.71,27.85,128.54K,0.04%
Jul 13  2015,28.43,28.38,29.08,27.86,47.77K,-0.94%
Jul 10  2015,28.70,28.94,29.46,28.66,103.72K,-1.41%
Jul 09  2015,29.11,29.00,29.65,28.77,93.13K,0.83%
Jul 08  2015,28.87,29.50,29.91,28.58,63.33K,-3.12%
Jul 07  2015,29.80,29.78,30.20,28.79,103.86K,-0.33%
Jul 06  2015,29.90,30.03,30.39,29.31,56.27K,-2.57%
Jul 03  2015,30.69,31.52,31.99,30.32,29.84K,-3.46%
Jul 02  2015,31.79,30.81,32.00,30.81,287.74K,0.95%
Jun 30  2015,31.49,31.61,31.79,31.34,92.73K,0.35%
Jun 29  2015,31.38,31.96,31.99,31.19,105.15K,-2.24%
Jun 26  2015,32.10,32.06,32.28,32.00,106.26K,0.22%
Jun 25  2015,32.03,32.01,32.23,31.77,87.01K,-0.22%
Jun 24  2015,32.10,32.35,32.84,32.05,34.21K,-1.32%
Jun 23  2015,32.53,32.11,32.99,32.00,34.69K,1.59%
Jun 22  2015,32.02,32.05,32.26,31.80,81.68K,0.06%
Jun 19  2015,32.00,31.56,32.18,31.56,119.86K,0.00%
Jun 18  2015,32.00,31.91,32.32,31.81,71.17K,0.00%
Jun 17  2015,32.00,31.13,32.35,31.13,153.30K,3.46%
Jun 16  2015,30.93,31.64,31.64,30.77,72.99K,-2.03%
Jun 15  2015,31.57,31.61,31.76,31.40,34.22K,-1.13%
Jun 12  2015,31.93,31.58,32.11,31.58,41.92K,-0.09%
Jun 11  2015,31.96,32.66,32.66,31.71,338.08K,-2.38%
Jun 10  2015,32.74,32.93,33.38,32.61,75.13K,0.68%
Jun 09  2015,32.52,32.28,32.80,32.01,65.37K,1.31%
Jun 08  2015,32.10,32.80,32.85,31.50,94.81K,-2.43%
Jun 05  2015,32.90,33.02,34.03,32.55,96.54K,-1.41%
Jun 04  2015,33.37,33.87,33.87,33.03,54.79K,-1.88%
Jun 03  2015,34.01,34.78,35.25,33.94,51.98K,-2.83%
Jun 02  2015,35.00,34.36,35.25,34.36,85.53K,2.07%
Jun 01  2015,34.29,34.28,34.51,33.30,39.59K,-0.67%
May 29  2015,34.52,33.19,35.45,33.19,108.92K,4.01%
May 28  2015,33.19,33.31,33.34,33.01,39.30K,-1.01%
May 27  2015,33.53,33.79,34.35,33.42,31.17K,-1.32%
May 26  2015,33.98,34.54,34.54,33.86,41.63K,-2.19%
May 25  2015,34.74,34.88,34.92,34.43,21.98K,-0.40%
May 22  2015,34.88,34.93,35.58,34.79,55.71K,-1.33%
May 21  2015,35.35,34.87,35.68,34.87,50.21K,1.79%
May 20  2015,34.73,33.95,35.10,33.95,61.07K,1.28%
May 19  2015,34.29,35.11,35.50,33.80,85.81K,-2.97%
May 15  2015,35.34,35.31,35.67,34.86,67.14K,-0.31%
May 14  2015,35.45,35.55,35.84,35.23,195.07K,0.42%
May 13  2015,35.30,35.53,35.95,35.04,102.48K,-0.03%
May 12  2015,35.31,35.07,36.00,35.07,79.95K,-0.08%
May 11  2015,35.34,36.23,36.30,35.23,48.03K,-2.75%
May 08  2015,36.34,35.01,36.74,35.01,94.83K,0.97%
May 07  2015,35.99,36.94,36.94,35.40,111.93K,-2.47%
May 06  2015,36.90,38.01,38.99,36.64,138.47K,-4.03%
May 05  2015,38.45,39.62,40.45,38.33,49.12K,-2.31%
May 04  2015,39.36,39.23,39.76,38.65,105.77K,0.33%
May 01  2015,39.23,38.49,39.43,38.25,64.70K,1.71%
Apr 30  2015,38.57,38.15,38.99,37.56,909.09K,1.96%
Apr 29  2015,37.83,37.58,38.38,37.17,93.00K,0.88%
Apr 28  2015,37.50,37.41,38.24,37.23,310.29K,-0.13%
Apr 27  2015,37.55,37.01,37.57,36.78,185.13K,1.95%
Apr 24  2015,36.83,37.59,37.80,36.62,308.22K,-2.54%
Apr 23  2015,37.79,37.95,38.50,37.21,194.86K,-0.53%
Apr 22  2015,37.99,38.44,38.76,37.65,99.39K,-1.32%
Apr 21  2015,38.50,39.83,39.85,38.05,115.73K,-3.58%
Apr 20  2015,39.93,39.71,41.00,39.58,139.12K,1.35%
Apr 17  2015,39.40,38.89,39.65,38.40,144.30K,0.74%
Apr 16  2015,39.11,39.16,39.44,37.86,117.52K,0.41%
Apr 15  2015,38.95,37.92,39.58,37.79,201.12K,3.89%
Apr 14  2015,37.49,36.21,37.57,35.41,217.41K,4.05%
Apr 13  2015,36.03,36.15,36.59,35.60,195.05K,0.00%
Apr 10  2015,36.03,35.79,36.26,35.53,87.84K,1.58%
Apr 09  2015,35.47,35.10,35.58,34.79,67.50K,2.13%
Apr 08  2015,34.73,36.17,36.22,34.60,155.73K,-3.12%
Apr 07  2015,35.85,34.20,36.31,34.15,229.87K,4.95%
Apr 06  2015,34.16,34.16,34.41,33.83,181.33K,0.83%
Apr 02  2015,33.88,34.37,35.68,33.75,127.76K,-1.68%
Apr 01  2015,34.46,33.98,35.08,33.81,131.98K,1.62%
Mar 31  2015,33.91,33.96,34.69,33.81,135.62K,-0.82%
Mar 30  2015,34.19,34.21,34.69,33.69,164.57K,0.56%
Mar 27  2015,34.00,34.51,34.73,33.77,95.52K,-1.88%
Mar 26  2015,34.65,34.50,35.04,34.15,133.38K,1.29%
Mar 25  2015,34.21,34.96,35.34,33.98,126.65K,-1.16%
Mar 24  2015,34.61,34.51,34.79,33.46,133.38K,-0.23%
Mar 23  2015,34.69,35.13,35.77,34.26,199.49K,-1.25%
Mar 20  2015,35.13,36.21,37.21,35.13,739.98K,-4.72%
Mar 19  2015,36.87,37.27,38.03,36.64,37.68K,-2.31%
Mar 18  2015,37.74,36.02,38.41,35.95,91.19K,3.23%
Mar 17  2015,36.56,35.62,36.72,35.62,76.83K,1.16%
Mar 16  2015,36.14,36.01,36.95,35.04,135.57K,-0.52%
Mar 13  2015,36.33,36.50,36.61,35.34,81.68K,-0.63%
Mar 12  2015,36.56,37.85,37.85,36.53,57.34K,-3.81%
Mar 11  2015,38.01,37.41,38.15,37.36,141.54K,2.18%
Mar 10  2015,37.20,37.34,37.71,36.74,108.78K,-1.87%
Mar 09  2015,37.91,39.59,40.06,37.68,127.66K,-3.63%
Mar 06  2015,39.34,40.75,40.84,38.90,60.59K,-4.07%
Mar 05  2015,41.01,40.82,41.09,40.04,61.35K,0.34%
Mar 04  2015,40.87,41.74,41.81,40.42,109.47K,-2.27%
Mar 03  2015,41.82,41.80,42.02,41.57,90.61K,0.46%
Mar 02  2015,41.63,42.90,43.32,41.51,81.79K,-4.10%
