Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,73.71,74.99,74.99,73.01,26.95K,-0.63%
Apr 18  2016,74.18,73.91,74.35,72.29,18.46K,0.37%
Apr 15  2016,73.91,70.39,74.02,69.83,81.55K,5.00%
Apr 14  2016,70.39,71.40,71.86,70.25,64.37K,-0.73%
Apr 13  2016,70.91,71.48,71.60,70.07,138.68K,-0.30%
Apr 12  2016,71.12,73.43,73.43,71.00,39.90K,-2.55%
Apr 11  2016,72.98,73.43,73.78,72.38,43.19K,-0.61%
Apr 08  2016,73.43,72.52,74.10,72.05,41.81K,1.72%
Apr 07  2016,72.19,73.32,73.40,72.15,27.40K,-1.35%
Apr 06  2016,73.18,73.83,74.30,73.07,42.39K,-1.17%
Apr 05  2016,74.05,74.00,74.34,73.55,11.14K,-0.24%
Apr 04  2016,74.23,73.95,74.51,73.29,34.39K,0.60%
Apr 01  2016,73.79,76.14,76.14,73.33,78.57K,-3.35%
Mar 31  2016,76.35,76.33,78.27,74.88,71.60K,-0.35%
Mar 30  2016,76.62,73.02,76.97,72.05,102.05K,4.90%
Mar 29  2016,73.04,71.30,74.11,71.30,94.11K,2.93%
Mar 28  2016,70.96,71.97,71.97,69.63,64.09K,-0.13%
Mar 24  2016,71.05,69.10,71.78,69.00,73.13K,1.50%
Mar 23  2016,70.00,65.49,70.00,65.49,118.72K,11.52%
Mar 22  2016,62.77,63.00,63.11,62.33,83.14K,-0.66%
Mar 21  2016,63.19,63.90,63.94,63.08,61.49K,-1.03%
Mar 18  2016,63.85,65.96,65.96,63.50,102.38K,-2.52%
Mar 17  2016,65.50,67.14,67.14,64.99,26.31K,-1.67%
Mar 16  2016,66.61,65.60,67.00,65.35,46.04K,1.60%
Mar 15  2016,65.56,65.65,65.77,65.38,27.75K,-0.32%
Mar 14  2016,65.77,65.77,66.11,65.21,30.36K,-0.50%
Mar 11  2016,66.10,65.00,66.49,64.58,52.49K,1.75%
Mar 10  2016,64.96,65.49,65.65,63.98,33.17K,-0.52%
Mar 09  2016,65.30,65.69,65.70,64.96,27.76K,-0.11%
Mar 08  2016,65.37,65.41,65.70,64.95,27.50K,0.02%
Mar 07  2016,65.36,65.03,66.23,64.85,31.10K,0.29%
Mar 04  2016,65.17,65.69,66.65,64.92,25.07K,-0.50%
Mar 03  2016,65.50,65.75,65.75,64.50,49.31K,-0.41%
Mar 02  2016,65.77,64.48,65.86,64.15,54.48K,2.08%
Mar 01  2016,64.43,64.07,64.99,63.83,80.17K,0.94%
Feb 29  2016,63.83,62.89,64.34,62.72,28.48K,1.64%
Feb 26  2016,62.80,62.88,62.88,62.00,18.60K,-0.08%
Feb 25  2016,62.85,60.25,63.04,60.25,37.18K,4.21%
Feb 24  2016,60.31,60.38,60.63,59.50,44.99K,-0.46%
Feb 23  2016,60.59,62.00,62.09,60.41,24.06K,-2.26%
Feb 22  2016,61.99,62.50,63.40,61.98,29.25K,-0.10%
Feb 19  2016,62.05,62.02,62.75,61.84,25.19K,-0.78%
Feb 18  2016,62.54,61.53,62.97,61.41,58.18K,1.44%
Feb 17  2016,61.65,60.73,62.30,60.73,51.39K,1.57%
Feb 16  2016,60.70,62.38,62.50,60.45,52.69K,-2.18%
Feb 12  2016,62.05,63.39,63.40,61.36,154.07K,-1.59%
Feb 11  2016,63.05,62.54,63.34,61.75,92.22K,0.03%
Feb 10  2016,63.03,63.00,63.57,62.40,98.23K,-0.05%
Feb 09  2016,63.06,63.00,64.28,63.00,102.63K,-0.32%
Feb 08  2016,63.26,61.61,63.54,61.00,105.69K,1.10%
Feb 05  2016,62.57,64.18,64.21,62.06,90.10K,-2.69%
Feb 04  2016,64.30,64.63,65.10,64.01,15.28K,-0.50%
Feb 03  2016,64.62,63.00,65.00,62.26,36.00K,2.65%
Feb 02  2016,62.95,62.92,63.10,61.50,46.51K,0.03%
Feb 01  2016,62.93,62.36,63.17,61.91,52.00K,-0.93%
Jan 29  2016,63.52,61.57,64.00,61.33,110.32K,3.57%
Jan 28  2016,61.33,60.53,61.80,60.53,56.52K,1.20%
Jan 27  2016,60.60,60.91,61.15,60.14,26.36K,-0.98%
Jan 26  2016,61.20,63.94,64.10,60.85,54.38K,-3.77%
Jan 25  2016,63.60,62.55,64.32,62.51,51.62K,1.53%
Jan 22  2016,62.64,60.02,63.38,59.85,43.49K,5.61%
Jan 21  2016,59.31,59.57,59.96,58.26,28.63K,0.02%
Jan 20  2016,59.30,57.04,59.64,54.16,154.06K,2.24%
Jan 19  2016,58.00,58.65,59.60,57.37,117.20K,-0.97%
Jan 18  2016,58.57,61.51,62.18,58.50,183.08K,-5.55%
Jan 15  2016,62.01,60.62,62.19,59.76,71.19K,1.04%
Jan 14  2016,61.37,62.48,62.48,60.50,78.02K,-2.09%
Jan 13  2016,62.68,62.95,63.39,62.21,36.89K,-0.03%
