Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,43.11,43.11,43.17,42.72,789.54K,-0.46%
Apr 18  2016,43.31,42.91,43.41,42.74,536.48K,0.79%
Apr 15  2016,42.97,42.66,43.07,42.66,434.21K,0.44%
Apr 14  2016,42.78,42.76,42.81,42.33,785.44K,0.30%
Apr 13  2016,42.65,43.04,43.18,42.42,685.13K,0.24%
Apr 12  2016,42.55,42.65,42.89,42.43,914.90K,0.14%
Apr 11  2016,42.49,43.16,43.40,42.44,606.73K,-1.60%
Apr 08  2016,43.18,43.39,43.78,42.97,863.73K,0.30%
Apr 07  2016,43.05,42.79,43.11,42.40,1.05M,0.09%
Apr 06  2016,43.01,43.01,43.44,43.00,2.04M,-0.21%
Apr 05  2016,43.10,42.50,43.20,42.46,855.83K,0.44%
Apr 04  2016,42.91,44.90,44.90,42.74,1.13M,-4.79%
Apr 01  2016,45.07,45.09,45.22,44.67,573.89K,-0.22%
Mar 31  2016,45.17,45.09,45.48,45.00,945.73K,-0.18%
Mar 30  2016,45.25,45.15,45.63,45.10,729.68K,0.78%
Mar 29  2016,44.90,44.23,45.00,44.20,899.65K,0.92%
Mar 28  2016,44.49,44.83,44.83,44.41,2.16M,-0.25%
Mar 24  2016,44.60,44.79,44.85,44.34,689.16K,-0.89%
Mar 23  2016,45.00,45.48,45.48,44.87,704.08K,0.29%
Mar 22  2016,44.87,44.51,45.11,44.07,870.04K,-0.22%
Mar 21  2016,44.97,44.86,45.21,44.51,489.94K,0.45%
Mar 18  2016,44.77,45.33,45.46,44.77,3.29M,-1.58%
Mar 17  2016,45.49,44.52,45.56,44.18,943.15K,1.84%
Mar 16  2016,44.67,44.48,44.97,44.30,965.03K,0.70%
Mar 15  2016,44.36,43.86,44.48,43.79,950.14K,1.28%
Mar 14  2016,43.80,43.85,43.98,43.53,991.10K,0.14%
Mar 11  2016,43.74,43.02,43.85,42.97,816.84K,2.39%
Mar 10  2016,42.72,43.05,43.48,42.44,642.00K,-0.02%
Mar 09  2016,42.73,42.99,43.40,42.52,900.74K,0.26%
Mar 08  2016,42.62,42.04,42.68,41.64,940.19K,0.92%
Mar 07  2016,42.23,42.18,42.53,41.90,1.20M,-0.89%
Mar 04  2016,42.61,42.09,42.63,41.84,744.48K,1.77%
Mar 03  2016,41.87,42.23,42.23,41.61,719.78K,-0.26%
Mar 02  2016,41.98,43.15,43.16,41.65,1.21M,-2.69%
Mar 01  2016,43.14,41.83,43.14,41.75,913.84K,3.88%
Feb 29  2016,41.53,42.24,42.24,41.23,2.15M,-0.86%
Feb 26  2016,41.89,42.27,42.61,41.86,599.35K,0.02%
Feb 25  2016,41.88,42.05,42.09,41.31,887.38K,-0.40%
Feb 24  2016,42.05,41.52,42.10,41.07,996.06K,0.21%
Feb 23  2016,41.96,42.16,42.68,41.86,877.35K,-0.76%
Feb 22  2016,42.28,42.38,42.84,42.12,1.15M,1.05%
Feb 19  2016,41.84,42.59,42.61,41.80,935.83K,-1.69%
Feb 18  2016,42.56,42.83,42.87,42.27,1.09M,-0.26%
Feb 17  2016,42.67,41.53,43.06,41.35,1.76M,3.44%
Feb 16  2016,41.25,40.29,41.25,40.09,1.35M,3.67%
Feb 12  2016,39.79,38.95,40.17,38.70,1.01M,4.52%
Feb 11  2016,38.07,37.85,38.25,37.70,1.25M,-1.68%
Feb 10  2016,38.72,38.69,39.12,38.66,1.11M,1.26%
Feb 09  2016,38.24,38.01,38.60,37.90,1.58M,-0.68%
Feb 08  2016,38.50,39.56,39.62,38.12,1.62M,-3.97%
Feb 05  2016,40.09,40.79,40.79,40.01,970.96K,-1.21%
Feb 04  2016,40.58,39.74,40.60,39.34,1.66M,1.83%
Feb 03  2016,39.85,40.71,40.71,39.59,1.11M,-1.80%
Feb 02  2016,40.58,41.01,41.27,40.35,852.96K,-2.26%
Feb 01  2016,41.52,41.10,41.72,41.00,631.45K,-1.82%
Jan 29  2016,42.29,42.00,42.56,41.58,1.70M,1.41%
Jan 28  2016,41.70,41.20,42.24,40.91,996.27K,1.91%
Jan 27  2016,40.92,40.62,41.41,40.37,873.69K,0.71%
Jan 26  2016,40.63,40.47,40.88,40.30,684.44K,0.35%
Jan 25  2016,40.49,40.95,40.95,40.20,892.39K,-1.08%
Jan 22  2016,40.93,40.79,41.06,40.46,1.13M,2.20%
Jan 21  2016,40.05,39.73,40.45,39.60,1.10M,0.81%
Jan 20  2016,39.73,40.00,40.08,38.13,1.24M,-1.68%
Jan 19  2016,40.41,41.14,41.14,40.11,910.50K,0.02%
Jan 18  2016,40.40,40.25,40.79,40.15,464.60K,0.12%
Jan 15  2016,40.35,40.70,41.01,40.15,1.10M,-3.56%
Jan 14  2016,41.84,41.06,42.14,40.72,1.00M,2.25%
Jan 13  2016,40.92,41.58,42.10,40.78,998.61K,-1.09%
Jan 12  2016,41.37,41.13,41.76,41.04,1.25M,0.93%
Jan 11  2016,40.99,40.36,41.03,40.26,1.37M,1.97%
Jan 08  2016,40.20,40.66,40.76,40.10,815.47K,-0.77%
Jan 07  2016,40.51,40.82,40.98,40.35,1.12M,-2.60%
Jan 06  2016,41.59,42.00,42.15,41.25,1.22M,-2.12%
Jan 05  2016,42.49,42.31,42.76,41.99,1.15M,0.43%
Jan 04  2016,42.31,42.96,43.09,41.84,1.52M,-3.07%
Dec 31  2015,43.65,43.97,44.15,43.45,633.72K,-1.51%
Dec 30  2015,44.32,44.43,44.79,44.26,433.17K,-0.16%
Dec 29  2015,44.39,44.78,44.92,44.05,595.65K,-0.25%
Dec 24  2015,44.50,44.20,44.80,44.19,219.87K,0.72%
Dec 23  2015,44.18,44.11,44.59,43.55,583.83K,0.64%
Dec 22  2015,43.90,43.71,44.05,43.30,635.10K,0.57%
Dec 21  2015,43.65,44.18,44.54,43.28,954.60K,-0.32%
Dec 18  2015,43.79,44.19,44.60,43.71,3.00M,-1.77%
Dec 17  2015,44.58,44.75,45.20,44.41,899.04K,-0.07%
Dec 16  2015,44.61,43.66,44.67,43.65,919.13K,2.76%
Dec 15  2015,43.41,43.17,43.68,43.00,885.02K,0.86%
Dec 14  2015,43.04,43.43,43.74,42.52,1.36M,-0.88%
Dec 11  2015,43.42,43.76,44.05,43.23,851.33K,-1.83%
Dec 10  2015,44.23,43.86,44.62,43.86,959.84K,0.48%
Dec 09  2015,44.02,44.21,44.62,43.71,957.60K,-0.65%
Dec 08  2015,44.31,44.50,45.00,44.24,1.05M,-2.03%
Dec 07  2015,45.23,45.86,46.10,45.07,638.39K,-1.55%
Dec 04  2015,45.94,45.27,46.05,45.27,821.94K,1.32%
Dec 03  2015,45.34,45.73,45.96,45.13,792.64K,-0.57%
Dec 02  2015,45.60,46.44,46.67,45.39,719.38K,-1.83%
Dec 01  2015,46.45,45.92,46.57,45.91,768.70K,1.31%
Nov 30  2015,45.85,45.64,46.11,45.33,1.16M,0.81%
Nov 27  2015,45.48,45.44,45.83,45.30,465.24K,0.07%
Nov 26  2015,45.45,45.26,45.83,44.96,177.16K,0.22%
Nov 25  2015,45.35,45.68,46.09,45.29,519.77K,-0.22%
Nov 24  2015,45.45,45.37,45.85,45.03,954.37K,-0.26%
Nov 23  2015,45.57,45.71,46.08,45.52,545.37K,-0.55%
Nov 20  2015,45.82,45.75,46.28,45.63,908.25K,0.57%
Nov 19  2015,45.56,45.22,45.64,45.06,675.66K,0.62%
Nov 18  2015,45.28,44.64,45.50,44.54,969.27K,1.75%
Nov 17  2015,44.50,44.59,45.13,44.29,624.27K,0.25%
Nov 16  2015,44.39,44.33,44.61,43.96,572.26K,0.43%
Nov 13  2015,44.20,43.96,44.50,43.70,1.04M,0.14%
Nov 12  2015,44.14,44.50,44.60,43.82,1.76M,-1.03%
Nov 11  2015,44.60,44.30,45.02,44.13,1.06M,0.72%
Nov 10  2015,44.28,43.09,44.48,42.88,1.15M,2.38%
Nov 09  2015,43.25,45.80,45.80,42.95,1.58M,-5.59%
Nov 06  2015,45.81,45.70,45.96,45.35,600.38K,0.13%
Nov 05  2015,45.75,45.74,45.86,45.23,841.27K,0.04%
Nov 04  2015,45.73,45.94,46.14,45.61,1.01M,-0.11%
Nov 03  2015,45.78,45.67,45.88,45.02,756.16K,0.04%
Nov 02  2015,45.76,45.65,46.02,45.59,1.01M,0.18%
Oct 30  2015,45.68,46.27,46.62,45.68,2.20M,-2.04%
Oct 29  2015,46.63,46.39,46.80,45.90,705.44K,0.28%
Oct 28  2015,46.50,47.14,47.14,45.98,1.45M,-1.00%
Oct 27  2015,46.97,46.49,47.27,46.49,1.33M,0.64%
Oct 26  2015,46.67,46.68,46.79,46.32,1.08M,0.39%
Oct 23  2015,46.49,46.75,46.75,46.26,1.32M,0.91%
Oct 22  2015,46.07,45.40,46.73,45.37,2.14M,1.88%
Oct 21  2015,45.22,45.23,45.36,44.86,1.13M,0.44%
Oct 20  2015,45.02,44.49,45.27,44.43,837.39K,1.21%
Oct 19  2015,44.48,43.95,44.66,43.90,908.77K,1.21%
Oct 16  2015,43.95,43.25,44.26,43.22,1.10M,2.35%
Oct 15  2015,42.94,43.37,43.55,42.85,1.00M,-0.42%
Oct 14  2015,43.12,43.12,43.62,43.05,1.20M,-0.12%
Oct 13  2015,43.17,43.39,43.69,43.06,998.57K,-0.48%
Oct 09  2015,43.38,43.04,43.49,42.90,786.71K,0.77%
Oct 08  2015,43.05,42.70,43.29,42.56,1.02M,0.75%
Oct 07  2015,42.73,42.71,42.77,42.15,666.95K,1.21%
Oct 06  2015,42.22,42.72,42.79,42.19,1.36M,-0.87%
Oct 05  2015,42.59,42.46,42.83,42.26,1.07M,1.12%
Oct 02  2015,42.12,41.58,42.23,41.19,1.10M,0.60%
Oct 01  2015,41.87,42.14,42.19,41.23,1.57M,-0.29%
Sep 30  2015,41.99,40.59,42.09,40.59,1.93M,4.66%
Sep 29  2015,40.12,40.60,40.83,40.10,1.20M,-1.06%
Sep 28  2015,40.55,41.60,41.60,40.50,1.23M,-2.85%
Sep 25  2015,41.74,41.35,42.01,41.03,1.39M,1.98%
Sep 24  2015,40.93,40.69,41.38,40.51,1.20M,-0.24%
Sep 23  2015,41.03,41.15,41.38,40.81,902.66K,0.10%
Sep 22  2015,40.99,41.00,41.25,40.73,1.33M,-1.47%
Sep 21  2015,41.60,41.00,41.81,40.80,1.38M,1.89%
Sep 18  2015,40.83,40.13,40.93,39.92,9.14M,0.27%
Sep 17  2015,40.72,40.75,41.08,40.45,1.10M,-0.17%
Sep 16  2015,40.79,40.82,41.13,40.78,1.74M,-0.20%
Sep 15  2015,40.87,40.52,40.93,40.32,1.58M,0.91%
Sep 14  2015,40.50,40.95,41.12,40.47,1.22M,-0.91%
Sep 11  2015,40.87,40.78,41.13,40.60,998.54K,0.00%
Sep 10  2015,40.87,40.77,41.22,40.71,638.17K,-0.12%
Sep 09  2015,40.92,41.48,41.98,40.81,1.06M,-0.66%
Sep 08  2015,41.19,41.04,41.44,40.73,1.40M,1.33%
Sep 04  2015,40.65,41.00,41.08,40.26,900.28K,-2.00%
Sep 03  2015,41.48,41.09,41.62,40.99,900.02K,0.78%
Sep 02  2015,41.16,40.87,41.16,40.36,1.32M,1.16%
