Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,30.52,30.50,30.81,30.15,161.46K,0.43%
Apr 18  2016,30.39,30.13,30.63,30.09,90.89K,1.06%
Apr 15  2016,30.07,30.15,30.43,30.05,85.15K,-0.17%
Apr 14  2016,30.12,29.90,30.20,29.78,132.60K,1.04%
Apr 13  2016,29.81,29.69,30.03,29.48,113.70K,0.64%
Apr 12  2016,29.62,29.50,29.73,29.42,74.25K,0.65%
Apr 11  2016,29.43,29.68,29.76,29.43,73.08K,-0.71%
Apr 08  2016,29.64,29.30,29.69,29.16,79.47K,1.79%
Apr 07  2016,29.12,29.20,29.34,29.00,79.87K,-0.58%
Apr 06  2016,29.29,29.87,30.02,29.19,114.47K,-1.45%
Apr 05  2016,29.72,29.95,30.05,29.72,98.69K,-1.07%
Apr 04  2016,30.04,30.29,30.29,29.88,88.62K,-0.69%
Apr 01  2016,30.25,29.82,30.33,29.80,129.41K,0.87%
Mar 31  2016,29.99,29.81,30.22,29.50,126.53K,0.44%
Mar 30  2016,29.86,30.36,30.38,29.75,128.95K,-0.99%
Mar 29  2016,30.16,29.98,30.24,29.88,82.40K,0.60%
Mar 28  2016,29.98,29.98,29.98,29.60,65.20K,1.22%
Mar 24  2016,29.62,29.67,29.72,29.31,83.35K,-0.07%
Mar 23  2016,29.64,29.51,29.69,29.42,76.55K,0.51%
Mar 22  2016,29.49,29.80,29.80,29.45,83.16K,-0.91%
Mar 21  2016,29.76,29.75,29.84,29.62,97.12K,0.24%
Mar 18  2016,29.69,29.77,29.95,29.23,360.66K,0.34%
Mar 17  2016,29.59,29.03,29.62,28.61,235.56K,3.03%
Mar 16  2016,28.72,28.42,28.99,28.35,106.30K,1.16%
Mar 15  2016,28.39,28.40,28.43,27.69,142.93K,0.42%
Mar 14  2016,28.27,28.76,28.76,28.19,72.27K,-0.53%
Mar 11  2016,28.42,28.50,28.66,28.33,236.97K,0.28%
Mar 10  2016,28.34,28.60,28.75,28.04,94.33K,-0.46%
Mar 09  2016,28.47,28.73,28.81,28.45,127.87K,-0.56%
Mar 08  2016,28.63,28.60,28.76,28.45,92.56K,0.21%
Mar 07  2016,28.57,28.53,28.74,28.32,159.79K,0.00%
Mar 04  2016,28.57,28.41,28.62,27.99,258.20K,0.99%
Mar 03  2016,28.29,28.68,28.68,28.16,99.38K,-0.35%
Mar 02  2016,28.39,28.15,28.50,27.75,434.31K,1.65%
Mar 01  2016,27.93,27.63,28.02,27.42,183.59K,1.60%
Feb 29  2016,27.49,27.63,27.83,27.35,107.96K,0.77%
Feb 26  2016,27.28,27.54,27.88,27.26,120.83K,0.15%
Feb 25  2016,27.24,27.60,27.77,27.16,110.76K,-1.84%
Feb 24  2016,27.75,27.24,28.08,27.14,242.49K,1.35%
Feb 23  2016,27.38,27.56,27.64,27.15,356.64K,-0.18%
Feb 22  2016,27.43,27.63,27.77,27.40,172.12K,0.73%
Feb 19  2016,27.23,27.79,27.79,27.18,166.74K,-0.62%
Feb 18  2016,27.40,27.22,27.59,26.80,262.67K,1.82%
Feb 17  2016,26.91,26.47,27.09,26.21,285.13K,2.13%
Feb 16  2016,26.35,26.40,26.45,26.11,284.23K,1.07%
Feb 12  2016,26.07,26.44,26.80,26.00,271.85K,-0.95%
Feb 11  2016,26.32,27.00,27.00,26.15,225.48K,-2.63%
Feb 10  2016,27.03,27.64,27.70,27.00,250.92K,-0.88%
Feb 09  2016,27.27,27.67,27.67,27.15,134.61K,-1.77%
Feb 08  2016,27.76,28.90,28.90,27.05,462.85K,-4.04%
Feb 05  2016,28.93,29.68,29.68,28.90,124.85K,-0.07%
Feb 04  2016,28.95,28.90,29.10,28.66,256.02K,0.28%
Feb 03  2016,28.87,28.91,28.94,28.53,121.71K,0.38%
Feb 02  2016,28.76,29.30,29.35,28.53,108.04K,-1.84%
Feb 01  2016,29.30,29.29,29.49,28.86,133.55K,-0.31%
Jan 29  2016,29.39,28.75,29.39,28.68,206.08K,1.84%
Jan 28  2016,28.86,28.75,29.05,28.65,161.05K,0.42%
Jan 27  2016,28.74,29.60,29.76,28.62,160.01K,-2.91%
Jan 26  2016,29.60,29.32,29.88,29.13,71.48K,1.06%
