Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,37.15,37.52,37.70,36.98,116.74K,-0.93%
Apr 18  2016,37.50,37.22,37.62,37.22,81.69K,0.16%
Apr 15  2016,37.44,37.62,37.78,37.33,78.78K,-0.45%
Apr 14  2016,37.61,37.40,37.73,37.35,94.07K,0.64%
Apr 13  2016,37.37,37.44,37.64,37.16,111.66K,0.67%
Apr 12  2016,37.12,38.17,38.33,37.12,257.58K,-2.85%
Apr 11  2016,38.21,38.49,38.63,38.17,78.17K,-0.39%
Apr 08  2016,38.36,38.32,38.50,38.05,83.12K,0.50%
Apr 07  2016,38.17,38.30,38.50,38.00,75.39K,0.13%
Apr 06  2016,38.12,38.48,38.80,38.04,98.24K,-0.91%
Apr 05  2016,38.47,38.61,38.88,38.35,98.83K,-0.39%
Apr 04  2016,38.62,39.22,39.38,38.36,121.96K,-1.71%
Apr 01  2016,39.29,39.20,39.39,38.83,109.02K,0.08%
Mar 31  2016,39.26,38.78,39.26,38.36,199.00K,1.66%
Mar 30  2016,38.62,38.50,38.92,37.92,115.87K,0.89%
Mar 29  2016,38.28,37.75,38.57,37.61,77.30K,0.87%
Mar 28  2016,37.95,37.60,38.04,37.50,75.02K,1.23%
Mar 24  2016,37.49,37.39,37.88,37.33,85.37K,-0.21%
Mar 23  2016,37.57,38.27,38.27,37.54,94.03K,-1.39%
Mar 22  2016,38.10,37.94,38.20,37.53,159.94K,0.42%
Mar 21  2016,37.94,37.52,38.15,37.52,108.09K,1.72%
Mar 18  2016,37.30,38.35,38.35,37.30,307.39K,-1.40%
Mar 17  2016,37.83,38.00,38.35,37.80,105.47K,-0.03%
Mar 16  2016,37.84,38.19,38.33,37.60,226.91K,-0.63%
Mar 15  2016,38.08,38.53,38.56,37.90,105.13K,-1.45%
Mar 14  2016,38.64,38.73,38.99,38.39,70.35K,0.47%
Mar 11  2016,38.46,39.30,39.34,38.46,129.80K,-1.00%
Mar 10  2016,38.85,39.00,39.15,38.60,163.66K,-0.28%
Mar 09  2016,38.96,39.36,39.64,38.94,156.96K,-0.36%
Mar 08  2016,39.10,38.88,39.18,38.60,154.29K,0.85%
Mar 07  2016,38.77,38.51,38.86,38.22,138.14K,0.83%
Mar 04  2016,38.45,37.83,38.48,37.80,148.12K,2.02%
Mar 03  2016,37.69,37.44,37.85,37.13,92.30K,1.13%
Mar 02  2016,37.27,37.38,37.38,36.73,120.89K,1.06%
Mar 01  2016,36.88,35.97,37.30,35.97,174.96K,3.95%
Feb 29  2016,35.48,36.76,37.15,35.16,165.45K,-3.38%
Feb 26  2016,36.72,37.24,37.25,36.24,152.67K,-0.73%
Feb 25  2016,36.99,36.40,37.08,36.40,110.86K,0.03%
Feb 24  2016,36.98,37.10,37.16,36.53,116.08K,-0.05%
Feb 23  2016,37.00,37.49,37.69,36.87,163.32K,-0.35%
Feb 22  2016,37.13,36.78,37.41,36.63,206.97K,0.98%
Feb 19  2016,36.77,36.48,36.93,35.97,144.24K,0.82%
Feb 18  2016,36.47,37.29,37.29,36.47,121.73K,-1.22%
Feb 17  2016,36.92,36.38,37.38,36.16,208.06K,2.07%
Feb 16  2016,36.17,36.70,36.70,35.30,156.67K,2.78%
Feb 12  2016,35.19,36.50,36.74,34.76,143.70K,-0.40%
Feb 11  2016,35.33,34.03,35.44,33.76,138.65K,2.38%
Feb 10  2016,34.51,36.43,36.60,34.39,287.01K,-5.24%
Feb 09  2016,36.42,37.47,37.47,36.33,162.95K,-3.01%
Feb 08  2016,37.55,36.61,37.75,36.15,180.63K,2.46%
Feb 05  2016,36.65,36.87,36.97,36.51,157.60K,0.77%
Feb 04  2016,36.37,35.92,36.60,35.60,313.35K,1.82%
Feb 03  2016,35.72,35.68,35.95,35.17,183.81K,1.45%
Feb 02  2016,35.21,35.79,35.80,35.05,168.27K,-1.65%
Feb 01  2016,35.80,37.46,37.46,35.67,224.59K,-3.35%
Jan 29  2016,37.04,37.06,37.47,36.65,248.92K,0.19%
Jan 28  2016,36.97,36.43,37.09,35.86,223.89K,3.24%
Jan 27  2016,35.81,35.60,36.02,35.10,131.38K,0.90%
Jan 26  2016,35.49,34.04,35.56,33.81,419.03K,4.66%
Jan 25  2016,33.91,35.02,35.02,33.73,116.36K,-2.70%
Jan 22  2016,34.85,33.94,35.55,33.70,247.58K,5.06%
Jan 21  2016,33.17,31.68,33.30,31.05,570.64K,5.54%
Jan 20  2016,31.43,31.39,32.07,29.69,577.85K,-2.06%
Jan 19  2016,32.09,32.35,32.94,31.35,343.91K,-0.80%
Jan 18  2016,32.35,32.79,33.18,32.13,570.68K,-2.06%
Jan 15  2016,33.03,32.48,33.12,31.89,557.44K,0.82%
Jan 14  2016,32.76,33.91,33.91,32.50,289.96K,0.03%
Jan 13  2016,32.75,33.72,34.40,32.70,176.59K,-3.22%
Jan 12  2016,33.84,33.75,34.25,33.32,175.04K,0.48%
Jan 11  2016,33.68,33.62,34.27,33.02,157.68K,0.78%
Jan 08  2016,33.42,33.94,34.24,33.25,276.87K,-0.48%
Jan 07  2016,33.58,35.41,35.84,33.58,550.81K,-5.70%
Jan 06  2016,35.61,36.02,36.12,35.55,144.09K,-0.75%
Jan 05  2016,35.88,35.77,36.36,35.69,197.91K,1.16%
Jan 04  2016,35.47,35.26,36.12,35.19,107.23K,-2.21%
Dec 31  2015,36.27,36.05,36.65,35.57,37.20K,0.33%
Dec 30  2015,36.15,35.87,36.50,35.87,65.73K,0.25%
Dec 29  2015,36.06,36.90,36.90,35.93,110.71K,-2.54%
Dec 24  2015,37.00,35.29,37.00,35.27,112.34K,3.79%
Dec 23  2015,35.65,34.65,35.70,34.49,144.67K,2.89%
Dec 22  2015,34.65,35.06,35.06,34.41,106.58K,-0.60%
Dec 21  2015,34.86,35.90,36.20,34.66,484.87K,-4.23%
Dec 18  2015,36.40,34.52,36.40,34.52,376.35K,4.30%
Dec 17  2015,34.90,34.21,34.94,34.00,173.34K,2.47%
Dec 16  2015,34.06,32.61,34.14,32.35,221.94K,5.03%
Dec 15  2015,32.43,31.49,32.71,31.49,169.87K,3.12%
Dec 14  2015,31.45,31.59,31.69,31.00,166.33K,-0.79%
Dec 11  2015,31.70,31.75,32.13,31.55,124.68K,-1.09%
Dec 10  2015,32.05,31.84,32.30,31.60,124.52K,1.71%
Dec 09  2015,31.51,31.80,32.24,31.31,153.64K,-0.38%
Dec 08  2015,31.63,32.00,32.36,31.09,231.15K,-1.28%
