Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,14.71,14.77,14.80,14.67,611.39K,0.00%
Apr 18  2016,14.71,14.76,14.92,14.70,402.32K,-0.81%
Apr 15  2016,14.83,14.56,15.09,14.56,1.33M,1.78%
Apr 14  2016,14.57,14.52,14.58,14.51,414.48K,0.21%
Apr 13  2016,14.54,14.72,14.72,14.51,667.67K,-0.07%
Apr 12  2016,14.55,14.63,14.70,14.53,384.94K,-0.68%
Apr 11  2016,14.65,14.67,14.73,14.61,342.51K,-0.34%
Apr 08  2016,14.70,14.65,14.73,14.50,558.98K,0.75%
Apr 07  2016,14.59,14.66,14.67,14.55,323.40K,-0.48%
Apr 06  2016,14.66,14.60,14.72,14.59,403.40K,0.55%
Apr 05  2016,14.58,14.71,14.72,14.58,611.48K,-1.09%
Apr 04  2016,14.74,14.95,14.97,14.74,675.39K,-1.40%
Apr 01  2016,14.95,15.01,15.04,14.90,221.82K,-0.47%
Mar 31  2016,15.02,14.90,15.16,14.90,819.06K,0.07%
Mar 30  2016,15.01,15.04,15.11,14.94,1.93M,0.07%
Mar 29  2016,15.00,15.01,15.06,14.88,1.44M,-0.53%
Mar 28  2016,15.08,15.00,15.12,14.98,318.43K,0.87%
Mar 24  2016,14.95,15.02,15.03,14.82,346.46K,-0.93%
Mar 23  2016,15.09,15.16,15.20,15.08,222.05K,-0.20%
Mar 22  2016,15.12,15.10,15.20,15.08,271.02K,-0.46%
Mar 21  2016,15.19,15.04,15.24,15.04,835.39K,0.73%
Mar 18  2016,15.08,15.10,15.10,15.00,1.06M,-0.07%
Mar 17  2016,15.09,15.00,15.15,14.96,502.45K,0.40%
Mar 16  2016,15.03,15.01,15.07,14.98,244.06K,0.07%
Mar 15  2016,15.02,14.99,15.04,14.93,221.66K,0.00%
Mar 14  2016,15.02,14.98,15.12,14.98,938.59K,0.20%
Mar 11  2016,14.99,15.00,15.08,14.84,556.37K,0.00%
Mar 10  2016,14.99,15.03,15.07,14.84,330.06K,-0.20%
Mar 09  2016,15.02,15.05,15.13,14.98,367.19K,-0.07%
Mar 08  2016,15.03,15.05,15.09,14.93,523.21K,-0.40%
Mar 07  2016,15.09,14.90,15.15,14.90,396.28K,0.53%
Mar 04  2016,15.01,15.00,15.17,14.95,645.69K,0.00%
Mar 03  2016,15.01,14.94,15.22,14.91,1.89M,0.33%
Mar 02  2016,14.96,14.98,14.99,14.77,412.30K,-0.13%
Mar 01  2016,14.98,14.98,15.01,14.90,516.13K,0.40%
Feb 29  2016,14.92,14.88,14.99,14.85,583.95K,0.13%
