Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,233.77,231.08,233.97,230.27,53.84K,0.18%
Apr 18  2016,233.34,229.72,236.00,229.72,58.87K,1.17%
Apr 15  2016,230.65,229.29,233.88,229.29,31.80K,0.28%
Apr 14  2016,230.00,231.08,231.79,229.53,69.78K,-0.73%
Apr 13  2016,231.70,225.44,232.37,225.44,80.76K,3.23%
Apr 12  2016,224.45,234.76,234.76,222.13,137.36K,-4.54%
Apr 11  2016,235.13,236.03,238.00,234.64,43.77K,0.01%
Apr 08  2016,235.10,241.64,241.70,233.96,75.15K,-2.64%
Apr 07  2016,241.47,245.56,245.83,236.84,92.58K,-2.28%
Apr 06  2016,247.10,247.04,247.95,244.04,58.04K,0.15%
Apr 05  2016,246.74,246.00,247.71,244.11,79.13K,-0.80%
Apr 04  2016,248.72,247.00,249.38,244.75,65.24K,1.31%
Apr 01  2016,245.50,245.39,248.73,241.75,100.96K,-0.41%
Mar 31  2016,246.50,243.33,248.99,241.75,133.28K,1.38%
Mar 30  2016,243.15,242.66,247.10,238.00,87.15K,0.97%
Mar 29  2016,240.81,234.00,241.84,234.00,59.47K,3.13%
Mar 28  2016,233.51,233.33,235.93,232.49,38.12K,-0.08%
Mar 24  2016,233.69,237.36,237.36,232.89,54.81K,-1.89%
Mar 23  2016,238.19,228.21,238.91,227.30,111.71K,4.37%
Mar 22  2016,228.21,227.87,229.34,225.69,57.10K,-0.49%
Mar 21  2016,229.33,225.64,230.00,224.24,50.25K,1.63%
Mar 18  2016,225.65,227.24,228.48,224.16,60.43K,-0.70%
Mar 17  2016,227.24,225.79,229.77,224.97,58.37K,0.09%
Mar 16  2016,227.03,227.22,229.00,226.34,42.61K,-0.06%
Mar 15  2016,227.16,230.27,230.27,225.90,68.79K,-1.43%
Mar 14  2016,230.45,231.53,232.23,228.47,57.89K,-0.15%
Mar 11  2016,230.80,233.00,235.32,230.38,117.08K,0.10%
Mar 10  2016,230.57,233.72,233.72,226.87,63.00K,-1.04%
Mar 09  2016,233.00,235.29,236.00,232.80,146.36K,-1.09%
Mar 08  2016,235.57,234.51,236.62,231.67,133.38K,0.13%
Mar 07  2016,235.26,228.08,237.60,228.08,160.00K,0.38%
Mar 04  2016,234.38,219.89,235.00,216.95,177.92K,6.78%
Mar 03  2016,219.50,232.98,236.11,216.58,234.78K,-6.26%
Mar 02  2016,234.17,231.00,235.00,222.07,268.80K,11.78%
Mar 01  2016,209.50,209.00,211.56,204.88,110.24K,1.24%
Feb 29  2016,206.94,204.50,207.74,204.50,105.12K,2.14%
Feb 26  2016,202.60,211.11,213.44,201.59,95.00K,-3.29%
Feb 25  2016,209.50,210.51,216.00,208.28,238.02K,6.49%
Feb 24  2016,196.74,203.88,203.88,196.29,111.75K,-3.51%
Feb 23  2016,203.90,201.13,204.23,199.66,71.11K,2.23%
Feb 22  2016,199.46,200.00,202.01,198.92,85.84K,0.27%
Feb 19  2016,198.92,193.36,199.85,193.02,122.07K,2.40%
Feb 18  2016,194.26,200.00,200.00,193.99,98.52K,-2.28%
Feb 17  2016,198.80,191.37,200.78,190.44,189.64K,4.29%
Feb 16  2016,190.63,189.52,191.67,186.25,120.02K,2.07%
Feb 12  2016,186.76,184.38,188.68,182.23,122.61K,2.42%
Feb 11  2016,182.35,181.04,183.70,178.83,92.11K,-0.94%
Feb 10  2016,184.08,186.02,190.83,183.84,88.88K,-1.01%
Feb 09  2016,185.96,173.60,187.49,172.26,202.26K,7.12%
Feb 08  2016,173.60,178.00,178.00,171.52,232.72K,-3.37%
Feb 05  2016,179.65,191.21,191.50,177.23,270.65K,-6.05%
Feb 04  2016,191.21,186.05,191.97,186.05,218.66K,0.57%
Feb 03  2016,190.12,194.26,197.00,189.58,153.62K,-2.07%
Feb 02  2016,194.14,195.11,195.75,190.17,143.14K,-0.82%
Feb 01  2016,195.75,196.36,197.93,194.94,157.73K,-0.89%
Jan 29  2016,197.50,202.59,203.53,196.10,278.00K,-2.17%
Jan 28  2016,201.88,206.95,207.01,198.75,130.37K,-2.50%
Jan 27  2016,207.05,208.50,209.00,206.04,57.81K,-0.66%
Jan 26  2016,208.43,213.80,215.00,206.00,101.41K,-2.14%
Jan 25  2016,212.98,217.80,217.80,212.50,63.61K,-2.21%
Jan 22  2016,217.80,221.00,222.23,217.00,74.66K,-0.09%
Jan 21  2016,217.99,211.99,220.28,211.00,86.11K,3.15%
Jan 20  2016,211.34,207.00,211.57,204.25,176.47K,0.17%
Jan 19  2016,210.99,208.00,211.45,207.01,126.53K,2.96%
Jan 18  2016,204.92,215.01,215.48,201.94,170.33K,-5.57%
Jan 15  2016,217.00,219.95,221.00,215.26,83.79K,-2.93%
Jan 14  2016,223.56,219.33,223.56,214.30,89.44K,1.77%
Jan 13  2016,219.68,219.64,224.70,218.00,105.85K,0.63%
Jan 12  2016,218.30,220.10,222.65,215.13,118.64K,-0.62%
Jan 11  2016,219.67,223.81,224.50,215.97,71.76K,-1.36%
Jan 08  2016,222.69,220.01,225.54,220.01,146.97K,1.01%
Jan 07  2016,220.47,224.98,224.98,218.10,117.05K,-2.90%
Jan 06  2016,227.05,229.85,230.50,222.50,122.76K,-1.82%
Jan 05  2016,231.25,222.39,231.37,221.99,97.88K,3.79%
Jan 04  2016,222.80,224.07,224.19,216.00,63.18K,-0.70%
Dec 31  2015,224.37,228.26,228.26,223.97,33.19K,-1.78%
Dec 30  2015,228.44,226.66,229.00,226.65,29.42K,0.97%
Dec 29  2015,226.25,223.04,227.11,221.40,50.86K,2.28%
Dec 24  2015,221.20,221.83,222.32,218.62,39.05K,-0.28%
Dec 23  2015,221.83,226.40,226.89,219.77,73.01K,-2.11%
Dec 22  2015,226.61,227.82,228.83,222.28,75.82K,-0.53%
Dec 21  2015,227.82,227.08,228.12,225.71,63.46K,0.68%
Dec 18  2015,226.28,224.62,226.42,223.75,122.92K,0.47%
Dec 17  2015,225.23,219.98,225.44,219.98,153.40K,2.65%
Dec 16  2015,219.42,216.48,221.49,216.48,100.48K,1.70%
Dec 15  2015,215.75,224.90,224.90,213.92,187.75K,-4.07%
Dec 14  2015,224.90,221.93,227.74,221.75,116.31K,1.42%
Dec 11  2015,221.75,221.94,224.87,220.00,66.67K,-0.11%
Dec 10  2015,222.00,218.63,223.93,217.78,103.09K,1.43%
Dec 09  2015,218.87,228.94,231.99,218.16,167.74K,-3.07%
Dec 08  2015,225.81,220.66,229.01,218.51,133.46K,1.99%
Dec 07  2015,221.40,222.55,224.33,220.00,109.56K,-0.40%
Dec 04  2015,222.29,220.29,224.06,220.15,99.12K,0.70%
Dec 03  2015,220.75,221.91,223.85,218.59,136.39K,0.34%
Dec 02  2015,220.00,222.85,224.00,219.00,95.48K,-0.88%
Dec 01  2015,221.95,222.10,224.94,220.72,140.96K,0.08%
Nov 30  2015,221.78,214.00,222.60,214.00,1.28M,3.71%
Nov 27  2015,213.85,217.32,217.95,213.65,74.58K,-1.28%
