Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,61.63,62.83,62.83,61.30,637.80K,-1.93%
Apr 18  2016,62.84,62.87,63.35,62.56,434.46K,-0.70%
Apr 15  2016,63.28,63.42,63.62,63.23,794.17K,0.27%
Apr 14  2016,63.11,62.09,63.42,62.06,693.66K,1.56%
Apr 13  2016,62.14,62.43,62.68,61.82,664.47K,-0.43%
Apr 12  2016,62.41,61.96,62.45,61.76,749.94K,0.84%
Apr 11  2016,61.89,62.08,62.22,61.65,449.64K,-0.42%
Apr 08  2016,62.15,62.62,62.77,61.89,517.99K,-0.46%
Apr 07  2016,62.44,62.99,63.00,62.05,643.97K,-1.42%
Apr 06  2016,63.34,62.85,63.43,62.63,832.29K,0.86%
Apr 05  2016,62.80,62.77,63.39,62.53,823.03K,-0.19%
Apr 04  2016,62.92,62.46,63.06,61.76,457.02K,0.78%
Apr 01  2016,62.43,61.61,62.49,61.54,708.00K,0.58%
Mar 31  2016,62.07,62.14,62.66,61.50,865.83K,0.45%
Mar 30  2016,61.79,61.51,62.06,61.15,637.94K,0.49%
Mar 29  2016,61.49,60.87,61.97,60.62,405.06K,0.87%
Mar 28  2016,60.96,60.75,61.03,60.55,410.01K,-0.08%
Mar 24  2016,61.01,60.31,61.18,60.07,550.28K,0.31%
Mar 23  2016,60.82,60.97,60.97,59.91,700.03K,1.52%
Mar 22  2016,59.91,59.38,60.37,59.38,699.53K,0.05%
Mar 21  2016,59.88,58.01,60.03,58.00,500.62K,3.35%
Mar 18  2016,57.94,58.61,58.73,57.80,1.13M,-1.40%
Mar 17  2016,58.76,58.13,59.10,57.66,526.10K,0.77%
Mar 16  2016,58.31,57.93,58.98,57.90,494.10K,0.69%
Mar 15  2016,57.91,57.53,58.14,57.33,588.71K,0.96%
Mar 14  2016,57.36,57.24,57.74,57.02,347.54K,-0.40%
Mar 11  2016,57.59,57.60,58.05,57.18,506.32K,0.59%
Mar 10  2016,57.25,58.19,58.29,56.75,455.66K,-1.33%
Mar 09  2016,58.02,56.99,58.25,56.74,669.37K,2.36%
Mar 08  2016,56.68,56.33,57.48,56.12,609.78K,0.50%
Mar 07  2016,56.40,56.46,57.13,56.33,577.62K,-0.41%
Mar 04  2016,56.63,58.13,58.25,56.41,663.75K,-2.33%
Mar 03  2016,57.98,57.88,58.21,57.57,555.43K,0.17%
Mar 02  2016,57.88,57.36,58.05,56.25,611.79K,0.57%
Mar 01  2016,57.55,56.73,57.60,56.71,657.98K,1.66%
Feb 29  2016,56.61,56.56,57.30,56.16,695.78K,-0.04%
Feb 26  2016,56.63,56.58,57.22,56.43,484.44K,0.23%
Feb 25  2016,56.50,56.98,57.03,55.75,469.15K,-0.88%
Feb 24  2016,57.00,57.19,57.38,55.88,657.50K,-1.14%
Feb 23  2016,57.66,57.18,58.05,57.17,453.49K,0.47%
Feb 22  2016,57.39,57.88,58.16,57.30,517.05K,-0.09%
Feb 19  2016,57.44,57.21,57.64,56.58,404.03K,0.10%
Feb 18  2016,57.38,57.16,57.73,57.16,594.25K,0.49%
Feb 17  2016,57.10,56.97,57.51,56.50,643.67K,0.92%
Feb 16  2016,56.58,55.65,56.74,55.45,774.82K,1.96%
Feb 12  2016,55.49,56.39,56.39,55.20,576.27K,-0.63%
Feb 11  2016,55.84,56.05,56.27,55.04,856.72K,-2.02%
Feb 10  2016,56.99,57.41,58.22,56.80,489.49K,-0.44%
Feb 09  2016,57.24,55.04,57.53,55.00,1.12M,1.71%
Feb 08  2016,56.28,56.85,57.36,55.53,1.10M,-2.65%
Feb 05  2016,57.81,60.06,60.39,57.72,913.49K,-4.29%
Feb 04  2016,60.40,60.24,61.10,60.07,700.22K,-0.67%
Feb 03  2016,60.81,60.73,61.25,59.78,801.29K,0.00%
Feb 02  2016,60.81,59.50,61.50,59.40,1.02M,0.76%
Feb 01  2016,60.35,59.47,60.44,59.45,733.89K,0.52%
Jan 29  2016,60.04,59.84,60.29,59.31,868.42K,0.33%
Jan 28  2016,59.84,58.00,59.88,57.75,872.32K,3.67%
Jan 27  2016,57.72,56.53,59.69,56.34,1.44M,3.98%
Jan 26  2016,55.51,55.13,56.04,54.71,609.69K,0.65%
Jan 25  2016,55.15,54.99,55.55,54.25,640.68K,0.57%
Jan 22  2016,54.84,54.38,54.90,54.25,613.65K,1.88%
Jan 21  2016,53.83,53.87,54.29,53.14,543.73K,-0.44%
Jan 20  2016,54.07,53.59,54.49,52.61,946.24K,-0.31%
Jan 19  2016,54.24,53.69,54.78,53.52,1.12M,1.48%
Jan 18  2016,53.45,53.78,54.00,53.00,490.00K,-1.27%
Jan 15  2016,54.14,53.25,54.30,53.10,743.81K,-0.99%
Jan 14  2016,54.68,54.32,54.82,53.85,1.33M,0.79%
Jan 13  2016,54.25,54.95,55.13,54.01,865.49K,-1.27%
Jan 12  2016,54.95,53.67,55.00,53.67,766.39K,3.00%
Jan 11  2016,53.35,53.47,54.00,52.87,682.81K,0.02%
Jan 08  2016,53.34,53.05,54.37,53.05,657.40K,0.70%
Jan 07  2016,52.97,53.28,53.72,52.63,726.78K,-2.20%
Jan 06  2016,54.16,53.81,54.55,53.02,1.25M,-0.91%
Jan 05  2016,54.66,54.21,54.98,54.10,776.73K,0.92%
Jan 04  2016,54.16,54.53,54.59,53.55,706.03K,-2.24%
Dec 31  2015,55.40,56.00,56.16,55.30,528.35K,-1.77%
Dec 30  2015,56.40,56.82,57.07,56.30,512.12K,-0.56%
Dec 29  2015,56.72,56.31,56.97,56.10,399.55K,1.14%
Dec 24  2015,56.08,56.09,56.45,56.01,282.94K,-0.02%
Dec 23  2015,56.09,55.58,56.27,55.15,584.35K,1.19%
Dec 22  2015,55.43,55.83,55.89,55.11,495.86K,-0.56%
Dec 21  2015,55.74,55.83,56.43,55.28,476.03K,0.69%
Dec 18  2015,55.36,56.50,56.95,55.17,2.06M,-2.69%
Dec 17  2015,56.89,57.00,57.46,56.80,832.83K,-0.12%
Dec 16  2015,56.96,57.47,57.55,56.28,1.03M,-0.71%
Dec 15  2015,57.37,56.66,57.45,56.38,672.60K,1.63%
Dec 14  2015,56.45,56.16,56.70,55.92,620.60K,0.41%
Dec 11  2015,56.22,57.25,57.64,55.70,1.14M,-2.43%
Dec 10  2015,57.62,55.71,57.88,55.71,741.47K,3.10%
Dec 09  2015,55.89,56.86,57.30,55.60,662.25K,-2.56%
Dec 08  2015,57.36,56.66,57.39,55.92,642.71K,0.26%
Dec 07  2015,57.21,57.13,57.40,56.67,488.04K,-0.30%
Dec 04  2015,57.38,56.27,57.50,56.27,650.65K,1.67%
Dec 03  2015,56.44,58.00,58.00,56.05,1.57M,-2.13%
Dec 02  2015,57.67,58.94,59.19,57.64,777.45K,-2.17%
Dec 01  2015,58.95,57.59,59.39,57.59,1.31M,1.41%
Nov 30  2015,58.13,57.36,58.36,57.35,1.03M,1.25%
