Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,27.69,27.76,28.13,27.46,579.22K,0.04%
Apr 18  2016,27.68,28.43,28.43,27.50,971.59K,-4.68%
Apr 15  2016,29.04,28.61,29.13,28.55,356.84K,1.33%
Apr 14  2016,28.66,28.70,28.85,28.52,341.18K,0.03%
Apr 13  2016,28.65,28.50,28.70,28.35,271.08K,1.02%
Apr 12  2016,28.36,28.40,28.48,28.08,449.72K,0.50%
Apr 11  2016,28.22,28.37,28.38,28.09,244.23K,-0.28%
Apr 08  2016,28.30,28.25,28.36,28.05,365.50K,0.18%
Apr 07  2016,28.25,28.29,28.42,28.13,380.51K,-0.42%
Apr 06  2016,28.37,28.42,28.55,28.20,335.41K,-0.39%
Apr 05  2016,28.48,27.77,28.68,27.77,696.56K,1.75%
Apr 04  2016,27.99,28.57,28.58,27.75,1.20M,-2.13%
Apr 01  2016,28.60,28.72,28.77,28.46,267.61K,-0.35%
Mar 31  2016,28.70,28.76,28.88,28.61,636.73K,-0.62%
Mar 30  2016,28.88,29.05,29.11,28.81,328.77K,-0.10%
Mar 29  2016,28.91,29.00,29.01,28.75,325.42K,-0.65%
Mar 28  2016,29.10,29.35,29.43,28.87,212.46K,-0.85%
Mar 24  2016,29.35,29.23,29.39,29.01,329.64K,-0.07%
Mar 23  2016,29.37,29.53,29.69,28.91,356.81K,-0.88%
Mar 22  2016,29.63,29.81,29.85,29.54,513.11K,-0.60%
Mar 21  2016,29.81,29.83,29.90,29.35,341.21K,0.40%
Mar 18  2016,29.69,29.84,29.89,29.32,1.83M,0.30%
Mar 17  2016,29.60,28.99,29.95,28.99,488.90K,2.67%
Mar 16  2016,28.83,28.87,28.97,28.57,322.17K,0.28%
Mar 15  2016,28.75,28.99,29.04,28.66,379.78K,-1.24%
Mar 14  2016,29.11,29.12,29.32,28.92,482.30K,0.62%
Mar 11  2016,28.93,28.68,28.94,28.57,386.91K,1.58%
Mar 10  2016,28.48,28.57,28.73,28.31,446.90K,0.32%
Mar 09  2016,28.39,28.73,28.77,28.19,610.31K,-0.28%
Mar 08  2016,28.47,28.52,28.72,28.24,524.71K,0.11%
Mar 07  2016,28.44,28.79,28.92,28.34,788.37K,-0.66%
Mar 04  2016,28.63,29.29,29.32,28.55,557.96K,-1.24%
Mar 03  2016,28.99,28.62,29.25,28.62,1.15M,1.43%
Mar 02  2016,28.58,29.01,29.21,28.06,1.85M,-1.45%
Mar 01  2016,29.00,30.21,30.28,28.90,1.10M,-3.24%
Feb 29  2016,29.97,30.18,30.34,29.97,567.06K,-0.53%
Feb 26  2016,30.13,29.49,30.18,29.28,1.32M,3.04%
Feb 25  2016,29.24,29.17,29.40,28.79,404.36K,0.10%
Feb 24  2016,29.21,28.86,29.23,28.65,455.38K,0.45%
Feb 23  2016,29.08,29.47,29.58,28.90,383.18K,-1.22%
Feb 22  2016,29.44,29.39,29.52,29.11,332.36K,1.48%
Feb 19  2016,29.01,29.07,29.26,28.74,686.08K,-0.65%
Feb 18  2016,29.20,29.86,29.86,29.19,710.28K,-2.01%
Feb 17  2016,29.80,28.82,29.86,28.82,803.84K,4.20%
Feb 16  2016,28.60,28.16,28.84,27.65,1.04M,2.91%
Feb 12  2016,27.79,26.81,27.86,26.81,919.72K,4.79%
Feb 11  2016,26.52,27.42,27.51,25.76,2.57M,-6.46%
Feb 10  2016,28.35,29.25,29.34,28.08,836.58K,-3.14%
Feb 09  2016,29.27,29.50,29.50,29.17,920.86K,-1.31%
Feb 08  2016,29.66,30.46,30.55,29.55,418.81K,-3.04%
Feb 05  2016,30.59,30.70,30.72,30.55,257.79K,-0.20%
Feb 04  2016,30.65,30.51,30.81,30.50,626.48K,0.13%
Feb 03  2016,30.61,30.44,30.65,30.17,331.38K,0.59%
Feb 02  2016,30.43,30.53,30.67,30.34,513.79K,-1.27%
Feb 01  2016,30.82,30.94,30.99,30.35,465.94K,-0.39%
Jan 29  2016,30.94,30.27,30.94,30.05,681.19K,2.89%
Jan 28  2016,30.07,29.36,30.11,29.29,330.69K,3.01%
Jan 27  2016,29.19,28.77,29.67,28.77,359.35K,1.14%
Jan 26  2016,28.86,28.75,29.30,28.74,388.10K,0.87%
Jan 25  2016,28.61,29.25,29.25,28.56,395.59K,-2.02%
Jan 22  2016,29.20,28.67,29.32,28.56,413.14K,3.14%
