Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,16.30,15.92,16.30,15.84,1.04M,2.84%
Apr 18  2016,15.85,15.82,16.20,15.81,718.94K,-0.88%
Apr 15  2016,15.99,16.13,16.13,15.85,696.44K,-1.48%
Apr 14  2016,16.23,16.17,16.29,16.01,781.77K,0.12%
Apr 13  2016,16.21,16.06,16.41,16.05,939.84K,2.14%
Apr 12  2016,15.87,15.69,15.98,15.61,1.71M,1.99%
Apr 11  2016,15.56,15.60,15.83,15.52,1.12M,-0.77%
Apr 08  2016,15.68,15.89,15.90,15.60,921.22K,-0.06%
Apr 07  2016,15.69,15.96,15.97,15.60,1.20M,-2.49%
Apr 06  2016,16.09,15.84,16.14,15.71,809.71K,2.29%
Apr 05  2016,15.73,15.92,16.06,15.71,1.06M,-1.69%
Apr 04  2016,16.00,16.44,16.51,15.98,843.84K,-3.15%
Apr 01  2016,16.52,16.50,16.55,16.28,617.92K,-0.90%
Mar 31  2016,16.67,16.97,17.06,16.58,1.16M,-1.65%
Mar 30  2016,16.95,16.81,17.07,16.72,791.81K,1.92%
Mar 29  2016,16.63,16.41,16.74,16.32,624.43K,-0.30%
Mar 28  2016,16.68,16.84,16.84,16.46,649.50K,-0.95%
Mar 24  2016,16.84,16.61,16.95,16.52,497.78K,0.48%
Mar 23  2016,16.76,17.18,17.18,16.73,776.92K,-1.59%
Mar 22  2016,17.03,17.11,17.27,16.94,795.06K,-0.58%
Mar 21  2016,17.13,17.51,17.67,17.10,1.06M,-1.55%
Mar 18  2016,17.40,17.20,17.48,17.10,1.77M,1.34%
Mar 17  2016,17.17,17.07,17.66,17.04,1.83M,0.76%
Mar 16  2016,17.04,16.57,17.17,16.53,1.81M,2.65%
Mar 15  2016,16.60,15.75,16.61,15.74,1.40M,4.73%
Mar 14  2016,15.85,15.79,15.90,15.61,928.97K,-0.13%
Mar 11  2016,15.87,15.80,16.03,15.70,1.16M,1.41%
Mar 10  2016,15.65,15.83,15.94,15.50,1.56M,-0.51%
