Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,4.05,3.93,4.14,3.93,245.03K,3.58%
Apr 18  2016,3.91,3.89,3.92,3.85,71.11K,0.51%
Apr 15  2016,3.89,3.78,3.89,3.74,135.38K,2.91%
Apr 14  2016,3.78,3.89,3.94,3.74,189.01K,-0.26%
Apr 13  2016,3.79,3.87,3.96,3.78,369.78K,-0.52%
Apr 12  2016,3.81,3.75,3.89,3.72,295.67K,2.97%
Apr 11  2016,3.70,3.66,3.76,3.66,95.38K,1.37%
Apr 08  2016,3.65,3.75,3.82,3.63,339.41K,-1.35%
Apr 07  2016,3.70,3.74,3.78,3.66,449.80K,-2.37%
Apr 06  2016,3.79,3.68,3.80,3.67,206.12K,1.88%
Apr 05  2016,3.72,3.67,3.78,3.66,78.22K,-0.53%
Apr 04  2016,3.74,3.98,3.98,3.72,297.88K,-3.11%
Apr 01  2016,3.86,3.99,4.01,3.86,217.19K,-3.74%
Mar 31  2016,4.01,3.89,4.07,3.89,292.00K,2.04%
Mar 30  2016,3.93,3.90,4.09,3.85,175.68K,0.00%
Mar 29  2016,3.93,3.84,3.95,3.79,153.04K,1.29%
Mar 28  2016,3.88,4.11,4.15,3.86,178.23K,-7.18%
Mar 24  2016,4.18,3.90,4.21,3.85,996.17K,5.03%
Mar 23  2016,3.98,4.11,4.13,3.94,389.74K,-4.10%
Mar 22  2016,4.15,4.17,4.34,4.12,523.17K,-0.72%
Mar 21  2016,4.18,4.52,4.65,4.14,781.46K,-6.70%
Mar 18  2016,4.48,4.40,4.66,4.18,5.64M,-1.10%
Mar 17  2016,4.53,3.95,4.57,3.95,1.41M,15.56%
Mar 16  2016,3.92,3.90,4.00,3.86,424.48K,1.29%
Mar 15  2016,3.87,4.03,4.03,3.83,606.01K,-5.61%
Mar 14  2016,4.10,4.09,4.15,3.98,424.75K,-0.73%
Mar 11  2016,4.13,4.11,4.18,4.00,218.50K,0.24%
Mar 10  2016,4.12,4.05,4.15,4.00,218.58K,2.74%
Mar 09  2016,4.01,4.10,4.11,3.89,346.71K,0.00%
Mar 08  2016,4.01,4.14,4.14,3.83,417.49K,-0.99%
Mar 07  2016,4.05,3.92,4.22,3.88,454.68K,4.38%
Mar 04  2016,3.88,3.65,3.92,3.63,362.64K,7.48%
Mar 03  2016,3.61,3.51,3.64,3.50,999.70K,2.85%
Mar 02  2016,3.51,3.55,3.69,3.50,358.52K,-2.77%
Mar 01  2016,3.61,3.75,3.78,3.58,290.20K,-3.22%
Feb 29  2016,3.73,3.71,3.87,3.70,197.48K,0.00%
Feb 26  2016,3.73,3.85,3.96,3.65,360.13K,-2.86%
Feb 25  2016,3.84,3.76,3.85,3.76,221.94K,-1.29%
Feb 24  2016,3.89,3.87,3.94,3.80,213.52K,-1.77%
Feb 23  2016,3.96,3.94,3.97,3.90,216.48K,0.00%
