Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,29.95,29.85,30.08,29.57,127.35K,0.34%
Apr 18  2016,29.85,29.65,30.20,29.65,202.63K,-0.30%
Apr 15  2016,29.94,30.02,30.25,29.73,106.10K,-0.50%
Apr 14  2016,30.09,29.71,30.17,29.53,259.50K,1.35%
Apr 13  2016,29.69,29.97,29.97,29.57,178.86K,-0.27%
Apr 12  2016,29.77,29.39,29.99,29.30,359.64K,1.67%
Apr 11  2016,29.28,29.29,29.47,29.16,126.24K,0.03%
Apr 08  2016,29.27,29.13,29.41,28.97,165.46K,0.52%
Apr 07  2016,29.12,29.24,29.27,29.00,205.29K,-0.51%
Apr 06  2016,29.27,29.33,29.34,29.00,255.77K,-0.10%
Apr 05  2016,29.30,29.20,29.41,29.06,142.42K,-0.20%
Apr 04  2016,29.36,28.94,29.36,28.94,205.39K,1.66%
Apr 01  2016,28.88,28.80,29.02,28.73,221.10K,0.00%
Mar 31  2016,28.88,28.76,28.89,28.55,239.50K,0.59%
Mar 30  2016,28.71,28.84,28.95,28.54,177.57K,0.03%
Mar 29  2016,28.70,28.64,28.90,28.59,382.85K,0.03%
Mar 28  2016,28.69,28.59,28.74,28.40,110.72K,0.28%
Mar 24  2016,28.61,28.69,28.72,28.41,101.44K,-0.35%
Mar 23  2016,28.71,28.96,29.02,28.51,752.35K,-0.79%
Mar 22  2016,28.94,29.10,29.27,28.89,143.14K,-0.89%
Mar 21  2016,29.20,29.20,29.40,29.10,134.35K,0.00%
Mar 18  2016,29.20,29.66,29.77,29.18,412.22K,-1.45%
Mar 17  2016,29.63,29.72,29.99,29.58,127.09K,-0.27%
Mar 16  2016,29.71,29.50,29.79,29.39,132.94K,0.81%
Mar 15  2016,29.47,29.28,29.54,29.19,175.49K,0.31%
Mar 14  2016,29.38,29.00,29.42,28.95,187.89K,0.62%
Mar 11  2016,29.20,29.26,29.42,29.11,146.28K,0.14%
Mar 10  2016,29.16,29.30,29.50,28.95,123.89K,-0.38%
Mar 09  2016,29.27,29.23,29.45,29.05,184.35K,0.24%
Mar 08  2016,29.20,28.87,29.45,28.87,191.73K,0.93%
Mar 07  2016,28.93,29.11,29.20,28.89,112.05K,-0.82%
Mar 04  2016,29.17,29.40,29.45,29.01,144.16K,-0.78%
Mar 03  2016,29.40,29.50,29.57,29.26,188.62K,-0.34%
Mar 02  2016,29.50,29.10,29.56,29.10,215.74K,1.48%
Mar 01  2016,29.07,28.76,29.26,28.75,176.28K,1.40%
Feb 29  2016,28.67,28.64,29.10,28.64,169.91K,0.00%
Feb 26  2016,28.67,28.78,29.10,28.60,150.80K,-0.45%
Feb 25  2016,28.80,28.93,29.15,28.77,184.41K,-0.86%
Feb 24  2016,29.05,29.06,29.15,28.86,195.48K,-0.34%
Feb 23  2016,29.15,28.91,29.40,28.83,222.33K,0.97%
Feb 22  2016,28.87,29.10,29.10,28.73,199.62K,-0.14%
Feb 19  2016,28.91,28.66,28.98,28.36,296.77K,0.45%
Feb 18  2016,28.78,28.66,28.82,28.50,341.16K,0.66%
Feb 17  2016,28.59,28.80,28.81,28.27,252.16K,-0.49%
Feb 16  2016,28.73,29.09,29.11,28.61,173.00K,0.31%
Feb 12  2016,28.64,28.50,29.24,28.25,247.57K,0.53%
Feb 11  2016,28.49,28.20,28.62,28.05,289.67K,0.14%
Feb 10  2016,28.45,28.59,28.99,28.36,197.60K,-0.49%
Feb 09  2016,28.59,28.69,28.72,28.40,162.01K,-0.63%
Feb 08  2016,28.77,29.53,29.59,28.74,193.71K,-2.84%
Feb 05  2016,29.61,29.73,29.76,29.47,146.00K,-0.84%
Feb 04  2016,29.86,29.52,29.92,29.50,195.03K,1.22%
Feb 03  2016,29.50,29.70,29.85,29.24,204.50K,-0.30%
Feb 02  2016,29.59,29.30,29.68,29.10,198.20K,0.65%
Feb 01  2016,29.40,30.23,30.25,29.36,195.68K,-1.71%
Jan 29  2016,29.91,29.36,30.00,29.36,356.44K,1.94%
Jan 28  2016,29.34,29.14,29.48,28.95,449.52K,1.28%
Jan 27  2016,28.97,29.00,29.19,28.86,207.55K,-0.28%
Jan 26  2016,29.05,29.08,29.27,28.95,213.03K,0.21%
Jan 25  2016,28.99,29.00,29.30,28.76,186.02K,-0.31%
Jan 22  2016,29.08,29.09,29.44,28.90,355.14K,-0.03%
Jan 21  2016,29.09,28.79,29.23,28.61,478.19K,0.76%
Jan 20  2016,28.87,28.71,28.90,28.04,615.39K,-0.62%
Jan 19  2016,29.05,27.29,29.15,27.29,1.16M,6.96%
Jan 18  2016,27.16,27.36,27.45,26.90,249.94K,-1.88%
