Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,3.54,3.47,3.57,3.41,820.41K,5.67%
Apr 18  2016,3.35,3.17,3.42,3.17,484.15K,-0.30%
Apr 15  2016,3.36,3.36,3.41,3.29,479.82K,-2.33%
Apr 14  2016,3.44,3.73,3.73,3.43,713.98K,-7.03%
Apr 13  2016,3.70,3.59,3.74,3.58,849.95K,2.78%
Apr 12  2016,3.60,3.37,3.65,3.35,1.05M,7.14%
Apr 11  2016,3.36,3.32,3.44,3.31,729.45K,3.07%
Apr 08  2016,3.26,3.15,3.28,3.15,822.90K,6.89%
Apr 07  2016,3.05,3.03,3.08,2.95,493.97K,1.67%
Apr 06  2016,3.00,3.05,3.07,2.93,647.91K,3.45%
Apr 05  2016,2.90,2.90,2.94,2.85,370.91K,-0.34%
Apr 04  2016,2.91,3.08,3.11,2.90,466.23K,-4.90%
Apr 01  2016,3.06,3.18,3.18,2.96,645.72K,-4.08%
Mar 31  2016,3.19,3.15,3.32,3.15,374.66K,0.95%
Mar 30  2016,3.16,3.24,3.36,3.15,440.03K,-0.94%
Mar 29  2016,3.19,3.18,3.22,3.11,535.81K,-2.15%
Mar 28  2016,3.26,3.38,3.38,3.25,468.64K,-3.83%
Mar 24  2016,3.39,3.31,3.46,3.23,524.46K,-0.29%
Mar 23  2016,3.40,3.43,3.47,3.34,546.67K,-2.30%
Mar 22  2016,3.48,3.42,3.49,3.37,608.79K,0.29%
Mar 21  2016,3.47,3.49,3.49,3.35,763.18K,1.17%
Mar 18  2016,3.43,3.20,3.59,3.20,2.28M,8.54%
Mar 17  2016,3.16,3.06,3.19,3.02,2.15M,4.64%
Mar 16  2016,3.02,3.05,3.20,2.99,792.13K,0.67%
Mar 15  2016,3.00,3.06,3.07,2.96,871.45K,-3.23%
Mar 14  2016,3.10,3.25,3.30,3.07,1.25M,-9.36%
Mar 11  2016,3.42,3.45,3.45,3.16,1.88M,-2.29%
Mar 10  2016,3.50,3.49,3.52,3.37,506.68K,0.86%
Mar 09  2016,3.47,3.45,3.55,3.39,475.11K,3.27%
Mar 08  2016,3.36,3.61,3.62,3.35,1.05M,-5.62%
Mar 07  2016,3.56,3.48,3.66,3.47,1.48M,3.19%
Mar 04  2016,3.45,3.45,3.50,3.27,625.62K,1.77%
Mar 03  2016,3.39,3.31,3.45,3.19,598.64K,2.73%
Mar 02  2016,3.30,3.20,3.34,3.14,596.25K,2.80%
Mar 01  2016,3.21,3.07,3.27,3.03,1.78M,4.90%
Feb 29  2016,3.06,3.14,3.15,3.06,1.72M,-1.29%
Feb 26  2016,3.10,3.10,3.11,2.95,609.02K,2.99%
Feb 25  2016,3.01,3.25,3.25,2.91,936.38K,-7.38%
Feb 24  2016,3.25,3.15,3.28,3.08,526.41K,0.62%
Feb 23  2016,3.23,3.24,3.31,3.18,392.96K,-0.92%
Feb 22  2016,3.26,3.33,3.45,3.24,508.60K,0.00%
Feb 19  2016,3.26,3.25,3.29,3.12,402.49K,-2.40%
Feb 18  2016,3.34,3.43,3.48,3.31,1.09M,-2.05%
Feb 17  2016,3.41,3.22,3.46,3.12,1.20M,5.57%
Feb 16  2016,3.23,3.08,3.24,3.04,646.96K,1.25%
Feb 12  2016,3.19,3.14,3.27,2.97,1.32M,4.59%
Feb 11  2016,3.05,3.12,3.24,2.97,1.97M,-3.79%
Feb 10  2016,3.17,3.40,3.46,3.17,631.46K,-6.21%
Feb 09  2016,3.38,3.46,3.55,3.35,839.20K,-5.85%
Feb 08  2016,3.59,3.76,3.94,3.53,492.84K,-7.24%
Feb 05  2016,3.87,4.00,4.00,3.82,328.03K,-1.78%
Feb 04  2016,3.94,3.98,4.05,3.78,543.23K,0.51%
Feb 03  2016,3.92,3.77,3.93,3.58,580.83K,5.09%
Feb 02  2016,3.73,3.66,3.73,3.57,455.46K,-2.36%
Feb 01  2016,3.82,4.07,4.10,3.75,564.99K,-2.30%
Jan 29  2016,3.91,3.90,3.95,3.75,467.58K,1.03%
Jan 28  2016,3.87,3.95,3.95,3.73,1.12M,3.75%
Jan 27  2016,3.73,3.57,3.90,3.56,645.29K,3.04%
Jan 26  2016,3.62,3.52,3.66,3.40,601.81K,6.16%
Jan 25  2016,3.41,3.65,3.73,3.35,581.50K,-9.31%
Jan 22  2016,3.76,3.72,3.93,3.69,1.64M,4.16%
Jan 21  2016,3.61,3.38,3.73,3.38,945.67K,4.64%
Jan 20  2016,3.45,3.30,3.48,3.18,1.02M,2.68%
Jan 19  2016,3.36,3.38,3.48,3.31,853.90K,0.90%
Jan 18  2016,3.33,3.19,3.41,3.19,356.24K,-1.48%
Jan 15  2016,3.38,3.44,3.49,3.26,1.32M,-4.79%
Jan 14  2016,3.55,3.48,3.56,3.39,1.51M,3.20%
Jan 13  2016,3.44,3.51,3.69,3.38,767.27K,-0.29%
Jan 12  2016,3.45,3.59,3.62,3.38,888.54K,-0.86%
Jan 11  2016,3.48,3.59,3.59,3.41,449.21K,-2.79%
Jan 08  2016,3.58,3.69,3.77,3.52,776.23K,-2.19%
Jan 07  2016,3.66,3.71,3.86,3.61,1.41M,-3.68%
Jan 06  2016,3.80,3.77,3.84,3.72,502.76K,-1.55%
Jan 05  2016,3.86,3.76,3.89,3.76,344.20K,1.31%
Jan 04  2016,3.81,3.87,3.94,3.70,851.19K,-1.80%
