Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,99.77,98.97,99.90,98.97,826.65K,1.14%
Apr 18  2016,98.65,98.00,98.78,97.86,839.93K,0.15%
Apr 15  2016,98.50,98.32,98.75,97.83,645.44K,-0.12%
Apr 14  2016,98.62,98.15,98.75,98.05,909.58K,0.56%
Apr 13  2016,98.07,97.87,98.44,97.83,1.10M,0.96%
Apr 12  2016,97.14,96.61,97.77,96.17,1.27M,0.87%
Apr 11  2016,96.30,96.54,97.18,96.25,748.57K,0.03%
Apr 08  2016,96.27,95.64,96.79,95.62,1.13M,1.21%
Apr 07  2016,95.12,95.64,96.06,94.71,881.36K,-1.08%
Apr 06  2016,96.16,96.60,96.68,95.15,1.40M,-0.38%
Apr 05  2016,96.53,96.46,96.75,95.81,837.76K,-0.35%
Apr 04  2016,96.87,97.59,97.77,96.31,899.82K,-0.71%
Apr 01  2016,97.56,96.12,97.66,95.95,858.46K,0.56%
Mar 31  2016,97.02,97.43,97.87,96.66,1.18M,-0.80%
Mar 30  2016,97.80,97.70,98.18,97.55,866.18K,0.51%
Mar 29  2016,97.30,96.00,97.34,95.58,1.60M,0.88%
Mar 28  2016,96.45,95.98,96.72,95.57,1.14M,0.65%
Mar 24  2016,95.83,95.95,95.96,94.51,1.52M,-0.74%
Mar 23  2016,96.54,97.51,97.56,96.10,991.32K,-1.68%
Mar 22  2016,98.19,98.22,98.74,97.96,1.29M,-0.27%
Mar 21  2016,98.46,98.62,99.21,97.93,1.23M,-0.10%
Mar 18  2016,98.56,98.60,99.29,98.03,3.46M,-0.42%
Mar 17  2016,98.98,97.39,99.40,97.04,1.66M,1.92%
Mar 16  2016,97.12,97.55,98.25,96.83,1.54M,-0.40%
Mar 15  2016,97.51,96.80,97.55,96.62,784.71K,0.29%
Mar 14  2016,97.23,96.90,97.55,96.88,890.40K,0.25%
Mar 11  2016,96.99,96.50,97.38,96.05,1.24M,1.37%
Mar 10  2016,95.68,96.20,96.59,95.01,929.79K,0.03%
Mar 09  2016,95.65,95.48,96.27,95.32,1.12M,0.49%
Mar 08  2016,95.18,93.77,95.46,93.52,1.69M,1.22%
Mar 07  2016,94.03,92.56,94.30,92.38,991.95K,1.37%
Mar 04  2016,92.76,92.90,93.25,92.20,1.03M,0.08%
Mar 03  2016,92.69,92.45,93.48,92.03,1.04M,0.52%
Mar 02  2016,92.21,91.24,92.55,90.21,1.17M,0.79%
Mar 01  2016,91.49,90.33,91.66,90.31,1.59M,1.71%
Feb 29  2016,89.95,90.14,90.28,89.03,1.46M,-0.03%
Feb 26  2016,89.98,90.49,90.88,89.42,1.09M,0.36%
Feb 25  2016,89.66,88.75,90.33,88.50,1.45M,2.53%
Feb 24  2016,87.45,88.01,88.29,85.05,1.92M,-1.96%
Feb 23  2016,89.20,89.41,90.67,88.65,1.13M,-0.76%
Feb 22  2016,89.88,91.29,91.62,89.73,1.16M,-0.69%
Feb 19  2016,90.50,90.17,90.79,89.43,1.05M,-0.64%
Feb 18  2016,91.08,91.29,91.40,90.15,868.73K,0.20%
Feb 17  2016,90.90,89.88,90.96,89.63,1.44M,2.12%
Feb 16  2016,89.01,88.25,89.10,87.07,1.42M,2.24%
Feb 12  2016,87.06,84.37,87.17,84.30,1.38M,4.48%
Feb 11  2016,83.33,83.90,83.90,82.63,1.60M,-1.61%
Feb 10  2016,84.69,87.05,87.76,84.50,1.37M,-1.72%
Feb 09  2016,86.17,87.28,87.44,85.07,1.58M,-2.54%
Feb 08  2016,88.42,88.60,88.98,87.98,1.33M,-1.28%
Feb 05  2016,89.57,89.85,90.34,89.30,880.32K,-0.29%
Feb 04  2016,89.83,89.20,90.06,88.89,1.15M,0.86%
Feb 03  2016,89.06,89.76,89.80,87.87,1.35M,-0.02%
Feb 02  2016,89.08,89.59,89.59,88.20,1.00M,-1.44%
Feb 01  2016,90.38,90.57,90.75,89.38,914.96K,-0.94%
Jan 29  2016,91.24,90.75,91.24,88.98,2.10M,1.13%
Jan 28  2016,90.22,88.37,90.47,88.07,1.98M,2.90%
