Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,81.42,81.62,81.62,80.65,979.03K,0.20%
Apr 18  2016,81.26,81.02,81.81,80.83,589.60K,0.10%
Apr 15  2016,81.18,82.21,82.59,81.13,928.65K,-1.44%
Apr 14  2016,82.37,81.68,82.46,81.15,1.07M,1.18%
Apr 13  2016,81.41,80.40,81.68,80.00,1.00M,1.85%
Apr 12  2016,79.93,79.95,80.51,79.70,1.33M,0.13%
Apr 11  2016,79.83,80.46,81.62,79.71,1.20M,-1.00%
Apr 08  2016,80.64,80.59,81.39,80.21,1.05M,0.61%
Apr 07  2016,80.15,80.00,80.31,79.50,1.04M,-0.50%
Apr 06  2016,80.55,80.66,80.99,79.59,1.29M,-0.14%
Apr 05  2016,80.66,80.02,81.20,80.01,821.78K,-0.02%
Apr 04  2016,80.68,80.97,81.57,80.44,662.95K,-0.54%
Apr 01  2016,81.12,80.90,81.36,80.04,1.15M,-0.05%
Mar 31  2016,81.16,80.86,82.01,80.66,1.34M,-0.14%
Mar 30  2016,81.27,80.60,81.93,80.60,1.14M,0.82%
Mar 29  2016,80.61,80.00,80.75,79.63,947.76K,0.36%
Mar 28  2016,80.32,80.33,80.39,79.26,1.11M,-0.17%
Mar 24  2016,80.46,79.81,80.58,79.43,942.25K,0.98%
Mar 23  2016,79.68,80.56,80.56,79.56,998.24K,0.15%
Mar 22  2016,79.56,80.80,80.95,79.56,1.22M,-2.40%
Mar 21  2016,81.52,80.85,81.95,80.85,804.58K,0.84%
Mar 18  2016,80.84,81.29,82.04,80.84,4.42M,-1.21%
Mar 17  2016,81.83,80.13,81.96,79.47,1.27M,2.35%
Mar 16  2016,79.95,80.83,81.40,79.95,1.29M,-1.09%
Mar 15  2016,80.83,79.51,80.85,79.37,1.27M,1.10%
Mar 14  2016,79.95,79.42,80.50,79.30,951.54K,0.09%
Mar 11  2016,79.88,79.18,80.40,78.90,879.66K,1.50%
Mar 10  2016,78.70,80.60,81.08,78.15,1.04M,-1.60%
Mar 09  2016,79.98,80.23,80.53,79.63,1.12M,0.19%
Mar 08  2016,79.83,79.30,80.27,79.30,1.26M,0.10%
Mar 07  2016,79.75,78.43,80.21,78.32,1.41M,1.18%
Mar 04  2016,78.82,77.50,79.06,77.50,853.16K,1.64%
Mar 03  2016,77.55,78.22,78.22,77.38,1.19M,-0.13%
Mar 02  2016,77.65,78.82,79.70,77.33,1.28M,-1.94%
Mar 01  2016,79.19,79.00,79.98,78.82,979.06K,0.75%
Feb 29  2016,78.60,78.90,79.58,78.08,1.33M,-0.44%
Feb 26  2016,78.95,78.96,79.95,78.90,731.34K,0.30%
Feb 25  2016,78.71,79.00,79.27,77.90,1.01M,-0.20%
Feb 24  2016,78.87,77.92,79.17,76.47,1.40M,0.45%
Feb 23  2016,78.52,79.51,79.78,78.26,943.15K,-0.37%
Feb 22  2016,78.81,78.83,79.88,78.52,1.48M,0.42%
Feb 19  2016,78.48,78.00,78.67,77.74,1.13M,-0.04%
Feb 18  2016,78.51,78.31,78.70,77.62,1.04M,0.38%
Feb 17  2016,78.21,77.30,78.47,76.95,1.48M,1.40%
Feb 16  2016,77.13,77.25,77.43,75.87,1.41M,0.77%
Feb 12  2016,76.54,76.12,77.25,75.93,1.35M,0.51%
Feb 11  2016,76.15,73.27,76.32,73.26,1.91M,0.55%
Feb 10  2016,75.73,76.27,77.41,75.38,1.30M,-1.15%
Feb 09  2016,76.61,74.54,76.61,73.95,1.97M,1.94%
Feb 08  2016,75.15,73.50,75.34,73.01,1.24M,1.25%
Feb 05  2016,74.22,75.87,75.88,73.63,1.37M,-1.98%
Feb 04  2016,75.72,73.37,76.32,73.17,1.22M,3.10%
Feb 03  2016,73.44,73.58,73.84,72.07,1.10M,0.62%
Feb 02  2016,72.99,73.59,74.43,72.60,1.45M,-1.96%
Feb 01  2016,74.45,74.98,74.98,73.20,1.34M,-1.97%
Jan 29  2016,75.95,74.61,75.95,74.07,1.80M,2.40%
Jan 28  2016,74.17,72.34,74.42,71.84,1.34M,3.39%
Jan 27  2016,71.74,73.50,73.50,71.02,2.26M,0.63%
