Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,38.08,37.77,38.28,37.13,3.58M,1.36%
Apr 18  2016,37.57,35.45,37.79,35.30,3.55M,2.43%
Apr 15  2016,36.68,36.65,37.05,36.44,1.74M,-2.24%
Apr 14  2016,37.52,37.70,37.81,36.97,5.54M,-0.03%
Apr 13  2016,37.53,37.69,38.13,37.15,3.03M,0.08%
Apr 12  2016,37.50,35.96,38.05,35.80,3.61M,5.28%
Apr 11  2016,35.62,36.15,36.60,35.60,1.86M,-0.97%
Apr 08  2016,35.97,35.25,36.10,35.19,3.90M,4.66%
Apr 07  2016,34.37,34.62,34.81,33.79,1.98M,-1.80%
Apr 06  2016,35.00,33.75,35.03,33.52,2.83M,4.95%
Apr 05  2016,33.35,33.38,33.70,33.11,2.41M,-0.36%
Apr 04  2016,33.47,33.53,33.91,33.11,2.39M,-0.39%
Apr 01  2016,33.60,34.33,34.33,33.52,3.54M,-4.36%
Mar 31  2016,35.13,34.48,35.30,34.48,2.09M,1.36%
Mar 30  2016,34.66,35.47,35.58,34.60,1.81M,-0.72%
Mar 29  2016,34.91,34.38,35.07,33.90,2.22M,-0.60%
Mar 28  2016,35.12,35.22,35.22,34.34,1.54M,-0.28%
Mar 24  2016,35.22,34.01,35.77,33.77,3.28M,1.29%
Mar 23  2016,34.77,36.00,36.00,34.57,2.84M,-3.50%
Mar 22  2016,36.03,35.37,36.55,35.16,2.33M,1.24%
Mar 21  2016,35.59,35.68,36.29,35.54,1.92M,-0.50%
Mar 18  2016,35.77,36.47,36.81,35.49,6.31M,-1.89%
Mar 17  2016,36.46,36.68,36.99,36.38,3.51M,0.66%
Mar 16  2016,36.22,35.60,36.35,35.42,3.45M,2.26%
Mar 15  2016,35.42,35.54,35.88,34.72,4.08M,-1.88%
Mar 14  2016,36.10,35.45,36.36,35.30,3.26M,-0.03%
Mar 11  2016,36.11,35.50,36.58,35.48,4.45M,2.50%
Mar 10  2016,35.23,34.48,35.50,34.33,5.00M,1.06%
Mar 09  2016,34.86,34.00,35.27,33.67,4.64M,3.87%
Mar 08  2016,33.56,34.07,34.47,33.40,3.84M,-3.26%
Mar 07  2016,34.69,34.16,34.84,34.16,4.93M,0.84%
Mar 04  2016,34.40,33.30,34.54,33.25,8.07M,4.72%
Mar 03  2016,32.85,31.10,33.05,31.10,7.44M,8.88%
Mar 02  2016,30.17,28.55,30.18,28.38,4.00M,4.79%
Mar 01  2016,28.79,28.69,28.94,28.41,3.25M,1.80%
Feb 29  2016,28.28,27.82,28.47,27.63,3.96M,3.25%
Feb 26  2016,27.39,27.44,28.43,27.03,3.17M,2.32%
Feb 25  2016,26.77,27.25,27.69,26.25,3.63M,-2.05%
Feb 24  2016,27.33,26.88,27.49,26.38,3.13M,-0.80%
Feb 23  2016,27.55,28.49,28.98,27.51,2.49M,-4.47%
Feb 22  2016,28.84,29.00,29.20,28.52,3.20M,2.67%
Feb 19  2016,28.09,28.29,28.44,27.85,3.89M,-3.50%
Feb 18  2016,29.11,30.32,30.50,28.46,4.11M,-2.32%
Feb 17  2016,29.80,28.44,29.95,28.24,3.65M,7.00%
Feb 16  2016,27.85,28.22,28.49,27.42,5.46M,0.36%
Feb 12  2016,27.75,27.43,28.36,27.03,5.55M,4.40%
Feb 11  2016,26.58,26.51,27.08,25.68,6.16M,-2.85%
Feb 10  2016,27.36,27.64,28.01,27.30,4.53M,-2.70%
Feb 09  2016,28.12,28.54,29.00,27.64,5.48M,-3.76%
Feb 08  2016,29.22,29.51,30.02,28.66,3.94M,-3.28%
Feb 05  2016,30.21,30.03,30.55,29.34,3.62M,-0.30%
Feb 04  2016,30.30,30.17,30.75,29.62,4.51M,1.20%
Feb 03  2016,29.94,28.25,30.03,27.43,4.61M,7.89%
Feb 02  2016,27.75,28.00,28.57,27.67,4.00M,-4.64%
Feb 01  2016,29.10,29.24,29.25,28.54,3.36M,-2.97%
Jan 29  2016,29.99,29.49,29.99,29.00,5.60M,2.78%
Jan 28  2016,29.18,29.73,30.00,28.35,6.38M,5.42%
Jan 27  2016,27.68,26.20,28.00,25.92,5.57M,4.77%
Jan 26  2016,26.42,25.20,26.50,25.02,3.50M,6.10%
Jan 25  2016,24.90,25.42,25.83,24.87,3.89M,-4.45%
Jan 22  2016,26.06,26.00,26.79,25.61,5.31M,5.00%
Jan 21  2016,24.82,22.75,25.02,22.59,4.68M,8.38%
Jan 20  2016,22.90,22.20,22.99,21.27,6.71M,-0.09%
Jan 19  2016,22.92,24.32,24.51,22.59,5.75M,-4.18%
Jan 18  2016,23.92,24.01,24.29,23.55,1.40M,-2.13%
Jan 15  2016,24.44,24.37,24.87,23.42,7.77M,-5.64%
Jan 14  2016,25.90,24.83,26.04,24.45,4.32M,4.77%
Jan 13  2016,24.72,25.44,25.61,24.20,5.93M,-1.12%
Jan 12  2016,25.00,25.96,26.04,24.40,6.17M,-3.14%
Jan 11  2016,25.81,27.12,27.12,25.49,5.04M,-5.46%
Jan 08  2016,27.30,27.72,27.85,26.79,3.37M,-0.84%
Jan 07  2016,27.53,28.62,28.83,27.45,3.82M,-6.20%
