Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,189.95,187.45,189.95,186.77,382.09K,1.86%
Apr 18  2016,186.49,187.44,188.86,185.79,211.66K,-0.62%
Apr 15  2016,187.65,189.84,190.29,187.47,347.86K,-1.23%
Apr 14  2016,189.98,191.62,192.10,189.00,376.49K,-0.95%
Apr 13  2016,191.81,186.98,193.88,186.73,668.19K,4.28%
Apr 12  2016,183.94,179.91,185.72,179.91,519.25K,2.24%
Apr 11  2016,179.91,176.01,182.00,176.01,525.50K,2.62%
Apr 08  2016,175.31,172.01,175.35,171.49,335.49K,2.47%
Apr 07  2016,171.08,169.76,171.78,168.50,273.97K,0.49%
Apr 06  2016,170.25,172.11,172.59,169.55,314.57K,-1.01%
Apr 05  2016,171.98,170.77,173.50,170.03,186.25K,0.04%
Apr 04  2016,171.91,172.00,173.95,171.22,291.07K,0.11%
Apr 01  2016,171.72,172.97,172.97,168.50,357.65K,-0.48%
Mar 31  2016,172.55,173.10,173.84,170.89,393.24K,-0.69%
Mar 30  2016,173.75,172.80,175.98,172.34,276.56K,1.42%
Mar 29  2016,171.31,168.17,171.92,166.70,241.80K,1.25%
Mar 28  2016,169.20,171.54,171.88,166.85,254.19K,-1.14%
Mar 24  2016,171.15,171.14,171.76,168.49,171.62K,0.37%
Mar 23  2016,170.52,172.92,172.92,170.30,239.66K,0.15%
Mar 22  2016,170.26,174.95,175.04,170.25,328.41K,-3.50%
Mar 21  2016,176.43,174.53,177.45,174.42,348.64K,1.15%
Mar 18  2016,174.42,171.49,174.74,170.52,753.42K,3.10%
Mar 17  2016,169.17,167.10,170.50,164.50,472.34K,1.30%
Mar 16  2016,167.00,171.79,171.79,166.51,480.33K,-1.70%
Mar 15  2016,169.88,174.88,174.88,169.20,524.20K,-2.99%
Mar 14  2016,175.12,174.00,176.81,173.13,314.98K,0.23%
Mar 11  2016,174.71,169.39,174.98,168.55,305.04K,4.11%
Mar 10  2016,167.82,172.03,174.24,166.17,317.40K,-1.81%
Mar 09  2016,170.92,170.08,171.75,167.09,268.96K,1.41%
Mar 08  2016,168.55,173.98,175.85,168.37,629.17K,-3.61%
Mar 07  2016,174.86,166.57,175.07,166.56,430.53K,4.72%
Mar 04  2016,166.98,163.43,168.92,163.33,338.88K,2.21%
Mar 03  2016,163.37,162.39,164.32,160.65,343.48K,1.23%
Mar 02  2016,161.39,165.87,166.30,161.07,420.93K,-2.32%
Mar 01  2016,165.22,165.31,168.77,163.32,489.88K,0.20%
Feb 29  2016,164.89,163.03,166.10,162.42,802.30K,1.15%
Feb 26  2016,163.02,164.91,167.50,162.47,474.17K,0.02%
Feb 25  2016,162.98,166.04,166.06,161.58,327.79K,-1.10%
Feb 24  2016,164.79,166.94,166.94,162.11,593.19K,-2.10%
Feb 23  2016,168.33,173.41,174.80,167.68,662.84K,-3.51%
Feb 22  2016,174.46,175.06,177.11,174.35,418.62K,0.62%
Feb 19  2016,173.39,172.23,175.55,171.44,241.38K,-0.56%
Feb 18  2016,174.36,178.39,178.74,171.81,315.37K,-1.86%
Feb 17  2016,177.67,175.00,178.83,173.84,333.34K,2.12%
Feb 16  2016,173.98,172.82,174.25,168.86,320.54K,1.32%
Feb 12  2016,171.71,170.00,173.12,168.10,324.51K,1.70%
Feb 11  2016,168.84,167.52,170.21,163.91,936.35K,-2.80%
Feb 10  2016,173.70,171.28,174.81,171.28,945.77K,0.67%
Feb 09  2016,172.54,165.04,174.60,165.03,856.29K,1.83%
Feb 08  2016,169.44,165.58,170.13,164.06,557.65K,0.52%
Feb 05  2016,168.56,167.93,169.32,165.64,463.62K,-0.73%
Feb 04  2016,169.80,159.35,172.72,158.61,634.79K,6.77%
Feb 03  2016,159.03,161.00,161.00,155.27,464.36K,-0.01%
Feb 02  2016,159.04,163.64,163.64,157.03,435.02K,-4.65%
Feb 01  2016,166.80,164.52,167.36,161.61,264.33K,-0.95%
Jan 29  2016,168.40,169.80,171.43,167.56,484.30K,-0.44%
Jan 28  2016,169.14,163.89,170.25,163.50,611.43K,4.04%
Jan 27  2016,162.57,164.24,165.39,160.79,646.32K,-0.63%
Jan 26  2016,163.60,163.16,164.70,161.11,537.87K,0.75%
Jan 25  2016,162.39,165.48,165.59,162.06,270.83K,-2.02%
Jan 22  2016,165.74,155.24,167.20,153.77,1.24M,10.61%
