Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,45.00,44.67,45.22,44.67,114.31K,1.01%
Apr 18  2016,44.55,44.38,44.81,44.35,61.88K,0.41%
Apr 15  2016,44.37,44.18,44.70,44.14,95.11K,0.27%
Apr 14  2016,44.25,44.25,44.38,43.92,75.19K,0.00%
Apr 13  2016,44.25,44.51,44.67,44.23,68.50K,-0.18%
Apr 12  2016,44.33,44.44,44.63,44.07,79.67K,-0.20%
Apr 11  2016,44.42,44.48,44.80,44.27,152.45K,0.18%
Apr 08  2016,44.34,44.22,44.50,44.00,73.09K,0.75%
Apr 07  2016,44.01,44.33,44.60,43.94,103.98K,-0.74%
Apr 06  2016,44.34,44.66,44.88,44.34,84.26K,-0.78%
Apr 05  2016,44.69,44.95,45.29,44.69,125.63K,-1.30%
Apr 04  2016,45.28,45.01,45.39,44.97,56.53K,0.64%
Apr 01  2016,44.99,44.50,45.36,44.50,70.80K,-0.18%
Mar 31  2016,45.07,44.93,45.20,44.75,79.82K,0.42%
Mar 30  2016,44.88,44.81,45.00,44.65,40.27K,0.54%
Mar 29  2016,44.64,44.34,44.97,44.34,69.99K,0.27%
Mar 28  2016,44.52,44.25,44.52,44.00,44.47K,0.61%
Mar 24  2016,44.25,44.62,44.94,44.02,66.80K,-1.23%
Mar 23  2016,44.80,44.82,45.13,44.56,81.76K,0.02%
Mar 22  2016,44.79,44.99,45.37,44.66,131.49K,-0.78%
Mar 21  2016,45.14,44.45,45.15,44.38,115.92K,1.64%
Mar 18  2016,44.41,44.98,45.13,44.41,324.71K,-1.05%
Mar 17  2016,44.88,44.30,45.17,44.26,167.32K,1.42%
Mar 16  2016,44.25,43.50,44.39,43.47,135.70K,1.77%
Mar 15  2016,43.48,43.23,43.57,43.00,188.35K,0.30%
Mar 14  2016,43.35,43.65,43.70,43.00,133.43K,-0.23%
Mar 11  2016,43.45,43.50,43.51,43.12,158.46K,0.35%
Mar 10  2016,43.30,43.25,43.60,43.12,76.90K,0.09%
Mar 09  2016,43.26,43.54,43.63,43.15,71.38K,-0.30%
Mar 08  2016,43.39,43.55,43.62,43.16,60.95K,-0.60%
Mar 07  2016,43.65,43.49,43.66,43.17,95.63K,0.32%
Mar 04  2016,43.51,42.90,43.54,42.87,97.15K,1.33%
Mar 03  2016,42.94,42.92,43.02,42.51,78.11K,-0.14%
Mar 02  2016,43.00,42.70,43.32,42.70,97.33K,0.61%
Mar 01  2016,42.74,41.58,42.82,41.58,120.54K,2.89%
Feb 29  2016,41.54,41.88,42.26,41.49,109.01K,-0.81%
Feb 26  2016,41.88,41.51,42.19,41.50,164.59K,1.04%
Feb 25  2016,41.45,41.32,42.02,41.21,100.36K,-0.14%
Feb 24  2016,41.51,41.10,41.59,41.00,53.02K,0.78%
Feb 23  2016,41.19,41.31,41.39,40.70,56.25K,-0.24%
Feb 22  2016,41.29,41.20,41.58,41.11,82.22K,0.46%
Feb 19  2016,41.10,41.01,41.31,40.64,144.15K,-0.12%
Feb 18  2016,41.15,40.12,41.31,40.12,133.49K,2.70%
Feb 17  2016,40.07,39.99,40.22,39.67,153.39K,0.43%
Feb 16  2016,39.90,39.80,40.05,39.67,63.21K,0.88%
Feb 12  2016,39.55,39.30,39.99,39.29,90.52K,0.79%
Feb 11  2016,39.24,39.15,39.63,39.00,86.87K,-0.51%
Feb 10  2016,39.44,39.14,39.88,38.95,155.42K,0.84%
Feb 09  2016,39.11,39.58,39.59,38.65,179.09K,-1.36%
Feb 08  2016,39.65,40.85,40.91,39.52,112.04K,-2.77%
Feb 05  2016,40.78,41.10,41.12,40.75,78.40K,-0.61%
Feb 04  2016,41.03,40.96,41.30,40.88,53.89K,0.17%
Feb 03  2016,40.96,41.14,41.28,40.57,146.88K,-0.32%
Feb 02  2016,41.09,40.38,41.09,40.13,104.44K,1.46%
Feb 01  2016,40.50,40.96,41.10,40.47,215.94K,-1.34%
Jan 29  2016,41.05,40.86,41.25,40.77,220.27K,0.84%
Jan 28  2016,40.71,40.50,40.92,39.97,106.30K,1.07%
Jan 27  2016,40.28,40.08,40.45,39.86,104.17K,0.17%
Jan 26  2016,40.21,40.00,40.35,39.74,94.03K,0.58%
Jan 25  2016,39.98,40.14,40.43,39.87,146.30K,-0.30%
Jan 22  2016,40.10,39.60,40.41,39.60,176.92K,1.29%
Jan 21  2016,39.59,39.37,39.72,38.97,131.48K,0.48%
Jan 20  2016,39.40,39.47,39.69,38.50,118.92K,-0.58%
Jan 19  2016,39.63,39.62,39.84,39.38,152.55K,0.69%
Jan 18  2016,39.36,40.24,40.24,39.17,61.19K,-1.16%
Jan 15  2016,39.82,38.51,39.89,38.51,143.03K,-0.15%
Jan 14  2016,39.88,40.00,40.17,39.42,159.63K,-0.23%
Jan 13  2016,39.97,40.47,40.63,39.90,164.79K,-1.06%
Jan 12  2016,40.40,40.77,40.80,39.67,315.01K,-0.64%
Jan 11  2016,40.66,40.79,40.99,40.10,122.69K,-0.07%
Jan 08  2016,40.69,40.89,41.18,40.50,128.60K,-0.07%
Jan 07  2016,40.72,41.06,41.23,40.60,112.28K,-1.83%
Jan 06  2016,41.48,41.39,42.00,41.14,138.17K,-1.12%
Jan 05  2016,41.95,41.84,42.36,41.70,201.95K,0.24%
Jan 04  2016,41.85,41.70,42.04,41.50,136.98K,-0.50%
Dec 31  2015,42.06,42.61,42.66,41.79,94.25K,-1.31%
Dec 30  2015,42.62,43.23,43.33,42.55,72.40K,-1.68%
Dec 29  2015,43.35,42.57,43.46,42.53,137.98K,1.81%
Dec 24  2015,42.58,42.42,42.60,42.16,26.59K,0.52%
Dec 23  2015,42.36,42.53,42.75,42.29,81.33K,0.00%
Dec 22  2015,42.36,42.69,42.69,42.21,115.19K,-0.28%
Dec 21  2015,42.48,42.16,42.53,41.76,118.72K,1.19%
Dec 18  2015,41.98,41.65,42.30,41.25,253.49K,0.50%
Dec 17  2015,41.77,41.68,41.96,41.33,232.87K,0.43%
Dec 16  2015,41.59,41.01,41.70,40.75,118.79K,1.86%
Dec 15  2015,40.83,40.15,41.25,40.10,125.64K,2.02%
Dec 14  2015,40.02,40.13,40.39,39.35,97.05K,-0.40%
Dec 11  2015,40.18,40.14,40.58,40.05,100.53K,-0.30%
Dec 10  2015,40.30,40.24,40.77,40.00,165.27K,-0.20%
Dec 09  2015,40.38,40.74,40.83,40.05,121.60K,-1.13%
Dec 08  2015,40.84,40.87,41.10,40.26,127.65K,-0.56%
Dec 07  2015,41.07,41.39,41.41,40.87,112.33K,-1.13%
Dec 04  2015,41.54,41.70,41.79,41.13,220.30K,-0.17%
Dec 03  2015,41.61,41.79,41.87,41.32,120.77K,-0.31%
Dec 02  2015,41.74,41.91,41.93,41.33,139.12K,-0.62%
Dec 01  2015,42.00,42.20,42.25,41.83,165.45K,-0.54%
Nov 30  2015,42.23,42.25,42.56,42.01,76.46K,-0.02%
Nov 27  2015,42.24,41.93,42.35,41.61,92.20K,1.00%
Nov 26  2015,41.82,42.25,42.25,41.66,21.64K,-0.76%
Nov 25  2015,42.14,42.42,42.65,42.00,74.82K,-0.59%
Nov 24  2015,42.39,42.25,42.46,41.92,67.26K,0.31%
Nov 23  2015,42.26,42.35,42.46,42.14,55.44K,-0.35%
Nov 20  2015,42.41,42.06,42.55,41.91,50.60K,1.12%
Nov 19  2015,41.94,41.81,42.07,41.51,125.23K,0.48%
Nov 18  2015,41.74,41.85,42.44,41.56,73.24K,-0.24%
Nov 17  2015,41.84,41.73,42.30,41.60,87.37K,0.34%
Nov 16  2015,41.70,41.32,41.75,41.32,237.23K,0.72%
Nov 13  2015,41.40,41.31,41.70,41.25,72.86K,0.00%
Nov 12  2015,41.40,41.07,41.61,40.70,148.61K,0.80%
Nov 11  2015,41.07,41.63,41.74,40.87,222.05K,-1.06%
Nov 10  2015,41.51,42.03,42.29,41.46,107.86K,-1.57%
Nov 09  2015,42.17,42.15,42.55,41.95,234.53K,0.14%
Nov 06  2015,42.11,42.92,42.92,41.86,386.64K,-2.41%
Nov 05  2015,43.15,43.01,43.29,42.70,119.34K,0.26%
Nov 04  2015,43.04,42.80,43.05,42.29,140.88K,0.58%
Nov 03  2015,42.79,42.89,43.03,42.53,101.32K,-0.26%
Nov 02  2015,42.90,42.56,42.96,42.36,85.40K,0.73%
Oct 30  2015,42.59,43.26,43.38,42.46,109.82K,-1.39%
Oct 29  2015,43.19,42.90,43.34,42.74,114.13K,0.54%
Oct 28  2015,42.96,42.88,43.06,42.68,143.97K,0.09%
Oct 27  2015,42.92,43.25,43.63,42.81,90.64K,-0.99%
Oct 26  2015,43.35,43.50,43.98,43.34,69.91K,-0.62%
Oct 23  2015,43.62,44.07,44.14,43.58,276.00K,-0.66%
Oct 22  2015,43.91,43.76,44.25,43.34,293.60K,0.64%
Oct 21  2015,43.63,43.61,43.79,43.32,634.44K,0.07%
Oct 20  2015,43.60,43.28,43.80,43.26,133.62K,0.74%
Oct 19  2015,43.28,43.08,43.32,42.54,112.40K,0.74%
Oct 16  2015,42.96,42.91,43.03,42.71,94.01K,0.40%
Oct 15  2015,42.79,42.42,42.85,42.21,125.49K,0.92%
Oct 14  2015,42.40,42.20,42.42,41.84,127.52K,0.52%
Oct 13  2015,42.18,42.15,42.52,41.63,196.19K,0.74%
Oct 09  2015,41.87,41.76,42.33,41.73,120.22K,0.31%
