Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,134.40,132.65,134.60,132.43,274.14K,1.42%
Apr 18  2016,132.52,132.52,133.20,132.06,146.60K,-0.08%
Apr 15  2016,132.63,132.43,132.98,132.20,128.85K,0.17%
Apr 14  2016,132.41,134.22,134.56,132.07,212.52K,-1.60%
Apr 13  2016,134.56,135.00,135.88,134.02,136.50K,0.10%
Apr 12  2016,134.42,133.15,134.62,133.00,210.46K,0.78%
Apr 11  2016,133.38,133.21,133.75,132.63,116.92K,0.57%
Apr 08  2016,132.63,133.35,133.44,132.05,144.58K,-0.30%
Apr 07  2016,133.03,133.25,133.55,132.25,164.83K,-0.92%
Apr 06  2016,134.26,134.35,134.47,133.12,145.66K,-0.16%
Apr 05  2016,134.47,133.73,135.31,133.01,128.34K,-0.12%
Apr 04  2016,134.63,135.76,136.03,134.15,133.11K,-0.49%
Apr 01  2016,135.29,135.02,135.34,133.65,169.62K,0.07%
Mar 31  2016,135.19,133.74,137.00,133.74,244.06K,0.84%
Mar 30  2016,134.06,134.98,135.39,133.80,158.08K,-0.23%
Mar 29  2016,134.37,132.42,134.59,131.68,122.33K,1.06%
Mar 28  2016,132.96,132.00,133.74,131.78,119.11K,0.57%
Mar 24  2016,132.21,133.54,133.54,131.41,131.67K,-1.19%
Mar 23  2016,133.80,130.90,134.17,130.03,180.63K,2.32%
Mar 22  2016,130.76,132.14,132.98,130.50,213.57K,-1.60%
Mar 21  2016,132.88,132.74,134.15,132.06,177.38K,0.02%
Mar 18  2016,132.85,134.75,135.00,132.84,619.18K,-2.01%
Mar 17  2016,135.57,134.17,135.72,133.52,245.71K,0.76%
Mar 16  2016,134.55,134.39,135.83,133.68,206.59K,-0.80%
Mar 15  2016,135.64,134.23,135.71,133.40,212.27K,0.67%
Mar 14  2016,134.74,134.75,135.90,133.31,222.71K,-0.52%
Mar 11  2016,135.45,133.90,135.49,131.75,259.01K,2.23%
Mar 10  2016,132.50,135.93,136.12,132.11,208.73K,-2.67%
Mar 09  2016,136.13,133.00,136.46,132.28,242.18K,2.91%
Mar 08  2016,132.28,132.37,133.03,131.77,167.49K,-0.10%
Mar 07  2016,132.41,131.25,133.00,131.02,225.20K,0.55%
Mar 04  2016,131.69,131.48,133.07,130.51,212.43K,-0.10%
Mar 03  2016,131.82,132.31,133.56,130.50,278.32K,-1.06%
Mar 02  2016,133.23,134.72,134.72,131.19,233.16K,-1.31%
Mar 01  2016,135.00,131.02,135.66,131.02,283.87K,2.63%
Feb 29  2016,131.54,129.41,132.45,128.72,316.73K,1.65%
Feb 26  2016,129.41,128.80,130.35,128.39,295.14K,0.44%
Feb 25  2016,128.84,129.63,129.80,128.26,518.53K,-0.12%
Feb 24  2016,129.00,130.94,130.94,128.30,279.01K,-1.80%
Feb 23  2016,131.37,130.46,131.65,129.37,255.40K,0.34%
Feb 22  2016,130.92,130.29,131.86,129.40,280.41K,0.84%
Feb 19  2016,129.83,124.76,130.36,124.76,526.58K,3.34%
Feb 18  2016,125.63,120.37,126.12,120.37,472.97K,7.79%
Feb 17  2016,116.55,115.75,118.31,114.58,286.36K,2.11%
Feb 16  2016,114.14,113.47,115.43,112.38,139.25K,1.75%
Feb 12  2016,112.18,110.41,112.69,110.09,140.00K,2.14%
Feb 11  2016,109.83,110.55,111.67,108.24,270.76K,-3.69%
Feb 10  2016,114.04,114.69,115.44,113.44,135.30K,0.22%
Feb 09  2016,113.79,113.02,114.44,111.43,181.82K,-0.39%
Feb 08  2016,114.24,114.15,116.39,112.29,312.14K,-0.44%
Feb 05  2016,114.74,116.70,117.21,114.34,121.13K,-2.09%
Feb 04  2016,117.19,115.51,117.35,114.16,230.55K,1.39%
Feb 03  2016,115.58,114.32,115.65,112.87,327.49K,1.99%
Feb 02  2016,113.32,113.78,114.20,112.61,234.04K,-1.25%
Feb 01  2016,114.76,114.24,115.24,112.73,181.88K,0.53%
Jan 29  2016,114.15,111.99,114.49,111.53,324.34K,2.47%
Jan 28  2016,111.40,110.25,111.93,109.20,212.74K,2.15%
Jan 27  2016,109.06,107.26,109.92,107.05,236.19K,1.12%
Jan 26  2016,107.85,107.57,108.50,107.07,135.34K,0.17%
Jan 25  2016,107.67,109.13,109.37,107.18,152.43K,-1.22%
Jan 22  2016,109.00,111.47,112.68,108.65,290.02K,0.03%
Jan 21  2016,108.97,103.70,109.42,102.59,398.48K,5.11%
Jan 20  2016,103.67,106.21,106.44,101.53,371.87K,-3.46%
Jan 19  2016,107.38,105.45,107.95,104.60,238.89K,2.66%
Jan 18  2016,104.60,105.01,106.63,104.11,99.27K,-1.13%
Jan 15  2016,105.80,106.15,107.29,104.80,379.88K,-1.96%
Jan 14  2016,107.92,107.30,108.30,105.45,221.56K,0.86%
Jan 13  2016,107.00,107.56,108.62,106.55,293.20K,0.16%
Jan 12  2016,106.83,106.00,108.03,105.37,300.47K,1.40%
Jan 11  2016,105.35,108.68,109.49,104.37,530.35K,-4.11%
Jan 08  2016,109.86,110.07,111.32,108.50,348.47K,0.33%
Jan 07  2016,109.50,108.07,111.68,107.53,363.64K,-0.90%
Jan 06  2016,110.50,112.15,112.23,109.61,389.93K,-2.54%
Jan 05  2016,113.38,114.88,114.88,112.42,285.26K,-1.10%
Jan 04  2016,114.64,116.67,116.67,113.90,282.09K,-2.98%
Dec 31  2015,118.16,119.25,119.25,117.90,126.96K,-1.35%
Dec 30  2015,119.78,120.39,120.42,119.47,108.47K,-0.42%
Dec 29  2015,120.29,118.78,120.93,118.54,154.86K,1.22%
Dec 24  2015,118.84,119.16,119.28,117.91,78.40K,-0.08%
Dec 23  2015,118.93,119.11,119.29,118.10,142.10K,0.31%
Dec 22  2015,118.56,118.95,118.98,117.50,167.10K,-0.37%
Dec 21  2015,119.00,118.93,120.47,117.88,246.63K,0.57%
Dec 18  2015,118.32,118.49,119.28,117.53,597.75K,-0.68%
Dec 17  2015,119.13,121.68,121.71,118.89,248.78K,-1.79%
Dec 16  2015,121.30,121.50,121.89,120.76,271.67K,0.25%
Dec 15  2015,121.00,120.72,121.97,120.21,262.95K,0.93%
Dec 14  2015,119.88,121.00,121.70,118.70,333.52K,-0.59%
Dec 11  2015,120.59,121.37,121.89,120.10,311.53K,-1.32%
Dec 10  2015,122.20,122.19,123.80,121.69,233.15K,0.01%
Dec 09  2015,122.19,123.07,125.22,121.80,389.34K,-1.05%
Dec 08  2015,123.49,125.92,126.12,121.57,362.79K,-2.33%
Dec 07  2015,126.43,129.08,129.08,125.46,261.20K,-1.99%
Dec 04  2015,129.00,128.32,130.05,127.41,424.31K,0.53%
Dec 03  2015,128.32,127.39,128.84,126.18,459.20K,1.06%
Dec 02  2015,126.98,126.05,127.19,125.27,268.55K,0.91%
Dec 01  2015,125.84,125.12,127.45,124.60,247.19K,0.58%
Nov 30  2015,125.12,124.22,125.66,123.71,394.46K,0.72%
Nov 27  2015,124.22,124.43,124.92,123.70,118.84K,-0.23%
Nov 26  2015,124.51,124.84,125.42,124.32,51.07K,-0.14%
Nov 25  2015,124.69,123.99,125.42,123.60,279.10K,0.82%
Nov 24  2015,123.68,123.66,124.33,123.02,224.42K,-0.23%
Nov 23  2015,123.97,124.68,124.75,123.72,237.78K,-0.70%
Nov 20  2015,124.85,124.74,125.15,124.20,221.77K,0.52%
Nov 19  2015,124.20,124.92,125.79,123.89,199.72K,-0.33%
Nov 18  2015,124.61,122.64,125.15,122.42,285.09K,1.89%
Nov 17  2015,122.30,123.99,123.99,121.62,263.79K,-0.57%
Nov 16  2015,123.00,118.88,123.01,118.76,425.24K,3.83%
Nov 13  2015,118.46,115.48,120.33,114.57,400.88K,2.23%
Nov 12  2015,115.88,118.50,122.14,114.90,587.65K,2.10%
Nov 11  2015,113.50,108.14,115.94,108.14,452.57K,4.20%
Nov 10  2015,108.93,110.94,111.48,108.57,302.84K,-2.09%
Nov 09  2015,111.25,114.64,114.64,109.24,452.92K,-3.31%
Nov 06  2015,115.06,116.54,116.97,114.30,208.91K,-1.27%
Nov 05  2015,116.54,117.31,118.00,116.44,311.44K,-0.55%
Nov 04  2015,117.19,116.29,117.26,115.98,218.29K,0.81%
Nov 03  2015,116.25,115.21,116.25,114.30,184.11K,0.61%
Nov 02  2015,115.55,115.02,116.62,114.46,189.10K,0.46%
Oct 30  2015,115.02,116.81,117.63,114.97,270.24K,-1.48%
Oct 29  2015,116.75,116.54,117.14,115.83,117.47K,-0.15%
Oct 28  2015,116.93,115.90,117.04,114.91,228.85K,0.89%
Oct 27  2015,115.90,117.31,118.23,115.73,236.79K,-1.55%
Oct 26  2015,117.72,117.94,118.74,116.98,254.28K,-0.06%
Oct 23  2015,117.79,118.60,118.89,116.55,336.85K,-0.08%
Oct 22  2015,117.88,116.01,118.40,116.00,256.59K,1.95%
Oct 21  2015,115.63,115.85,116.11,114.58,196.35K,0.23%
Oct 20  2015,115.37,116.86,118.14,114.90,285.74K,-0.96%
Oct 19  2015,116.49,113.51,116.87,113.50,295.60K,2.62%
Oct 16  2015,113.52,114.92,115.00,113.50,163.87K,-0.26%
Oct 15  2015,113.82,116.20,116.82,113.40,260.86K,-0.59%
Oct 14  2015,114.50,115.24,116.58,113.61,236.12K,-0.67%
Oct 13  2015,115.27,114.24,115.98,113.70,217.71K,1.47%
Oct 09  2015,113.60,114.52,114.86,113.51,203.52K,-0.73%
Oct 08  2015,114.43,115.03,115.50,113.40,342.90K,-0.43%
Oct 07  2015,114.92,117.01,117.43,114.03,351.77K,-1.20%
Oct 06  2015,116.32,120.52,120.62,116.20,306.41K,-3.69%
Oct 05  2015,120.78,120.13,122.05,120.13,147.64K,1.16%
Oct 02  2015,119.40,119.32,119.48,117.99,147.38K,-0.43%
Oct 01  2015,119.91,120.36,120.44,118.76,191.39K,-0.12%
Sep 30  2015,120.05,120.14,120.46,118.88,291.36K,0.69%
