Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,35.75,35.84,36.03,35.47,147.27K,0.14%
Apr 18  2016,35.70,35.14,35.83,35.14,149.67K,1.13%
Apr 15  2016,35.30,35.24,35.50,35.10,75.00K,-0.08%
Apr 14  2016,35.33,35.30,35.61,35.15,184.11K,0.03%
Apr 13  2016,35.32,35.60,35.63,35.22,107.61K,-0.37%
Apr 12  2016,35.45,35.50,35.75,35.35,124.43K,-0.14%
Apr 11  2016,35.50,36.07,36.07,35.41,187.01K,-0.98%
Apr 08  2016,35.85,35.88,35.99,35.69,130.31K,0.50%
Apr 07  2016,35.67,35.92,36.09,35.54,100.19K,-0.86%
Apr 06  2016,35.98,36.39,36.39,35.89,113.30K,-0.96%
Apr 05  2016,36.33,36.38,36.57,36.23,109.43K,-0.82%
Apr 04  2016,36.63,36.39,36.67,36.17,124.49K,0.49%
Apr 01  2016,36.45,36.34,36.57,35.93,145.25K,0.28%
Mar 31  2016,36.35,36.32,36.70,36.12,239.82K,0.17%
Mar 30  2016,36.29,35.88,36.65,35.88,149.27K,0.83%
Mar 29  2016,35.99,35.80,36.22,35.73,135.38K,0.19%
Mar 28  2016,35.92,35.60,35.98,35.39,81.44K,0.93%
Mar 24  2016,35.59,35.54,35.84,35.25,130.85K,-1.11%
Mar 23  2016,35.99,36.36,36.49,35.81,157.52K,-1.10%
Mar 22  2016,36.39,36.16,36.70,36.13,197.33K,0.22%
Mar 21  2016,36.31,36.05,36.51,35.96,155.42K,0.75%
Mar 18  2016,36.04,36.49,36.66,35.93,552.07K,-0.17%
Mar 17  2016,36.10,35.52,36.67,35.42,340.02K,1.92%
Mar 16  2016,35.42,35.24,35.55,34.95,119.66K,0.74%
Mar 15  2016,35.16,35.15,35.26,34.78,152.85K,-0.20%
Mar 14  2016,35.23,35.55,35.65,34.77,197.94K,-1.26%
Mar 11  2016,35.68,35.85,35.97,35.45,144.85K,0.45%
Mar 10  2016,35.52,35.24,35.67,34.76,235.81K,0.71%
Mar 09  2016,35.27,35.55,35.80,35.25,187.52K,-0.56%
Mar 08  2016,35.47,34.98,35.55,34.84,239.37K,1.55%
Mar 07  2016,34.93,34.15,35.25,34.15,189.13K,1.28%
Mar 04  2016,34.49,34.28,34.77,34.21,233.42K,0.50%
Mar 03  2016,34.32,34.27,34.56,34.10,167.94K,0.41%
Mar 02  2016,34.18,33.73,34.25,33.45,282.11K,1.82%
Mar 01  2016,33.57,32.77,33.73,32.57,386.63K,3.13%
Feb 29  2016,32.55,32.42,32.75,32.30,600.83K,0.74%
Feb 26  2016,32.31,33.58,33.58,32.12,362.73K,-3.70%
Feb 25  2016,33.55,33.51,33.90,33.06,321.51K,-2.07%
Feb 24  2016,34.26,34.36,34.45,33.85,255.15K,-0.49%
Feb 23  2016,34.43,34.77,35.23,34.04,228.76K,-1.37%
Feb 22  2016,34.91,35.26,35.46,34.86,149.65K,-0.37%
Feb 19  2016,35.04,34.86,35.14,34.32,176.12K,-0.09%
Feb 18  2016,35.07,35.34,35.53,34.75,240.74K,-0.17%
Feb 17  2016,35.13,34.50,35.39,34.14,265.31K,2.57%
Feb 16  2016,34.25,34.09,34.35,33.58,227.67K,1.09%
Feb 12  2016,33.88,33.81,34.19,33.36,231.60K,0.41%
Feb 11  2016,33.74,33.41,33.78,33.28,265.12K,-0.12%
Feb 10  2016,33.78,34.59,34.75,33.65,336.09K,-2.09%
