Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,27.53,25.87,27.69,25.87,977.36K,6.58%
Apr 18  2016,25.83,25.37,25.95,25.30,284.15K,0.98%
Apr 15  2016,25.58,25.85,25.85,25.50,198.70K,-1.20%
Apr 14  2016,25.89,25.75,26.07,25.58,472.18K,0.86%
Apr 13  2016,25.67,25.53,25.72,25.29,403.09K,1.46%
Apr 12  2016,25.30,24.79,25.42,24.61,1.44M,3.05%
Apr 11  2016,24.55,24.76,25.00,24.51,198.32K,0.08%
Apr 08  2016,24.53,24.00,24.94,23.85,424.67K,4.21%
Apr 07  2016,23.54,24.05,24.16,23.51,236.76K,-2.73%
Apr 06  2016,24.20,24.00,24.22,23.69,334.14K,0.75%
Apr 05  2016,24.02,23.98,24.16,23.75,151.46K,-0.04%
Apr 04  2016,24.03,23.85,24.36,23.60,232.15K,0.88%
Apr 01  2016,23.82,23.99,24.20,23.62,313.66K,-1.37%
Mar 31  2016,24.15,24.56,24.67,24.08,179.48K,-1.99%
Mar 30  2016,24.64,24.43,24.77,24.33,241.69K,1.73%
Mar 29  2016,24.22,24.09,24.32,23.95,200.59K,-0.62%
Mar 28  2016,24.37,24.25,24.48,24.02,214.97K,0.49%
Mar 24  2016,24.25,24.32,24.33,23.94,359.43K,-1.66%
Mar 23  2016,24.66,25.04,25.18,24.53,265.52K,-2.07%
Mar 22  2016,25.18,24.81,25.34,24.59,274.26K,0.76%
Mar 21  2016,24.99,25.56,25.62,24.85,350.08K,-1.81%
Mar 18  2016,25.45,25.30,25.97,25.27,1.82M,0.95%
Mar 17  2016,25.21,24.70,25.38,24.44,667.12K,2.90%
Mar 16  2016,24.50,24.03,24.55,23.87,630.22K,2.42%
Mar 15  2016,23.92,24.26,24.26,23.74,550.75K,-2.57%
Mar 14  2016,24.55,24.20,24.67,24.00,498.02K,1.11%
Mar 11  2016,24.28,24.12,24.32,24.02,465.40K,1.63%
Mar 10  2016,23.89,23.76,23.99,23.51,788.92K,1.19%
Mar 09  2016,23.61,23.85,23.85,23.35,422.45K,0.98%
Mar 08  2016,23.38,23.56,24.00,23.23,729.18K,-0.89%
Mar 07  2016,23.59,22.91,23.75,22.75,728.10K,3.83%
Mar 04  2016,22.72,22.32,22.86,22.00,770.77K,2.95%
Mar 03  2016,22.07,22.09,22.55,21.91,891.91K,2.89%
Mar 02  2016,21.45,20.51,21.48,20.51,704.89K,4.74%
Mar 01  2016,20.48,20.20,20.66,20.06,758.91K,2.86%
Feb 29  2016,19.91,20.24,20.24,19.85,471.90K,-0.40%
Feb 26  2016,19.99,20.25,20.41,19.86,787.73K,-0.30%
Feb 25  2016,20.05,20.31,20.50,19.86,728.84K,-1.09%
Feb 24  2016,20.27,20.50,20.81,19.81,911.23K,-3.75%
Feb 23  2016,21.06,21.60,21.76,20.81,404.46K,-2.59%
Feb 22  2016,21.62,22.11,22.35,21.56,442.64K,-0.05%
Feb 19  2016,21.63,22.04,22.04,21.40,430.92K,-2.79%
Feb 18  2016,22.25,22.67,22.68,22.01,353.39K,-0.36%
Feb 17  2016,22.33,21.78,22.40,21.67,441.43K,3.57%
Feb 16  2016,21.56,21.39,21.68,21.01,549.93K,3.21%
Feb 12  2016,20.89,21.14,21.74,20.84,501.89K,0.63%
Feb 11  2016,20.76,20.69,20.80,20.33,748.86K,-1.24%
Feb 10  2016,21.02,21.57,22.11,20.99,479.00K,-1.50%
Feb 09  2016,21.34,21.86,22.05,21.31,625.03K,-3.70%
Feb 08  2016,22.16,22.71,22.71,21.93,449.97K,-3.48%
Feb 05  2016,22.96,23.00,23.35,22.31,499.62K,-0.30%
Feb 04  2016,23.03,22.86,23.44,22.66,603.33K,1.32%
Feb 03  2016,22.73,22.37,22.95,22.04,383.37K,2.30%
Feb 02  2016,22.22,22.73,22.73,22.18,896.57K,-2.76%
Feb 01  2016,22.85,22.91,23.03,22.20,261.08K,-0.48%
Jan 29  2016,22.96,22.58,23.08,22.49,759.36K,2.23%
Jan 28  2016,22.46,22.23,22.50,21.77,426.13K,3.79%
Jan 27  2016,21.64,21.00,21.85,20.85,503.89K,3.10%
Jan 26  2016,20.99,20.98,21.20,20.79,530.29K,1.40%
Jan 25  2016,20.70,21.61,21.61,20.64,515.63K,-3.90%
Jan 22  2016,21.54,21.32,21.61,20.94,576.49K,5.28%
Jan 21  2016,20.46,20.00,20.70,19.80,1.20M,2.20%
Jan 20  2016,20.02,19.97,20.22,19.26,762.74K,-1.04%
Jan 19  2016,20.23,20.77,20.77,20.14,729.76K,0.30%
Jan 18  2016,20.17,20.07,20.54,20.07,188.41K,-0.30%
Jan 15  2016,20.23,19.98,20.43,19.75,682.23K,-1.12%
Jan 14  2016,20.46,20.41,20.92,20.01,1.12M,0.29%
Jan 13  2016,20.40,21.55,21.55,20.40,418.75K,-3.00%
Jan 12  2016,21.03,21.54,21.95,20.69,501.02K,-1.17%
Jan 11  2016,21.28,21.70,21.70,20.91,537.84K,-1.30%
Jan 08  2016,21.56,22.15,22.40,21.54,369.39K,-1.78%
Jan 07  2016,21.95,22.00,22.35,21.80,625.14K,-1.13%
Jan 06  2016,22.20,23.28,23.28,22.14,920.59K,-5.69%
Jan 05  2016,23.54,23.60,23.93,23.38,256.18K,0.13%
Jan 04  2016,23.51,23.02,23.79,22.34,525.03K,0.56%
Dec 31  2015,23.38,23.62,23.86,23.00,235.72K,-1.35%
Dec 30  2015,23.70,23.89,24.27,23.63,305.92K,-1.13%
Dec 29  2015,23.97,23.60,24.01,23.36,376.93K,1.74%
Dec 24  2015,23.56,23.58,23.79,23.49,96.90K,-0.59%
Dec 23  2015,23.70,23.56,23.90,23.37,270.99K,1.67%
Dec 22  2015,23.31,23.60,23.68,22.89,360.91K,-1.10%
Dec 21  2015,23.57,23.20,23.58,23.20,402.62K,1.64%
Dec 18  2015,23.19,22.87,23.25,22.71,597.84K,1.05%
Dec 17  2015,22.95,22.88,23.20,22.86,473.25K,0.39%
Dec 16  2015,22.86,22.79,23.18,22.61,403.01K,0.79%
Dec 15  2015,22.68,22.48,22.83,22.40,523.46K,1.52%
Dec 14  2015,22.34,22.39,22.70,21.86,591.03K,-0.18%
Dec 11  2015,22.38,23.00,23.00,22.35,573.64K,-3.41%
Dec 10  2015,23.17,22.90,23.33,22.75,367.14K,1.13%
Dec 09  2015,22.91,23.49,23.88,22.70,570.12K,-2.01%
Dec 08  2015,23.38,23.53,23.65,23.09,603.73K,-1.18%
Dec 07  2015,23.66,24.44,24.45,23.20,545.83K,-3.82%
Dec 04  2015,24.60,24.59,24.90,24.05,411.84K,-0.89%
Dec 03  2015,24.82,25.62,25.62,24.60,529.80K,-1.43%
Dec 02  2015,25.18,25.62,26.00,25.14,301.76K,-1.87%
Dec 01  2015,25.66,25.73,25.82,25.51,282.80K,0.00%
Nov 30  2015,25.66,25.77,26.01,25.55,314.90K,-0.31%
Nov 27  2015,25.74,25.65,25.86,25.55,106.28K,0.08%
Nov 26  2015,25.72,25.58,25.80,25.54,63.78K,0.55%
Nov 25  2015,25.58,25.76,25.89,25.35,275.02K,-0.89%
Nov 24  2015,25.81,26.18,26.65,25.77,456.47K,-1.07%
Nov 23  2015,26.09,25.82,26.91,25.77,785.22K,0.73%
Nov 20  2015,25.90,25.76,26.16,25.73,203.80K,0.82%
Nov 19  2015,25.69,25.57,25.91,25.55,123.80K,0.20%
Nov 18  2015,25.64,25.85,26.10,25.54,293.71K,-0.43%
Nov 17  2015,25.75,25.29,26.02,25.28,303.85K,1.66%
Nov 16  2015,25.33,24.85,25.43,24.64,268.03K,1.81%
Nov 13  2015,24.88,25.00,25.11,24.69,319.20K,-0.80%
Nov 12  2015,25.08,25.32,25.47,25.00,401.84K,-1.38%
Nov 11  2015,25.43,25.47,25.49,25.03,197.82K,0.28%
Nov 10  2015,25.36,25.20,25.43,24.97,195.50K,0.24%
Nov 09  2015,25.30,25.51,25.57,25.04,183.88K,-0.82%
Nov 06  2015,25.51,25.26,25.79,25.11,286.11K,0.87%
Nov 05  2015,25.29,25.18,25.39,25.02,156.42K,0.96%
Nov 04  2015,25.05,25.32,25.40,24.93,257.28K,-0.56%
Nov 03  2015,25.19,24.89,25.30,24.60,286.12K,2.15%
Nov 02  2015,24.66,25.19,25.38,24.34,376.14K,-1.87%
Oct 30  2015,25.13,25.34,25.34,24.90,241.37K,-0.51%
Oct 29  2015,25.26,25.30,25.40,24.91,190.41K,-0.36%
Oct 28  2015,25.35,24.95,25.58,24.84,312.19K,2.51%
Oct 27  2015,24.73,24.83,25.04,24.49,257.41K,-0.48%
Oct 26  2015,24.85,25.03,25.23,24.85,274.68K,-0.56%
Oct 23  2015,24.99,25.13,25.49,24.83,238.77K,-0.16%
Oct 22  2015,25.03,24.75,25.19,24.63,271.95K,2.04%
Oct 21  2015,24.53,24.80,24.85,24.46,328.09K,-0.65%
Oct 20  2015,24.69,24.42,25.09,24.37,262.07K,1.06%
