Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,15.32,15.55,15.64,15.12,341.09K,-1.35%
Apr 18  2016,15.53,14.97,15.65,14.96,307.79K,2.04%
Apr 15  2016,15.22,15.42,15.42,15.05,180.47K,-1.36%
Apr 14  2016,15.43,15.70,15.75,15.09,383.61K,-1.59%
Apr 13  2016,15.68,15.85,15.88,15.36,289.47K,-0.44%
Apr 12  2016,15.75,15.75,15.84,15.52,126.91K,0.70%
Apr 11  2016,15.64,15.65,15.70,15.24,323.65K,-0.06%
Apr 08  2016,15.65,16.13,16.13,15.23,362.64K,-2.13%
Apr 07  2016,15.99,16.73,16.73,15.40,335.39K,-5.33%
Apr 06  2016,16.89,16.72,16.99,16.68,273.09K,0.84%
Apr 05  2016,16.75,16.98,17.40,16.66,257.49K,-2.39%
Apr 04  2016,17.16,18.37,18.37,17.07,278.65K,-5.82%
Apr 01  2016,18.22,17.65,18.37,17.65,564.71K,2.07%
Mar 31  2016,17.85,17.84,17.89,17.24,806.64K,-0.94%
Mar 30  2016,18.02,17.73,18.41,17.69,530.11K,2.44%
Mar 29  2016,17.59,16.35,17.62,16.06,452.40K,6.93%
Mar 28  2016,16.45,16.07,16.55,15.76,130.62K,2.88%
Mar 24  2016,15.99,16.21,16.62,15.83,316.81K,-2.56%
Mar 23  2016,16.41,17.07,17.19,16.21,371.93K,-4.70%
Mar 22  2016,17.22,16.71,17.28,16.62,180.63K,2.07%
Mar 21  2016,16.87,16.52,16.95,16.48,160.30K,2.06%
Mar 18  2016,16.53,16.56,16.67,16.19,229.13K,-0.30%
Mar 17  2016,16.58,15.95,16.74,15.83,232.87K,4.47%
Mar 16  2016,15.87,16.00,16.10,15.75,268.12K,-0.69%
Mar 15  2016,15.98,16.19,16.30,15.92,259.03K,-1.90%
Mar 14  2016,16.29,16.79,16.80,16.15,145.96K,-1.63%
Mar 11  2016,16.56,15.63,16.65,15.63,260.89K,6.77%
Mar 10  2016,15.51,15.45,15.68,15.27,356.23K,0.39%
Mar 09  2016,15.45,15.46,15.61,14.94,550.57K,0.46%
Mar 08  2016,15.38,15.73,15.80,15.33,290.91K,-3.27%
Mar 07  2016,15.90,16.29,16.43,15.76,331.32K,-2.39%
Mar 04  2016,16.29,15.90,16.72,15.83,430.64K,3.76%
Mar 03  2016,15.70,15.38,15.75,15.06,303.25K,1.82%
Mar 02  2016,15.42,14.75,15.58,14.75,363.74K,4.90%
Mar 01  2016,14.70,14.17,14.74,14.11,291.39K,5.00%
Feb 29  2016,14.00,13.91,14.06,13.68,164.53K,1.45%
Feb 26  2016,13.80,13.41,13.92,13.31,185.35K,4.62%
Feb 25  2016,13.19,13.38,13.46,12.77,361.13K,-1.42%
Feb 24  2016,13.38,13.35,13.40,12.95,156.06K,-0.96%
Feb 23  2016,13.51,14.14,14.14,13.46,226.29K,-4.59%
Feb 22  2016,14.16,14.47,14.91,14.07,321.09K,-0.56%
Feb 19  2016,14.24,13.50,14.35,12.96,542.79K,5.40%
Feb 18  2016,13.51,13.83,14.01,13.05,434.33K,-0.81%
Feb 17  2016,13.62,13.00,13.69,13.00,595.00K,3.50%
Feb 16  2016,13.16,13.51,13.62,13.05,246.63K,-0.83%
Feb 12  2016,13.27,12.75,13.34,12.74,187.49K,4.98%
Feb 11  2016,12.64,13.00,13.04,12.40,239.38K,-4.17%
Feb 10  2016,13.19,13.38,13.62,13.09,219.03K,-0.23%
Feb 09  2016,13.22,13.15,13.46,12.96,428.65K,-0.97%
Feb 08  2016,13.35,14.18,14.23,13.15,460.44K,-8.81%
Feb 05  2016,14.64,14.99,15.09,14.54,198.57K,-2.59%
Feb 04  2016,15.03,14.40,15.17,14.25,542.55K,4.23%
Feb 03  2016,14.42,14.37,14.54,13.75,314.58K,1.84%
Feb 02  2016,14.16,15.26,15.30,13.96,332.69K,-8.17%
Feb 01  2016,15.42,15.37,15.76,15.16,360.60K,-1.60%
Jan 29  2016,15.67,14.91,15.67,14.55,349.87K,5.17%
Jan 28  2016,14.90,15.25,15.38,14.50,247.36K,-1.13%
Jan 27  2016,15.07,15.48,15.73,14.90,300.39K,-3.02%
Jan 26  2016,15.54,15.42,15.80,15.29,295.05K,2.71%
Jan 25  2016,15.13,15.35,15.67,15.00,340.59K,-2.01%
Jan 22  2016,15.44,14.54,15.67,14.54,714.68K,13.03%
Jan 21  2016,13.66,13.37,14.00,13.01,308.19K,2.55%
Jan 20  2016,13.32,13.70,13.70,12.62,685.97K,-3.90%
Jan 19  2016,13.86,14.30,14.42,13.31,1.58M,-1.28%
Jan 18  2016,14.04,14.20,14.20,13.86,60.99K,-0.50%
Jan 15  2016,14.11,14.28,14.36,13.86,353.63K,-3.82%
Jan 14  2016,14.67,13.93,14.76,13.76,531.96K,5.16%
Jan 13  2016,13.95,14.33,14.80,13.82,526.05K,-1.41%
Jan 12  2016,14.15,15.79,16.06,14.01,718.82K,-9.76%
Jan 11  2016,15.68,15.14,15.68,14.96,694.15K,-3.45%
Jan 08  2016,16.24,16.72,16.78,16.03,386.04K,-2.05%
Jan 07  2016,16.58,17.29,17.46,16.40,395.66K,-7.84%
Jan 06  2016,17.99,19.26,19.39,17.90,422.11K,-7.93%
Jan 05  2016,19.54,20.32,20.32,19.23,204.34K,-3.51%
