Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,18.35,17.96,18.53,17.96,307.50K,2.69%
Apr 18  2016,17.87,17.71,17.94,17.65,328.82K,0.45%
Apr 15  2016,17.79,17.83,17.84,17.65,187.99K,-0.56%
Apr 14  2016,17.89,18.08,18.11,17.85,170.35K,-0.67%
Apr 13  2016,18.01,17.98,18.19,17.80,97.13K,0.50%
Apr 12  2016,17.92,18.05,18.20,17.92,136.65K,-0.50%
Apr 11  2016,18.01,18.17,18.19,17.95,153.64K,-0.22%
Apr 08  2016,18.05,18.29,18.30,18.01,124.75K,-0.61%
Apr 07  2016,18.16,18.11,18.36,18.11,143.50K,0.50%
Apr 06  2016,18.07,18.13,18.18,18.00,344.99K,0.33%
Apr 05  2016,18.01,18.02,18.12,17.92,124.24K,-0.22%
Apr 04  2016,18.05,18.10,18.19,18.00,143.91K,-0.17%
Apr 01  2016,18.08,17.85,18.11,17.80,190.33K,0.44%
Mar 31  2016,18.00,17.99,18.13,17.90,270.94K,0.11%
Mar 30  2016,17.98,17.77,18.20,17.77,373.37K,1.47%
Mar 29  2016,17.72,17.68,17.74,17.49,243.96K,-0.84%
Mar 28  2016,17.87,17.62,17.89,17.56,194.25K,2.00%
Mar 24  2016,17.52,17.55,17.64,17.22,233.68K,-0.51%
Mar 23  2016,17.61,17.56,17.80,17.56,149.06K,-0.17%
Mar 22  2016,17.64,17.38,17.84,17.27,289.33K,1.79%
Mar 21  2016,17.33,17.19,17.44,17.12,221.38K,1.17%
Mar 18  2016,17.13,17.80,17.91,16.93,1.41M,-3.22%
Mar 17  2016,17.70,18.00,18.08,17.65,314.91K,-1.12%
Mar 16  2016,17.90,18.01,18.25,17.84,319.07K,-0.83%
Mar 15  2016,18.05,18.08,18.11,17.90,139.52K,-0.28%
Mar 14  2016,18.10,18.43,18.47,17.89,343.31K,-2.22%
Mar 11  2016,18.51,18.60,18.69,18.49,99.65K,0.33%
Mar 10  2016,18.45,18.63,18.74,18.40,162.64K,-0.65%
Mar 09  2016,18.57,18.55,18.68,18.42,118.23K,0.60%
Mar 08  2016,18.46,18.39,18.69,18.29,206.01K,0.54%
Mar 07  2016,18.36,17.82,18.76,17.82,267.71K,0.22%
Mar 04  2016,18.32,18.02,18.37,18.02,215.53K,1.78%
Mar 03  2016,18.00,18.14,18.44,17.89,260.92K,-0.55%
Mar 02  2016,18.10,17.71,18.16,17.52,331.73K,2.20%
Mar 01  2016,17.71,17.43,17.85,17.30,270.10K,2.19%
Feb 29  2016,17.33,17.33,17.44,17.10,277.77K,1.52%
Feb 26  2016,17.07,17.41,17.55,16.89,403.44K,-1.61%
Feb 25  2016,17.35,17.42,17.54,17.29,210.90K,-0.06%
Feb 24  2016,17.36,17.58,17.70,17.21,319.72K,-1.53%
Feb 23  2016,17.63,18.00,18.09,17.58,203.52K,-1.67%
Feb 22  2016,17.93,17.93,18.03,17.65,252.63K,1.13%
Feb 19  2016,17.73,17.86,18.22,17.51,382.09K,-0.73%
Feb 18  2016,17.86,18.05,18.13,17.63,206.66K,-0.45%
Feb 17  2016,17.94,17.50,18.06,17.50,273.54K,2.93%
Feb 16  2016,17.43,17.65,17.65,17.15,320.87K,1.63%
Feb 12  2016,17.15,17.05,17.36,16.87,250.40K,1.30%
Feb 11  2016,16.93,17.43,17.68,16.93,385.62K,-5.15%
Feb 10  2016,17.85,18.00,18.17,17.67,155.93K,-0.78%
Feb 09  2016,17.99,18.69,18.80,17.87,180.02K,-3.85%
Feb 08  2016,18.71,18.76,18.82,18.49,157.62K,-0.85%
Feb 05  2016,18.87,18.54,18.91,18.37,158.97K,1.62%
Feb 04  2016,18.57,18.73,18.90,18.51,257.13K,-0.59%
Feb 03  2016,18.68,18.50,18.80,18.34,190.39K,1.25%
Feb 02  2016,18.45,18.51,18.53,18.01,318.87K,-1.44%
Feb 01  2016,18.72,18.78,18.81,18.41,107.63K,-0.64%
Jan 29  2016,18.84,18.45,18.93,18.25,412.72K,2.73%
Jan 28  2016,18.34,18.00,18.46,17.83,647.46K,3.38%
Jan 27  2016,17.74,17.97,18.11,17.67,601.01K,0.91%
Jan 26  2016,17.58,17.30,17.70,17.26,372.86K,2.27%
Jan 25  2016,17.19,17.89,18.10,17.11,259.00K,-3.15%
Jan 22  2016,17.75,17.34,17.78,17.20,334.73K,4.60%
Jan 21  2016,16.97,16.72,17.00,16.53,359.86K,0.71%
Jan 20  2016,16.85,16.67,17.00,16.41,334.23K,0.36%
Jan 19  2016,16.79,16.59,16.96,16.37,439.60K,1.76%
Jan 18  2016,16.50,16.50,16.78,16.41,129.19K,-1.67%
Jan 15  2016,16.78,17.04,17.04,16.60,436.83K,-2.84%
Jan 14  2016,17.27,16.85,17.35,16.70,278.74K,2.25%
Jan 13  2016,16.89,17.31,17.73,16.82,488.04K,-3.21%
Jan 12  2016,17.45,17.75,17.75,17.25,420.05K,-0.91%
Jan 11  2016,17.61,17.80,17.89,17.51,393.61K,-0.62%
Jan 08  2016,17.72,17.19,17.81,17.19,282.14K,3.57%
Jan 07  2016,17.11,17.89,17.89,17.09,408.26K,-5.10%
Jan 06  2016,18.03,17.76,18.37,17.70,590.48K,1.29%
Jan 05  2016,17.80,18.08,18.08,17.70,230.94K,-0.22%
Jan 04  2016,17.84,17.61,17.94,17.50,284.67K,0.39%
Dec 31  2015,17.77,17.70,17.90,17.51,217.62K,0.23%
Dec 30  2015,17.73,17.68,17.88,17.59,189.14K,0.23%
Dec 29  2015,17.69,18.14,18.14,17.53,292.56K,-3.28%
Dec 24  2015,18.29,17.81,18.31,17.81,131.70K,2.64%
Dec 23  2015,17.82,17.44,17.90,17.44,310.81K,2.41%
Dec 22  2015,17.40,17.37,17.56,17.26,205.64K,0.29%
Dec 21  2015,17.35,17.56,17.69,17.25,406.11K,-0.23%
Dec 18  2015,17.39,16.65,17.39,16.50,670.01K,3.95%
Dec 17  2015,16.73,16.52,16.84,16.48,347.76K,1.03%
Dec 16  2015,16.56,15.97,16.64,15.96,800.79K,3.18%
Dec 15  2015,16.05,15.62,16.19,15.56,322.18K,3.95%
Dec 14  2015,15.44,16.27,16.48,15.40,540.97K,-5.85%
Dec 11  2015,16.40,16.18,16.55,16.06,326.82K,0.18%
Dec 10  2015,16.37,16.27,16.52,16.12,334.25K,0.92%
Dec 09  2015,16.22,16.35,16.67,15.89,594.37K,-0.49%
Dec 08  2015,16.30,16.49,16.49,15.82,478.13K,-1.33%
Dec 07  2015,16.52,16.50,16.73,16.36,386.91K,-0.54%
Dec 04  2015,16.61,16.90,17.19,16.55,379.30K,-2.41%
Dec 03  2015,17.02,17.29,17.62,16.95,518.73K,-0.76%
Dec 02  2015,17.15,17.16,17.50,17.07,357.36K,-0.41%
Dec 01  2015,17.22,16.81,17.36,16.78,331.29K,2.20%
Nov 30  2015,16.85,17.09,17.19,16.73,594.68K,-1.06%
Nov 27  2015,17.03,16.47,17.03,16.45,365.15K,3.53%
Nov 26  2015,16.45,16.24,16.55,16.23,121.82K,0.55%
Nov 25  2015,16.36,16.35,16.60,16.08,427.76K,-0.67%
Nov 24  2015,16.47,16.34,16.75,16.21,394.59K,-2.08%
Nov 23  2015,16.82,18.00,18.07,16.76,592.93K,-10.34%
Nov 20  2015,18.76,18.68,18.93,18.66,182.20K,0.81%
