Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,13.38,13.50,13.63,13.35,248.20K,-2.34%
Apr 18  2016,13.70,13.54,13.82,13.54,182.61K,0.88%
Apr 15  2016,13.58,13.58,13.75,13.49,174.85K,-1.74%
Apr 14  2016,13.82,13.70,14.01,13.58,288.41K,0.80%
Apr 13  2016,13.71,13.39,13.79,13.38,243.37K,2.31%
Apr 12  2016,13.40,13.74,13.75,13.28,528.96K,-4.56%
Apr 11  2016,14.04,14.22,14.29,14.04,110.73K,-0.85%
Apr 08  2016,14.16,14.28,14.38,14.08,141.71K,-0.56%
Apr 07  2016,14.24,14.38,14.40,14.17,104.61K,-1.18%
Apr 06  2016,14.41,14.30,14.46,14.19,279.55K,0.70%
Apr 05  2016,14.31,14.20,14.44,14.20,127.67K,0.14%
Apr 04  2016,14.29,14.31,14.37,14.18,209.15K,-0.14%
Apr 01  2016,14.31,14.15,14.40,13.97,245.28K,0.35%
Mar 31  2016,14.26,14.19,14.32,14.00,476.03K,0.85%
Mar 30  2016,14.14,14.32,14.51,14.09,196.90K,-0.77%
Mar 29  2016,14.25,14.06,14.39,13.98,283.03K,1.14%
Mar 28  2016,14.09,14.36,14.55,14.07,184.32K,-1.19%
Mar 24  2016,14.26,14.15,14.33,14.03,135.45K,0.56%
Mar 23  2016,14.18,13.97,14.27,13.97,192.98K,1.29%
Mar 22  2016,14.00,13.11,14.05,13.01,271.30K,5.90%
Mar 21  2016,13.22,13.91,14.02,13.15,367.28K,-4.82%
Mar 18  2016,13.89,13.85,14.02,13.76,323.91K,-0.07%
Mar 17  2016,13.90,13.70,13.95,13.64,259.40K,0.87%
Mar 16  2016,13.78,14.00,14.14,13.61,300.87K,-1.85%
Mar 15  2016,14.04,14.34,14.40,14.01,104.53K,-3.04%
Mar 14  2016,14.48,14.44,14.62,14.42,66.82K,0.49%
Mar 11  2016,14.41,14.36,14.43,14.27,77.80K,1.05%
Mar 10  2016,14.26,14.38,14.52,14.15,113.13K,-0.63%
Mar 09  2016,14.35,14.71,14.80,14.32,109.00K,-1.58%
Mar 08  2016,14.58,14.52,14.74,14.35,124.83K,0.21%
Mar 07  2016,14.55,14.35,14.58,14.25,130.22K,1.18%
Mar 04  2016,14.38,14.41,14.69,14.37,118.14K,-1.37%
Mar 03  2016,14.58,14.25,14.61,14.13,165.35K,2.32%
Mar 02  2016,14.25,14.24,14.41,14.02,161.18K,0.21%
Mar 01  2016,14.22,13.99,14.25,13.92,96.92K,2.08%
Feb 29  2016,13.93,13.75,14.04,13.69,151.12K,1.31%
Feb 26  2016,13.75,13.83,13.94,13.66,92.57K,-0.36%
Feb 25  2016,13.80,13.65,13.82,13.47,107.02K,0.88%
Feb 24  2016,13.68,13.42,13.72,13.31,114.25K,1.26%
Feb 23  2016,13.51,13.28,13.55,13.25,84.50K,1.73%
Feb 22  2016,13.28,13.61,13.75,13.27,237.00K,-1.70%
Feb 19  2016,13.51,13.47,13.61,13.41,107.14K,-0.52%
Feb 18  2016,13.58,13.39,13.66,13.33,186.60K,1.65%
Feb 17  2016,13.36,13.21,13.53,13.21,200.64K,1.52%
Feb 16  2016,13.16,12.97,13.19,12.90,358.02K,2.25%
Feb 12  2016,12.87,12.95,13.01,12.81,160.45K,0.78%
Feb 11  2016,12.77,12.83,12.94,12.70,173.38K,-1.84%
Feb 10  2016,13.01,12.67,13.24,12.67,152.60K,2.60%
Feb 09  2016,12.68,12.63,13.00,12.57,490.61K,0.08%
Feb 08  2016,12.67,12.70,12.74,12.56,233.68K,-1.32%
Feb 05  2016,12.84,13.14,13.17,12.80,211.18K,-2.65%
Feb 04  2016,13.19,12.94,13.55,12.87,788.53K,1.77%
Feb 03  2016,12.96,12.60,13.03,12.54,350.16K,3.02%
Feb 02  2016,12.58,12.50,12.74,12.45,277.74K,-0.55%
Feb 01  2016,12.65,12.58,12.77,12.44,471.59K,-0.39%
Jan 29  2016,12.70,12.06,12.70,11.97,815.30K,8.73%
Jan 28  2016,11.68,13.38,13.38,11.33,2.58M,-15.73%
Jan 27  2016,13.86,14.15,14.27,13.76,278.82K,-2.05%
Jan 26  2016,14.15,13.98,14.21,13.95,198.99K,1.73%
Jan 25  2016,13.91,14.04,14.12,13.54,306.10K,-1.42%
Jan 22  2016,14.11,13.96,14.25,13.95,185.05K,2.25%
Jan 21  2016,13.80,13.63,14.09,13.42,301.60K,1.77%
Jan 20  2016,13.56,13.21,13.67,13.18,253.99K,0.97%
Jan 19  2016,13.43,13.30,13.71,13.26,249.77K,2.52%
Jan 18  2016,13.10,13.46,13.49,13.08,532.82K,-3.32%
Jan 15  2016,13.55,14.19,14.19,13.45,435.03K,-6.81%
Jan 14  2016,14.54,14.33,14.62,14.15,267.90K,1.39%
Jan 13  2016,14.34,14.71,14.76,14.28,280.52K,-2.52%
Jan 12  2016,14.71,14.54,14.76,14.39,350.73K,1.38%
Jan 11  2016,14.51,14.96,14.99,14.38,347.83K,-2.75%
Jan 08  2016,14.92,15.22,15.28,14.81,351.49K,-2.10%
Jan 07  2016,15.24,15.21,15.28,15.08,266.60K,-1.04%
Jan 06  2016,15.40,15.00,15.45,15.00,234.49K,1.25%
Jan 05  2016,15.21,15.18,15.41,15.06,99.72K,-0.07%
Jan 04  2016,15.22,15.12,15.28,14.88,155.63K,-0.52%
Dec 31  2015,15.30,15.51,15.59,15.26,125.64K,-1.86%
Dec 30  2015,15.59,15.65,15.77,15.56,136.46K,-0.32%
Dec 29  2015,15.64,15.38,15.69,15.30,100.02K,1.89%
Dec 24  2015,15.35,15.26,15.44,15.26,46.57K,0.46%
Dec 23  2015,15.28,15.25,15.30,15.06,133.29K,0.66%
Dec 22  2015,15.18,14.97,15.24,14.85,571.42K,1.47%
Dec 21  2015,14.96,15.01,15.04,14.86,120.99K,-0.07%
Dec 18  2015,14.97,14.91,15.04,14.78,331.42K,0.47%
Dec 17  2015,14.90,14.94,15.18,14.89,305.95K,0.07%
Dec 16  2015,14.89,14.85,15.04,14.70,155.67K,0.61%
Dec 15  2015,14.80,14.68,14.94,14.63,223.20K,1.16%
Dec 14  2015,14.63,14.51,14.71,14.48,213.65K,0.55%
Dec 11  2015,14.55,14.52,14.72,14.50,99.35K,-0.41%
Dec 10  2015,14.61,14.48,14.71,14.42,423.83K,0.90%
Dec 09  2015,14.48,14.69,14.95,14.43,235.08K,-1.70%
Dec 08  2015,14.73,14.75,14.85,14.65,179.36K,-0.74%
Dec 07  2015,14.84,14.92,15.04,14.78,136.73K,-0.60%
Dec 04  2015,14.93,15.00,15.15,14.90,198.11K,-0.53%
Dec 03  2015,15.01,15.08,15.18,14.96,203.27K,-0.46%
Dec 02  2015,15.08,15.14,15.29,15.01,155.85K,-0.59%
Dec 01  2015,15.17,15.06,15.22,14.93,418.35K,0.73%
Nov 30  2015,15.06,15.38,15.39,15.06,337.06K,-2.21%
Nov 27  2015,15.40,15.02,15.50,15.02,106.58K,1.52%
Nov 26  2015,15.17,14.95,15.20,14.92,24.00K,0.07%
Nov 25  2015,15.16,14.97,15.32,14.93,142.14K,1.07%
Nov 24  2015,15.00,15.30,15.37,14.88,209.63K,-2.47%
Nov 23  2015,15.38,15.23,15.47,15.20,101.08K,1.18%
Nov 20  2015,15.20,15.05,15.31,15.05,164.86K,1.06%
Nov 19  2015,15.04,14.78,15.09,14.78,140.92K,1.48%
Nov 18  2015,14.82,14.74,14.96,14.71,117.86K,0.88%
Nov 17  2015,14.69,14.90,14.91,14.65,157.54K,-1.21%
Nov 16  2015,14.87,14.37,14.94,14.37,133.20K,3.26%
Nov 13  2015,14.40,14.57,14.57,14.27,134.66K,-1.37%
Nov 12  2015,14.60,14.71,14.75,14.58,135.96K,-0.82%
Nov 11  2015,14.72,14.63,14.84,14.61,129.55K,0.55%
Nov 10  2015,14.64,14.92,14.99,14.58,118.01K,-2.33%
Nov 09  2015,14.99,14.84,15.06,14.83,203.63K,0.33%
Nov 06  2015,14.94,14.85,15.10,14.75,227.14K,0.74%
Nov 05  2015,14.83,14.98,15.08,14.80,296.05K,-0.94%
Nov 04  2015,14.97,14.96,15.14,14.78,298.09K,0.34%
Nov 03  2015,14.92,14.57,15.12,14.56,279.97K,2.12%
Nov 02  2015,14.61,14.59,14.80,14.51,327.28K,-0.34%
Oct 30  2015,14.66,14.36,14.70,14.30,391.76K,1.95%
Oct 29  2015,14.38,14.34,14.46,14.20,292.73K,-0.14%
Oct 28  2015,14.40,14.37,14.53,14.22,429.58K,0.07%
Oct 27  2015,14.39,14.60,14.65,14.32,488.24K,-1.51%
Oct 26  2015,14.61,14.97,15.00,14.55,321.12K,-2.40%
Oct 23  2015,14.97,15.11,15.20,14.89,1.06M,-0.33%
Oct 22  2015,15.02,14.40,15.02,13.96,974.79K,3.94%
Oct 21  2015,14.45,16.55,16.63,14.12,1.56M,-15.15%
Oct 20  2015,17.03,16.98,17.24,16.83,214.39K,0.47%
Oct 19  2015,16.95,16.88,17.07,16.67,189.32K,0.06%
Oct 16  2015,16.94,17.03,17.09,16.90,196.89K,-0.59%
Oct 15  2015,17.04,16.90,17.07,16.76,418.38K,1.31%
Oct 14  2015,16.82,17.00,17.10,16.80,218.26K,-1.23%
Oct 13  2015,17.03,17.27,17.37,16.99,193.40K,0.65%
Oct 09  2015,16.92,17.00,17.09,16.85,250.13K,-0.35%
Oct 08  2015,16.98,16.94,17.01,16.79,151.92K,0.24%
Oct 07  2015,16.94,17.00,17.06,16.93,323.81K,-0.35%
Oct 06  2015,17.00,17.23,17.36,16.87,237.01K,-1.33%
Oct 05  2015,17.23,16.89,17.28,16.87,407.54K,2.38%
Oct 02  2015,16.83,17.05,17.05,16.71,338.43K,-1.81%
Oct 01  2015,17.14,17.18,17.27,16.85,362.46K,-0.23%
Sep 30  2015,17.18,16.97,17.22,16.91,349.57K,2.08%
Sep 29  2015,16.83,16.87,16.95,16.74,286.84K,0.54%
Sep 28  2015,16.74,16.90,16.94,16.57,254.54K,-1.59%
Sep 25  2015,17.01,16.88,17.14,16.80,255.16K,1.61%
Sep 24  2015,16.74,16.44,16.79,16.30,225.67K,1.52%
Sep 23  2015,16.49,16.49,16.65,16.29,276.84K,-0.24%
Sep 22  2015,16.53,16.72,16.72,16.45,167.49K,-2.02%
Sep 21  2015,16.87,17.19,17.34,16.81,400.53K,-1.06%
Sep 18  2015,17.05,16.80,17.20,16.66,699.13K,0.29%
Sep 17  2015,17.00,17.07,17.23,16.94,165.85K,-0.06%
Sep 16  2015,17.01,16.80,17.09,16.79,131.26K,1.31%
Sep 15  2015,16.79,16.81,16.83,16.68,329.54K,0.36%
Sep 14  2015,16.73,16.61,16.79,16.57,158.70K,0.72%
Sep 11  2015,16.61,16.52,16.64,16.44,255.17K,0.06%
Sep 10  2015,16.60,16.51,16.69,16.45,189.46K,0.48%
Sep 09  2015,16.52,16.33,16.58,16.22,212.70K,1.85%
