Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,17.97,17.43,18.17,17.27,1.76M,3.87%
Apr 18  2016,17.30,16.80,17.45,16.66,2.04M,0.41%
Apr 15  2016,17.23,17.54,17.62,17.13,999.53K,-3.37%
Apr 14  2016,17.83,17.89,18.04,17.54,1.26M,-0.06%
Apr 13  2016,17.84,18.20,18.30,17.74,2.46M,-1.49%
Apr 12  2016,18.11,17.00,18.15,16.87,2.26M,7.41%
Apr 11  2016,16.86,17.00,17.22,16.80,1.04M,-0.82%
Apr 08  2016,17.00,16.80,17.30,16.78,1.83M,3.60%
Apr 07  2016,16.41,16.37,16.56,16.22,967.49K,-0.30%
Apr 06  2016,16.46,16.35,16.51,16.12,1.99M,1.54%
Apr 05  2016,16.21,16.46,16.66,16.20,1.33M,-2.29%
Apr 04  2016,16.59,16.62,16.77,16.41,997.25K,-0.06%
Apr 01  2016,16.60,16.68,16.82,16.52,1.80M,-1.78%
Mar 31  2016,16.90,16.89,17.18,16.85,1.58M,-0.76%
Mar 30  2016,17.03,16.99,17.40,16.92,1.12M,1.49%
Mar 29  2016,16.78,16.84,16.89,16.55,1.20M,-1.35%
Mar 28  2016,17.01,16.93,17.02,16.62,1.13M,0.71%
Mar 24  2016,16.89,16.49,17.18,16.38,1.80M,0.78%
Mar 23  2016,16.76,17.56,17.59,16.67,1.68M,-3.46%
Mar 22  2016,17.36,17.74,17.76,17.36,1.90M,-2.25%
Mar 21  2016,17.76,17.77,18.00,17.62,1.33M,0.17%
Mar 18  2016,17.73,17.75,17.96,17.65,5.19M,-0.11%
Mar 17  2016,17.75,17.82,18.13,17.71,1.92M,0.68%
Mar 16  2016,17.63,17.68,17.92,17.39,1.76M,0.74%
Mar 15  2016,17.50,17.15,17.51,16.92,1.59M,0.92%
Mar 14  2016,17.34,17.11,17.42,16.91,1.68M,-0.23%
Mar 11  2016,17.38,17.08,17.49,16.99,2.36M,4.38%
Mar 10  2016,16.65,16.83,17.07,16.59,2.08M,-1.36%
Mar 09  2016,16.88,17.00,17.39,16.86,3.06M,1.02%
Mar 08  2016,16.71,17.04,17.04,16.33,3.23M,-1.47%
Mar 07  2016,16.96,16.74,17.11,16.45,4.19M,1.50%
Mar 04  2016,16.71,16.53,16.85,16.37,3.29M,2.26%
Mar 03  2016,16.34,16.19,16.68,16.06,3.20M,1.11%
Mar 02  2016,16.16,15.69,16.18,15.59,2.06M,2.41%
Mar 01  2016,15.78,15.64,15.83,15.39,2.69M,1.94%
Feb 29  2016,15.48,15.05,15.53,14.99,3.17M,3.89%
Feb 26  2016,14.90,14.58,15.35,14.57,2.21M,4.49%
Feb 25  2016,14.26,14.47,14.64,13.95,2.26M,-1.79%
Feb 24  2016,14.52,14.02,14.73,13.86,2.47M,0.21%
Feb 23  2016,14.49,14.76,15.09,14.44,1.96M,-3.46%
Feb 22  2016,15.01,14.80,15.18,14.78,2.66M,3.30%
Feb 19  2016,14.53,14.59,14.67,14.35,2.47M,-2.94%
Feb 18  2016,14.97,15.23,15.24,14.80,2.54M,-0.53%
Feb 17  2016,15.05,14.76,15.08,14.50,2.63M,3.44%
Feb 16  2016,14.55,14.74,14.81,14.38,1.91M,0.28%
Feb 12  2016,14.51,14.29,14.73,14.13,3.09M,4.01%
Feb 11  2016,13.95,12.88,14.52,12.74,5.33M,3.18%
Feb 10  2016,13.52,14.80,14.80,13.51,5.73M,-8.40%
Feb 09  2016,14.76,15.35,15.38,14.74,3.80M,-5.57%
Feb 08  2016,15.63,16.12,16.31,15.61,2.20M,-4.58%
Feb 05  2016,16.38,16.45,16.60,16.18,1.62M,-0.91%
Feb 04  2016,16.53,16.80,16.99,16.31,1.60M,-0.36%
Feb 03  2016,16.59,16.07,16.63,15.53,2.76M,4.67%
Feb 02  2016,15.85,16.27,16.35,15.76,2.45M,-4.63%
Feb 01  2016,16.62,16.95,17.08,16.53,2.19M,-3.71%
Jan 29  2016,17.26,17.35,17.69,16.85,3.43M,0.23%
Jan 28  2016,17.22,17.43,17.53,16.70,3.34M,1.83%
Jan 27  2016,16.91,17.00,17.34,16.18,3.58M,-1.46%
Jan 26  2016,17.16,17.49,17.64,16.80,4.70M,-0.81%
Jan 25  2016,17.30,17.40,17.75,17.22,2.51M,-2.81%
Jan 22  2016,17.80,17.74,18.15,17.66,3.03M,5.01%
Jan 21  2016,16.95,16.67,17.32,16.45,3.90M,2.48%
Jan 20  2016,16.54,16.72,16.85,15.72,4.57M,-3.95%
Jan 19  2016,17.22,17.04,17.36,16.74,2.81M,2.01%
Jan 18  2016,16.88,16.91,17.03,16.52,801.80K,-1.63%
Jan 15  2016,17.16,16.26,17.16,16.25,2.83M,-0.75%
Jan 14  2016,17.29,16.25,17.35,16.06,2.50M,5.68%
Jan 13  2016,16.36,16.73,17.19,16.11,3.77M,-1.21%
Jan 12  2016,16.56,16.56,16.62,16.07,2.42M,1.53%
Jan 11  2016,16.31,16.44,16.47,15.94,2.57M,-1.15%
Jan 08  2016,16.50,16.73,16.83,16.25,2.01M,-0.96%
Jan 07  2016,16.66,16.80,17.12,16.51,2.36M,-3.87%
Jan 06  2016,17.33,16.86,17.44,16.82,3.18M,-0.06%
Jan 05  2016,17.34,17.25,17.46,16.98,2.49M,0.06%
Jan 04  2016,17.33,17.40,17.51,16.96,2.30M,-0.97%
Dec 31  2015,17.50,17.32,17.68,17.31,1.58M,0.52%
Dec 30  2015,17.41,17.52,17.85,17.30,1.08M,-1.86%
Dec 29  2015,17.74,17.96,18.08,17.67,1.10M,-1.39%
Dec 24  2015,17.99,18.04,18.17,17.78,934.98K,-0.22%
Dec 23  2015,18.03,17.59,18.19,17.59,2.32M,3.98%
Dec 22  2015,17.34,17.14,17.47,16.88,1.88M,0.87%
Dec 21  2015,17.19,17.45,17.72,17.10,1.68M,-2.05%
Dec 18  2015,17.55,17.36,18.06,17.36,4.15M,0.63%
Dec 17  2015,17.44,17.53,17.68,17.20,1.71M,-0.80%
Dec 16  2015,17.58,17.63,17.79,17.28,2.00M,-1.07%
Dec 15  2015,17.77,17.45,17.95,17.39,2.44M,3.13%
Dec 14  2015,17.23,17.31,17.42,16.85,2.86M,-1.15%
Dec 11  2015,17.43,17.89,17.92,17.37,1.66M,-5.01%
Dec 10  2015,18.35,18.40,18.92,18.22,1.63M,-1.77%
