Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,6.79,6.71,6.82,6.65,1.19M,3.35%
Apr 18  2016,6.57,6.72,6.75,6.54,203.84K,-0.45%
Apr 15  2016,6.60,6.51,6.61,6.43,219.28K,1.23%
Apr 14  2016,6.52,6.61,6.70,6.42,319.14K,-1.51%
Apr 13  2016,6.62,6.66,6.85,6.55,633.51K,-1.05%
Apr 12  2016,6.69,6.40,6.72,6.37,659.15K,4.69%
Apr 11  2016,6.39,6.43,6.55,6.36,460.39K,1.27%
Apr 08  2016,6.31,6.10,6.31,6.04,491.75K,3.95%
Apr 07  2016,6.07,6.09,6.17,6.04,463.28K,0.83%
Apr 06  2016,6.02,6.03,6.10,5.95,345.67K,-0.82%
Apr 05  2016,6.07,6.10,6.14,5.96,465.04K,1.00%
Apr 04  2016,6.01,6.13,6.18,5.96,350.50K,-2.44%
Apr 01  2016,6.16,5.95,6.16,5.93,621.23K,2.16%
Mar 31  2016,6.03,6.20,6.25,5.99,608.87K,-2.27%
Mar 30  2016,6.17,6.00,6.19,5.88,888.30K,2.66%
Mar 29  2016,6.01,5.79,6.09,5.76,760.71K,3.98%
Mar 28  2016,5.78,5.97,6.01,5.64,454.06K,-1.20%
Mar 24  2016,5.85,5.88,6.07,5.84,524.09K,0.34%
Mar 23  2016,5.83,6.10,6.23,5.81,1.17M,-6.42%
Mar 22  2016,6.23,6.29,6.38,6.14,664.57K,0.32%
Mar 21  2016,6.21,6.50,6.50,6.18,751.46K,-3.57%
Mar 18  2016,6.44,6.40,6.64,6.36,3.55M,0.78%
Mar 17  2016,6.39,6.75,6.85,6.37,1.25M,-4.05%
Mar 16  2016,6.66,6.27,6.74,6.26,1.87M,5.21%
Mar 15  2016,6.33,6.16,6.42,6.15,3.41M,4.28%
Mar 14  2016,6.07,7.24,7.29,6.05,3.71M,-17.19%
Mar 11  2016,7.33,7.32,7.45,7.19,932.46K,0.00%
Mar 10  2016,7.33,7.24,7.43,7.12,875.32K,2.95%
Mar 09  2016,7.12,7.04,7.19,6.83,829.34K,-0.42%
Mar 08  2016,7.15,7.50,7.50,7.09,924.18K,-4.67%
Mar 07  2016,7.50,7.40,7.60,7.25,908.00K,4.17%
Mar 04  2016,7.20,7.35,7.73,7.15,1.02M,-2.57%
Mar 03  2016,7.39,7.33,7.48,7.24,983.01K,2.21%
Mar 02  2016,7.23,7.01,7.25,7.01,813.49K,4.18%
Mar 01  2016,6.94,7.43,7.45,6.86,903.27K,-6.72%
Feb 29  2016,7.44,7.26,7.49,7.26,1.42M,1.50%
Feb 26  2016,7.33,7.35,7.39,7.06,1.04M,-1.48%
Feb 25  2016,7.44,7.51,7.60,7.28,917.54K,3.19%
Feb 24  2016,7.21,7.48,7.81,7.20,1.07M,0.00%
Feb 23  2016,7.21,7.45,7.46,7.13,698.83K,-1.64%
Feb 22  2016,7.33,7.09,7.44,7.07,768.38K,2.23%
Feb 19  2016,7.17,7.44,7.50,7.09,1.08M,-2.85%
Feb 18  2016,7.38,6.46,7.38,6.43,1.35M,15.49%
Feb 17  2016,6.39,6.63,6.64,6.22,1.01M,-2.44%
Feb 16  2016,6.55,6.84,6.95,6.51,914.50K,-5.62%
Feb 12  2016,6.94,6.78,7.17,6.68,1.37M,1.02%
Feb 11  2016,6.87,6.55,7.04,6.54,1.22M,10.10%
Feb 10  2016,6.24,6.82,6.82,6.11,1.36M,-6.59%
Feb 09  2016,6.68,7.09,7.09,6.65,1.09M,-4.57%
Feb 08  2016,7.00,7.20,7.31,6.94,801.05K,-0.85%
Feb 05  2016,7.06,6.78,7.08,6.61,956.42K,4.90%
Feb 04  2016,6.73,6.92,6.96,6.50,896.83K,0.45%
Feb 03  2016,6.70,6.55,6.87,6.48,1.10M,3.08%
Feb 02  2016,6.50,6.43,6.62,6.32,653.67K,-1.37%
Feb 01  2016,6.59,6.97,6.97,6.46,667.26K,3.29%
Jan 29  2016,6.38,6.28,6.54,6.12,3.09M,1.59%
Jan 28  2016,6.28,6.12,6.53,6.10,699.33K,-0.32%
Jan 27  2016,6.30,6.10,6.42,6.07,921.75K,3.28%
Jan 26  2016,6.10,6.31,6.33,6.02,657.82K,-2.24%
Jan 25  2016,6.24,6.45,6.54,6.19,685.42K,-1.42%
Jan 22  2016,6.33,6.28,6.42,6.14,776.43K,-0.94%
Jan 21  2016,6.39,6.59,6.62,6.21,728.81K,-4.91%
Jan 20  2016,6.72,6.98,7.01,6.56,912.44K,1.05%
Jan 19  2016,6.65,6.84,6.93,6.51,859.27K,-3.20%
Jan 18  2016,6.87,6.82,7.03,6.80,130.22K,0.44%
Jan 15  2016,6.84,7.13,7.32,6.63,1.63M,-2.43%
Jan 14  2016,7.01,7.18,7.30,6.87,1.08M,-3.84%
Jan 13  2016,7.29,7.67,7.70,7.22,1.79M,-4.20%
Jan 12  2016,7.61,7.22,7.65,7.22,1.21M,3.96%
Jan 11  2016,7.32,7.36,7.50,7.27,924.54K,-2.40%
Jan 08  2016,7.50,7.69,7.72,7.41,1.21M,-3.35%
Jan 07  2016,7.76,7.46,7.98,7.46,1.38M,9.76%
Jan 06  2016,7.07,6.82,7.19,6.79,791.84K,3.67%
Jan 05  2016,6.82,6.71,6.87,6.71,542.42K,1.49%
Jan 04  2016,6.72,6.86,6.91,6.67,633.35K,1.97%
Dec 31  2015,6.59,6.51,6.65,6.50,335.83K,0.92%
Dec 30  2015,6.53,6.54,6.61,6.51,383.55K,-1.95%
Dec 29  2015,6.66,6.70,6.76,6.50,598.09K,-3.48%
Dec 24  2015,6.90,6.78,6.94,6.70,264.97K,1.92%
Dec 23  2015,6.77,6.75,6.92,6.70,482.71K,-0.29%
Dec 22  2015,6.79,7.10,7.33,6.75,809.93K,-5.56%
Dec 21  2015,7.19,7.17,7.45,7.15,1.07M,1.99%
Dec 18  2015,7.05,7.08,7.39,6.97,12.43M,-0.28%
Dec 17  2015,7.07,6.78,7.19,6.78,1.34M,-2.75%
Dec 16  2015,7.27,7.40,7.41,7.11,1.30M,1.96%
Dec 15  2015,7.13,6.98,7.23,6.90,1.03M,3.33%
Dec 14  2015,6.90,7.75,7.75,6.68,1.90M,-13.32%
Dec 11  2015,7.96,7.90,8.22,7.90,973.77K,0.25%
Dec 10  2015,7.94,7.73,8.06,7.65,670.08K,2.19%
Dec 09  2015,7.77,7.46,7.79,7.37,857.70K,4.30%
Dec 08  2015,7.45,7.48,7.59,7.34,568.60K,0.13%
Dec 07  2015,7.44,7.57,7.73,7.35,546.99K,-2.23%
Dec 04  2015,7.61,7.38,7.75,7.38,903.13K,3.96%
Dec 03  2015,7.32,7.51,7.51,7.20,527.54K,0.00%
Dec 02  2015,7.32,7.30,7.44,7.18,492.64K,-1.08%
Dec 01  2015,7.40,7.60,7.60,7.16,503.37K,1.93%
Nov 30  2015,7.26,7.37,7.50,7.18,553.60K,1.11%
Nov 27  2015,7.18,7.15,7.29,7.10,240.01K,-2.31%
Nov 26  2015,7.35,7.15,7.35,7.15,145.80K,0.55%
Nov 25  2015,7.31,7.30,7.57,7.24,426.90K,-1.48%
Nov 24  2015,7.42,7.17,7.49,7.09,605.68K,4.07%
Nov 23  2015,7.13,7.00,7.18,7.00,196.66K,1.13%
Nov 20  2015,7.05,7.26,7.43,7.02,804.10K,-3.69%
Nov 19  2015,7.32,7.05,7.34,6.96,456.39K,4.27%
Nov 18  2015,7.02,7.10,7.10,6.82,583.27K,1.01%
Nov 17  2015,6.95,7.38,7.38,6.94,689.07K,-6.59%
Nov 16  2015,7.44,7.49,7.58,7.43,255.11K,-0.13%
Nov 13  2015,7.45,7.18,7.49,7.12,496.17K,2.90%
Nov 12  2015,7.24,7.09,7.51,7.09,652.58K,1.26%
Nov 11  2015,7.15,7.06,7.24,7.03,721.92K,1.27%
Nov 10  2015,7.06,7.07,7.20,6.94,527.86K,-0.28%
Nov 09  2015,7.08,6.96,7.16,6.96,1.04M,0.28%
Nov 06  2015,7.06,7.03,7.30,6.96,480.55K,-1.26%
Nov 05  2015,7.15,7.12,7.40,7.03,744.72K,0.42%
Nov 04  2015,7.12,7.56,7.62,7.08,973.40K,-4.94%
Nov 03  2015,7.49,7.42,7.62,7.23,522.49K,1.77%
Nov 02  2015,7.36,7.38,7.48,7.18,358.20K,0.00%
Oct 30  2015,7.36,7.61,7.72,7.34,640.46K,-2.52%
Oct 29  2015,7.55,7.97,7.99,7.41,586.85K,-5.86%
Oct 28  2015,8.02,8.24,8.67,7.85,833.34K,-1.84%
Oct 27  2015,8.17,8.16,8.20,8.04,279.72K,-0.49%
Oct 26  2015,8.21,8.44,8.50,8.13,469.29K,-1.56%
Oct 23  2015,8.34,7.93,8.48,7.79,845.54K,6.38%
Oct 22  2015,7.84,7.70,8.08,7.66,412.44K,2.48%
Oct 21  2015,7.65,7.89,7.89,7.57,500.65K,-3.29%
Oct 20  2015,7.91,7.70,8.00,7.38,714.20K,8.65%
Oct 19  2015,7.28,7.43,7.62,7.21,677.82K,-2.54%
Oct 16  2015,7.47,7.82,7.88,7.47,501.60K,-5.80%
Oct 15  2015,7.93,7.78,7.94,7.60,513.57K,1.93%
Oct 14  2015,7.78,7.60,7.81,7.56,841.78K,2.91%
Oct 13  2015,7.56,7.76,7.80,7.52,469.05K,-2.07%
Oct 09  2015,7.72,7.70,7.77,7.51,800.78K,2.39%
Oct 08  2015,7.54,7.58,7.83,7.52,758.95K,-1.82%
Oct 07  2015,7.68,7.73,7.89,7.54,1.10M,-0.78%
Oct 06  2015,7.74,7.90,7.92,7.63,1.00M,-0.77%
Oct 05  2015,7.80,7.65,7.93,7.65,1.06M,2.90%
Oct 02  2015,7.58,7.48,7.59,7.36,660.68K,3.98%
Oct 01  2015,7.29,7.54,7.63,7.22,427.02K,-3.32%
Sep 30  2015,7.54,7.37,7.58,7.22,501.33K,1.75%
Sep 29  2015,7.41,7.53,7.66,7.40,604.70K,-2.50%
Sep 28  2015,7.60,7.69,7.75,7.53,677.46K,-2.31%
Sep 25  2015,7.78,7.73,7.85,7.64,564.39K,-0.51%
Sep 24  2015,7.82,7.40,7.87,7.34,936.71K,8.16%
Sep 23  2015,7.23,7.28,7.31,7.16,211.86K,1.26%
Sep 22  2015,7.14,7.25,7.29,7.12,466.09K,-3.51%
Sep 21  2015,7.40,7.45,7.55,7.33,649.53K,-1.46%
Sep 18  2015,7.51,7.46,7.55,7.24,4.94M,2.32%
Sep 17  2015,7.34,7.00,7.39,6.86,1.10M,4.86%
Sep 16  2015,7.00,6.99,7.02,6.85,788.95K,3.24%
Sep 15  2015,6.78,6.93,6.93,6.75,820.54K,-2.59%
Sep 14  2015,6.96,6.33,7.29,6.32,1.20M,10.30%
Sep 11  2015,6.31,6.20,6.38,6.18,643.41K,0.16%
Sep 10  2015,6.30,6.41,6.46,6.28,417.03K,0.64%
Sep 09  2015,6.26,6.53,6.53,6.24,397.56K,-3.99%
Sep 08  2015,6.52,6.79,6.79,6.46,320.97K,-2.25%
Sep 04  2015,6.67,6.42,6.67,6.39,642.67K,2.46%
Sep 03  2015,6.51,6.59,6.86,6.50,471.66K,-1.96%
Sep 02  2015,6.64,6.38,6.67,6.37,450.82K,2.95%
Sep 01  2015,6.45,6.54,6.76,6.43,572.25K,-3.01%
Aug 31  2015,6.65,6.56,6.81,6.54,749.81K,-1.92%
Aug 28  2015,6.78,6.45,6.87,6.45,814.60K,3.35%
Aug 27  2015,6.56,6.34,6.76,6.15,883.24K,2.34%
