Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,14.04,14.00,14.04,13.85,302.60K,0.07%
Apr 18  2016,14.03,13.86,14.15,13.86,505.58K,1.01%
Apr 15  2016,13.89,13.95,13.96,13.86,218.86K,-0.22%
Apr 14  2016,13.92,13.79,13.92,13.75,367.17K,1.02%
Apr 13  2016,13.78,13.86,13.86,13.69,502.16K,0.00%
Apr 12  2016,13.78,14.04,14.04,13.76,234.83K,-1.43%
Apr 11  2016,13.98,14.00,14.06,13.95,364.32K,0.00%
Apr 08  2016,13.98,14.22,14.22,13.91,421.70K,-1.96%
Apr 07  2016,14.26,14.05,14.27,14.05,553.39K,1.49%
Apr 06  2016,14.05,14.05,14.10,14.00,308.84K,0.07%
Apr 05  2016,14.04,14.01,14.09,13.97,285.29K,-0.92%
Apr 04  2016,14.17,14.15,14.19,14.02,308.93K,0.64%
Apr 01  2016,14.08,14.01,14.12,13.96,391.69K,-0.14%
Mar 31  2016,14.10,14.25,14.25,14.06,369.11K,-0.84%
Mar 30  2016,14.22,13.93,14.35,13.91,736.17K,2.60%
Mar 29  2016,13.86,13.85,13.99,13.82,320.43K,0.22%
Mar 28  2016,13.83,13.65,13.87,13.56,217.10K,0.95%
Mar 24  2016,13.70,13.77,13.78,13.65,256.90K,-0.80%
Mar 23  2016,13.81,13.90,13.92,13.77,277.33K,-0.72%
Mar 22  2016,13.91,13.97,14.07,13.82,308.01K,-0.86%
Mar 21  2016,14.03,14.00,14.07,13.90,241.35K,0.43%
Mar 18  2016,13.97,13.93,14.03,13.90,555.37K,0.29%
Mar 17  2016,13.93,13.95,13.97,13.83,410.65K,-0.07%
Mar 16  2016,13.94,13.82,14.04,13.81,417.97K,0.65%
Mar 15  2016,13.85,13.66,13.89,13.54,567.37K,1.61%
Mar 14  2016,13.63,13.62,13.65,13.53,276.97K,0.44%
Mar 11  2016,13.57,13.52,13.62,13.45,332.27K,0.97%
Mar 10  2016,13.44,13.51,13.57,13.35,285.24K,-0.44%
Mar 09  2016,13.50,13.25,13.56,13.21,331.23K,2.51%
Mar 08  2016,13.17,13.18,13.24,13.11,134.94K,-0.15%
Mar 07  2016,13.19,13.16,13.22,13.12,241.12K,0.46%
Mar 04  2016,13.13,13.31,13.40,13.13,264.49K,-1.43%
Mar 03  2016,13.32,13.22,13.33,13.16,274.74K,0.68%
Mar 02  2016,13.23,13.18,13.25,13.11,309.59K,0.46%
Mar 01  2016,13.17,13.09,13.19,12.91,515.19K,1.62%
Feb 29  2016,12.96,12.90,13.11,12.89,698.33K,0.62%
Feb 26  2016,12.88,12.90,13.00,12.78,454.58K,0.31%
Feb 25  2016,12.84,12.75,12.87,12.71,198.57K,0.31%
Feb 24  2016,12.80,12.63,12.80,12.61,217.44K,0.87%
Feb 23  2016,12.69,12.72,12.79,12.65,228.17K,-0.55%
Feb 22  2016,12.76,12.59,12.77,12.59,451.26K,1.43%
Feb 19  2016,12.58,12.54,12.65,12.51,195.05K,-0.08%
Feb 18  2016,12.59,12.39,12.64,12.35,345.96K,1.94%
Feb 17  2016,12.35,12.25,12.38,12.21,298.60K,0.98%
Feb 16  2016,12.23,12.25,12.27,12.15,202.86K,0.91%
Feb 12  2016,12.12,12.16,12.25,12.09,260.98K,0.00%
Feb 11  2016,12.12,12.15,12.24,12.02,329.72K,-1.06%
Feb 10  2016,12.25,12.27,12.40,12.21,715.75K,0.33%
Feb 09  2016,12.21,12.25,12.36,12.16,544.64K,-0.57%
Feb 08  2016,12.28,12.55,12.58,12.28,328.32K,-2.77%
Feb 05  2016,12.63,12.66,12.67,12.49,201.22K,0.08%
Feb 04  2016,12.62,12.42,12.62,12.42,285.08K,1.53%
Feb 03  2016,12.43,12.73,12.74,12.39,472.41K,-1.43%
Feb 02  2016,12.61,12.70,12.70,12.47,190.81K,-0.79%
Feb 01  2016,12.71,12.75,12.78,12.57,249.86K,-0.31%
Jan 29  2016,12.75,12.58,12.75,12.54,307.68K,1.51%
Jan 28  2016,12.56,12.56,12.59,12.42,207.57K,0.48%
Jan 27  2016,12.50,12.49,12.55,12.30,278.05K,0.24%
Jan 26  2016,12.47,12.49,12.57,12.43,176.72K,0.32%
Jan 25  2016,12.43,12.51,12.64,12.39,237.95K,-0.48%
Jan 22  2016,12.49,12.27,12.55,12.27,275.10K,2.29%
Jan 21  2016,12.21,12.04,12.22,11.91,368.52K,2.18%
Jan 20  2016,11.95,12.00,12.07,11.74,422.74K,-1.48%
Jan 19  2016,12.13,11.99,12.15,11.93,514.26K,2.19%
Jan 18  2016,11.87,11.99,12.07,11.83,224.27K,-0.84%
Jan 15  2016,11.97,11.92,12.11,11.81,436.07K,-1.07%
Jan 14  2016,12.10,12.23,12.25,11.97,412.49K,-1.22%
Jan 13  2016,12.25,12.35,12.52,12.21,267.46K,-0.81%
Jan 12  2016,12.35,12.26,12.44,12.23,346.85K,0.32%
Jan 11  2016,12.31,12.37,12.40,12.19,381.56K,-0.24%
Jan 08  2016,12.34,12.48,12.54,12.34,393.69K,-0.40%
Jan 07  2016,12.39,12.43,12.52,12.29,326.79K,-0.72%
Jan 06  2016,12.48,12.71,12.73,12.48,423.82K,-2.50%
Jan 05  2016,12.80,12.85,13.04,12.78,317.87K,-0.62%
Jan 04  2016,12.88,12.54,12.89,12.48,391.70K,1.42%
Dec 31  2015,12.70,12.78,12.79,12.55,368.99K,-0.70%
Dec 30  2015,12.79,12.75,12.88,12.71,391.17K,0.39%
Dec 29  2015,12.74,12.82,12.83,12.65,349.09K,-0.55%
Dec 24  2015,12.81,12.85,12.87,12.78,91.71K,-0.08%
Dec 23  2015,12.82,12.88,12.92,12.80,318.06K,-0.23%
Dec 22  2015,12.85,12.85,12.89,12.77,156.28K,0.00%
Dec 21  2015,12.85,12.92,12.96,12.85,195.00K,-0.46%
Dec 18  2015,12.91,12.82,12.92,12.73,669.24K,0.78%
Dec 17  2015,12.81,12.77,12.94,12.69,393.10K,0.87%
Dec 16  2015,12.70,12.51,12.75,12.51,295.21K,1.44%
Dec 15  2015,12.52,12.34,12.62,12.33,392.83K,1.87%
Dec 14  2015,12.29,12.32,12.36,12.16,242.02K,0.08%
Dec 11  2015,12.28,12.54,12.54,12.28,385.94K,-1.92%
Dec 10  2015,12.52,12.65,12.74,12.51,303.13K,-0.95%
Dec 09  2015,12.64,12.76,12.78,12.64,298.72K,-0.78%
Dec 08  2015,12.74,12.88,12.88,12.68,271.96K,-1.39%
Dec 07  2015,12.92,12.81,12.92,12.81,208.08K,1.02%
Dec 04  2015,12.79,12.89,12.89,12.72,349.45K,-0.47%
Dec 03  2015,12.85,13.07,13.08,12.83,363.36K,-1.76%
Dec 02  2015,13.08,13.19,13.22,13.05,443.83K,-1.21%
Dec 01  2015,13.24,13.22,13.25,13.10,187.88K,0.30%
Nov 30  2015,13.20,13.24,13.24,13.08,222.78K,0.08%
Nov 27  2015,13.19,13.14,13.20,13.00,135.59K,0.84%
Nov 26  2015,13.08,13.00,13.25,13.00,221.83K,0.54%
Nov 25  2015,13.01,13.08,13.08,12.90,316.03K,-0.61%
Nov 24  2015,13.09,13.09,13.13,13.00,236.30K,-0.23%
Nov 23  2015,13.12,13.10,13.19,13.08,223.43K,0.54%
Nov 20  2015,13.05,12.90,13.10,12.89,337.45K,1.32%
Nov 19  2015,12.88,12.91,12.97,12.77,362.08K,-0.69%
Nov 18  2015,12.97,13.03,13.15,12.94,593.37K,-0.54%
Nov 17  2015,13.04,12.98,13.09,12.90,741.60K,0.93%
Nov 16  2015,12.92,12.89,13.10,12.89,421.26K,1.49%
Nov 13  2015,12.73,12.65,12.80,12.62,179.89K,0.95%
Nov 12  2015,12.61,12.75,12.76,12.54,276.12K,-1.10%
Nov 11  2015,12.75,12.76,12.86,12.70,244.38K,0.16%
Nov 10  2015,12.73,12.75,12.81,12.66,271.87K,-0.16%
Nov 09  2015,12.75,12.89,12.89,12.69,341.05K,-0.86%
Nov 06  2015,12.86,13.04,13.06,12.83,402.96K,-1.83%
Nov 05  2015,13.10,12.78,13.12,12.77,530.02K,2.58%
Nov 04  2015,12.77,12.85,12.91,12.67,365.46K,-0.31%
Nov 03  2015,12.81,12.85,12.91,12.79,280.24K,-0.23%
Nov 02  2015,12.84,12.74,12.84,12.67,261.87K,1.50%
Oct 30  2015,12.65,12.75,12.86,12.62,307.86K,-0.63%
Oct 29  2015,12.73,12.70,12.76,12.63,194.20K,0.08%
Oct 28  2015,12.72,12.55,12.72,12.51,255.28K,1.19%
Oct 27  2015,12.57,12.62,12.77,12.52,370.80K,-0.71%
Oct 26  2015,12.66,12.70,12.78,12.63,193.30K,-0.16%
Oct 23  2015,12.68,12.70,12.73,12.59,373.82K,-0.16%
Oct 22  2015,12.70,12.60,12.70,12.52,365.07K,1.11%
Oct 21  2015,12.56,12.45,12.62,12.45,256.75K,0.96%
Oct 20  2015,12.44,12.46,12.53,12.40,300.40K,-0.48%
Oct 19  2015,12.50,12.36,12.59,12.28,329.01K,1.13%
Oct 16  2015,12.36,12.38,12.50,12.32,346.14K,0.08%
Oct 15  2015,12.35,12.29,12.36,12.19,306.98K,0.82%
Oct 14  2015,12.25,12.30,12.37,12.24,284.50K,-0.33%
Oct 13  2015,12.29,12.40,12.43,12.19,279.13K,-1.29%
Oct 09  2015,12.45,12.37,12.50,12.26,237.50K,1.14%
Oct 08  2015,12.31,12.28,12.34,12.16,506.65K,0.57%
Oct 07  2015,12.24,12.38,12.39,12.17,432.14K,-0.49%
Oct 06  2015,12.30,12.75,12.76,12.25,596.15K,-3.38%
Oct 05  2015,12.73,12.34,12.76,12.30,629.91K,3.75%
Oct 02  2015,12.27,12.06,12.29,12.06,325.48K,1.07%
Oct 01  2015,12.14,12.30,12.30,12.05,363.45K,-1.22%
Sep 30  2015,12.29,12.22,12.30,12.13,273.77K,1.07%
Sep 29  2015,12.16,12.20,12.21,12.11,460.07K,-0.16%
Sep 28  2015,12.18,12.15,12.33,12.10,833.39K,-0.16%
Sep 25  2015,12.20,12.23,12.30,12.18,274.63K,0.08%
Sep 24  2015,12.19,12.34,12.37,12.17,369.54K,-1.46%
Sep 23  2015,12.37,12.51,12.53,12.34,353.98K,-0.88%
Sep 22  2015,12.48,12.38,12.57,12.38,299.11K,-0.08%
Sep 21  2015,12.49,12.50,12.64,12.38,624.94K,0.32%
Sep 18  2015,12.45,12.13,12.63,12.02,2.61M,2.47%
Sep 17  2015,12.15,12.15,12.21,12.03,382.76K,0.58%
Sep 16  2015,12.08,12.14,12.19,12.03,283.79K,-0.33%
Sep 15  2015,12.12,12.17,12.25,12.06,376.98K,-0.08%
Sep 14  2015,12.13,12.40,12.40,12.11,407.38K,-2.41%
Sep 11  2015,12.43,12.35,12.57,12.31,308.10K,0.73%
Sep 10  2015,12.34,12.31,12.44,12.21,299.18K,0.41%
Sep 09  2015,12.29,12.47,12.51,12.26,249.01K,-0.65%
Sep 08  2015,12.37,12.45,12.50,12.35,268.83K,0.41%
Sep 04  2015,12.32,12.22,12.46,12.22,431.35K,-0.24%
Sep 03  2015,12.35,12.48,12.54,12.33,511.51K,0.08%
Sep 02  2015,12.34,11.68,12.79,11.67,2.43M,6.84%
Sep 01  2015,11.55,11.60,11.73,11.54,221.60K,-0.94%
Aug 31  2015,11.66,11.69,11.75,11.58,145.38K,-0.60%
Aug 28  2015,11.73,11.75,11.87,11.69,352.33K,-0.17%
Aug 27  2015,11.75,11.71,11.85,11.58,343.47K,1.29%
Aug 26  2015,11.60,11.60,11.66,11.35,306.40K,1.40%
Aug 25  2015,11.44,11.49,11.76,11.38,334.47K,1.51%
Aug 24  2015,11.27,11.14,11.55,11.12,470.16K,-2.51%
Aug 21  2015,11.56,11.61,11.75,11.50,246.09K,-1.20%
Aug 20  2015,11.70,11.87,11.87,11.67,217.27K,-1.60%
Aug 19  2015,11.89,11.96,12.02,11.80,174.98K,-0.75%
Aug 18  2015,11.98,11.90,12.07,11.90,173.12K,0.17%
Aug 17  2015,11.96,11.98,12.03,11.89,206.61K,0.08%
Aug 14  2015,11.95,11.80,11.98,11.79,191.36K,1.36%
Aug 13  2015,11.79,11.75,11.86,11.66,189.66K,0.34%
Aug 12  2015,11.75,11.79,11.81,11.73,225.42K,0.00%
