Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,18.36,18.82,18.87,18.30,69.03K,-2.44%
Apr 18  2016,18.82,18.12,18.82,18.12,75.54K,3.35%
Apr 15  2016,18.21,18.00,18.25,17.95,44.54K,0.94%
Apr 14  2016,18.04,18.23,18.25,17.90,47.06K,-0.99%
Apr 13  2016,18.22,18.30,18.38,18.14,136.53K,-0.38%
Apr 12  2016,18.29,18.66,18.68,18.15,66.70K,-1.67%
Apr 11  2016,18.60,18.67,18.88,18.53,105.44K,-0.37%
Apr 08  2016,18.67,18.47,18.73,18.30,136.06K,1.74%
Apr 07  2016,18.35,18.04,18.36,17.82,133.35K,1.89%
Apr 06  2016,18.01,17.77,18.05,17.51,313.44K,1.87%
Apr 05  2016,17.68,17.86,17.86,17.40,50.35K,-0.34%
Apr 04  2016,17.74,17.48,17.82,17.35,124.98K,1.72%
Apr 01  2016,17.44,17.65,17.79,17.36,48.52K,-1.86%
Mar 31  2016,17.77,17.83,17.85,17.72,130.33K,0.57%
Mar 30  2016,17.67,17.23,17.67,17.21,53.48K,2.85%
Mar 29  2016,17.18,17.45,17.55,17.07,59.19K,-1.55%
Mar 28  2016,17.45,17.54,17.54,17.21,30.89K,0.52%
Mar 24  2016,17.36,17.23,17.42,17.06,63.91K,0.75%
Mar 23  2016,17.23,17.52,17.67,17.11,48.84K,-2.05%
Mar 22  2016,17.59,17.81,17.93,17.50,60.97K,-1.73%
Mar 21  2016,17.90,17.63,17.97,17.63,66.85K,2.05%
Mar 18  2016,17.54,17.70,17.95,17.48,162.63K,-0.62%
Mar 17  2016,17.65,17.50,17.90,17.28,102.82K,1.09%
Mar 16  2016,17.46,17.05,17.48,17.05,66.99K,2.46%
Mar 15  2016,17.04,17.14,17.25,16.92,52.47K,-0.93%
Mar 14  2016,17.20,17.22,17.36,17.00,67.07K,-0.58%
Mar 11  2016,17.30,17.13,17.35,16.99,126.85K,2.55%
Mar 10  2016,16.87,16.81,17.13,16.73,68.47K,0.72%
Mar 09  2016,16.75,16.91,17.02,16.70,75.41K,-0.59%
Mar 08  2016,16.85,16.90,16.99,16.65,44.15K,-0.35%
Mar 07  2016,16.91,17.28,17.41,16.76,114.25K,-1.97%
Mar 04  2016,17.25,16.95,17.25,16.91,79.56K,1.95%
Mar 03  2016,16.92,16.83,16.99,16.56,140.84K,1.44%
Mar 02  2016,16.68,16.35,16.68,16.35,76.18K,2.08%
Mar 01  2016,16.34,15.90,16.34,15.84,125.51K,3.16%
Feb 29  2016,15.84,15.68,15.85,15.59,123.75K,2.39%
Feb 26  2016,15.47,15.80,15.80,15.41,102.18K,-0.71%
Feb 25  2016,15.58,15.60,15.73,15.45,77.13K,-0.19%
Feb 24  2016,15.61,15.65,15.78,15.40,113.49K,-0.76%
Feb 23  2016,15.73,16.23,16.23,15.53,116.16K,-2.24%
Feb 22  2016,16.09,16.50,16.53,16.08,138.90K,-0.98%
Feb 19  2016,16.25,16.72,16.84,16.07,116.90K,-3.90%
Feb 18  2016,16.91,16.81,17.00,16.73,92.22K,1.26%
Feb 17  2016,16.70,16.50,16.73,16.30,76.56K,1.77%
Feb 16  2016,16.41,16.23,16.46,16.04,122.52K,2.18%
Feb 12  2016,16.06,15.74,16.09,15.66,142.86K,3.61%
Feb 11  2016,15.50,15.88,15.88,15.35,109.71K,-2.70%
Feb 10  2016,15.93,15.80,16.14,15.74,151.24K,1.27%
Feb 09  2016,15.73,15.21,15.95,15.20,130.65K,2.81%
Feb 08  2016,15.30,15.00,15.30,15.00,99.66K,1.32%
Feb 05  2016,15.10,15.44,15.50,15.00,251.54K,-1.88%
Feb 04  2016,15.39,15.89,16.03,15.25,212.91K,-2.53%
Feb 03  2016,15.79,15.97,16.06,15.58,66.58K,0.13%
Feb 02  2016,15.77,15.90,15.95,15.62,104.74K,-0.63%
Feb 01  2016,15.87,15.65,15.92,15.39,78.05K,2.06%
Jan 29  2016,15.55,15.40,15.62,15.28,116.00K,1.57%
Jan 28  2016,15.31,15.19,15.37,15.01,54.91K,1.86%
Jan 27  2016,15.03,14.78,15.10,14.42,115.97K,1.83%
Jan 26  2016,14.76,15.10,15.30,14.58,178.35K,-1.40%
Jan 25  2016,14.97,15.29,15.29,14.87,78.31K,-2.35%
Jan 22  2016,15.33,15.20,15.38,15.10,242.06K,2.54%
Jan 21  2016,14.95,14.83,15.00,14.75,214.37K,0.81%
Jan 20  2016,14.83,14.90,15.12,14.38,155.39K,-1.92%
Jan 19  2016,15.12,14.70,15.65,14.69,708.08K,2.86%
Jan 18  2016,14.70,14.75,15.07,14.64,69.43K,-2.52%
