Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,51.38,51.38,51.45,51.03,70.43K,0.04%
Apr 18  2016,51.36,50.75,51.48,50.75,58.80K,0.82%
Apr 15  2016,50.94,50.28,51.02,50.28,76.35K,0.53%
Apr 14  2016,50.67,51.15,51.23,50.57,116.38K,-0.98%
Apr 13  2016,51.17,51.14,51.36,51.00,146.26K,0.18%
Apr 12  2016,51.08,51.00,51.27,50.66,71.64K,0.35%
Apr 11  2016,50.90,50.90,51.30,50.82,78.67K,0.02%
Apr 08  2016,50.89,51.02,51.02,50.44,67.70K,0.18%
Apr 07  2016,50.80,50.77,51.13,50.59,69.63K,0.06%
Apr 06  2016,50.77,51.20,51.41,50.38,127.25K,-0.80%
Apr 05  2016,51.18,50.70,51.41,50.66,82.01K,0.69%
Apr 04  2016,50.83,49.81,50.91,49.81,71.20K,2.19%
Apr 01  2016,49.74,50.50,50.50,49.59,130.90K,-1.64%
Mar 31  2016,50.57,50.63,50.86,50.42,134.63K,-0.37%
Mar 30  2016,50.76,50.66,51.00,50.28,94.39K,0.49%
Mar 29  2016,50.51,50.00,50.68,49.99,89.31K,0.82%
Mar 28  2016,50.10,49.82,50.16,49.77,61.30K,0.89%
Mar 24  2016,49.66,49.82,49.93,49.55,84.02K,-0.76%
Mar 23  2016,50.04,50.17,50.41,49.98,71.89K,-0.24%
Mar 22  2016,50.16,50.34,50.47,50.05,83.26K,-0.65%
Mar 21  2016,50.49,50.27,50.57,49.92,78.98K,0.60%
Mar 18  2016,50.19,50.03,50.30,49.89,177.05K,0.28%
Mar 17  2016,50.05,49.48,50.26,49.48,136.85K,0.48%
Mar 16  2016,49.81,49.75,49.95,49.43,106.62K,0.02%
Mar 15  2016,49.80,49.94,50.00,49.79,67.46K,-0.18%
Mar 14  2016,49.89,49.98,50.09,49.79,73.62K,-0.02%
Mar 11  2016,49.90,50.00,50.01,49.83,145.39K,-0.06%
Mar 10  2016,49.93,49.60,50.00,49.46,97.85K,0.95%
Mar 09  2016,49.46,50.00,50.01,49.44,94.25K,-0.94%
Mar 08  2016,49.93,49.93,50.22,49.85,129.41K,-0.10%
Mar 07  2016,49.98,50.04,50.20,49.75,118.69K,-0.04%
Mar 04  2016,50.00,50.49,50.49,49.57,126.92K,-0.73%
Mar 03  2016,50.37,50.23,50.55,49.89,100.63K,0.44%
Mar 02  2016,50.15,50.75,50.76,49.49,162.70K,-1.14%
Mar 01  2016,50.73,49.67,50.89,49.66,215.55K,2.73%
Feb 29  2016,49.38,48.99,49.77,48.99,88.98K,1.04%
Feb 26  2016,48.87,49.41,49.46,48.87,92.80K,-0.59%
Feb 25  2016,49.16,49.65,49.93,49.14,95.02K,-0.89%
Feb 24  2016,49.60,49.94,49.94,49.32,168.02K,-0.98%
Feb 23  2016,50.09,49.90,50.30,49.59,134.35K,-0.02%
Feb 22  2016,50.10,49.98,50.41,49.73,130.04K,0.70%
Feb 19  2016,49.75,49.73,49.92,49.11,130.60K,-0.04%
Feb 18  2016,49.77,49.67,50.34,49.59,175.16K,0.48%
Feb 17  2016,49.53,49.02,49.73,48.95,238.13K,1.21%
Feb 16  2016,48.94,48.87,49.16,48.44,169.48K,1.07%
Feb 12  2016,48.42,48.02,48.57,47.62,165.98K,1.17%
Feb 11  2016,47.86,47.93,48.49,47.61,269.62K,-0.79%
Feb 10  2016,48.24,48.81,49.19,48.09,230.31K,-1.05%
Feb 09  2016,48.75,47.74,50.10,47.55,564.98K,4.43%
Feb 08  2016,46.68,47.10,47.61,46.58,108.08K,-1.29%
Feb 05  2016,47.29,48.52,48.71,47.05,134.76K,-2.68%
Feb 04  2016,48.59,48.88,49.08,48.41,167.47K,-0.27%
Feb 03  2016,48.72,48.66,48.89,48.18,158.03K,0.35%
