Date,Price,Open,High,Low,Vol.,Change %
Apr 19  2016,64.57,65.60,65.61,64.36,107.49K,-1.57%
Apr 18  2016,65.60,64.83,66.10,64.72,80.24K,0.88%
Apr 15  2016,65.03,64.75,65.03,63.65,82.43K,0.17%
Apr 14  2016,64.92,67.18,67.18,64.58,95.36K,-3.03%
Apr 13  2016,66.95,66.81,67.20,66.41,93.17K,0.81%
Apr 12  2016,66.41,67.31,67.50,66.05,83.56K,-1.54%
Apr 11  2016,67.45,68.30,68.30,67.21,77.78K,-1.19%
Apr 08  2016,68.26,68.52,68.60,67.83,121.02K,0.03%
Apr 07  2016,68.24,66.65,68.30,66.00,130.83K,2.43%
Apr 06  2016,66.62,68.85,69.16,66.15,174.46K,-3.24%
Apr 05  2016,68.85,69.02,69.40,68.65,80.96K,-0.79%
Apr 04  2016,69.40,69.18,69.74,69.01,182.79K,0.51%
Apr 01  2016,69.05,68.94,69.76,67.44,87.51K,-0.30%
Mar 31  2016,69.26,69.32,69.55,69.25,84.93K,-0.29%
Mar 30  2016,69.46,69.55,69.87,69.03,70.98K,0.14%
Mar 29  2016,69.36,68.14,69.69,68.14,45.90K,1.37%
Mar 28  2016,68.42,68.48,68.66,67.79,84.58K,0.16%
Mar 24  2016,68.31,68.50,68.50,68.00,51.44K,-1.00%
Mar 23  2016,69.00,69.72,69.72,68.13,87.04K,-1.93%
Mar 22  2016,70.36,70.39,70.50,69.85,68.35K,-0.45%
Mar 21  2016,70.68,71.08,71.67,70.42,84.21K,-0.83%
Mar 18  2016,71.27,71.22,71.46,70.76,148.20K,0.13%
Mar 17  2016,71.18,69.50,71.53,69.35,123.37K,2.42%
Mar 16  2016,69.50,69.30,69.98,69.00,76.87K,0.35%
Mar 15  2016,69.26,68.64,69.41,67.55,93.26K,1.55%
Mar 14  2016,68.20,67.77,69.61,67.55,69.50K,0.66%
Mar 11  2016,67.75,67.42,68.72,67.02,91.98K,0.97%
Mar 10  2016,67.10,66.79,67.22,66.49,78.48K,0.52%
Mar 09  2016,66.75,66.00,66.97,65.85,88.33K,1.40%
Mar 08  2016,65.83,66.12,66.17,65.29,37.40K,-0.56%
Mar 07  2016,66.20,65.38,66.50,65.09,62.89K,1.91%
Mar 04  2016,64.96,65.01,65.46,64.83,73.46K,0.09%
Mar 03  2016,64.90,63.80,65.22,63.80,83.41K,1.77%
Mar 02  2016,63.77,64.06,64.33,63.26,49.64K,-0.76%
Mar 01  2016,64.26,63.73,64.37,63.64,69.55K,1.31%
Feb 29  2016,63.43,63.30,63.90,63.20,98.10K,0.03%
Feb 26  2016,63.41,63.32,63.64,63.00,43.03K,0.52%
Feb 25  2016,63.08,62.99,63.13,62.51,78.22K,0.38%
Feb 24  2016,62.84,63.67,63.90,62.52,126.68K,-2.00%
Feb 23  2016,64.12,64.82,65.43,63.65,132.27K,-1.11%
Feb 22  2016,64.84,64.56,65.35,64.29,99.36K,1.01%
Feb 19  2016,64.19,63.94,64.37,63.02,104.66K,-0.03%
Feb 18  2016,64.21,63.32,64.57,63.00,140.10K,1.41%
Feb 17  2016,63.32,62.88,63.38,62.27,91.94K,1.30%
Feb 16  2016,62.51,62.27,62.96,61.48,55.40K,1.03%
Feb 12  2016,61.87,61.50,62.18,61.33,49.66K,1.03%
Feb 11  2016,61.24,61.58,61.89,60.25,55.56K,-1.13%
Feb 10  2016,61.94,62.00,62.71,61.75,92.48K,-0.10%
Feb 09  2016,62.00,61.80,62.48,61.65,63.84K,0.06%
Feb 08  2016,61.96,62.49,62.49,61.60,65.62K,-1.67%
Feb 05  2016,63.01,62.15,63.48,62.09,82.09K,0.83%
Feb 04  2016,62.49,62.86,62.98,62.01,59.59K,-0.29%
Feb 03  2016,62.67,63.62,63.62,61.58,78.33K,-0.68%
Feb 02  2016,63.10,61.89,63.50,61.63,88.89K,1.25%
Feb 01  2016,62.32,62.93,62.97,61.56,80.25K,-1.47%
Jan 29  2016,63.25,64.28,64.80,63.25,143.60K,-1.11%
Jan 28  2016,63.96,62.84,64.82,62.84,67.06K,1.91%
Jan 27  2016,62.76,62.54,62.88,61.64,63.55K,0.37%
Jan 26  2016,62.53,61.69,62.97,61.68,107.43K,1.54%
Jan 25  2016,61.58,62.44,63.20,61.36,102.54K,-1.36%
Jan 22  2016,62.43,62.97,63.52,62.33,73.64K,-0.32%
Jan 21  2016,62.63,61.29,63.05,61.29,83.06K,0.92%
Jan 20  2016,62.06,62.62,62.62,60.86,161.30K,-1.91%
Jan 19  2016,63.27,59.98,63.40,59.98,103.30K,7.13%
Jan 18  2016,59.06,60.02,60.44,58.32,40.37K,-2.88%
Jan 15  2016,60.81,62.39,62.39,60.22,83.13K,-3.77%
Jan 14  2016,63.19,61.91,63.66,61.15,102.27K,2.48%
Jan 13  2016,61.66,62.29,64.42,61.48,108.77K,-0.61%
Jan 12  2016,62.04,60.59,62.34,60.59,99.26K,1.97%
Jan 11  2016,60.84,61.20,61.39,60.47,69.16K,-0.20%
Jan 08  2016,60.96,60.75,61.55,60.68,92.51K,0.76%
Jan 07  2016,60.50,61.30,61.35,60.36,123.76K,-1.94%
Jan 06  2016,61.70,61.59,62.05,61.23,60.41K,0.05%
Jan 05  2016,61.67,61.60,61.86,60.91,40.36K,-0.11%
Jan 04  2016,61.74,61.46,62.13,60.49,37.32K,-0.05%
Dec 31  2015,61.77,62.56,62.60,61.20,42.21K,-1.67%
Dec 30  2015,62.82,63.24,63.25,62.51,23.05K,-0.71%
Dec 29  2015,63.27,62.34,63.72,62.34,42.93K,1.77%
Dec 24  2015,62.17,62.14,62.65,61.81,28.30K,-0.29%
Dec 23  2015,62.35,62.21,62.56,61.79,30.76K,-0.08%
Dec 22  2015,62.40,62.49,62.95,61.80,47.05K,-0.14%
Dec 21  2015,62.49,62.87,63.84,62.03,106.07K,-0.33%
Dec 18  2015,62.70,63.16,63.60,62.39,105.56K,-0.68%
Dec 17  2015,63.13,64.49,64.49,62.01,96.21K,-1.99%
Dec 16  2015,64.41,63.00,64.58,62.86,93.72K,2.61%
Dec 15  2015,62.77,62.61,63.16,62.20,85.00K,0.80%
Dec 14  2015,62.27,62.37,62.85,61.43,52.10K,-0.05%
Dec 11  2015,62.30,62.07,62.72,61.67,55.59K,-0.10%
Dec 10  2015,62.36,63.17,63.30,62.22,52.38K,-1.72%
